"""Semana epidem. 1§ Sintomas(s)"";""Em Branco/ign"";""<1975"";""1975"";""1976"";""1977"";""1978"";""1979"";""1980"";""1981"";""1982"";""1983"";""1984"";""1985"";""1986"";""1987"";""1988"";""1989"";""1990"";""1991"";""1992"";""1993"";""1994"";""1995"";""1996"";""1997"";""1998"";""1999"";""2000"";""2001"";""2002"";""2003"";""2004"";""2005"";""2006"";""2007"";""2008"";""2009"";""2010"";""2011"";""2012"";""2013"";""2014"";""2015"";""2016"";""2017"";""2018"";""2019"";""2020"";""2021"";""2022"";""2023"";""2024"";""2025"";""2026"";""Total"""
"""Semana 32"";-;31;1;-;1;1;1;-;2;-;1;1;1;1;-;4;2;1;2;-;1;1;-;-;1;1;2;1;2;1;-;3;-;1;-;-;1;2;2;1;-;-;4;-;-;13;8049;3876;4303;8314;6708;11313;6121;-;48771"
"""Semana 33"";1;18;2;-;1;3;-;2;2;1;-;1;3;2;2;1;5;1;2;-;2;1;1;3;2;-;-;1;2;1;3;-;-;1;2;-;1;3;1;1;2;2;2;1;1;8;6892;3745;4276;7327;6417;9908;6198;-;44851"
"""Semana 34"";-;24;1;2;-;2;-;2;-;-;3;3;2;1;1;1;-;1;1;2;4;-;2;1;-;-;4;3;-;-;-;2;3;4;1;-;2;1;2;1;2;3;1;-;-;3;6267;3051;3497;6367;5897;9162;6485;-;40811"
"""Semana 35"";-;22;2;1;2;2;-;2;1;-;2;1;4;2;-;2;1;3;-;2;-;1;3;-;3;1;2;-;2;1;1;-;2;2;-;1;1;3;-;-;1;2;1;2;1;5;5678;2752;3227;5751;5536;7803;6088;-;36919"
"""Semana 36"";-;30;2;1;2;4;1;2;1;4;5;2;2;2;-;1;1;2;-;1;1;1;2;-;2;7;1;-;2;1;1;1;1;2;1;3;2;2;-;-;4;-;-;1;1;7;5485;2662;3359;5420;5011;8189;6380;-;36612"
"""Semana 37"";1;29;1;1;-;-;1;1;1;4;2;-;1;3;-;-;1;2;1;2;3;3;4;1;3;1;2;1;1;-;-;1;-;2;2;2;3;1;2;-;1;3;-;2;-;8;5369;2555;3182;5294;5824;8200;6642;-;37163"
"""Semana 38"";-;30;3;1;-;2;2;2;3;1;2;2;1;1;1;1;2;2;1;-;-;2;3;-;4;3;-;4;1;3;2;1;-;3;3;1;2;1;-;2;2;-;1;4;-;5;5148;2463;3075;4968;6000;7730;7041;-;36529"
"""Semana 39"";-;26;1;-;-;2;1;1;1;1;2;3;2;-;1;1;2;-;2;3;4;2;2;-;-;5;1;1;-;2;-;1;1;3;1;1;3;5;-;2;1;3;1;2;-;6;4456;2379;2993;4809;5673;7442;6779;-;34627"
"""Semana 40"";-;22;1;-;1;-;2;4;3;1;-;2;-;-;1;1;3;1;3;-;2;3;2;3;1;2;1;2;-;-;-;1;2;-;-;1;1;3;-;-;-;1;1;-;1;6;4672;2273;2510;4909;6226;7216;7309;-;35193"
"""Semana 41"";-;24;-;-;2;2;1;1;1;2;2;1;1;1;4;-;-;2;3;-;1;3;2;2;1;2;-;1;2;2;-;-;1;1;1;2;2;2;1;2;3;2;-;1;1;7;4538;2173;2606;4757;5629;6869;7031;-;33692"
"""Semana 42"";-;28;1;1;-;-;1;-;-;1;2;2;3;2;5;-;1;1;1;1;-;2;2;1;3;4;1;2;2;-;1;3;-;1;2;4;1;1;1;2;-;2;-;2;2;8;4505;2008;2795;4855;6785;7316;6962;-;35323"
"""Semana 43"";-;19;-;1;-;1;1;1;2;2;2;-;1;1;1;3;2;1;1;-;4;1;3;2;1;1;-;-;2;3;2;-;2;2;1;2;2;1;-;-;1;3;-;1;-;7;4518;2086;2741;4399;6484;7780;6700;-;34788"
"""Semana 44"";1;15;-;6;4;1;1;1;-;2;1;1;1;1;3;4;2;2;-;1;-;-;-;3;1;1;-;3;2;3;3;-;-;2;4;3;1;1;1;3;2;2;1;2;1;20;4762;1783;3174;4652;6837;8386;6671;-;36371"
"""Semana 45"";-;19;-;2;-;2;-;4;2;1;2;-;1;2;1;2;-;1;1;-;1;-;-;-;2;2;1;1;2;-;1;-;2;1;2;-;-;5;3;-;-;1;2;2;2;18;5422;2281;3534;5640;9349;8905;6718;-;41937"
"""Semana 46"";-;17;1;5;1;4;1;1;1;-;2;3;1;-;3;5;1;2;-;2;1;-;1;1;-;-;2;-;2;5;1;1;3;2;2;1;-;3;2;1;1;3;2;1;1;15;5491;2317;4505;6079;9145;9640;7120;-;44398"
"""Semana 47"";-;31;2;4;1;1;1;1;2;1;1;-;-;3;2;3;3;3;1;3;3;2;1;4;2;1;-;3;1;1;-;4;1;-;-;1;-;4;2;-;1;1;-;2;1;41;6260;2859;5376;6410;12583;12008;6570;-;52205"
"""Semana 48"";-;21;2;2;4;2;3;1;1;2;2;4;2;5;-;2;3;-;1;-;2;1;4;1;1;4;2;-;2;-;1;2;-;-;2;2;3;1;4;2;-;-;1;1;4;71;6648;2870;7364;6604;13898;13111;7142;-;57805"
"""Semana 49"";-;19;2;1;-;2;-;1;-;-;3;-;2;5;1;1;1;2;1;2;-;1;-;1;2;3;-;1;1;2;1;1;1;1;-;-;2;-;-;3;4;1;3;-;3;118;7802;3208;9366;7024;16256;15761;7747;-;67356"
"""Semana 50"";-;13;1;-;-;2;-;-;4;3;1;-;-;2;4;1;1;1;2;3;2;-;2;1;4;3;2;2;-;-;1;1;-;1;1;2;2;1;1;-;2;-;2;-;-;262;8527;3411;10610;7684;21402;17827;7305;-;77096"
"""Semana 51"";-;25;1;-;-;-;-;-;2;3;1;1;-;2;2;-;1;2;-;1;1;3;2;-;1;5;1;-;1;-;1;3;3;3;3;2;1;2;1;1;-;2;2;3;-;578;8153;3082;9405;7012;22113;17066;6892;-;74383"
"""Semana 52"";2;27;-;1;-;2;2;1;1;1;-;1;-;-;2;3;4;2;-;-;-;3;2;-;-;2;2;2;-;2;1;3;2;3;-;2;2;7;1;2;2;4;1;1;1;3018;8735;2388;4876;4538;16121;10279;5982;-;56031"
"""Semana 53"";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1210;131;-;-;-;3362;3805;8517"
"""Total"";96;1191;58;70;66;77;59;79;90;69;85;83;71;99;75;89;83;83;68;78;90;95;87;77;91;100;82;89;107;126;76;70;76;86;76;64;117;227;110;67;88;198;227;241;181;7002;1553504;944502;531980;1405167;1650588;6569315;1638278;148569;14454422"
&
