"""Munic¡pio"";""Aten‡Æo B sica"";""M‚dia complexidade"";""Alta complexidade"";""NÆo se aplica"";""Total"""
"""351320 CRISTAIS PAULISTA"";498;7789;-;759;9046"
"""351340 CRUZEIRO"";84954;973512;18533;170815;1247814"
"""351350 CUBATAO"";410368;2304498;17199;28089;2760154"
"""351360 CUNHA"";15088;139694;-;1874;156656"
"""351370 DESCALVADO"";158397;495044;-;56004;709445"
"""351380 DIADEMA"";451207;5036325;66248;74863;5628643"
"""351385 DIRCE REIS"";-;-;-;66;66"
"""351390 DIVINOLANDIA"";89166;456649;7345;8535;561695"
"""351400 DOBRADA"";-;15759;-;-;15759"
"""351410 DOIS CORREGOS"";508241;150567;-;25277;684085"
"""351420 DOLCINOPOLIS"";2934;1609;-;68;4611"
"""351430 DOURADO"";88724;69972;-;172;158868"
"""351440 DRACENA"";190577;923066;25814;53244;1192701"
"""351450 DUARTINA"";339833;329209;-;1675;670717"
"""351460 DUMONT"";9629;18674;-;173;28476"
"""351470 ECHAPORA"";-;6464;-;14045;20509"
"""351480 ELDORADO"";696;145345;-;51;146092"
"""351490 ELIAS FAUSTO"";67079;253695;22;270;321066"
"""351492 ELISIARIO"";8234;377;-;9296;17907"
"""351495 EMBAUBA"";65467;5830;-;330;71627"
"""351500 EMBU DAS ARTES"";306348;2148872;32115;107698;2595033"
"""351510 EMBU-GUACU"";332869;511418;-;4190;848477"
"""351512 EMILIANOPOLIS"";711;1364;-;687;2762"
"""351515 ENGENHEIRO COELHO"";61064;148673;-;-;209737"
"""351518 ESPIRITO SANTO DO PINHAL"";445909;460644;1877;2793;911223"
"""351519 ESPIRITO SANTO DO TURVO"";44933;9688;-;736;55357"
"""351520 ESTRELA D'OESTE"";24376;128271;-;2239;154886"
"""351530 ESTRELA DO NORTE"";13519;-;-;268;13787"
"""351535 EUCLIDES DA CUNHA PAULISTA"";111426;92269;-;8094;211789"
"""351540 FARTURA"";168008;139644;-;1464;309116"
"""351550 FERNANDOPOLIS"";241527;1266072;41721;78473;1627793"
"""351560 FERNANDO PRESTES"";905;32225;-;12707;45837"
"""351565 FERNAO"";1149;-;-;11;1160"
"""351570 FERRAZ DE VASCONCELOS"";157002;1856565;2957;37367;2053891"
"""351580 FLORA RICA"";32303;2546;-;4802;39651"
"""351590 FLOREAL"";85;20726;-;18947;39758"
"""351600 FLORIDA PAULISTA"";81823;57315;-;343;139481"
"""351610 FLORINEA"";97122;114391;-;8203;219716"
"""351620 FRANCA"";2600267;5764822;12288770;263113;20916972"
"""351630 FRANCISCO MORATO"";334353;2360588;35606;271;2730818"
"""351640 FRANCO DA ROCHA"";304475;2448909;4368295;3679;7125358"
"""351650 GABRIEL MONTEIRO"";-;-;-;319;319"
"""351660 GALIA"";97385;80828;-;19094;197307"
"""351670 GARCA"";807015;535170;4010;3131;1349326"
"""351680 GASTAO VIDIGAL"";-;17857;-;316;18173"
"""351685 GAVIAO PEIXOTO"";5051;7254;-;-;12305"
"""351690 GENERAL SALGADO"";6564;78059;-;987;85610"
"""351700 GETULINA"";225329;136845;-;220;362394"
"""351710 GLICERIO"";130016;-;-;210;130226"
"""351720 GUAICARA"";221429;11947;-;868;234244"
"""351730 GUAIMBE"";491;39971;-;708;41170"
"""351740 GUAIRA"";783893;569750;5715;61148;1420506"
"""351750 GUAPIACU"";507910;242030;-;5392;755332"
"""351760 GUAPIARA"";3626;78602;-;34147;116375"
"""351770 GUARA"";41192;108390;1;684;150267"
"""351780 GUARACAI"";147402;64037;-;535;211974"
"""351790 GUARACI"";167757;137333;261;387;305738"
"""351800 GUARANI D'OESTE"";378;13400;-;18814;32592"
"""351810 GUARANTA"";77626;384;-;-;78010"
"""351820 GUARARAPES"";334410;282089;-;23315;639814"
"""351830 GUARAREMA"";149652;496145;-;1492;647289"
"""351840 GUARATINGUETA"";336638;1470304;34902;149473;1991317"
"""351850 GUAREI"";329398;162994;-;196;492588"
"""351860 GUARIBA"";276220;482227;1385;41786;801618"
"""351870 GUARUJA"";1792841;3989018;52714;1461;5836034"
"""351880 GUARULHOS"";739163;15288453;9371017;456988;25855621"
"""351885 GUATAPARA"";26877;141749;-;20647;189273"
"""351890 GUZOLANDIA"";161294;2697;-;-;163991"
"""351900 HERCULANDIA"";104757;84897;29;9251;198934"
"""351905 HOLAMBRA"";117512;42455;-;950;160917"
"""351907 HORTOLANDIA"";725620;3225364;40672;66150;4057806"
"""351910 IACANGA"";29025;61647;-;987;91659"
"""351920 IACRI"";121000;12896;-;274;134170"
"""351925 IARAS"";61476;4;-;1168;62648"
"""351930 IBATE"";225182;372176;254;-;597612"
"""351940 IBIRA"";29576;91949;-;1080;122605"
"""351950 IBIRAREMA"";204164;85304;-;11083;300551"
"""351960 IBITINGA"";238663;543520;1686;74291;858160"
"""351970 IBIUNA"";323178;1585628;-;-;1908806"
"""351980 ICEM"";48162;27049;-;3003;78214"
