"""Munic¡pio"";""Aten‡Æo B sica"";""M‚dia complexidade"";""Alta complexidade"";""NÆo se aplica"";""Total"""
"""150660 SANTA MARIA DO PARA"";2581;46797;-;9313;58691"
"""150670 SANTANA DO ARAGUAIA"";197965;813466;226;44159;1055816"
"""150680 SANTAREM"";610912;2416640;701993;31701;3761246"
"""150690 SANTAREM NOVO"";630;9648;-;319;10597"
"""150700 SANTO ANTONIO DO TAUA"";2317;66394;519;174;69404"
"""150710 SAO CAETANO DE ODIVELAS"";2198;1949;-;428;4575"
"""150715 SAO DOMINGOS DO ARAGUAIA"";20515;49556;-;6408;76479"
"""150720 SAO DOMINGOS DO CAPIM"";45342;129779;30;8743;183894"
"""150730 SAO FELIX DO XINGU"";58670;339161;294;8766;406891"
"""150740 SAO FRANCISCO DO PARA"";42167;29824;-;380955;452946"
"""150745 SAO GERALDO DO ARAGUAIA"";3446;175999;-;43382;222827"
"""150746 SAO JOAO DA PONTA"";81;10450;-;-;10531"
"""150747 SAO JOAO DE PIRABAS"";33386;151339;-;41365;226090"
"""150750 SAO JOAO DO ARAGUAIA"";13023;20474;-;2615;36112"
"""150760 SAO MIGUEL DO GUAMA"";159331;400269;-;24696;584296"
"""150770 SAO SEBASTIAO DA BOA VISTA"";-;80256;-;-;80256"
"""150775 SAPUCAIA"";3393;188671;-;4001;196065"
"""150780 SENADOR JOSE PORFIRIO"";122159;85714;-;169;208042"
"""150790 SOURE"";118701;119487;-;4864;243052"
"""150795 TAILANDIA"";31686;757297;5994;32252;827229"
"""150796 TERRA ALTA"";6325;37165;-;546;44036"
"""150797 TERRA SANTA"";28732;99347;-;56460;184539"
"""150800 TOME-ACU"";42523;468327;-;47873;558723"
"""150803 TRACUATEUA"";925;99596;-;1468;101989"
"""150805 TRAIRAO"";19532;35329;-;15339;70200"
"""150808 TUCUMA"";8450;240525;195;157603;406773"
"""150810 TUCURUI"";119031;979408;140515;363118;1602072"
"""150812 ULIANOPOLIS"";54782;318930;168723;47606;590041"
"""150815 URUARA"";295288;244537;-;111679;651504"
"""150820 VIGIA"";70415;128131;-;44299;242845"
"""150830 VISEU"";70587;321441;1;37750;429779"
"""150835 VITORIA DO XINGU"";25476;134151;-;1743;161370"
"""150840 XINGUARA"";186612;1830561;888;97079;2115140"
"""160005 SERRA DO NAVIO"";8014;15976;-;471;24461"
"""160010 AMAPA"";15367;17243;-;108;32718"
"""160015 PEDRA BRANCA DO AMAPARI"";14599;72378;1019;993;88989"
"""160020 CALCOENE"";5604;34288;-;-;39892"
"""160021 CUTIAS"";1956;-;-;911;2867"
"""160023 FERREIRA GOMES"";14100;68046;-;118;82264"
"""160025 ITAUBAL"";-;-;-;783;783"
"""160027 LARANJAL DO JARI"";68086;579982;2976;1151;652195"
"""160030 MACAPA"";463851;3687710;719575;153528;5024664"
"""160040 MAZAGAO"";104211;64936;-;143;169290"
"""160050 OIAPOQUE"";2971;134646;-;1130;138747"
"""160053 PORTO GRANDE"";16144;68254;-;174;84572"
"""160055 PRACUUBA"";-;-;-;61;61"
"""160060 SANTANA"";37783;1004081;1694;880;1044438"
"""160070 TARTARUGALZINHO"";14543;46838;-;67;61448"
"""160080 VITORIA DO JARI"";2021;39411;-;1194;42626"
"""170025 ABREULANDIA"";195;32;-;1750;1977"
"""170030 AGUIARNOPOLIS"";90;458;-;349;897"
"""170035 ALIANCA DO TOCANTINS"";7472;22756;-;5992;36220"
"""170040 ALMAS"";-;67557;-;330;67887"
"""170070 ALVORADA"";2369;41742;-;1863;45974"
"""170100 ANANAS"";6642;28057;-;831;35530"
"""170105 ANGICO"";2501;16;-;2157;4674"
"""170110 APARECIDA DO RIO NEGRO"";40;14688;-;664;15392"
"""170130 ARAGOMINAS"";17935;188;-;819;18942"
"""170190 ARAGUACEMA"";14139;10675;-;4925;29739"
"""170200 ARAGUACU"";300;133380;-;213;133893"
"""170210 ARAGUAINA"";483989;1980937;551983;26578;3043487"
"""170215 ARAGUANA"";-;11132;-;529;11661"
"""170220 ARAGUATINS"";1093;827437;412;1780;830722"
"""170230 ARAPOEMA"";19;62659;-;581;63259"
"""170240 ARRAIAS"";27202;51866;-;2554;81622"
"""170255 AUGUSTINOPOLIS"";31954;226343;2379;7624;268300"
"""170270 AURORA DO TOCANTINS"";109;50;-;286;445"
"""170290 AXIXA DO TOCANTINS"";685;117;-;618;1420"
"""170300 BABACULANDIA"";33396;238;-;718;34352"
"""170305 BANDEIRANTES DO TOCANTINS"";26;2197;-;520;2743"
"""170307 BARRA DO OURO"";-;-;-;345;345"
"""170310 BARROLANDIA"";23199;17497;-;2406;43102"
"""170320 BERNARDO SAYAO"";-;-;-;170;170"
"""170330 BOM JESUS DO TOCANTINS"";38;44;-;1115;1197"
"""170370 BREJINHO DE NAZARE"";9170;18871;-;3382;31423"
"""170380 BURITI DO TOCANTINS"";1245;7366;-;3124;11735"
"""170382 CACHOEIRINHA"";-;-;-;114;114"
"""170384 CAMPOS LINDOS"";254;-;-;658;912"
"""170386 CARIRI DO TOCANTINS"";8890;12715;-;3077;24682"
"""170388 CARMOLANDIA"";-;-;-;359;359"
"""170389 CARRASCO BONITO"";2338;70;-;418;2826"
"""170390 CASEARA"";456;44;-;541;1041"
"""170410 CENTENARIO"";125;108;-;79;312"
"""170460 CHAPADA DE AREIA"";98;6198;-;1629;7925"
"""170510 CHAPADA DA NATIVIDADE"";111;-;-;816;927"
"""170550 COLINAS DO TOCANTINS"";11550;185517;810;1383;199260"
"""170555 COMBINADO"";191;18467;-;4461;23119"
"""170560 CONCEICAO DO TOCANTINS"";82;13602;-;176;13860"
"""170600 COUTO MAGALHAES"";13061;13540;-;323;26924"
"""170610 CRISTALANDIA"";10602;38214;-;299;49115"
"""170625 CRIXAS DO TOCANTINS"";5399;789;-;764;6952"
"""170650 DARCINOPOLIS"";-;119;-;1091;1210"
"""170700 DIANOPOLIS"";3539;95620;-;1535;100694"
"""170710 DIVINOPOLIS DO TOCANTINS"";59221;69205;-;26591;155017"
"""170720 DOIS IRMAOS DO TOCANTINS"";7427;29337;-;359;37123"
"""170730 DUERE"";9662;21142;-;498;31302"
"""170740 ESPERANTINA"";6679;13428;-;3961;24068"
"""170755 FATIMA"";105;210;-;424;739"
"""170765 FIGUEIROPOLIS"";35;3548;-;2519;6102"
"""170770 FILADELFIA"";26841;14736;-;403;41980"
"""170820 FORMOSO DO ARAGUAIA"";30389;91091;-;14674;136154"
"""170825 TABOCAO"";80800;19088;-;1461;101349"
"""170830 GOIANORTE"";222;10792;-;545;11559"
"""170900 GOIATINS"";19599;7196;-;3188;29983"
"""170930 GUARAI"";4551;273409;122;2399;280481"
"""170950 GURUPI"";876650;955271;240344;23821;2096086"
"""170980 IPUEIRAS"";1068;286;-;974;2328"
"""171050 ITACAJA"";1828;1069;-;669;3566"
"""171070 ITAGUATINS"";2060;700;-;533;3293"
"""171090 ITAPIRATINS"";27;8762;-;595;9384"
"""171110 ITAPORA DO TOCANTINS"";5932;10993;-;204;17129"
"""171150 JAU DO TOCANTINS"";6899;9727;-;1351;17977"
"""171180 JUARINA"";4;-;-;192;196"
"""171190 LAGOA DA CONFUSAO"";1209;3681;-;451;5341"
"""171195 LAGOA DO TOCANTINS"";-;-;-;83;83"
"""171200 LAJEADO"";527;17274;-;526;18327"
"""171215 LAVANDEIRA"";459;6247;-;2922;9628"
"""171245 LUZINOPOLIS"";-;-;-;4938;4938"
"""171250 MARIANOPOLIS DO TOCANTINS"";354;2563;-;5073;7990"
"""171270 MATEIROS"";375;127;-;534;1036"
"""171280 MAURILANDIA DO TOCANTINS"";194;64;-;481;739"
"""171320 MIRACEMA DO TOCANTINS"";32895;297894;-;287;331076"
"""171330 MIRANORTE"";4237;77008;-;4420;85665"
"""171360 MONTE DO CARMO"";97979;32916;-;777;131672"
"""171370 MONTE SANTO DO TOCANTINS"";-;13570;-;1233;14803"
"""171380 PALMEIRAS DO TOCANTINS"";-;-;-;357;357"
"""171395 MURICILANDIA"";-;-;-;1379;1379"
"""171420 NATIVIDADE"";15476;52278;-;7987;75741"
"""171430 NAZARE"";12745;4428;-;379;17552"
"""171488 NOVA OLINDA"";9038;29625;-;798;39461"
"""171500 NOVA ROSALANDIA"";14194;11369;-;3952;29515"
"""171510 NOVO ACORDO"";727;177;-;643;1547"
"""171515 NOVO ALEGRE"";128;9314;-;23329;32771"
"""171525 NOVO JARDIM"";-;-;-;319;319"
"""171550 OLIVEIRA DE FATIMA"";307;117;-;151;575"
"""171570 PALMEIRANTE"";9;3;-;83;95"
"""171575 PALMEIROPOLIS"";8255;64040;-;857;73152"
"""171610 PARAISO DO TOCANTINS"";699568;433859;-;27642;1161069"
"""171620 PARANA"";37343;89556;-;20484;147383"
"""171630 PAU D'ARCO"";-;-;-;216;216"
"""171650 PEDRO AFONSO"";38070;145016;-;506;183592"
"""171660 PEIXE"";10865;51319;-;367;62551"
"""171665 PEQUIZEIRO"";3137;28680;-;17416;49233"
"""171670 COLMEIA"";81780;26524;-;339;108643"
"""171700 PINDORAMA DO TOCANTINS"";37628;35623;-;3462;76713"
"""171720 PIRAQUE"";1148;-;-;80;1228"
"""171750 PIUM"";23926;78738;-;3103;105767"
"""171780 PONTE ALTA DO BOM JESUS"";515;2958;-;3993;7466"
"""171790 PONTE ALTA DO TOCANTINS"";23046;72724;-;3800;99570"
"""171800 PORTO ALEGRE DO TOCANTINS"";-;-;-;238;238"
"""171820 PORTO NACIONAL"";141409;1126802;169806;17553;1455570"
"""171830 PRAIA NORTE"";189;2242;-;9892;12323"
"""171840 PRESIDENTE KENNEDY"";1792;13619;-;69;15480"
"""171845 PUGMIL"";197;7954;-;331;8482"
"""171850 RECURSOLANDIA"";329;109;-;766;1204"
"""171855 RIACHINHO"";1201;1085;-;441;2727"
"""171865 RIO DA CONCEICAO"";4;1457;-;2244;3705"
"""171870 RIO DOS BOIS"";153;104;-;288;545"
"""171875 RIO SONO"";2301;7809;-;3400;13510"
"""171880 SAMPAIO"";-;-;-;594;594"
"""171884 SANDOLANDIA"";45;204;-;2735;2984"
"""171886 SANTA FE DO ARAGUAIA"";930;910;-;3943;5783"
"""171888 SANTA MARIA DO TOCANTINS"";-;-;-;146;146"
"""171889 SANTA RITA DO TOCANTINS"";15;10;-;621;646"
"""171890 SANTA ROSA DO TOCANTINS"";10;1567;-;664;2241"
"""171900 SANTA TEREZA DO TOCANTINS"";238;153;-;527;918"
"""172000 SANTA TEREZINHA DO TOCANTINS"";70;6637;-;371;7078"
"""172010 SAO BENTO DO TOCANTINS"";-;-;-;196;196"
"""172020 SAO MIGUEL DO TOCANTINS"";33490;31749;-;4455;69694"
"""172025 SAO SALVADOR DO TOCANTINS"";2841;506;-;1125;4472"
"""172030 SAO SEBASTIAO DO TOCANTINS"";137;-;-;190;327"
"""172049 SAO VALERIO"";4165;19501;-;441;24107"
"""172065 SILVANOPOLIS"";15883;5460;-;655;21998"
"""172080 SITIO NOVO DO TOCANTINS"";2955;34603;161;379;38098"
"""172085 SUCUPIRA"";-;-;-;145;145"
"""172090 TAGUATINGA"";92986;165588;1;6286;264861"
"""172093 TAIPAS DO TOCANTINS"";1746;-;-;88;1834"
"""172097 TALISMA"";1663;15689;-;272;17624"
"""172100 PALMAS"";449842;3821876;1022058;205548;5499324"
"""172110 TOCANTINIA"";185;12246;-;231;12662"
"""172120 TOCANTINOPOLIS"";132695;259633;249;32775;425352"
"""172125 TUPIRAMA"";18;8;-;217;243"
"""172130 TUPIRATINS"";-;-;-;304;304"
"""172208 WANDERLANDIA"";49935;18658;-;810;69403"
"""172210 XAMBIOA"";16;51518;-;373;51907"
"""210005 ACAILANDIA"";145226;1441965;21987;112433;1721611"
"""210010 AFONSO CUNHA"";140390;132691;-;84;273165"
"""210015 AGUA DOCE DO MARANHAO"";72;192;-;733;997"
