"""Munic¡pio"";""02 Assistˆncia Farmacˆutica"";""04 Fundo de A‡äes Estrat‚gicas e Compensa‡äes FAEC"";""05 Incentivo - MAC"";""06 M‚dia e Alta Complexidade (MAC)"";""07 Vigilƒncia em Sa£de"";""Total"""
"""130395 SAO SEBASTIAO DO UATUMA"";-;-;-;842601,82;-;842601,82"
"""130400 SILVES"";-;-;-;877652,90;-;877652,90"
"""130406 TABATINGA"";-;-;-;1697188,33;-;1697188,33"
"""130410 TAPAUA"";-;-;-;429144,98;-;429144,98"
"""130420 TEFE"";-;141710,00;-;6268260,66;-;6409970,66"
"""130423 TONANTINS"";-;-;-;635521,96;-;635521,96"
"""130426 UARINI"";-;-;-;789936,36;-;789936,36"
"""130430 URUCARA"";-;-;-;903773,77;-;903773,77"
"""130440 URUCURITUBA"";-;-;-;105691,29;-;105691,29"
"""140005 ALTO ALEGRE"";-;-;-;412819,48;-;412819,48"
"""140010 BOA VISTA"";271451,86;14276880,66;-;56011547,45;-;70559879,97"
"""140015 BONFIM"";-;-;-;125771,40;-;125771,40"
"""140017 CANTA"";-;-;-;7707,88;-;7707,88"
"""140020 CARACARAI"";-;-;-;444590,27;-;444590,27"
"""140023 CAROEBE"";-;-;-;332508,95;-;332508,95"
"""140030 MUCAJAI"";-;-;-;730166,61;-;730166,61"
"""140040 NORMANDIA"";-;-;-;49311,29;-;49311,29"
"""140045 PACARAIMA"";-;-;-;111373,77;-;111373,77"
"""140047 RORAINOPOLIS"";-;-;-;1236551,39;-;1236551,39"
"""140050 SAO JOAO DA BALIZA"";-;-;-;182462,79;-;182462,79"
"""140060 SAO LUIZ"";-;-;-;309171,65;-;309171,65"
"""150010 ABAETETUBA"";4667,04;4014016,81;-;6385911,66;-;10404595,51"
"""150013 ABEL FIGUEIREDO"";-;-;-;340461,99;-;340461,99"
"""150020 ACARA"";-;-;-;2931231,47;-;2931231,47"
"""150030 AFUA"";-;-;-;468064,39;-;468064,39"
"""150034 AGUA AZUL DO NORTE"";-;55555,20;-;2078008,89;-;2133564,09"
"""150040 ALENQUER"";-;-;-;1049962,97;-;1049962,97"
"""150050 ALMEIRIM"";-;-;-;1872798,17;-;1872798,17"
"""150060 ALTAMIRA"";468289,46;4320451,88;-;13243121,01;-;18031862,35"
"""150070 ANAJAS"";-;-;-;257316,01;-;257316,01"
"""150080 ANANINDEUA"";258895,36;15821052,68;-;61682395,68;-;77762343,72"
"""150085 ANAPU"";-;-;-;602555,21;-;602555,21"
"""150090 AUGUSTO CORREA"";-;-;-;1114522,19;-;1114522,19"
"""150095 AURORA DO PARA"";-;-;-;767264,15;-;767264,15"
"""150100 AVEIRO"";-;-;-;1,00;-;1,00"
"""150110 BAGRE"";-;-;-;97475,32;-;97475,32"
"""150120 BAIAO"";-;-;-;967435,60;-;967435,60"
"""150125 BANNACH"";-;-;-;154441,26;-;154441,26"
"""150130 BARCARENA"";-;267745,20;-;15074210,15;-;15341955,35"
"""150140 BELEM"";15630637,05;57754845,80;-;286698015,42;-;360083498,27"
"""150145 BELTERRA"";-;-;-;162614,57;-;162614,57"
"""150150 BENEVIDES"";93778,10;232325,00;-;3159784,80;-;3485887,90"
"""150157 BOM JESUS DO TOCANTINS"";-;-;-;221538,62;-;221538,62"
"""150160 BONITO"";-;-;-;857593,37;-;857593,37"
"""150170 BRAGANCA"";31131,84;3265172,58;-;6878346,26;-;10174650,68"
"""150172 BRASIL NOVO"";-;9400,00;-;968356,29;-;977756,29"
"""150175 BREJO GRANDE DO ARAGUAIA"";-;-;-;31500,00;-;31500,00"
"""150178 BREU BRANCO"";-;-;-;2717241,75;-;2717241,75"
"""150180 BREVES"";-;1587431,72;-;7265279,81;-;8852711,53"
"""150190 BUJARU"";-;32000,00;-;977283,14;-;1009283,14"
"""150195 CACHOEIRA DO PIRIA"";-;-;-;281929,11;-;281929,11"
"""150200 CACHOEIRA DO ARARI"";-;-;-;302152,86;-;302152,86"
"""150210 CAMETA"";-;-;-;4457686,92;-;4457686,92"
