"""Munic¡pio"";""Eletivo"";""Urgˆncia"";""Acidente no local trabalho ou a servi‡o da empresa"";""Acidente no trajeto para o trabalho"";""Outros tipos de acidente de trƒnsito"";""Outros tipos lesäes/envenenament(agent.fis./quim.)"";""Informa‡Æo inexistente  (BPA-C)"";""Car ter de atendimento nÆo informado"";""Total"""
"""130300 NHAMUNDA"";33;121084;-;-;-;-;46;-;121163"
"""130310 NOVA OLINDA DO NORTE"";49607;27556;4;-;94;-;422724;-;499985"
"""130320 NOVO AIRAO"";8649;-;-;-;-;-;186420;-;195069"
"""130330 NOVO ARIPUANA"";11900;2998;2;1;-;-;406769;-;421670"
"""130340 PARINTINS"";127781;35810;14;-;-;3;1653816;-;1817424"
"""130350 PAUINI"";348;4935;-;-;-;-;134050;-;139333"
"""130353 PRESIDENTE FIGUEIREDO"";146398;2;-;-;-;-;127494;-;273894"
"""130356 RIO PRETO DA EVA"";2521;11255;-;-;-;-;526911;-;540687"
"""130360 SANTA ISABEL DO RIO NEGRO"";16237;46082;10;-;52;-;244;-;62625"
"""130370 SANTO ANTONIO DO ICA"";4813;6449;9;-;-;-;140674;-;151945"
"""130380 SAO GABRIEL DA CACHOEIRA"";5890;730;1;1;-;1;143082;-;149705"
"""130390 SAO PAULO DE OLIVENCA"";4224;34084;-;-;-;-;143857;-;182165"
"""130395 SAO SEBASTIAO DO UATUMA"";17128;2870;1;1;-;-;134987;-;154987"
"""130400 SILVES"";22830;3897;6;-;49;-;131533;-;158315"
"""130406 TABATINGA"";3842;4951;1;-;-;-;194946;-;203740"
"""130420 TEFE"";331316;34432;28;100;-;2;1239851;-;1605729"
"""130423 TONANTINS"";3027;59086;-;-;-;-;796697;-;858810"
"""130426 UARINI"";1020;126;-;-;-;-;436641;-;437787"
"""130430 URUCARA"";3048;20550;1;-;-;-;93783;-;117382"
"""130440 URUCURITUBA"";-;-;-;-;-;-;40838;-;40838"
"""140002 AMAJARI"";-;-;-;-;-;-;292;-;292"
"""140005 ALTO ALEGRE"";1314;1021;-;-;-;-;95194;-;97529"
"""140010 BOA VISTA"";1642879;106104;523;59;1578;6;5287062;-;7038211"
"""140015 BONFIM"";2687;-;-;-;-;-;33186;-;35873"
"""140017 CANTA"";2394;-;-;-;-;-;709;-;3103"
"""140020 CARACARAI"";1967;601;1;-;-;-;104168;-;106737"
"""140023 CAROEBE"";2443;1282;-;3;-;-;69608;-;73336"
"""140028 IRACEMA"";-;-;-;-;-;-;61738;-;61738"
