"""Munic¡pio"";""Eletivo"";""Urgˆncia"";""Acidente no local trabalho ou a servi‡o da empresa"";""Acidente no trajeto para o trabalho"";""Outros tipos de acidente de trƒnsito"";""Outros tipos lesäes/envenenament(agent.fis./quim.)"";""Informa‡Æo inexistente  (BPA-C)"";""Car ter de atendimento nÆo informado"";""Total"""
"""314450 NAZARENO"";10735;-;-;-;-;-;133491;-;144226"
"""314460 NEPOMUCENO"";66375;46591;2;-;-;-;262525;-;375493"
"""314465 NINHEIRA"";31734;-;-;-;-;-;33415;-;65149"
"""314467 NOVA BELEM"";10235;-;1;-;-;-;3209;-;13445"
"""314470 NOVA ERA"";19252;2;-;-;-;-;150540;-;169794"
"""314480 NOVA LIMA"";871976;189605;15;10;121;15;956101;-;2017843"
"""314490 NOVA MODICA"";8619;-;-;-;-;-;-;-;8619"
"""314500 NOVA PONTE"";14230;5;-;-;-;-;114714;-;128949"
"""314505 NOVA PORTEIRINHA"";5563;-;-;-;-;-;17041;-;22604"
"""314510 NOVA RESENDE"";28731;-;-;-;-;-;124763;-;153494"
"""314520 NOVA SERRANA"";170528;361469;15;3;-;-;547586;-;1079601"
"""314530 NOVO CRUZEIRO"";60654;45961;1;-;-;-;117781;-;224397"
"""314535 NOVO ORIENTE DE MINAS"";6016;-;-;-;-;-;28327;-;34343"
"""314537 NOVORIZONTE"";7993;-;-;-;-;-;1037;-;9030"
"""314540 OLARIA"";8959;2;-;-;-;-;10651;-;19612"
"""314545 OLHOS-D'AGUA"";16592;9;365;412;-;-;25659;-;43037"
"""314550 OLIMPIO NORONHA"";16784;-;-;-;-;-;25657;-;42441"
"""314560 OLIVEIRA"";91599;1347;-;-;1;-;504273;-;597220"
"""314570 OLIVEIRA FORTES"";2753;-;-;-;-;-;936;-;3689"
"""314580 ONCA DE PITANGUI"";290;-;-;-;-;-;1007;-;1297"
"""314585 ORATORIOS"";10086;-;-;-;-;-;5705;-;15791"
"""314587 ORIZANIA"";19467;10;-;9;-;-;2288;-;21774"
"""314590 OURO BRANCO"";23638;8504;1;-;-;-;632820;-;664963"
"""314600 OURO FINO"";48229;89;-;-;-;-;73754;-;122072"
"""314610 OURO PRETO"";97119;3908;1;-;-;-;721485;-;822513"
"""314620 OURO VERDE DE MINAS"";4653;-;-;-;-;-;35804;-;40457"
"""314625 PADRE CARVALHO"";2690;17;-;-;-;-;14413;-;17120"
"""314630 PADRE PARAISO"";16689;550;-;-;-;-;45008;-;62247"
"""314640 PAINEIRAS"";9203;-;-;-;-;-;253086;-;262289"
"""314650 PAINS"";4593;-;-;-;-;-;10139;-;14732"
"""314655 PAI PEDRO"";24290;40;-;-;-;-;18010;-;42340"
"""314660 PAIVA"";3221;37;-;-;-;-;9566;-;12824"
"""314670 PALMA"";5034;-;-;-;-;-;25540;-;30574"
"""314675 PALMOPOLIS"";8768;2971;-;-;-;-;19689;-;31428"
"""314690 PAPAGAIOS"";31116;-;3;-;-;-;92411;-;123530"
"""314700 PARACATU"";132860;5975;36;-;-;-;1179656;-;1318527"
"""314710 PARA DE MINAS"";702773;9616;31;-;-;-;443270;-;1155690"
"""314720 PARAGUACU"";48156;52039;2;-;-;-;562094;-;662291"
"""314730 PARAISOPOLIS"";67226;25258;2;-;-;-;213247;-;305733"
"""314740 PARAOPEBA"";72902;217;3;7;-;-;804667;-;877796"
"""314750 PASSABEM"";7697;5;-;-;-;-;14977;-;22679"
"""314760 PASSA QUATRO"";59203;4;-;-;-;-;109506;-;168713"
"""314770 PASSA TEMPO"";24259;6709;-;-;-;-;39833;-;70801"
"""314780 PASSA VINTE"";166;-;-;-;-;-;1229;-;1395"
"""314790 PASSOS"";4291050;564365;277;9;3;1;2005315;-;6861020"
"""314795 PATIS"";2287;-;-;-;-;-;1623;-;3910"
"""314800 PATOS DE MINAS"";4654990;982931;148;15;20;7;1074795;-;6712906"
"""314810 PATROCINIO"";412634;596;4;14;4;-;1335767;-;1749019"
"""314820 PATROCINIO DO MURIAE"";4212;2;-;-;-;-;17443;-;21657"
"""314830 PAULA CANDIDO"";24507;-;-;-;-;-;60648;-;85155"
"""314840 PAULISTAS"";25070;40;8;-;-;-;94;-;25212"
"""314850 PAVAO"";28786;-;-;8;-;-;23849;-;52643"
"""314860 PECANHA"";51602;143;-;-;-;-;91379;-;143124"
"""314870 PEDRA AZUL"";1190188;1638;1;-;-;-;193963;-;1385790"
"""314875 PEDRA BONITA"";3215;2;-;-;-;-;16332;-;19549"
"""314880 PEDRA DO ANTA"";11961;29;-;-;-;-;45555;-;57545"
"""314890 PEDRA DO INDAIA"";13878;2;-;-;-;-;42166;-;56046"
"""314900 PEDRA DOURADA"";8401;-;-;1;-;-;12485;-;20887"
"""314910 PEDRALVA"";21162;285;-;-;-;-;27668;-;49115"
"""314915 PEDRAS DE MARIA DA CRUZ"";10274;24;-;-;-;-;31723;-;42021"
"""314920 PEDRINOPOLIS"";12139;6;-;-;-;-;27996;-;40141"
"""314930 PEDRO LEOPOLDO"";8695;117;-;-;-;-;467465;-;476277"
"""314940 PEDRO TEIXEIRA"";22834;3;-;-;-;-;3667;-;26504"
"""314950 PEQUERI"";1942;2;-;-;-;-;661;-;2605"
"""314960 PEQUI"";10814;-;-;-;5;-;96242;-;107061"
"""314970 PERDIGAO"";24643;-;-;-;-;-;88174;-;112817"
"""314980 PERDIZES"";266322;5;-;5;-;-;123181;-;389513"
"""314990 PERDOES"";17791;1;-;-;-;-;152570;-;170362"
"""314995 PERIQUITO"";2047;-;-;-;-;-;235760;-;237807"
"""315000 PESCADOR"";28676;-;-;-;-;-;13129;-;41805"
"""315010 PIAU"";13875;-;-;-;-;-;1157;-;15032"
"""315015 PIEDADE DE CARATINGA"";12806;55;-;-;-;-;48508;-;61369"
"""315020 PIEDADE DE PONTE NOVA"";1296;-;-;-;-;-;33455;-;34751"
"""315030 PIEDADE DO RIO GRANDE"";82088;-;-;-;-;-;110929;-;193017"
"""315040 PIEDADE DOS GERAIS"";12777;8;-;-;-;-;121140;-;133925"
"""315050 PIMENTA"";71680;1604;1;4;-;-;54309;-;127598"
"""315053 PINGO-D'AGUA"";3739;4;1;-;-;-;5051;-;8795"
"""315057 PINTOPOLIS"";1577;-;-;-;-;-;15144;-;16721"
"""315060 PIRACEMA"";9374;-;-;-;-;-;108110;-;117484"
"""315070 PIRAJUBA"";5106;-;-;-;-;-;21749;-;26855"
"""315080 PIRANGA"";26961;730;2;1;-;-;140435;-;168129"
"""315090 PIRANGUCU"";-;-;-;-;-;-;12417;-;12417"
"""315100 PIRANGUINHO"";380;-;-;-;-;-;129;-;509"
"""315110 PIRAPETINGA"";22703;224;-;-;-;-;64306;-;87233"
"""315120 PIRAPORA"";1373230;4382;37;81;1;-;621530;-;1999261"
"""315130 PIRAUBA"";28141;57;-;-;-;-;35421;-;63619"
"""315140 PITANGUI"";5006;249;-;4;-;-;186657;-;191916"
"""315150 PIUMHI"";256049;12217;-;10;-;-;327913;-;596189"
"""315160 PLANURA"";3214;1;-;-;-;-;163147;-;166362"
"""315170 POCO FUNDO"";56936;15087;2;14;1;-;334774;-;406814"
"""315180 POCOS DE CALDAS"";1259707;51859;121;2;1;1;2596130;-;3907821"
"""315190 POCRANE"";-;-;-;-;-;-;89587;-;89587"
"""315200 POMPEU"";120564;7965;13;49;5;-;284368;-;412964"
"""315210 PONTE NOVA"";2687408;200079;11;-;7;1;715322;-;3602828"
"""315213 PONTO CHIQUE"";20712;40;-;-;-;-;14355;-;35107"
"""315217 PONTO DOS VOLANTES"";44165;6580;5;-;5;-;115686;-;166441"
"""315220 PORTEIRINHA"";52652;346;-;1;-;-;254761;-;307760"
"""315230 PORTO FIRME"";15095;2;-;-;-;-;12919;-;28016"
"""315240 POTE"";43616;-;-;6;-;-;69157;-;112779"
"""315250 POUSO ALEGRE"";6885269;332478;234;50;961;2;2027138;-;9246132"
"""315260 POUSO ALTO"";12790;671;1;-;-;16;65449;-;78927"
"""315270 PRADOS"";63461;-;-;-;-;-;20147;-;83608"
"""315280 PRATA"";35972;-;-;-;-;-;194930;-;230902"
"""315290 PRATAPOLIS"";8284;78;-;-;-;-;37996;-;46358"
"""315300 PRATINHA"";16982;21;-;-;-;-;17264;-;34267"
"""315310 PRESIDENTE BERNARDES"";8148;-;-;-;-;-;23161;-;31309"
"""315320 PRESIDENTE JUSCELINO"";15946;2;-;-;-;-;29771;-;45719"
"""315330 PRESIDENTE KUBITSCHEK"";8111;-;-;-;-;-;35171;-;43282"
"""315340 PRESIDENTE OLEGARIO"";19475;-;3;-;-;-;226691;-;246169"
"""315350 ALTO JEQUITIBA"";303;-;-;-;-;-;311269;-;311572"
"""315360 PRUDENTE DE MORAIS"";7258;-;-;-;-;-;102667;-;109925"
"""315370 QUARTEL GERAL"";1218;-;-;-;-;-;4452;-;5670"
"""315380 QUELUZITO"";5198;-;-;-;-;-;910;-;6108"
"""315390 RAPOSOS"";54567;-;-;-;-;-;84977;-;139544"
"""315400 RAUL SOARES"";77697;41138;2;-;1;-;70806;-;189644"
"""315410 RECREIO"";8774;-;-;-;-;-;16953;-;25727"
"""315415 REDUTO"";6543;-;-;-;-;-;1854;-;8397"
"""315420 RESENDE COSTA"";67389;344;-;-;-;-;33570;-;101303"
"""315430 RESPLENDOR"";56282;1871;18;-;-;-;250721;-;308892"
"""315440 RESSAQUINHA"";9987;2;-;-;-;-;24001;-;33990"
"""315445 RIACHINHO"";21432;1853;-;-;-;-;84950;-;108235"
"""315450 RIACHO DOS MACHADOS"";1085;-;-;-;-;-;25273;-;26358"
"""315460 RIBEIRAO DAS NEVES"";224670;480919;91;9;22;3;2328752;-;3034466"
"""315470 RIBEIRAO VERMELHO"";517;-;-;-;-;-;18269;-;18786"
"""315480 RIO ACIMA"";17281;7;-;-;-;-;96666;-;113954"
"""315490 RIO CASCA"";12514;1237;-;-;-;-;56844;-;70595"
"""315500 RIO DOCE"";14120;-;-;-;-;-;170512;-;184632"
"""315510 RIO DO PRADO"";8397;-;-;-;-;-;34491;-;42888"
"""315520 RIO ESPERA"";12441;-;-;-;-;-;38608;-;51049"
"""315530 RIO MANSO"";-;-;-;-;-;-;20355;-;20355"
"""315540 RIO NOVO"";451;1;-;-;-;-;21894;-;22346"
"""315550 RIO PARANAIBA"";34169;11;-;-;-;1;94336;-;128517"
"""315560 RIO PARDO DE MINAS"";56920;178;-;-;-;-;120635;-;177733"
"""315570 RIO PIRACICABA"";9224;-;-;-;-;-;99841;-;109065"
"""315580 RIO POMBA"";32994;2459;2;-;-;-;225660;-;261115"
"""315590 RIO PRETO"";6951;2;1;-;-;3;47168;-;54125"
"""315600 RIO VERMELHO"";11463;-;-;-;-;-;30424;-;41887"
"""315610 RITAPOLIS"";35831;-;-;-;-;-;75617;-;111448"
"""315620 ROCHEDO DE MINAS"";3542;4;-;5;-;-;662;-;4213"
"""315630 RODEIRO"";6048;-;-;-;-;-;4862;-;10910"
"""315640 ROMARIA"";3744;9;-;-;-;-;428;-;4181"
"""315645 ROSARIO DA LIMEIRA"";1884;1;-;-;-;-;11982;-;13867"
"""315650 RUBELITA"";10804;-;-;-;-;-;30713;-;41517"
"""315660 RUBIM"";49741;527;1;-;-;-;62087;-;112356"
"""315670 SABARA"";106548;2104;-;-;-;-;2034494;-;2143146"
"""315680 SABINOPOLIS"";84429;3380;3;-;83;-;122578;-;210473"
"""315690 SACRAMENTO"";85952;47118;-;-;-;-;381475;-;514545"
"""315700 SALINAS"";176850;949;6;4;-;-;426070;-;603879"
"""315710 SALTO DA DIVISA"";15219;400;4;-;47;-;96415;-;112085"
"""315720 SANTA BARBARA"";74412;2813;10;10;-;-;371092;-;448337"
"""315725 SANTA BARBARA DO LESTE"";-;-;-;-;-;-;47;-;47"
"""315727 SANTA BARBARA DO MONTE VERDE"";22426;-;-;-;4;-;4027;-;26457"
"""315730 SANTA BARBARA DO TUGURIO"";1826;-;-;-;-;-;1020;-;2846"
"""315733 SANTA CRUZ DE MINAS"";40366;-;-;-;-;-;98633;-;138999"
"""315737 SANTA CRUZ DE SALINAS"";20198;81;24;-;18;-;40245;-;60566"
"""315740 SANTA CRUZ DO ESCALVADO"";2904;-;-;-;-;-;2016;-;4920"
"""315750 SANTA EFIGENIA DE MINAS"";1992;15;-;-;-;-;81;-;2088"
"""315760 SANTA FE DE MINAS"";60222;110;18;-;-;1;10733;-;71084"
"""315765 SANTA HELENA DE MINAS"";23787;1;-;-;-;-;23675;-;47463"
"""315770 SANTA JULIANA"";1655;-;-;-;-;-;106754;-;108409"
"""315780 SANTA LUZIA"";324540;646429;10;25;22;-;1628788;-;2599814"
"""315790 SANTA MARGARIDA"";24863;-;-;-;-;-;29385;-;54248"
"""315800 SANTA MARIA DE ITABIRA"";5485;496;-;-;-;-;97949;-;103930"
"""315810 SANTA MARIA DO SALTO"";11730;-;-;-;-;-;19159;-;30889"
"""315820 SANTA MARIA DO SUACUI"";37490;2541;-;2;-;-;128943;-;168976"
"""315830 SANTANA DA VARGEM"";9523;-;-;-;-;-;43253;-;52776"
"""315840 SANTANA DE CATAGUASES"";16108;-;-;-;-;-;2551;-;18659"
"""315850 SANTANA DE PIRAPAMA"";22445;3;-;-;-;-;10295;-;32743"
"""315860 SANTANA DO DESERTO"";526;-;-;2;-;-;496;-;1024"
"""315870 SANTANA DO GARAMBEU"";24645;-;-;-;-;-;2060;-;26705"
"""315890 SANTANA DO MANHUACU"";17298;-;-;-;-;6;71777;-;89081"
"""315895 SANTANA DO PARAISO"";114388;16;-;-;-;1;129145;-;243550"
"""315900 SANTANA DO RIACHO"";11961;32;-;-;-;-;417;-;12410"
"""315910 SANTANA DOS MONTES"";2199;1;-;-;-;-;9665;-;11865"
"""315920 SANTA RITA DE CALDAS"";4637;-;-;-;-;-;7728;-;12365"
"""315930 SANTA RITA DE JACUTINGA"";4505;-;-;-;-;-;30867;-;35372"
"""315935 SANTA RITA DE MINAS"";4874;17;-;-;-;-;427;-;5318"
"""315940 SANTA RITA DE IBITIPOCA"";11280;8;-;2;-;-;4641;-;15931"
"""315950 SANTA RITA DO ITUETO"";9844;101;-;-;-;-;20225;-;30170"
"""315960 SANTA RITA DO SAPUCAI"";142198;55824;29;-;8;1;733487;-;931547"
"""315970 SANTA ROSA DA SERRA"";13193;-;-;-;-;-;76390;-;89583"
"""315980 SANTA VITORIA"";30810;3;4;-;-;-;326615;-;357432"
"""315990 SANTO ANTONIO DO AMPARO"";106144;1590;1;1;-;31;285412;-;393179"
"""316000 SANTO ANTONIO DO AVENTUREIRO"";17629;6;-;4;-;-;729;-;18368"
"""316010 SANTO ANTONIO DO GRAMA"";3255;3;-;-;-;-;1832;-;5090"
"""316020 SANTO ANTONIO DO ITAMBE"";28518;13;14;-;-;-;11210;-;39755"
"""316030 SANTO ANTONIO DO JACINTO"";59469;1;-;-;-;-;16376;-;75846"
"""316040 SANTO ANTONIO DO MONTE"";175088;173588;12;-;-;-;309764;-;658452"
"""316045 SANTO ANTONIO DO RETIRO"";6688;50;-;-;-;-;24538;-;31276"
"""316050 SANTO ANTONIO DO RIO ABAIXO"";48;-;-;-;-;-;3704;-;3752"
"""316060 SANTO HIPOLITO"";45359;-;-;-;-;-;35552;-;80911"
"""316070 SANTOS DUMONT"";27722;549;-;3;-;-;169754;-;198028"
"""316080 SAO BENTO ABADE"";10308;-;-;-;-;-;15902;-;26210"
"""316090 SAO BRAS DO SUACUI"";2581;-;-;-;-;-;74064;-;76645"
"""316095 SAO DOMINGOS DAS DORES"";14811;-;1;1;-;-;6805;-;21618"
"""316100 SAO DOMINGOS DO PRATA"";78490;1010;114;-;-;-;177824;-;257438"
"""316105 SAO FELIX DE MINAS"";46025;2327;4;-;-;-;8047;-;56403"
"""316110 SAO FRANCISCO"";96703;70;-;1;-;-;426553;-;523327"
"""316120 SAO FRANCISCO DE PAULA"";24089;2;-;-;-;-;-;-;24091"
"""316130 SAO FRANCISCO DE SALES"";24695;-;-;-;-;-;42167;-;66862"
"""316140 SAO FRANCISCO DO GLORIA"";70461;-;-;-;-;-;5654;-;76115"
"""316150 SAO GERALDO"";13114;-;-;-;-;-;43605;-;56719"
"""316160 SAO GERALDO DA PIEDADE"";5551;6;-;-;-;-;5837;-;11394"
"""316165 SAO GERALDO DO BAIXIO"";6525;-;-;-;-;-;1706;-;8231"
"""316170 SAO GONCALO DO ABAETE"";2171;8557;-;1;-;-;14023;-;24752"
"""316180 SAO GONCALO DO PARA"";34031;-;-;-;-;-;126472;-;160503"
"""316190 SAO GONCALO DO RIO ABAIXO"";12073;-;-;-;-;-;163119;-;175192"
"""316200 SAO GONCALO DO SAPUCAI"";35716;21775;5;4;-;-;223139;-;280639"
"""316210 SAO GOTARDO"";112223;10605;29;10;1;-;550106;-;672974"
"""316220 SAO JOAO BATISTA DO GLORIA"";11028;-;-;-;-;-;203501;-;214529"
"""316225 SAO JOAO DA LAGOA"";19109;-;-;-;-;-;17402;-;36511"
"""316230 SAO JOAO DA MATA"";5637;-;-;-;-;-;489;-;6126"
"""316240 SAO JOAO DA PONTE"";59361;17;-;-;-;-;275835;-;335213"
"""316245 SAO JOAO DAS MISSOES"";26742;-;10;-;-;-;193153;-;219905"
"""316250 SAO JOAO DEL REI"";1864126;72424;52;36;2;-;379523;-;2316163"
"""316255 SAO JOAO DO MANHUACU"";7335;-;-;-;-;-;31513;-;38848"
"""316257 SAO JOAO DO MANTENINHA"";46586;1119;-;-;-;-;31766;-;79471"
"""316260 SAO JOAO DO ORIENTE"";33908;1;-;-;-;1;1118;-;35028"
"""316265 SAO JOAO DO PACUI"";6024;-;-;-;-;-;26228;-;32252"
"""316270 SAO JOAO DO PARAISO"";91309;48;3;-;-;-;152685;-;244045"
"""316280 SAO JOAO EVANGELISTA"";13475;333;-;-;-;-;41328;-;55136"
"""316290 SAO JOAO NEPOMUCENO"";57956;1517;1;2;-;-;294629;-;354105"
"""316292 SAO JOAQUIM DE BICAS"";118511;-;-;-;-;-;571413;-;689924"
"""316294 SAO JOSE DA BARRA"";16669;100;-;-;-;-;65315;-;82084"
"""316295 SAO JOSE DA LAPA"";1991;1;-;-;-;-;228741;-;230733"
"""316300 SAO JOSE DA SAFIRA"";7311;-;-;-;-;-;4001;-;11312"
"""316310 SAO JOSE DA VARGINHA"";1284;-;-;-;-;-;51738;-;53022"
"""316320 SAO JOSE DO ALEGRE"";1682;-;-;-;-;-;4927;-;6609"
"""316330 SAO JOSE DO DIVINO"";7858;-;-;-;-;-;37330;-;45188"
"""316340 SAO JOSE DO GOIABAL"";2380;-;-;-;-;-;21829;-;24209"
"""316350 SAO JOSE DO JACURI"";6719;168;-;-;-;-;454;-;7341"
"""316360 SAO JOSE DO MANTIMENTO"";4085;-;-;-;-;-;3647;-;7732"
"""316370 SAO LOURENCO"";187711;8917;1284;1693;1;-;1074925;-;1274531"
"""316380 SAO MIGUEL DO ANTA"";18919;-;-;-;-;-;20317;-;39236"
"""316390 SAO PEDRO DA UNIAO"";17470;-;-;-;-;-;31038;-;48508"
"""316400 SAO PEDRO DOS FERROS"";38194;4;-;-;4;-;27554;-;65756"
"""316410 SAO PEDRO DO SUACUI"";4;-;-;-;-;-;18056;-;18060"
"""316420 SAO ROMAO"";5910;-;-;-;-;-;81319;-;87229"
"""316430 SAO ROQUE DE MINAS"";30273;8;-;-;-;-;73936;-;104217"
"""316440 SAO SEBASTIAO DA BELA VISTA"";3719;-;-;-;-;-;164;-;3883"
"""316443 SAO SEBASTIAO DA VARGEM ALEGRE"";17926;-;-;-;-;-;7227;-;25153"
"""316447 SAO SEBASTIAO DO ANTA"";6087;-;-;-;-;-;3760;-;9847"
"""316450 SAO SEBASTIAO DO MARANHAO"";38925;-;-;-;2;-;25732;-;64659"
"""316460 SAO SEBASTIAO DO OESTE"";2753;18;-;-;-;-;32141;-;34912"
"""316470 SAO SEBASTIAO DO PARAISO"";404311;22027;-;-;-;1;1066238;-;1492577"
"""316480 SAO SEBASTIAO DO RIO PRETO"";-;-;-;-;-;-;2721;-;2721"
"""316490 SAO SEBASTIAO DO RIO VERDE"";6057;-;-;-;-;-;46106;-;52163"
"""316500 SAO TIAGO"";33100;142;-;-;-;-;50339;-;83581"
"""316510 SAO TOMAS DE AQUINO"";11403;1845;-;-;-;-;132424;-;145672"
"""316520 SAO THOME DAS LETRAS"";3583;-;-;-;-;-;97813;-;101396"
"""316530 SAO VICENTE DE MINAS"";17440;-;-;-;-;-;49372;-;66812"
"""316540 SAPUCAI-MIRIM"";1999;-;-;-;-;-;23872;-;25871"
"""316550 SARDOA"";150;100;-;-;-;-;41447;-;41697"
"""316553 SARZEDO"";76223;33032;40;-;-;-;1348339;-;1457634"
"""316555 SETUBINHA"";19311;16;-;-;-;-;19591;-;38918"
"""316556 SEM-PEIXE"";3217;-;-;-;-;-;11957;-;15174"
"""316557 SENADOR AMARAL"";9982;-;4;-;-;-;185;-;10171"
"""316560 SENADOR CORTES"";2990;1;-;-;-;-;1310;-;4301"
"""316570 SENADOR FIRMINO"";36137;-;-;-;-;-;41389;-;77526"
"""316580 SENADOR JOSE BENTO"";7190;-;-;-;-;-;1999;-;9189"
"""316590 SENADOR MODESTINO GONCALVES"";40037;-;-;-;-;-;38623;-;78660"
"""316600 SENHORA DE OLIVEIRA"";3004;23;-;-;-;-;1089;-;4116"
"""316610 SENHORA DO PORTO"";2242;-;-;-;-;-;2535;-;4777"
"""316620 SENHORA DOS REMEDIOS"";32326;4;1;6;-;-;35037;-;67374"
"""316630 SERICITA"";16365;-;-;-;-;-;32745;-;49110"
"""316640 SERITINGA"";4443;-;-;-;-;-;5896;-;10339"
"""316650 SERRA AZUL DE MINAS"";23367;3;-;-;-;-;15588;-;38958"
"""316660 SERRA DA SAUDADE"";732;-;-;-;-;-;34131;-;34863"
"""316670 SERRA DOS AIMORES"";661;4;-;-;-;-;2200;-;2865"
"""316680 SERRA DO SALITRE"";40263;394;-;1;1;-;217150;-;257809"
"""316690 SERRANIA"";4418;12;-;4;-;-;188304;-;192738"
"""316695 SERRANOPOLIS DE MINAS"";21243;14;-;1;-;-;1044;-;22302"
"""316700 SERRANOS"";228;-;-;-;-;-;11891;-;12119"
"""316710 SERRO"";47544;2745;-;-;-;-;199317;-;249606"
"""316720 SETE LAGOAS"";4834131;916521;15;16;10;-;150170;-;5900863"
"""316730 SILVEIRANIA"";16323;-;-;-;-;-;12256;-;28579"
"""316740 SILVIANOPOLIS"";13590;-;-;-;-;-;16801;-;30391"
"""316750 SIMAO PEREIRA"";3481;1;-;-;-;-;4109;-;7591"
"""316760 SIMONESIA"";29528;1;5;-;-;-;21863;-;51397"
"""316770 SOBRALIA"";20105;-;12;-;-;-;8321;-;28438"
"""316780 SOLEDADE DE MINAS"";-;-;-;-;-;-;10110;-;10110"
"""316790 TABULEIRO"";21228;213;8;-;-;-;12673;-;34122"
"""316800 TAIOBEIRAS"";121044;548;-;-;-;-;377654;-;499246"
"""316805 TAPARUBA"";9177;-;-;-;-;-;11658;-;20835"
"""316810 TAPIRA"";3032;-;-;7;-;-;30764;-;33803"
"""316830 TAQUARACU DE MINAS"";1173;23;-;-;-;-;8471;-;9667"
"""316840 TARUMIRIM"";2524;481;1;-;-;-;23165;-;26171"
"""316850 TEIXEIRAS"";52072;268;-;17;5;-;98999;-;151361"
"""316860 TEOFILO OTONI"";3426048;855916;89;108;48;2;821036;-;5103247"
"""316870 TIMOTEO"";166928;404900;6;-;-;-;255241;-;827075"
"""316880 TIRADENTES"";53191;-;-;-;-;-;138496;-;191687"
"""316890 TIROS"";14497;44;-;-;-;-;86285;-;100826"
"""316900 TOCANTINS"";31893;128;36;-;4;-;108522;-;140583"
"""316905 TOCOS DO MOJI"";8838;1;-;-;-;-;3049;-;11888"
"""316910 TOLEDO"";8658;-;-;-;-;-;2745;-;11403"
"""316920 TOMBOS"";34079;177;-;-;2;1;98492;-;132751"
"""316930 TRES CORACOES"";359326;1902;2;-;-;-;541630;-;902860"
"""316935 TRES MARIAS"";203753;1806;2;-;-;12;350785;-;556358"
"""316940 TRES PONTAS"";282047;74990;382;13;-;2;835707;-;1193141"
"""316950 TUMIRITINGA"";82;-;-;-;-;-;274;-;356"
"""316960 TUPACIGUARA"";48824;33;-;-;-;-;630869;-;679726"
"""316970 TURMALINA"";68961;1072;2;10;-;14;171697;-;241756"
"""316980 TURVOLANDIA"";30127;7;-;-;-;-;790;-;30924"
"""316990 UBA"";4309055;447091;460;111;32;3;163391;-;4920143"
"""317000 UBAI"";5304;1;-;-;-;-;7269;-;12574"
"""317005 UBAPORANGA"";646;2;-;-;-;-;25253;-;25901"
"""317010 UBERABA"";6493805;809232;47;-;12;18;596829;-;7899943"
"""317020 UBERLANDIA"";13082142;417425;33;3;1;1;9568347;-;23067952"
"""317030 UMBURATIBA"";36807;31;-;-;-;-;6267;-;43105"
"""317040 UNAI"";1729478;9;-;-;-;-;434632;-;2164119"
"""317043 UNIAO DE MINAS"";12748;1;-;-;-;-;24843;-;37592"
"""317047 URUANA DE MINAS"";101;19;-;-;-;-;7594;-;7714"
"""317050 URUCANIA"";16721;1;-;1;-;-;130183;-;146906"
"""317052 URUCUIA"";5572;7;-;-;-;-;72148;-;77727"
"""317057 VARGEM ALEGRE"";5757;1;-;-;-;-;9716;-;15474"
"""317060 VARGEM BONITA"";2939;-;-;-;-;-;74;-;3013"
"""317065 VARGEM GRANDE DO RIO PARDO"";19047;1;-;-;-;-;20093;-;39141"
"""317070 VARGINHA"";7292915;475;25;68;3;6;2679441;-;9972933"
"""317075 VARJAO DE MINAS"";7035;15;-;-;-;-;23996;-;31046"
"""317080 VARZEA DA PALMA"";63426;67921;-;-;-;-;510823;-;642170"
"""317090 VARZELANDIA"";5201;-;-;-;-;-;42922;-;48123"
"""317100 VAZANTE"";27957;2503;-;4;-;-;148495;-;178959"
"""317103 VERDELANDIA"";14767;-;-;-;-;-;31681;-;46448"
"""317107 VEREDINHA"";16795;1;-;9;-;-;27420;-;44225"
"""317110 VERISSIMO"";-;11052;-;-;-;-;21439;-;32491"
"""317115 VERMELHO NOVO"";6241;2;-;-;-;-;2608;-;8851"
"""317120 VESPASIANO"";75946;12;-;6;2;-;1884981;-;1960947"
"""317130 VICOSA"";514140;18736;24;43;8;-;561137;-;1094088"
"""317140 VIEIRAS"";2541;2469;24;-;-;-;7298;-;12332"
"""317150 MATHIAS LOBATO"";2044;-;-;-;-;-;372;-;2416"
"""317160 VIRGEM DA LAPA"";9039;-;-;-;-;-;127054;-;136093"
"""317170 VIRGINIA"";22704;-;-;-;-;-;33362;-;56066"
"""317180 VIRGINOPOLIS"";28952;292;10;4;-;-;57292;-;86550"
"""317190 VIRGOLANDIA"";10555;12;-;-;-;-;22656;-;33223"
"""317200 VISCONDE DO RIO BRANCO"";72471;2726;1;14;-;14;343374;-;418600"
"""317210 VOLTA GRANDE"";5658;43;-;-;-;-;21589;-;27290"
"""317220 WENCESLAU BRAZ"";4654;-;-;3;-;-;872;-;5529"
"""320010 AFONSO CLAUDIO"";88304;2291;-;-;-;-;283811;-;374406"
"""320013 AGUIA BRANCA"";10689;1;-;-;-;-;138375;-;149065"
"""320016 AGUA DOCE DO NORTE"";466;-;-;-;-;-;75159;-;75625"
"""320020 ALEGRE"";38565;396;-;-;-;-;522743;-;561704"
"""320030 ALFREDO CHAVES"";4757;-;-;-;-;-;224392;-;229149"
"""320040 ANCHIETA"";36071;770;-;-;-;-;487979;-;524820"
"""320050 APIACA"";24742;31287;5;-;-;-;43187;-;99221"
"""320060 ARACRUZ"";2922270;99356;-;-;1;1;115515;-;3137143"
"""320070 ATILIO VIVACQUA"";6711;13;-;-;1;-;160844;-;167569"
"""320080 BAIXO GUANDU"";37213;534;-;-;-;-;232406;-;270153"
