"""Munic¡pio"";""2021/Ago"";""2021/Set"";""2021/Out"";""2021/Nov"";""2021/Dez"";""2022/Jan"";""2022/Fev"";""2022/Mar"";""2022/Abr"";""2022/Mai"";""2022/Jun"";""2022/Jul"";""2022/Ago"";""2022/Set"";""2022/Out"";""2022/Nov"";""2022/Dez"";""2023/Jan"";""2023/Fev"";""2023/Mar"";""2023/Abr"";""2023/Mai"";""2023/Jun"";""2023/Jul"";""2023/Ago"";""2023/Set"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""110029 SANTA LUZIA D'OESTE"";-;-;-;-;-;9213,03;8970,00;9476,94;11545,72;11527,55;12909,41;10607,30;13825,74;19616,57;12859,89;22858,80;19202,10;21362,83;23957,60;25015,29;20836,71;21064,89;23568,65;20649,99;21803,87;27772,95;34690,74;30041,89;27876,54;30206,70;32600,93;30231,52;36343,53;34218,60;41479,93;38409,12;37310,10;37447,45;29386,30;24439,22;20996,43;8384,77;34108,27;34259,17;38783,92;16803,69;27026,93;44588,54;21687,29;45788,10;73087,28;52039,42;60003,97;-;1310886,18"
"""110030 VILHENA"";-;-;-;-;330,60;611990,25;784008,49;1180326,59;940714,20;757958,63;771108,21;859885,58;866670,61;796559,72;728900,60;692019,32;652778,34;768705,84;885891,93;1179321,52;541384,89;703909,29;654273,73;654202,21;1064926,85;751197,48;674852,27;573379,68;672891,72;729123,20;773239,11;741162,44;1738352,80;1100746,88;996102,71;1018951,79;1182071,01;1181708,84;1050395,55;589441,35;782249,90;646512,59;578635,13;726274,36;946566,92;732416,09;436188,00;-;34786,03;32967,25;35488,64;28179,44;15374,76;537,50;34865660,84"
"""110032 SAO MIGUEL DO GUAPORE"";-;-;-;-;-;84646,13;77505,02;58658,10;61150,13;61333,67;60234,67;52394,18;41012,11;48377,87;52336,22;52412,51;50540,06;48302,19;48017,18;36612,14;42471,50;36218,18;34712,80;64534,04;53272,82;62988,93;11284,66;51517,56;33742,52;82807,86;41230,48;59628,69;71465,43;61182,60;64518,43;68108,00;68739,65;71402,55;61871,50;75585,91;72006,08;60686,40;64072,99;60387,32;77370,66;70943,60;87588,08;74666,98;82379,60;81604,04;55711,86;86087,02;76960,36;102942,06;3004223,34"
"""110033 NOVA MAMORE"";-;-;-;-;-;63660,01;25678,78;56082,21;58762,62;52169,21;59756,71;64740,82;58438,65;63841,30;71298,62;69357,08;78978,68;87078,54;82715,50;87356,55;64504,52;54711,36;59316,50;56151,55;85114,19;48077,62;17244,96;11130,22;36204,07;44574,32;73791,97;73421,65;88465,96;79018,19;94625,65;88517,32;66950,34;94428,40;61632,98;87651,79;76503,13;63722,72;79357,57;115600,91;90213,00;106736,71;107610,30;111419,54;92403,08;106746,92;73813,45;98197,78;83805,22;89966,97;3561546,14"
"""110034 ALVORADA D'OESTE"";-;-;-;-;-;18196,30;13249,25;17450,95;24001,98;26707,43;29348,22;25615,66;29224,52;30691,57;32575,73;33858,02;37600,75;43452,99;37803,50;44772,20;42857,40;32032,45;30280,75;27907,71;24891,96;34341,17;30297,25;30292,61;30521,29;37307,58;55261,14;58736,43;66924,71;71798,16;54628,22;55026,30;61379,26;56178,42;44077,54;37735,48;44051,08;47015,03;52287,46;68003,13;76482,32;80848,65;80289,45;73504,57;78831,34;104480,17;75763,00;67684,80;88495,81;91298,05;2356059,76"
"""110037 ALTO ALEGRE DOS PARECIS"";-;-;-;-;-;9314,51;9545,76;12273,55;10937,44;9679,85;19425,72;7457,23;8659,30;8746,28;9876,33;15036,50;16110,55;21868,74;30656,51;21373,08;20596,41;31849,36;27306,77;33764,09;40681,59;25661,65;36010,36;40607,72;36032,46;47728,49;45965,79;54958,07;57540,42;52872,73;45020,22;48361,26;42651,28;47291,26;44168,87;41406,96;40560,65;32207,69;41875,47;55947,73;54235,41;52551,88;43392,81;48118,66;57457,55;54348,29;47979,68;48408,96;46699,76;35902,96;1691124,61"
"""110040 ALTO PARAISO"";-;-;-;-;-;7202,29;10099,11;7542,15;25146,41;28438,54;29921,73;12491,98;36136,69;40955,94;39976,07;45982,16;47253,02;48020,59;50509,30;68517,40;67510,39;63918,60;57449,78;59518,12;59092,98;60888,27;69646,67;78089,80;64751,61;64543,07;65617,02;62677,39;85596,25;78852,97;86981,61;98446,05;97296,89;93675,70;78177,70;74527,06;80000,61;77132,25;73014,83;93339,33;94921,66;87781,05;89025,25;82669,86;73942,56;58280,11;107405,43;100248,66;101362,21;-;3084575,12"
"""110045 BURITIS"";-;-;1358,77;26,88;233,51;121732,50;104565,18;143574,11;137039,08;166837,88;156407,42;146558,00;126464,83;154498,12;151082,36;165658,69;143404,47;123944,34;149876,07;136232,65;120081,23;215215,59;200992,98;175551,04;193494,69;161227,50;184657,58;176965,22;148366,09;153363,48;181982,16;257994,36;284902,26;230811,09;257825,88;271110,91;258527,15;271961,01;266193,99;238095,40;214371,12;205278,16;224899,49;243694,36;236265,88;265116,41;223960,86;249147,43;208458,45;239652,22;251368,18;210350,59;219610,65;83226,80;9454215,07"
"""110050 NOVO HORIZONTE DO OESTE"";-;-;-;-;-;70404,06;63929,13;74299,05;71670,79;88941,12;83113,54;82352,63;82237,22;86141,50;71482,49;80677,20;91540,91;92589,73;82807,57;86339,42;85771,13;80836,12;38112,89;52423,78;59816,49;74194,76;56515,53;56392,00;61940,19;64784,08;59721,24;57422,90;79395,82;73599,77;62025,91;69998,76;80948,37;67184,21;71122,56;71245,75;42088,48;54160,41;43952,28;55943,34;55682,06;60337,26;48550,00;48607,94;45798,72;37912,37;44906,91;-;-;-;3069918,39"
"""110060 CACAULANDIA"";-;-;-;-;-;15190,92;15536,25;9561,44;28284,19;38491,89;40925,36;56937,56;31628,50;36036,93;25139,46;23571,01;29200,85;24346,67;19372,06;29839,05;45310,57;33082,38;22555,53;19524,50;26222,77;23813,35;23273,76;24398,20;23683,70;31112,87;24645,13;32048,48;35553,40;29334,91;25718,29;21882,55;26222,74;26820,06;21216,48;23869,49;21125,58;22641,21;19113,48;22569,72;24635,98;29257,32;29297,37;24448,78;22831,55;26605,33;30525,00;-;-;-;1237402,62"
