"""Munic¡pio"";""Eletivo"";""Urgˆncia"";""Acidente no local trabalho ou a servi‡o da empresa"";""Acidente no trajeto para o trabalho"";""Outros tipos de acidente de trƒnsito"";""Outros tipos lesäes/envenenament(agent.fis./quim.)"";""Informa‡Æo inexistente  (BPA-C)"";""Total"""
"""150070 ANAJAS"";20;-;-;-;-;-;12984;13004"
"""150080 ANANINDEUA"";54426;6485;1;-;-;-;720897;781809"
"""150085 ANAPU"";484;-;-;-;-;-;20061;20545"
"""150090 AUGUSTO CORREA"";1773;531;-;-;-;-;8019;10323"
"""150095 AURORA DO PARA"";6423;6559;-;-;46;-;75;13103"
"""150110 BAGRE"";33;51;-;-;-;-;3016;3100"
"""150120 BAIAO"";1173;-;-;-;-;-;20815;21988"
"""150125 BANNACH"";552;43;-;-;-;-;3366;3961"
"""150130 BARCARENA"";18635;30149;8;-;-;-;122912;171704"
"""150140 BELEM"";1242309;92263;19;9;-;62;1692324;3026986"
"""150150 BENEVIDES"";3756;10584;-;-;-;-;54484;68824"
"""150160 BONITO"";128;1163;-;-;-;-;13961;15252"
"""150170 BRAGANCA"";28658;1134;-;-;1;-;55540;85333"
"""150172 BRASIL NOVO"";1438;-;-;-;-;-;19301;20739"
"""150175 BREJO GRANDE DO ARAGUAIA"";13;-;-;-;-;-;-;13"
"""150178 BREU BRANCO"";596;9038;-;-;-;-;33083;42717"
"""150180 BREVES"";15216;3758;-;-;-;-;-;18974"
"""150195 CACHOEIRA DO PIRIA"";597;-;-;-;-;-;5016;5613"
"""150200 CACHOEIRA DO ARARI"";44;-;-;-;-;-;14583;14627"
"""150215 CANAA DOS CARAJAS"";30724;45543;-;1;-;-;82163;158431"
"""150220 CAPANEMA"";8661;625;-;-;-;-;32033;41319"
"""150230 CAPITAO POCO"";392;8150;1;-;-;-;10171;18714"
"""150240 CASTANHAL"";91375;1051;-;1;-;-;255824;348251"
"""150260 COLARES"";2201;3649;-;-;-;-;19270;25120"
"""150270 CONCEICAO DO ARAGUAIA"";13820;206;-;-;-;-;14256;28282"
"""150275 CONCORDIA DO PARA"";4604;-;-;-;-;-;9787;14391"
"""150276 CUMARU DO NORTE"";785;-;-;-;-;-;17287;18072"
"""150277 CURIONOPOLIS"";1636;-;-;-;-;-;10891;12527"
"""150285 CURUA"";830;2802;24;-;-;-;64;3720"
"""150295 ELDORADO DOS CARAJAS"";877;329;-;-;-;-;31009;32215"
"""150300 FARO"";-;30;-;-;-;-;9020;9050"
"""150304 FLORESTA DO ARAGUAIA"";9677;4693;-;-;-;-;17920;32290"
"""150320 IGARAPE-ACU"";473;2;-;-;-;-;-;475"
"""150330 IGARAPE-MIRI"";134;-;-;-;-;-;3069;3203"
"""150340 INHANGAPI"";59;-;-;-;-;-;8221;8280"
"""150345 IPIXUNA DO PARA"";7218;10997;-;-;22;-;4900;23137"
"""150360 ITAITUBA"";23402;3866;-;-;-;-;-;27268"
"""150375 JACAREACANGA"";-;5537;-;-;-;-;322;5859"
"""150380 JACUNDA"";3285;9243;-;-;-;-;6201;18729"
"""150390 JURUTI"";818;-;-;-;-;-;4308;5126"
"""150400 LIMOEIRO DO AJURU"";36;-;-;-;-;-;9355;9391"
"""150405 MAE DO RIO"";13377;13443;40;1;155;-;558;27574"
"""150410 MAGALHAES BARATA"";405;925;-;-;-;-;3879;5209"
"""150420 MARABA"";109004;4102;1;-;-;-;108593;221700"
"""150430 MARACANA"";4396;20;-;-;-;-;22938;27354"
"""150440 MARAPANIM"";995;-;-;-;-;-;16823;17818"
"""150442 MARITUBA"";44386;24919;4;-;-;-;172750;242059"
"""150470 MOJU"";2072;867;27;4;-;-;46148;49118"
"""150475 MOJUI DOS CAMPOS"";-;-;-;-;-;-;282;282"
"""150480 MONTE ALEGRE"";26700;292;-;-;-;-;12689;39681"
"""150490 MUANA"";12776;-;-;-;-;-;33550;46326"
"""150495 NOVA ESPERANCA DO PIRIA"";6260;913;-;-;-;-;3675;10848"
"""150497 NOVA IPIXUNA"";1;64;-;-;-;-;16483;16548"
"""150500 NOVA TIMBOTEUA"";266;11;-;-;-;-;3943;4220"
"""150506 NOVO REPARTIMENTO"";4273;5532;-;-;-;-;45628;55433"
"""150520 OEIRAS DO PARA"";372;1;-;-;-;-;4235;4608"
"""150530 ORIXIMINA"";306;-;-;-;-;-;3935;4241"
"""150540 OUREM"";6135;-;-;-;-;-;26419;32554"
"""150543 OURILANDIA DO NORTE"";24372;1681;-;-;-;-;89456;115509"
"""150548 PACAJA"";9762;1040;-;-;-;-;28515;39317"
"""150549 PALESTINA DO PARA"";-;103;-;-;-;-;3252;3355"
"""150550 PARAGOMINAS"";31132;24754;44;5;1;-;63968;119904"
"""150553 PARAUAPEBAS"";159573;1985;1;3;-;-;52132;213694"
"""150555 PAU D'ARCO"";14;62;-;-;-;-;23341;23417"
"""150560 PEIXE-BOI"";221;2;-;-;-;-;1535;1758"
"""150563 PICARRA"";-;-;-;-;-;-;5615;5615"
"""150565 PLACAS"";11115;654;-;-;-;-;11731;23500"
"""150570 PONTA DE PEDRAS"";-;-;-;-;-;-;7319;7319"
"""150580 PORTEL"";766;107;-;-;-;-;45909;46782"
"""150590 PORTO DE MOZ"";67;1373;-;-;-;-;15340;16780"
"""150610 PRIMAVERA"";-;1911;3;-;-;-;1863;3777"
"""150611 QUATIPURU"";1020;-;-;-;-;-;6828;7848"
"""150613 REDENCAO"";36905;256;-;-;-;-;26079;63240"
"""150616 RIO MARIA"";265;1;-;-;-;-;12576;12842"
"""150618 RONDON DO PARA"";1358;126;-;1;-;-;15435;16920"
"""150620 SALINOPOLIS"";15571;212;-;-;-;-;47308;63091"
"""150630 SALVATERRA"";1723;-;-;-;-;-;19492;21215"
"""150640 SANTA CRUZ DO ARARI"";-;36;-;-;-;-;3520;3556"
"""150650 SANTA IZABEL DO PARA"";1119;807;-;-;-;-;163671;165597"
"""150655 SANTA LUZIA DO PARA"";221;5589;1;-;-;-;170;5981"
"""150658 SANTA MARIA DAS BARREIRAS"";3541;1415;-;-;-;-;13602;18558"
"""150660 SANTA MARIA DO PARA"";1304;161;-;-;-;-;11229;12694"
"""150670 SANTANA DO ARAGUAIA"";11783;26;-;-;-;-;61541;73350"
"""150680 SANTAREM"";185399;2319;-;1;-;-;238665;426384"
"""150690 SANTAREM NOVO"";4;-;-;-;-;-;824;828"
"""150700 SANTO ANTONIO DO TAUA"";576;507;-;-;-;-;9880;10963"
"""150710 SAO CAETANO DE ODIVELAS"";398;1;-;-;-;-;446;845"
"""150715 SAO DOMINGOS DO ARAGUAIA"";200;2191;-;-;-;-;8368;10759"
"""150720 SAO DOMINGOS DO CAPIM"";1589;534;-;-;-;-;22147;24270"
"""150730 SAO FELIX DO XINGU"";3126;4199;-;-;-;-;23824;31149"
"""150740 SAO FRANCISCO DO PARA"";424;-;-;-;-;-;5074;5498"
"""150746 SAO JOAO DA PONTA"";-;-;-;-;-;-;80;80"
"""150747 SAO JOAO DE PIRABAS"";590;5078;-;-;-;-;13996;19664"
"""150750 SAO JOAO DO ARAGUAIA"";15;958;4;-;-;-;862;1839"
"""150760 SAO MIGUEL DO GUAMA"";5457;490;-;-;-;-;50863;56810"
"""150780 SENADOR JOSE PORFIRIO"";757;-;-;-;-;-;29558;30315"
"""150790 SOURE"";2267;-;-;-;-;-;28827;31094"
"""150795 TAILANDIA"";35083;1579;-;-;-;-;40669;77331"
"""150800 TOME-ACU"";4888;25500;5;4;-;-;173944;204341"
"""150803 TRACUATEUA"";196;-;-;-;-;-;9589;9785"
"""150808 TUCUMA"";13006;479;-;-;-;-;21568;35053"
"""150810 TUCURUI"";46909;7411;-;-;-;-;16362;70682"
"""150812 ULIANOPOLIS"";43149;337;-;-;-;-;48346;91832"
"""150815 URUARA"";22334;1;4;-;-;-;36693;59032"
"""160005 SERRA DO NAVIO"";24;122;-;-;-;-;2924;3070"
"""160010 AMAPA"";24;-;-;-;-;-;2441;2465"
"""160015 PEDRA BRANCA DO AMAPARI"";71;-;-;-;-;-;11818;11889"
"""160020 CALCOENE"";-;68;-;-;-;-;5230;5298"
"""160025 ITAUBAL"";-;-;-;-;-;-;1601;1601"
"""160027 LARANJAL DO JARI"";3917;867;-;-;-;-;47218;52002"
"""160030 MACAPA"";213409;6917;5;-;-;1;711758;932090"
"""160040 MAZAGAO"";19;-;-;-;-;-;7339;7358"
"""160050 OIAPOQUE"";38;222;-;-;-;-;21648;21908"
"""160053 PORTO GRANDE"";55;226;-;-;-;-;49955;50236"
"""160055 PRACUUBA"";-;-;-;-;-;-;32;32"
"""160060 SANTANA"";6366;1434;-;1;-;-;246989;254790"
"""160080 VITORIA DO JARI"";60;18;-;-;-;-;15799;15877"
"""170025 ABREULANDIA"";217;9;-;-;-;-;749;975"
"""170035 ALIANCA DO TOCANTINS"";198;-;-;-;-;-;152;350"
"""170040 ALMAS"";-;-;-;-;-;-;2810;2810"
"""170070 ALVORADA"";2858;1326;-;-;-;-;21111;25295"
"""170100 ANANAS"";99;-;-;-;-;-;6927;7026"
"""170105 ANGICO"";71;-;-;-;-;-;46;117"
"""170130 ARAGOMINAS"";38;-;-;-;-;-;963;1001"
"""170190 ARAGUACEMA"";1499;-;-;-;-;-;4608;6107"
"""170200 ARAGUACU"";102;1264;-;-;-;-;14424;15790"
"""170210 ARAGUAINA"";59615;42426;1;-;-;-;333617;435659"
"""170220 ARAGUATINS"";27375;-;-;-;-;-;-;27375"
"""170230 ARAPOEMA"";86;99;-;-;-;-;6013;6198"
"""170240 ARRAIAS"";237;30;-;-;-;-;14868;15135"
"""170255 AUGUSTINOPOLIS"";25455;15355;-;-;-;-;973;41783"
"""170270 AURORA DO TOCANTINS"";365;-;-;-;-;-;3152;3517"
"""170290 AXIXA DO TOCANTINS"";901;-;-;-;-;-;10930;11831"
"""170320 BERNARDO SAYAO"";308;12;-;-;-;-;1;321"
"""170382 CACHOEIRINHA"";21;-;-;-;-;-;6;27"
"""170386 CARIRI DO TOCANTINS"";418;-;-;-;-;-;3524;3942"
"""170389 CARRASCO BONITO"";133;-;-;-;-;-;9;142"
"""170410 CENTENARIO"";23;-;-;-;-;-;1;24"
"""170510 CHAPADA DA NATIVIDADE"";647;-;-;-;-;-;367;1014"
"""170550 COLINAS DO TOCANTINS"";7322;-;-;-;-;-;26827;34149"
"""170555 COMBINADO"";1122;22;-;-;-;-;1127;2271"
"""170560 CONCEICAO DO TOCANTINS"";1250;-;-;-;-;-;1879;3129"
"""170600 COUTO MAGALHAES"";19;-;-;-;-;-;4088;4107"
"""170625 CRIXAS DO TOCANTINS"";180;-;-;-;-;-;526;706"
"""170650 DARCINOPOLIS"";209;-;-;-;-;-;64;273"
"""170700 DIANOPOLIS"";6748;183;-;-;-;-;16042;22973"
"""170710 DIVINOPOLIS DO TOCANTINS"";269;-;-;-;-;-;10845;11114"
"""170720 DOIS IRMAOS DO TOCANTINS"";20;-;-;-;-;-;1442;1462"
"""170770 FILADELFIA"";95;-;-;-;-;-;6084;6179"
"""170820 FORMOSO DO ARAGUAIA"";3167;-;-;-;-;-;1983;5150"
"""170825 TABOCAO"";1502;-;-;-;-;-;85;1587"
"""170830 GOIANORTE"";81;15;-;-;-;-;2021;2117"
"""170900 GOIATINS"";487;4254;-;-;8;-;44;4793"
"""170930 GUARAI"";-;507;-;-;-;-;11743;12250"
"""170950 GURUPI"";44000;1644;-;-;-;-;103528;149172"
"""170980 IPUEIRAS"";120;239;-;-;-;-;-;359"
"""171090 ITAPIRATINS"";48;-;-;-;-;-;504;552"
"""171110 ITAPORA DO TOCANTINS"";264;-;-;-;-;-;5889;6153"
"""171180 JUARINA"";-;-;-;-;-;-;513;513"
"""171200 LAJEADO"";38;-;-;-;-;-;185;223"
"""171245 LUZINOPOLIS"";978;-;-;-;-;-;36;1014"
"""171280 MAURILANDIA DO TOCANTINS"";432;-;-;-;-;-;155;587"
"""171320 MIRACEMA DO TOCANTINS"";2895;388;-;-;-;-;35830;39113"
"""171330 MIRANORTE"";1743;-;-;-;-;-;1472;3215"
"""171360 MONTE DO CARMO"";148;-;-;-;-;-;6859;7007"
"""171395 MURICILANDIA"";102;-;-;-;-;-;96;198"
"""171420 NATIVIDADE"";2010;-;-;-;-;-;13094;15104"
"""171430 NAZARE"";25;-;-;-;-;-;855;880"
"""171488 NOVA OLINDA"";2226;-;-;-;-;-;6097;8323"
"""171500 NOVA ROSALANDIA"";723;-;-;-;-;-;2061;2784"
