"""Munic¡pio"";""Aten‡Æo B sica"";""M‚dia complexidade"";""Alta complexidade"";""NÆo se aplica"";""Total"""
"""150304 FLORESTA DO ARAGUAIA"";-;31099;-;1191;32290"
"""150320 IGARAPE-ACU"";475;-;-;-;475"
"""150330 IGARAPE-MIRI"";-;3203;-;-;3203"
"""150340 INHANGAPI"";1665;6578;-;37;8280"
"""150345 IPIXUNA DO PARA"";7709;10728;190;4510;23137"
"""150360 ITAITUBA"";2;24644;2622;-;27268"
"""150375 JACAREACANGA"";-;5537;-;322;5859"
"""150380 JACUNDA"";309;17366;290;764;18729"
"""150390 JURUTI"";-;4942;184;-;5126"
"""150400 LIMOEIRO DO AJURU"";-;9355;-;36;9391"
"""150405 MAE DO RIO"";8014;12377;-;7183;27574"
"""150410 MAGALHAES BARATA"";1047;4162;-;-;5209"
"""150420 MARABA"";3952;129147;56094;32507;221700"
"""150430 MARACANA"";499;22825;-;4030;27354"
"""150440 MARAPANIM"";3527;13359;-;932;17818"
"""150442 MARITUBA"";32451;193257;16082;269;242059"
"""150470 MOJU"";5012;42314;-;1792;49118"
"""150475 MOJUI DOS CAMPOS"";-;282;-;-;282"
"""150480 MONTE ALEGRE"";4810;15171;-;19700;39681"
"""150490 MUANA"";3341;30209;-;12776;46326"
"""150495 NOVA ESPERANCA DO PIRIA"";1026;4512;-;5310;10848"
"""150497 NOVA IPIXUNA"";1245;15240;5;58;16548"
"""150500 NOVA TIMBOTEUA"";595;3545;-;80;4220"
"""150506 NOVO REPARTIMENTO"";6798;45475;-;3160;55433"
"""150520 OEIRAS DO PARA"";1;4607;-;-;4608"
"""150530 ORIXIMINA"";-;4157;84;-;4241"
"""150540 OUREM"";8090;21227;-;3237;32554"
"""150543 OURILANDIA DO NORTE"";1317;102960;1109;10123;115509"
"""150548 PACAJA"";5126;24999;-;9192;39317"
"""150549 PALESTINA DO PARA"";72;3248;-;35;3355"
"""150550 PARAGOMINAS"";4707;91502;1234;22461;119904"
"""150553 PARAUAPEBAS"";23698;78994;73583;37419;213694"
"""150555 PAU D'ARCO"";1722;20092;-;1603;23417"
"""150560 PEIXE-BOI"";173;1512;-;73;1758"
"""150563 PICARRA"";13;5521;-;81;5615"
"""150565 PLACAS"";2744;9566;-;11190;23500"
"""150570 PONTA DE PEDRAS"";4484;2780;-;55;7319"
"""150580 PORTEL"";8280;38110;-;392;46782"
"""150590 PORTO DE MOZ"";3810;11037;-;1933;16780"
"""150610 PRIMAVERA"";1822;1710;-;245;3777"
"""150611 QUATIPURU"";2462;5164;-;222;7848"
"""150613 REDENCAO"";103;29018;34117;2;63240"
"""150616 RIO MARIA"";1;12841;-;-;12842"
"""150618 RONDON DO PARA"";5;16828;-;87;16920"
"""150620 SALINOPOLIS"";4890;51858;594;5749;63091"
"""150630 SALVATERRA"";76;19694;-;1445;21215"
"""150640 SANTA CRUZ DO ARARI"";540;3016;-;-;3556"
"""150650 SANTA IZABEL DO PARA"";326;164871;-;400;165597"
"""150655 SANTA LUZIA DO PARA"";3212;1313;-;1456;5981"
"""150658 SANTA MARIA DAS BARREIRAS"";-;15257;-;3301;18558"
"""150660 SANTA MARIA DO PARA"";56;12458;-;180;12694"
"""150670 SANTANA DO ARAGUAIA"";10363;57495;60;5432;73350"
"""150680 SANTAREM"";32926;267166;122614;3678;426384"
"""150690 SANTAREM NOVO"";2;794;-;32;828"
"""150700 SANTO ANTONIO DO TAUA"";66;10561;260;76;10963"
"""150710 SAO CAETANO DE ODIVELAS"";619;128;-;98;845"
"""150715 SAO DOMINGOS DO ARAGUAIA"";1045;9105;-;609;10759"
"""150720 SAO DOMINGOS DO CAPIM"";2950;20854;-;466;24270"
"""150730 SAO FELIX DO XINGU"";6259;22506;-;2384;31149"
"""150740 SAO FRANCISCO DO PARA"";161;5260;-;77;5498"
"""150746 SAO JOAO DA PONTA"";-;45;-;35;80"
"""150747 SAO JOAO DE PIRABAS"";4554;12350;-;2760;19664"
"""150750 SAO JOAO DO ARAGUAIA"";3;1821;-;15;1839"
"""150760 SAO MIGUEL DO GUAMA"";15307;37139;-;4364;56810"
"""150780 SENADOR JOSE PORFIRIO"";13384;16858;-;73;30315"
"""150790 SOURE"";4220;24895;-;1979;31094"
"""150795 TAILANDIA"";840;74933;830;728;77331"
"""150800 TOME-ACU"";44249;150286;-;9806;204341"
"""150803 TRACUATEUA"";-;9479;-;306;9785"
"""150808 TUCUMA"";2779;27487;-;4787;35053"
"""150810 TUCURUI"";4;42040;28638;-;70682"
"""150812 ULIANOPOLIS"";3745;47310;36153;4624;91832"
"""150815 URUARA"";18671;31868;23;8470;59032"
"""160005 SERRA DO NAVIO"";395;2533;-;142;3070"
"""160010 AMAPA"";740;1508;-;217;2465"
"""160015 PEDRA BRANCA DO AMAPARI"";1940;9949;-;-;11889"
"""160020 CALCOENE"";934;4364;-;-;5298"
"""160025 ITAUBAL"";1569;-;-;32;1601"
"""160027 LARANJAL DO JARI"";6253;44832;622;295;52002"
"""160030 MACAPA"";92507;701711;124333;13539;932090"
"""160040 MAZAGAO"";9;7349;-;-;7358"
"""160050 OIAPOQUE"";231;21559;-;118;21908"
"""160053 PORTO GRANDE"";299;49937;-;-;50236"
"""160055 PRACUUBA"";-;13;-;19;32"
"""160060 SANTANA"";5958;246948;1220;664;254790"
"""160080 VITORIA DO JARI"";1390;14467;-;20;15877"
"""170025 ABREULANDIA"";-;748;-;227;975"
"""170035 ALIANCA DO TOCANTINS"";27;63;-;260;350"
"""170040 ALMAS"";-;2810;-;-;2810"
"""170070 ALVORADA"";2905;20376;-;2014;25295"
"""170100 ANANAS"";1970;4790;-;266;7026"
"""170105 ANGICO"";8;43;-;66;117"
"""170130 ARAGOMINAS"";779;173;-;49;1001"
"""170190 ARAGUACEMA"";748;3970;-;1389;6107"
"""170200 ARAGUACU"";4924;10866;-;-;15790"
"""170210 ARAGUAINA"";231521;190486;6442;7210;435659"
"""170220 ARAGUATINS"";-;27375;-;-;27375"
"""170230 ARAPOEMA"";81;6094;-;23;6198"
"""170240 ARRAIAS"";113;14844;-;178;15135"
"""170255 AUGUSTINOPOLIS"";8270;31432;1085;996;41783"
"""170270 AURORA DO TOCANTINS"";17;3146;-;354;3517"
"""170290 AXIXA DO TOCANTINS"";10958;13;-;860;11831"
"""170320 BERNARDO SAYAO"";4;-;-;317;321"
"""170382 CACHOEIRINHA"";-;-;-;27;27"
"""170386 CARIRI DO TOCANTINS"";797;2770;-;375;3942"
"""170389 CARRASCO BONITO"";27;13;-;102;142"
"""170410 CENTENARIO"";1;2;-;21;24"
"""170510 CHAPADA DA NATIVIDADE"";-;257;-;757;1014"
"""170550 COLINAS DO TOCANTINS"";4540;29067;204;338;34149"
"""170555 COMBINADO"";26;1123;-;1122;2271"
"""170560 CONCEICAO DO TOCANTINS"";-;1846;-;1283;3129"
"""170600 COUTO MAGALHAES"";1077;2865;-;165;4107"
"""170625 CRIXAS DO TOCANTINS"";498;-;-;208;706"
"""170650 DARCINOPOLIS"";-;139;-;134;273"
"""170700 DIANOPOLIS"";326;17146;-;5501;22973"
"""170710 DIVINOPOLIS DO TOCANTINS"";6498;4349;-;267;11114"
"""170720 DOIS IRMAOS DO TOCANTINS"";-;1377;-;85;1462"
"""170770 FILADELFIA"";3376;2579;-;224;6179"
"""170820 FORMOSO DO ARAGUAIA"";441;2896;-;1813;5150"
"""170825 TABOCAO"";16;38;-;1533;1587"
"""170830 GOIANORTE"";-;1998;-;119;2117"
"""170900 GOIATINS"";2021;2293;-;479;4793"
