"""Munic¡pio"";""Aten‡Æo B sica"";""M‚dia complexidade"";""Alta complexidade"";""NÆo se aplica"";""Total"""
"""150040 ALENQUER"";1316;116240;-;57900;175456"
"""150050 ALMEIRIM"";26973;323557;-;76560;427090"
"""150060 ALTAMIRA"";116575;2145902;257667;283631;2803775"
"""150070 ANAJAS"";117313;41341;-;1147;159801"
"""150080 ANANINDEUA"";684718;8953470;372275;22980;10033443"
"""150085 ANAPU"";33226;135414;-;3110;171750"
"""150090 AUGUSTO CORREA"";-;101557;-;1050;102607"
"""150095 AURORA DO PARA"";13864;70992;-;50378;135234"
"""150100 AVEIRO"";15761;11;-;2404;18176"
"""150110 BAGRE"";-;6;-;328;334"
"""150120 BAIAO"";27494;213926;-;3172;244592"
"""150125 BANNACH"";7326;31344;68;3592;42330"
"""150130 BARCARENA"";488544;1960083;13408;80468;2542503"
"""150140 BELEM"";3006678;25526999;5975895;600865;35110437"
"""150145 BELTERRA"";372960;42104;-;165;415229"
"""150150 BENEVIDES"";112379;592940;11116;2991;719426"
"""150157 BOM JESUS DO TOCANTINS"";7319;46618;-;5794;59731"
"""150160 BONITO"";371270;98912;-;2914;473096"
"""150170 BRAGANCA"";3928;681143;65189;4137;754397"
"""150172 BRASIL NOVO"";11268;220117;-;1509;232894"
"""150175 BREJO GRANDE DO ARAGUAIA"";8;1883;-;-;1891"
"""150178 BREU BRANCO"";43948;470247;-;80723;594918"
"""150180 BREVES"";251731;1063775;11913;34777;1362196"
"""150190 BUJARU"";5476;197661;-;1643;204780"
"""150195 CACHOEIRA DO PIRIA"";-;57606;-;633;58239"
"""150200 CACHOEIRA DO ARARI"";-;120604;-;866;121470"
"""150210 CAMETA"";5203;875815;2944;74237;958199"
"""150215 CANAA DOS CARAJAS"";220468;1300788;8954;217790;1748000"
"""150220 CAPANEMA"";298917;834978;67161;92318;1293374"
"""150230 CAPITAO POCO"";35296;82651;2515;134804;255266"
"""150240 CASTANHAL"";168664;2782119;661604;44294;3656681"
"""150250 CHAVES"";17827;33577;-;57;51461"
"""150260 COLARES"";9811;111256;-;20454;141521"
"""150270 CONCEICAO DO ARAGUAIA"";38381;516944;201355;53830;810510"
"""150275 CONCORDIA DO PARA"";16789;142567;-;53641;212997"
"""150276 CUMARU DO NORTE"";28777;109202;25;1092;139096"
"""150277 CURIONOPOLIS"";56686;110411;-;17446;184543"
"""150280 CURRALINHO"";18924;142055;-;5308;166287"
"""150285 CURUA"";-;19829;-;690;20519"
"""150290 CURUCA"";54153;298748;-;25748;378649"
"""150293 DOM ELISEU"";118919;948038;-;83583;1150540"
"""150295 ELDORADO DOS CARAJAS"";124;678973;-;29594;708691"
"""150300 FARO"";73;3108;-;1264;4445"
"""150304 FLORESTA DO ARAGUAIA"";-;1356023;-;10916;1366939"
"""150307 GARRAFAO DO NORTE"";36957;63079;-;1802;101838"
"""150309 GOIANESIA DO PARA"";86341;185164;-;14172;285677"
"""150310 GURUPA"";3290;478552;-;84063;565905"
"""150320 IGARAPE-ACU"";86603;407947;-;9758;504308"
"""150330 IGARAPE-MIRI"";12342;211958;-;52817;277117"
"""150340 INHANGAPI"";17364;82590;-;421;100375"
"""150345 IPIXUNA DO PARA"";77045;153011;-;43823;273879"
"""150350 IRITUIA"";29333;153611;-;71949;254893"
"""150360 ITAITUBA"";84562;1031046;18945;64020;1198573"
"""150370 ITUPIRANGA"";50093;315775;-;45759;411627"
"""150375 JACAREACANGA"";23376;91865;-;1517;116758"
"""150380 JACUNDA"";31438;167990;1167;80668;281263"
"""150390 JURUTI"";233421;371821;2146;329374;936762"
"""150400 LIMOEIRO DO AJURU"";14473;68063;-;-;82536"
"""150405 MAE DO RIO"";2553;130244;-;28907;161704"
"""150410 MAGALHAES BARATA"";7478;36721;-;-;44199"
"""150420 MARABA"";55719;1399309;574354;326365;2355747"
"""150430 MARACANA"";26656;161593;-;21506;209755"
"""150440 MARAPANIM"";24819;143146;-;5944;173909"
"""150442 MARITUBA"";598486;2131723;138185;6467;2874861"
"""150445 MEDICILANDIA"";6843;248887;-;57810;313540"
"""150450 MELGACO"";15026;30743;-;183;45952"
"""150460 MOCAJUBA"";116150;60196;-;7964;184310"
"""150470 MOJU"";71842;493576;-;78093;643511"
"""150475 MOJUI DOS CAMPOS"";-;46787;-;1369;48156"
"""150480 MONTE ALEGRE"";52442;144602;1;281616;478661"
"""150490 MUANA"";41880;317219;-;104008;463107"
"""150495 NOVA ESPERANCA DO PIRIA"";11752;43304;-;672;55728"
"""150497 NOVA IPIXUNA"";97228;134852;-;244;232324"
"""150500 NOVA TIMBOTEUA"";8713;37067;-;1368;47148"
"""150503 NOVO PROGRESSO"";45144;155302;-;48420;248866"
"""150506 NOVO REPARTIMENTO"";71171;514966;-;39316;625453"
"""150510 OBIDOS"";31028;173241;-;318257;522526"
"""150520 OEIRAS DO PARA"";56;59312;-;619;59987"
"""150530 ORIXIMINA"";181286;571946;456;71747;825435"
"""150540 OUREM"";53050;369631;-;35555;458236"
"""150543 OURILANDIA DO NORTE"";13866;894107;14688;108306;1030967"
"""150548 PACAJA"";51924;263594;105;105552;421175"
"""150549 PALESTINA DO PARA"";45;9980;-;154;10179"
"""150550 PARAGOMINAS"";239055;1319003;16257;117713;1692028"
"""150553 PARAUAPEBAS"";318498;2064951;1029037;337591;3750077"
"""150555 PAU D'ARCO"";81309;330035;-;4473;415817"
"""150560 PEIXE-BOI"";9053;28722;-;1079;38854"
"""150563 PICARRA"";-;32943;-;643;33586"
"""150565 PLACAS"";9019;451520;-;76227;536766"
"""150570 PONTA DE PEDRAS"";46616;28154;-;1562;76332"
"""150580 PORTEL"";79320;349119;-;173048;601487"
"""150590 PORTO DE MOZ"";30187;149529;-;32539;212255"
"""150600 PRAINHA"";35423;88670;-;9417;133510"
"""150610 PRIMAVERA"";17096;13357;-;952;31405"
"""150611 QUATIPURU"";70627;60891;-;724;132242"
"""150613 REDENCAO"";332339;1350484;423007;77809;2183639"
"""150616 RIO MARIA"";783;195461;198;50044;246486"
"""150618 RONDON DO PARA"";-;186604;-;2972;189576"
"""150619 RUROPOLIS"";18442;389832;51;34608;442933"
"""150620 SALINOPOLIS"";72830;394738;-;52552;520120"
"""150630 SALVATERRA"";25852;164361;-;7624;197837"
"""150635 SANTA BARBARA DO PARA"";-;108820;-;469;109289"
"""150640 SANTA CRUZ DO ARARI"";8458;36713;-;975;46146"
"""150650 SANTA IZABEL DO PARA"";7515;683949;-;7410;698874"
"""150655 SANTA LUZIA DO PARA"";79469;26638;-;22187;128294"
"""150658 SANTA MARIA DAS BARREIRAS"";9;69424;7;11304;80744"
"""150660 SANTA MARIA DO PARA"";3389;139946;5;7556;150896"
"""150670 SANTANA DO ARAGUAIA"";194520;715888;660;82402;993470"
"""150680 SANTAREM"";794177;3320019;1377877;34018;5526091"
"""150690 SANTAREM NOVO"";917;9284;-;324;10525"
"""150700 SANTO ANTONIO DO TAUA"";1521;94081;3111;492;99205"
"""150710 SAO CAETANO DE ODIVELAS"";5539;1799;-;895;8233"
"""150715 SAO DOMINGOS DO ARAGUAIA"";12025;93140;-;5400;110565"
"""150720 SAO DOMINGOS DO CAPIM"";49427;164365;-;9166;222958"
"""150730 SAO FELIX DO XINGU"";61018;212509;22;13179;286728"
"""150740 SAO FRANCISCO DO PARA"";25298;33787;-;650;59735"
"""150745 SAO GERALDO DO ARAGUAIA"";3235;178130;-;89993;271358"
"""150746 SAO JOAO DA PONTA"";442;28026;-;-;28468"
"""150747 SAO JOAO DE PIRABAS"";36418;141624;-;32499;210541"
"""150750 SAO JOAO DO ARAGUAIA"";2981;29960;-;1519;34460"
"""150760 SAO MIGUEL DO GUAMA"";161816;524329;106;30186;716437"
"""150770 SAO SEBASTIAO DA BOA VISTA"";750;71273;56;135;72214"
"""150775 SAPUCAIA"";65;444566;-;8027;452658"
"""150780 SENADOR JOSE PORFIRIO"";95872;88348;-;259;184479"
"""150790 SOURE"";292015;69858;-;9291;371164"
"""150795 TAILANDIA"";6642;732790;2482;87652;829566"
"""150796 TERRA ALTA"";8064;42643;-;608;51315"
"""150797 TERRA SANTA"";28125;172191;-;57010;257326"
"""150800 TOME-ACU"";78002;997353;-;65337;1140692"
"""150803 TRACUATEUA"";4083;84463;-;1794;90340"
"""150805 TRAIRAO"";29854;42746;-;38813;111413"
"""150808 TUCUMA"";23336;293584;310;137575;454805"
"""150810 TUCURUI"";122548;908445;240556;37533;1309082"
"""150812 ULIANOPOLIS"";49067;676825;188853;50447;965192"
"""150815 URUARA"";176300;297130;538;125879;599847"
"""150820 VIGIA"";132428;276220;214;42150;451012"
"""150830 VISEU"";10238;237491;-;38875;286604"
"""150835 VITORIA DO XINGU"";30061;148599;-;1639;180299"
"""150840 XINGUARA"";118442;1853382;1224;144505;2117553"
"""160005 SERRA DO NAVIO"";5523;23291;-;717;29531"
"""160010 AMAPA"";29528;25612;-;239;55379"
"""160015 PEDRA BRANCA DO AMAPARI"";30005;195012;1350;895;227262"
"""160020 CALCOENE"";8331;48547;-;-;56878"
"""160021 CUTIAS"";2305;-;-;296;2601"
"""160023 FERREIRA GOMES"";19393;118166;-;924;138483"
"""160025 ITAUBAL"";269;-;-;734;1003"
"""160027 LARANJAL DO JARI"";78899;589737;6360;1928;676924"
"""160030 MACAPA"";1135684;7169806;1090599;206335;9602424"
"""160040 MAZAGAO"";632;89065;-;7;89704"
"""160050 OIAPOQUE"";9543;327215;-;1404;338162"
"""160053 PORTO GRANDE"";5125;44857;-;138;50120"
"""160055 PRACUUBA"";-;-;-;77;77"
"""160060 SANTANA"";70581;1723118;11924;3024;1808647"
"""160070 TARTARUGALZINHO"";13183;127665;-;337;141185"
"""160080 VITORIA DO JARI"";18972;187010;-;464;206446"
"""170025 ABREULANDIA"";-;1865;-;1927;3792"
"""170030 AGUIARNOPOLIS"";20;392;-;699;1111"
"""170035 ALIANCA DO TOCANTINS"";1428;4131;-;1942;7501"
"""170040 ALMAS"";490;50254;-;597;51341"
"""170070 ALVORADA"";924;145808;-;1239;147971"
"""170100 ANANAS"";8613;51505;-;887;61005"
"""170105 ANGICO"";17;341;-;2581;2939"
"""170110 APARECIDA DO RIO NEGRO"";62;16726;-;1253;18041"
"""170130 ARAGOMINAS"";16572;95;-;345;17012"
"""170190 ARAGUACEMA"";8677;50984;-;15086;74747"
"""170200 ARAGUACU"";2083;175229;-;1050;178362"
"""170210 ARAGUAINA"";671698;2511919;706234;36764;3926615"
"""170215 ARAGUANA"";40;8415;-;409;8864"
"""170220 ARAGUATINS"";200;962471;-;1351;964022"
"""170230 ARAPOEMA"";295;71934;-;271;72500"
"""170240 ARRAIAS"";29576;95113;-;6394;131083"
"""170255 AUGUSTINOPOLIS"";11238;300648;967;7320;320173"
"""170270 AURORA DO TOCANTINS"";139;30;-;885;1054"
"""170290 AXIXA DO TOCANTINS"";582;30;-;360;972"
"""170300 BABACULANDIA"";29350;-;-;310;29660"
"""170305 BANDEIRANTES DO TOCANTINS"";-;2303;-;856;3159"
"""170307 BARRA DO OURO"";-;-;-;357;357"
"""170310 BARROLANDIA"";37192;26730;-;3254;67176"
"""170320 BERNARDO SAYAO"";116;73;-;2922;3111"
"""170330 BOM JESUS DO TOCANTINS"";44;126;-;1543;1713"
"""170360 BRASILANDIA DO TOCANTINS"";34;3715;-;25;3774"
"""170370 BREJINHO DE NAZARE"";7008;19901;-;32;26941"
"""170380 BURITI DO TOCANTINS"";1700;11225;-;5311;18236"
"""170382 CACHOEIRINHA"";-;-;-;111;111"
"""170384 CAMPOS LINDOS"";797;3798;-;659;5254"
"""170386 CARIRI DO TOCANTINS"";13720;42130;-;5061;60911"
"""170388 CARMOLANDIA"";132;10;-;342;484"
"""170389 CARRASCO BONITO"";2824;112;-;1900;4836"
"""170390 CASEARA"";281;7;-;299;587"
"""170410 CENTENARIO"";53;-;-;41;94"
"""170460 CHAPADA DE AREIA"";-;9839;-;6591;16430"
"""170510 CHAPADA DA NATIVIDADE"";138;14;-;743;895"
"""170550 COLINAS DO TOCANTINS"";45213;261690;463;1589;308955"
"""170555 COMBINADO"";108;17143;-;3139;20390"
"""170560 CONCEICAO DO TOCANTINS"";-;4452;-;3306;7758"
"""170600 COUTO MAGALHAES"";11439;13500;-;217;25156"
"""170610 CRISTALANDIA"";12735;16559;63;546;29903"
"""170625 CRIXAS DO TOCANTINS"";7935;92;-;1189;9216"
"""170650 DARCINOPOLIS"";845;318;-;1036;2199"
"""170700 DIANOPOLIS"";3133;254536;-;2013;259682"
"""170710 DIVINOPOLIS DO TOCANTINS"";86362;102188;182;5546;194278"
"""170720 DOIS IRMAOS DO TOCANTINS"";9154;34032;-;281;43467"
"""170730 DUERE"";19341;-;-;274;19615"
"""170740 ESPERANTINA"";324;11801;-;14004;26129"
"""170755 FATIMA"";36;72;-;3878;3986"
"""170765 FIGUEIROPOLIS"";-;9947;-;2757;12704"
"""170770 FILADELFIA"";37284;34747;-;756;72787"
"""170820 FORMOSO DO ARAGUAIA"";19361;163956;-;24220;207537"
"""170825 TABOCAO"";360;172;-;10961;11493"
"""170830 GOIANORTE"";83;8348;-;293;8724"
"""170900 GOIATINS"";64880;23259;-;17449;105588"
"""170930 GUARAI"";170;252729;819;70693;324411"
"""170950 GURUPI"";112282;1085298;335346;78119;1611045"
"""170980 IPUEIRAS"";586;875;-;31218;32679"
"""171050 ITACAJA"";5103;44659;-;537;50299"
"""171070 ITAGUATINS"";65;295;-;397;757"
"""171090 ITAPIRATINS"";-;7991;-;792;8783"
"""171110 ITAPORA DO TOCANTINS"";9563;13409;-;247;23219"
"""171150 JAU DO TOCANTINS"";8128;15522;-;1831;25481"
"""171180 JUARINA"";-;-;-;262;262"
"""171190 LAGOA DA CONFUSAO"";27471;14550;-;1193;43214"
"""171195 LAGOA DO TOCANTINS"";399;21;-;116;536"
"""171200 LAJEADO"";826;1284;-;4195;6305"
"""171215 LAVANDEIRA"";639;5366;-;4133;10138"
"""171240 LIZARDA"";1;24;-;467;492"
"""171245 LUZINOPOLIS"";-;-;-;656;656"
"""171250 MARIANOPOLIS DO TOCANTINS"";15673;4531;69;2227;22500"
"""171270 MATEIROS"";102;55;-;271;428"
"""171280 MAURILANDIA DO TOCANTINS"";556;268;-;2295;3119"
"""171320 MIRACEMA DO TOCANTINS"";35084;271570;-;10365;317019"
"""171330 MIRANORTE"";17035;98439;-;10008;125482"
"""171360 MONTE DO CARMO"";75266;38742;-;4323;118331"
"""171370 MONTE SANTO DO TOCANTINS"";-;11504;-;4018;15522"
"""171380 PALMEIRAS DO TOCANTINS"";-;18849;-;561;19410"
"""171395 MURICILANDIA"";-;-;-;409;409"
"""171420 NATIVIDADE"";54675;86655;-;13219;154549"
"""171430 NAZARE"";15651;4362;-;296;20309"
"""171488 NOVA OLINDA"";14727;31969;-;4583;51279"
"""171500 NOVA ROSALANDIA"";14173;13912;-;7014;35099"
"""171510 NOVO ACORDO"";390;297;-;489;1176"
"""171515 NOVO ALEGRE"";171;6950;-;24163;31284"
"""171525 NOVO JARDIM"";-;-;-;78;78"
"""171550 OLIVEIRA DE FATIMA"";131;117;-;128;376"
"""171570 PALMEIRANTE"";-;-;-;570;570"
"""171575 PALMEIROPOLIS"";4179;89873;-;9269;103321"
"""171610 PARAISO DO TOCANTINS"";676882;506682;13;40209;1223786"
"""171620 PARANA"";49458;111977;-;10200;171635"
"""171630 PAU D'ARCO"";-;8;-;3389;3397"
"""171650 PEDRO AFONSO"";26759;92482;-;1022;120263"
"""171660 PEIXE"";51965;99046;41;2571;153623"
"""171665 PEQUIZEIRO"";3503;41839;-;16874;62216"
"""171670 COLMEIA"";88301;48093;-;417;136811"
"""171700 PINDORAMA DO TOCANTINS"";47337;51350;-;3623;102310"
"""171720 PIRAQUE"";1650;400;-;642;2692"
"""171750 PIUM"";56410;59253;-;175;115838"
"""171780 PONTE ALTA DO BOM JESUS"";106;1488;-;329;1923"
"""171790 PONTE ALTA DO TOCANTINS"";23651;64943;-;2037;90631"
"""171800 PORTO ALEGRE DO TOCANTINS"";-;-;-;181;181"
"""171820 PORTO NACIONAL"";159265;1335215;219992;30442;1744914"
"""171830 PRAIA NORTE"";287;1719;-;14473;16479"
"""171840 PRESIDENTE KENNEDY"";2452;31119;-;1827;35398"
"""171845 PUGMIL"";432;11318;-;856;12606"
"""171850 RECURSOLANDIA"";402;74;-;2606;3082"
"""171855 RIACHINHO"";81;49;-;937;1067"
"""171865 RIO DA CONCEICAO"";10;33;-;1966;2009"
"""171870 RIO DOS BOIS"";133;357;-;134;624"
"""171875 RIO SONO"";2726;9680;-;3670;16076"
"""171880 SAMPAIO"";-;157;-;378;535"
"""171884 SANDOLANDIA"";23;22;-;7246;7291"
"""171886 SANTA FE DO ARAGUAIA"";-;513;-;1777;2290"
"""171888 SANTA MARIA DO TOCANTINS"";-;-;-;196;196"
"""171889 SANTA RITA DO TOCANTINS"";332;305;-;2211;2848"
"""171890 SANTA ROSA DO TOCANTINS"";-;-;-;719;719"
"""171900 SANTA TEREZA DO TOCANTINS"";53;585;-;1810;2448"
"""172000 SANTA TEREZINHA DO TOCANTINS"";88;6925;-;7123;14136"
"""172010 SAO BENTO DO TOCANTINS"";-;501;-;294;795"
"""172020 SAO MIGUEL DO TOCANTINS"";54753;3658;-;10073;68484"
"""172025 SAO SALVADOR DO TOCANTINS"";1973;9189;-;6077;17239"
"""172030 SAO SEBASTIAO DO TOCANTINS"";94;-;-;486;580"
"""172049 SAO VALERIO"";3912;14118;-;8199;26229"
"""172065 SILVANOPOLIS"";13907;40943;-;6832;61682"
"""172080 SITIO NOVO DO TOCANTINS"";668;40191;403;609;41871"
"""172085 SUCUPIRA"";4530;1164;-;8652;14346"
"""172090 TAGUATINGA"";83653;186543;71;12044;282311"
"""172093 TAIPAS DO TOCANTINS"";4463;-;-;208;4671"
"""172097 TALISMA"";980;13783;-;316;15079"
"""172100 PALMAS"";459656;5014628;1381070;234585;7089939"
"""172110 TOCANTINIA"";-;9802;-;440;10242"
"""172120 TOCANTINOPOLIS"";155332;292237;-;366581;814150"
"""172125 TUPIRAMA"";19;16;-;1149;1184"
"""172130 TUPIRATINS"";-;-;-;269;269"
"""172208 WANDERLANDIA"";75925;111;-;5030;81066"
