"""Munic¡pio"";""Eletivo"";""Urgˆncia"";""Acidente no local trabalho ou a servi‡o da empresa"";""Acidente no trajeto para o trabalho"";""Outros tipos de acidente de trƒnsito"";""Outros tipos lesäes/envenenament(agent.fis./quim.)"";""Informa‡Æo inexistente  (BPA-C)"";""Total"""
"""160070 TARTARUGALZINHO"";6876;1;-;-;-;-;54571;61448"
"""160080 VITORIA DO JARI"";3346;-;-;3;-;-;39277;42626"
"""170025 ABREULANDIA"";1595;21;-;-;-;-;361;1977"
"""170030 AGUIARNOPOLIS"";882;-;-;-;-;-;15;897"
"""170035 ALIANCA DO TOCANTINS"";6267;2;-;-;-;-;29951;36220"
"""170040 ALMAS"";898;1;-;-;-;-;66988;67887"
"""170070 ALVORADA"";9590;1898;5;-;-;-;34481;45974"
"""170100 ANANAS"";746;4;-;-;-;-;34780;35530"
"""170105 ANGICO"";1998;-;-;-;-;-;2676;4674"
"""170110 APARECIDA DO RIO NEGRO"";662;-;-;-;-;-;14730;15392"
"""170130 ARAGOMINAS"";323;-;-;-;-;-;18619;18942"
"""170190 ARAGUACEMA"";11612;-;-;-;-;-;18127;29739"
"""170200 ARAGUACU"";749;1004;2;-;2;1;132135;133893"
"""170210 ARAGUAINA"";907174;284577;99;23;1;6481;1845132;3043487"
"""170215 ARAGUANA"";164;1;-;-;-;-;11496;11661"
"""170220 ARAGUATINS"";18081;1;1;-;1;-;812638;830722"
"""170230 ARAPOEMA"";701;586;1;-;-;-;61971;63259"
"""170240 ARRAIAS"";2554;573;-;-;2;-;78493;81622"
"""170255 AUGUSTINOPOLIS"";12474;12914;1;-;-;-;242911;268300"
"""170270 AURORA DO TOCANTINS"";351;2;-;-;-;-;92;445"
"""170290 AXIXA DO TOCANTINS"";595;-;-;-;-;-;825;1420"
"""170300 BABACULANDIA"";862;-;-;-;-;-;33490;34352"
"""170305 BANDEIRANTES DO TOCANTINS"";1291;2;-;-;-;-;1450;2743"
"""170307 BARRA DO OURO"";188;-;-;-;-;-;157;345"
"""170310 BARROLANDIA"";5425;2;1;-;-;-;37674;43102"
"""170320 BERNARDO SAYAO"";-;-;-;-;-;-;170;170"
"""170330 BOM JESUS DO TOCANTINS"";805;1;-;-;-;-;391;1197"
"""170370 BREJINHO DE NAZARE"";4287;-;-;-;-;-;27136;31423"
"""170380 BURITI DO TOCANTINS"";10469;1;-;1;-;-;1264;11735"
"""170382 CACHOEIRINHA"";41;-;-;-;-;-;73;114"
"""170384 CAMPOS LINDOS"";250;4;-;-;-;-;658;912"
"""170386 CARIRI DO TOCANTINS"";3483;5;-;-;-;-;21194;24682"
"""170388 CARMOLANDIA"";-;-;-;-;-;-;359;359"
"""170389 CARRASCO BONITO"";464;-;1;-;-;-;2361;2826"
"""170390 CASEARA"";284;-;-;-;-;-;757;1041"
"""170410 CENTENARIO"";233;-;-;-;-;-;79;312"
"""170460 CHAPADA DE AREIA"";1850;1;-;-;-;-;6074;7925"
"""170510 CHAPADA DA NATIVIDADE"";617;-;-;1;-;-;309;927"
"""170550 COLINAS DO TOCANTINS"";30762;1855;-;-;-;2;166641;199260"
"""170555 COMBINADO"";5882;-;-;-;-;-;17237;23119"
"""170560 CONCEICAO DO TOCANTINS"";292;-;-;-;-;-;13568;13860"
"""170600 COUTO MAGALHAES"";-;-;-;-;-;-;26924;26924"
"""170610 CRISTALANDIA"";227;187;-;-;-;-;48701;49115"
"""170625 CRIXAS DO TOCANTINS"";741;-;-;-;-;-;6211;6952"
"""170650 DARCINOPOLIS"";700;-;-;-;-;-;510;1210"
"""170700 DIANOPOLIS"";15871;102;-;-;1;-;84720;100694"
"""170710 DIVINOPOLIS DO TOCANTINS"";28668;26;20;10;-;10;126283;155017"
"""170720 DOIS IRMAOS DO TOCANTINS"";918;323;-;-;-;-;35882;37123"
"""170730 DUERE"";361;-;-;-;-;-;30941;31302"
"""170740 ESPERANTINA"";3967;2;-;-;-;-;20099;24068"
"""170755 FATIMA"";357;2;-;-;-;-;380;739"
"""170765 FIGUEIROPOLIS"";2378;8;-;-;-;-;3716;6102"
"""170770 FILADELFIA"";-;-;-;-;-;-;41980;41980"
"""170820 FORMOSO DO ARAGUAIA"";22608;8294;2;1;1;1;105247;136154"
"""170825 TABOCAO"";5525;1780;-;-;-;-;94044;101349"
"""170830 GOIANORTE"";730;1;-;-;-;-;10828;11559"
"""170900 GOIATINS"";4477;1210;1;-;-;-;24295;29983"
"""170930 GUARAI"";4466;2646;4;-;-;-;273365;280481"
"""170950 GURUPI"";330109;12931;1;2;1;965;1752077;2096086"
"""170980 IPUEIRAS"";1474;-;-;-;-;-;854;2328"
"""171050 ITACAJA"";313;-;-;-;-;-;3253;3566"
"""171070 ITAGUATINS"";241;1;-;-;-;-;3051;3293"
"""171090 ITAPIRATINS"";548;-;-;-;-;-;8836;9384"
"""171110 ITAPORA DO TOCANTINS"";506;6;-;-;-;-;16617;17129"
