"""Munic¡pio"";""2021/Ago"";""2021/Set"";""2021/Out"";""2021/Nov"";""2021/Dez"";""2022/Jan"";""2022/Fev"";""2022/Mar"";""2022/Abr"";""2022/Mai"";""2022/Jun"";""2022/Jul"";""2022/Ago"";""2022/Set"";""2022/Out"";""2022/Nov"";""2022/Dez"";""2023/Jan"";""2023/Fev"";""2023/Mar"";""2023/Abr"";""2023/Mai"";""2023/Jun"";""2023/Jul"";""2023/Ago"";""2023/Set"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""110029 SANTA LUZIA D'OESTE"";-;-;-;-;-;11040,71;9530,04;10442,98;11595,72;13336,99;12909,41;10741,69;17020,38;19616,57;13006,06;32295,75;19202,10;22351,45;27839,67;28889,57;21410,33;23399,93;27938,65;22072,99;25151,73;34823,68;44237,43;37947,50;38865,59;43642,44;45270,83;46607,00;70452,96;61428,66;60644,93;54157,56;58109,79;49236,16;37698,53;27027,81;25406,99;12484,77;39221,89;42183,24;48924,89;23668,78;44905,99;51468,40;32012,29;46598,10;90437,06;66724,26;74805,90;-;1688786,15"
"""110030 VILHENA"";-;-;-;-;330,60;614505,20;7553351,95;1184390,86;946480,20;760368,82;797200,21;912261,52;867111,61;796559,72;728900,60;692019,32;653392,14;768775,52;892273,38;1223344,42;541916,79;705235,71;657970,03;654248,53;1064926,85;751197,48;674852,27;573429,04;678202,15;754382,91;776328,81;790060,41;1738352,80;1100746,88;996102,71;1091635,45;1197503,29;1471680,41;1335883,60;879319,65;1057120,46;647924,70;740226,97;989365,74;1259130,53;1077952,77;708649,60;-;34786,03;32967,25;35488,64;28179,44;15374,76;537,50;44452946,23"
"""110032 SAO MIGUEL DO GUAPORE"";-;-;-;-;-;84674,15;86998,57;59038,92;62994,44;62513,00;68538,93;52913,27;44491,26;80802,81;84912,51;84569,17;52548,89;78821,97;80143,58;37513,39;45945,14;44131,53;40623,45;68809,04;65011,21;67380,03;12939,70;53826,90;35893,94;121103,61;47224,95;72086,58;93489,87;66131,35;76248,55;79665,60;87623,77;91114,44;83464,74;102247,93;83183,29;65621,04;69070,45;67170,08;90195,04;85810,77;100593,50;82685,78;88412,04;88418,43;59604,50;87853,66;78072,31;106837,65;3529965,73"
"""110033 NOVA MAMORE"";-;-;-;-;-;67090,81;25793,11;59285,71;58894,19;52299,21;60524,68;64982,68;58596,57;1205717,90;71591,82;2091211,36;80208,68;87148,00;82754,60;88470,16;64832,49;77336,25;59714,81;59045,35;86133,74;53494,05;18277,36;21858,42;36273,37;44984,32;76366,45;73470,05;109406,83;79906,66;94675,09;94492,95;67244,54;94529,80;61875,13;87987,89;76781,73;63746,92;79478,57;116021,39;92540,15;109104,31;115940,30;112291,94;93003,08;108343,42;73833,45;105302,01;84108,80;89966,97;6836938,07"
"""110034 ALVORADA D'OESTE"";-;-;-;-;-;18196,30;13249,25;17450,95;24001,98;26707,43;29348,22;25615,66;29224,52;30691,57;32589,29;33868,02;37610,75;43482,99;37833,50;44819,09;43009,20;32032,45;30416,35;28748,03;24891,96;34351,17;30500,65;30346,85;30561,97;37307,58;56066,91;58877,93;66924,71;71814,92;54651,38;55751,22;61379,26;56178,42;44077,54;37735,48;44100,33;47039,23;52287,46;68605,04;79632,62;85702,87;80293,45;74166,42;80576,32;108021,15;93979,29;82850,84;90325,63;104129,46;2422023,61"
"""110037 ALTO ALEGRE DOS PARECIS"";-;-;-;-;-;15928,37;16756,89;12311,87;18007,19;17612,39;19425,72;7457,23;9647,38;9734,36;11803,78;15415,14;17391,97;31477,19;30656,51;21708,17;20706,57;33903,24;27306,77;48775,79;43503,09;25661,65;39351,24;44533,33;37462,46;47728,49;46006,99;55102,39;62701,65;52975,73;45319,22;48361,26;42651,28;48078,00;44234,23;41473,02;42251,84;33897,45;42694,92;61057,87;67400,58;73577,31;55761,56;48118,66;59812,05;54696,13;54575,20;48408,96;49685,16;36166,00;1839274,25"
"""110040 ALTO PARAISO"";-;-;-;-;-;7202,29;10191,61;7549,55;25233,36;28764,89;43451,73;20741,98;36140,37;41009,81;39976,07;47447,36;47253,02;48020,59;50669,77;69195,16;69733,90;66092,79;59434,91;59796,37;59092,98;60888,27;69646,67;78089,80;64751,61;64584,27;65617,02;62677,39;85596,25;90442,99;86981,61;98446,05;97296,89;93675,70;78177,70;74527,06;80000,61;77132,25;73014,83;93339,33;94921,66;87781,05;89025,25;83994,12;84657,42;73987,25;149229,06;122133,51;128879,34;-;3246493,47"
"""110045 BURITIS"";-;-;1358,77;26,88;233,51;122026,89;105949,46;144338,60;137304,01;166931,40;156587,66;147447,54;126531,47;154631,90;151082,36;165658,69;143404,47;123944,34;149876,07;136232,65;120081,23;215692,69;202344,40;175581,04;193494,69;163615,24;184657,58;177010,26;148379,24;153363,48;182986,34;262706,01;285114,48;231967,62;259604,61;271270,91;258742,34;273355,11;266416,71;238456,05;214432,02;205788,90;224899,49;244098,73;240902,53;265139,92;223976,27;249147,43;218969,46;239652,22;585240,79;210350,59;219759,61;83226,80;9823991,46"
"""110050 NOVO HORIZONTE DO OESTE"";-;-;-;-;-;74700,65;64852,91;80128,14;80101,37;96408,26;83584,68;83444,89;85396,68;93832,53;81368,19;88579,40;102962,90;101888,70;91792,52;94196,40;92058,44;86616,12;39901,60;52431,18;66586,33;74932,31;60030,03;57802,75;63476,98;67428,18;61242,05;57814,13;82303,42;73851,32;62989,67;70092,16;81041,77;67256,66;71144,82;72813,76;42088,48;54160,41;44156,99;55943,34;55682,06;62180,26;48778,00;48607,94;45798,72;38057,57;44906,91;-;-;-;3205412,58"
"""110060 CACAULANDIA"";-;-;-;-;-;15190,92;15536,25;9561,44;28284,19;38491,89;40925,36;57042,35;31631,23;36277,93;25139,46;23595,21;29225,05;24559,61;19372,06;29839,05;45340,57;33082,38;22555,53;19524,50;26222,77;23818,02;23273,76;25228,20;23703,80;31112,87;24645,13;32048,48;35564,42;29334,91;25718,29;21972,55;26222,74;27416,56;21216,48;23869,49;21125,58;22724,46;19113,48;22569,72;24635,98;29257,32;29297,37;24892,04;22831,55;26605,33;30525,00;-;-;-;1240121,28"
