"""Munic¡pio"";""02 Assistˆncia Farmacˆutica"";""04 Fundo de A‡äes Estrat‚gicas e Compensa‡äes FAEC"";""05 Incentivo - MAC"";""06 M‚dia e Alta Complexidade (MAC)"";""07 Vigilƒncia em Sa£de"";""Total"""
"""171430 NAZARE"";-;-;-;7083,92;-;7083,92"
"""171488 NOVA OLINDA"";-;-;-;51494,63;-;51494,63"
"""171500 NOVA ROSALANDIA"";-;-;-;10278,66;-;10278,66"
"""171515 NOVO ALEGRE"";-;-;-;7648,45;-;7648,45"
"""171525 NOVO JARDIM"";-;-;-;15531,75;-;15531,75"
"""171575 PALMEIROPOLIS"";-;-;-;40513,49;-;40513,49"
"""171610 PARAISO DO TOCANTINS"";-;310,00;-;515902,82;-;516212,82"
"""171630 PAU D'ARCO"";-;-;-;2866,05;-;2866,05"
"""171650 PEDRO AFONSO"";-;-;-;62586,04;-;62586,04"
"""171670 COLMEIA"";-;-;-;75787,52;-;75787,52"
"""171700 PINDORAMA DO TOCANTINS"";-;-;-;42945,30;-;42945,30"
"""171780 PONTE ALTA DO BOM JESUS"";-;-;-;3753,28;-;3753,28"
"""171790 PONTE ALTA DO TOCANTINS"";-;-;-;14126,94;-;14126,94"
"""171800 PORTO ALEGRE DO TOCANTINS"";-;-;-;2839,00;-;2839,00"
"""171820 PORTO NACIONAL"";-;200,00;-;721135,72;-;721335,72"
"""171830 PRAIA NORTE"";-;-;-;3270,15;-;3270,15"
"""171840 PRESIDENTE KENNEDY"";-;-;-;10471,80;-;10471,80"
"""171845 PUGMIL"";-;-;-;8740,24;-;8740,24"
"""171870 RIO DOS BOIS"";-;-;-;11930,37;-;11930,37"
"""171875 RIO SONO"";-;-;-;8589,96;-;8589,96"
"""171884 SANDOLANDIA"";-;-;-;1544,40;-;1544,40"
"""171886 SANTA FE DO ARAGUAIA"";-;-;-;11036,24;-;11036,24"
"""171889 SANTA RITA DO TOCANTINS"";-;-;-;1018,02;-;1018,02"
"""171900 SANTA TEREZA DO TOCANTINS"";-;-;-;5093,00;-;5093,00"
"""172000 SANTA TEREZINHA DO TOCANTINS"";-;-;-;4264,93;-;4264,93"
"""172020 SAO MIGUEL DO TOCANTINS"";-;-;-;17744,35;-;17744,35"
"""172049 SAO VALERIO"";-;-;-;21362,46;-;21362,46"
"""172065 SILVANOPOLIS"";-;-;-;15831,12;-;15831,12"
"""172080 SITIO NOVO DO TOCANTINS"";-;-;-;15446,61;-;15446,61"
"""172090 TAGUATINGA"";-;-;-;53921,18;-;53921,18"
"""172097 TALISMA"";-;-;-;1496,77;-;1496,77"
"""172100 PALMAS"";163577,96;1461163,26;-;4494606,21;-;6119347,43"
"""172110 TOCANTINIA"";-;-;-;4500,00;-;4500,00"
"""172125 TUPIRAMA"";-;-;-;435,60;-;435,60"
"""172208 WANDERLANDIA"";-;-;-;3633,30;-;3633,30"
"""172210 XAMBIOA"";-;-;-;56857,35;-;56857,35"
"""210005 ACAILANDIA"";-;496943,49;-;1415624,14;-;1912567,63"
"""210030 ALDEIAS ALTAS"";-;-;4905,45;59024,85;-;63930,30"
"""210043 ALTO ALEGRE DO MARANHAO"";-;-;-;243081,20;-;243081,20"
"""210080 ANAPURUS"";-;-;-;67249,13;-;67249,13"
"""210090 ARAIOSES"";-;-;-;16915,58;-;16915,58"
"""210120 BACABAL"";-;867038,70;-;2093770,64;-;2960809,34"
"""210125 BACABEIRA"";-;-;-;125902,60;-;125902,60"
"""210135 BACURITUBA"";-;-;-;9330,74;-;9330,74"
"""210140 BALSAS"";-;254536,63;-;1320577,52;-;1575114,15"
"""210160 BARRA DO CORDA"";-;1159,00;-;1103190,71;-;1104349,71"
"""210170 BARREIRINHAS"";-;-;-;466477,37;-;466477,37"
"""210173 BELAGUA"";-;-;-;12428,62;-;12428,62"
"""210177 BELA VISTA DO MARANHAO"";-;-;-;44296,63;-;44296,63"
"""210190 BEQUIMAO"";-;-;-;26624,73;-;26624,73"
"""210207 BOM LUGAR"";-;-;-;15891,93;-;15891,93"
"""210210 BREJO"";-;-;-;100721,51;-;100721,51"
"""210220 BURITI"";-;-;-;70054,57;-;70054,57"
"""210232 BURITICUPU"";-;-;-;159381,63;-;159381,63"
"""210235 BURITIRANA"";-;-;-;58618,36;-;58618,36"
"""210280 CAROLINA"";-;-;-;103785,36;-;103785,36"
"""210290 CARUTAPERA"";-;-;-;82722,34;-;82722,34"
"""210300 CAXIAS"";-;1147552,15;19700,00;2469115,24;412,00;3636779,39"
"""210320 CHAPADINHA"";-;560541,17;-;1082645,78;-;1643186,95"
"""210325 CIDELANDIA"";-;-;-;63733,09;-;63733,09"
"""210330 CODO"";-;595190,48;-;611474,79;-;1206665,27"
"""210340 COELHO NETO"";-;-;-;201655,08;-;201655,08"
"""210350 COLINAS"";-;-;-;135918,34;-;135918,34"
"""210355 CONCEICAO DO LAGO-ACU"";-;-;-;22858,79;-;22858,79"
"""210360 COROATA"";-;-;-;844344,86;-;844344,86"
"""210370 CURURUPU"";-;-;-;93099,51;-;93099,51"
"""210375 DAVINOPOLIS"";-;-;-;97583,93;-;97583,93"
"""210390 DUQUE BACELAR"";-;-;-;66694,70;-;66694,70"
"""210400 ESPERANTINOPOLIS"";-;-;-;84862,40;-;84862,40"
"""210405 ESTREITO"";-;-;-;7862,60;-;7862,60"
"""210407 FEIRA NOVA DO MARANHAO"";-;-;-;43435,74;-;43435,74"
"""210410 FORTALEZA DOS NOGUEIRAS"";-;-;-;17145,22;-;17145,22"
"""210467 GOVERNADOR NUNES FREIRE"";-;-;-;199463,28;-;199463,28"
"""210480 GRAJAU"";-;-;-;1330136,27;-;1330136,27"
"""210500 HUMBERTO DE CAMPOS"";-;-;-;16915,58;-;16915,58"
"""210530 IMPERATRIZ"";-;2014251,85;-;4457483,47;-;6471735,32"
"""210535 ITAIPAVA DO GRAJAU"";-;-;-;107004,52;-;107004,52"
"""210540 ITAPECURU MIRIM"";-;-;-;227239,20;-;227239,20"
"""210542 ITINGA DO MARANHAO"";-;-;-;24335,49;-;24335,49"
"""210547 JENIPAPO DOS VIEIRAS"";-;-;-;88201,11;-;88201,11"
"""210550 JOAO LISBOA"";-;-;-;69292,53;-;69292,53"
"""210565 JUNCO DO MARANHAO"";-;-;-;36738,49;-;36738,49"
"""210570 LAGO DA PEDRA"";-;2190,69;-;490771,78;-;492962,47"
"""210580 LAGO DO JUNCO"";-;-;-;17607,72;-;17607,72"
"""210592 LAGOA DO MATO"";-;-;-;50564,43;-;50564,43"
"""210594 LAGO DOS RODRIGUES"";-;-;-;30849,43;-;30849,43"
"""210596 LAGOA GRANDE DO MARANHAO"";-;-;-;13386,49;-;13386,49"
"""210610 LORETO"";-;-;-;11916,16;-;11916,16"
"""210620 LUIS DOMINGUES"";-;-;-;8362,85;-;8362,85"
"""210630 MAGALHAES DE ALMEIDA"";-;-;-;59214,12;-;59214,12"
"""210635 MARAJA DO SENA"";-;-;-;14323,25;-;14323,25"
"""210650 MATINHA"";-;-;-;49510,52;-;49510,52"
"""210663 MATOES DO NORTE"";-;-;-;151939,98;-;151939,98"
"""210667 MILAGRES DO MARANHAO"";-;-;-;1468,27;-;1468,27"
"""210675 MIRANDA DO NORTE"";-;-;-;100072,87;-;100072,87"
"""210680 MIRINZAL"";-;-;-;20611,05;-;20611,05"
"""210690 MONCAO"";-;-;-;168986,77;-;168986,77"
"""210700 MONTES ALTOS"";-;-;-;70204,49;-;70204,49"
"""210710 MORROS"";-;-;-;136267,03;-;136267,03"
"""210720 NINA RODRIGUES"";-;-;-;76344,44;-;76344,44"
