"""Munic¡pio"";""Aten‡Æo B sica"";""M‚dia complexidade"";""Alta complexidade"";""NÆo se aplica"";""Total"""
"""150070 ANAJAS"";150004;49041;-;605;199650"
"""150080 ANANINDEUA"";62894;10609719;246026;23194;10941833"
"""150085 ANAPU"";23130;98599;-;4901;126630"
"""150090 AUGUSTO CORREA"";235;110099;-;866;111200"
"""150095 AURORA DO PARA"";11102;61211;-;8877;81190"
"""150100 AVEIRO"";28921;10;-;2768;31699"
"""150120 BAIAO"";36509;185688;-;4718;226915"
"""150125 BANNACH"";4806;24439;42;3914;33201"
"""150130 BARCARENA"";452964;1610197;12234;72429;2147824"
"""150140 BELEM"";2615174;23996255;5002398;651709;32265536"
"""150145 BELTERRA"";142715;123502;-;996;267213"
"""150150 BENEVIDES"";777325;627967;237;2485;1408014"
"""150157 BOM JESUS DO TOCANTINS"";1801;43588;-;4808;50197"
"""150160 BONITO"";57537;65606;-;1172;124315"
"""150170 BRAGANCA"";43592;813439;69100;3165;929296"
"""150172 BRASIL NOVO"";10215;202492;-;1097;213804"
"""150175 BREJO GRANDE DO ARAGUAIA"";347;246;-;498;1091"
"""150178 BREU BRANCO"";70325;422978;-;87635;580938"
"""150180 BREVES"";195193;924682;9245;43158;1172278"
"""150190 BUJARU"";10040;202604;-;1227;213871"
"""150195 CACHOEIRA DO PIRIA"";4;104423;-;1810;106237"
"""150200 CACHOEIRA DO ARARI"";-;106919;-;750;107669"
"""150210 CAMETA"";6760;933665;2500;101163;1044088"
"""150215 CANAA DOS CARAJAS"";93994;1028752;5696;191180;1319622"
"""150220 CAPANEMA"";99454;886584;8922;130444;1125404"
"""150230 CAPITAO POCO"";53447;170081;1420;132807;357755"
"""150240 CASTANHAL"";317482;2649138;489573;56453;3512646"
"""150250 CHAVES"";16942;31099;-;196;48237"
"""150260 COLARES"";42877;98326;-;19056;160259"
"""150270 CONCEICAO DO ARAGUAIA"";52259;526132;116860;60383;755634"
"""150275 CONCORDIA DO PARA"";31172;133752;-;42929;207853"
"""150276 CUMARU DO NORTE"";24709;107080;53;1224;133066"
"""150277 CURIONOPOLIS"";44923;84963;-;22157;152043"
"""150280 CURRALINHO"";19386;78010;-;3446;100842"
"""150285 CURUA"";-;15066;-;967;16033"
"""150290 CURUCA"";49016;335293;-;50899;435208"
"""150293 DOM ELISEU"";174703;865093;-;85270;1125066"
"""150295 ELDORADO DOS CARAJAS"";-;911460;16;7374;918850"
"""150300 FARO"";30;4190;-;2025;6245"
"""150304 FLORESTA DO ARAGUAIA"";-;1079682;-;9056;1088738"
"""150307 GARRAFAO DO NORTE"";10689;78460;-;2885;92034"
"""150309 GOIANESIA DO PARA"";85585;216874;-;14590;317049"
"""150310 GURUPA"";4371;517927;-;130699;652997"
"""150320 IGARAPE-ACU"";90184;420218;-;11665;522067"
"""150330 IGARAPE-MIRI"";10003;239157;-;8997;258157"
"""150340 INHANGAPI"";19621;92911;-;559;113091"
"""150345 IPIXUNA DO PARA"";59706;120628;-;36889;217223"
"""150350 IRITUIA"";29167;133080;-;78744;240991"
"""150360 ITAITUBA"";10302;715345;10783;76158;812588"
"""150370 ITUPIRANGA"";49097;302710;-;32840;384647"
"""150375 JACAREACANGA"";34894;161480;-;2221;198595"
"""150380 JACUNDA"";141243;228062;929;76383;446617"
"""150390 JURUTI"";256297;413507;873;184039;854716"
"""150400 LIMOEIRO DO AJURU"";6906;58523;-;396;65825"
"""150405 MAE DO RIO"";2031;111917;-;26314;140262"
"""150410 MAGALHAES BARATA"";18264;39688;-;-;57952"
"""150420 MARABA"";45225;1287718;434767;317723;2085433"
"""150430 MARACANA"";31442;107120;14;23449;162025"
"""150440 MARAPANIM"";25636;119177;-;10978;155791"
"""150442 MARITUBA"";760847;2040487;107837;5900;2915071"
"""150445 MEDICILANDIA"";19259;248246;-;86990;354495"
"""150450 MELGACO"";108817;62083;-;-;170900"
"""150460 MOCAJUBA"";116881;61188;-;6170;184239"
"""150470 MOJU"";77666;512276;-;61581;651523"
"""150475 MOJUI DOS CAMPOS"";-;46315;-;1403;47718"
"""150480 MONTE ALEGRE"";52602;141742;-;187131;381475"
"""150490 MUANA"";38637;271486;-;81074;391197"
"""150495 NOVA ESPERANCA DO PIRIA"";12442;39373;-;2456;54271"
"""150497 NOVA IPIXUNA"";122011;112989;-;336;235336"
"""150500 NOVA TIMBOTEUA"";4491;31334;-;2487;38312"
"""150503 NOVO PROGRESSO"";37022;132536;19;49268;218845"
"""150506 NOVO REPARTIMENTO"";60017;432004;-;24294;516315"
"""150510 OBIDOS"";36257;160588;-;255685;452530"
"""150520 OEIRAS DO PARA"";1;70305;-;502;70808"
"""150530 ORIXIMINA"";285808;337425;-;61219;684452"
"""150540 OUREM"";40218;191046;-;31931;263195"
"""150543 OURILANDIA DO NORTE"";7725;384703;6854;97074;496356"
"""150548 PACAJA"";59095;208904;-;74813;342812"
"""150549 PALESTINA DO PARA"";3211;1570;-;37;4818"
"""150550 PARAGOMINAS"";210772;927602;3913;19828;1162115"
"""150553 PARAUAPEBAS"";389919;2047439;819076;340345;3596779"
"""150555 PAU D'ARCO"";73109;318133;-;4799;396041"
"""150560 PEIXE-BOI"";8932;27388;-;338;36658"
"""150563 PICARRA"";-;48378;-;121;48499"
"""150565 PLACAS"";3675;247504;-;98780;349959"
"""150570 PONTA DE PEDRAS"";45764;32381;-;951;79096"
"""150580 PORTEL"";67641;280460;-;27308;375409"
"""150590 PORTO DE MOZ"";36593;136580;-;41849;215022"
"""150600 PRAINHA"";50397;97796;-;9834;158027"
"""150610 PRIMAVERA"";13130;26871;-;1042;41043"
"""150611 QUATIPURU"";35318;61575;-;657;97550"
"""150613 REDENCAO"";410933;1220643;385924;109325;2126825"
"""150616 RIO MARIA"";10264;157851;171;39840;208126"
"""150618 RONDON DO PARA"";-;189068;-;2848;191916"
"""150619 RUROPOLIS"";12416;334828;-;39708;386952"
"""150620 SALINOPOLIS"";73041;384332;-;60984;518357"
"""150630 SALVATERRA"";97340;112139;-;2732;212211"
"""150635 SANTA BARBARA DO PARA"";-;77409;-;236;77645"
"""150640 SANTA CRUZ DO ARARI"";8931;36143;-;797;45871"
"""150650 SANTA IZABEL DO PARA"";9187;602475;-;6803;618465"
"""150655 SANTA LUZIA DO PARA"";22180;10595;-;6735;39510"
"""150658 SANTA MARIA DAS BARREIRAS"";515;74920;14;13159;88608"
"""150660 SANTA MARIA DO PARA"";3206;109377;11;10573;123167"
"""150670 SANTANA DO ARAGUAIA"";206230;773876;611;65653;1046370"
"""150680 SANTAREM"";774539;2823860;1025100;30198;4653697"
"""150690 SANTAREM NOVO"";1069;10071;-;237;11377"
"""150700 SANTO ANTONIO DO TAUA"";582;99311;3103;-;102996"
"""150710 SAO CAETANO DE ODIVELAS"";206875;1349;-;793;209017"
"""150715 SAO DOMINGOS DO ARAGUAIA"";20265;61417;-;3312;84994"
"""150720 SAO DOMINGOS DO CAPIM"";47072;150247;-;8588;205907"
"""150730 SAO FELIX DO XINGU"";54591;266874;335;14711;336511"
"""150740 SAO FRANCISCO DO PARA"";32927;20562;-;690;54179"
"""150745 SAO GERALDO DO ARAGUAIA"";2575;178108;-;69630;250313"
"""150746 SAO JOAO DA PONTA"";-;11477;-;-;11477"
"""150747 SAO JOAO DE PIRABAS"";36074;163511;26;32283;231894"
"""150750 SAO JOAO DO ARAGUAIA"";12140;20760;-;1228;34128"
"""150760 SAO MIGUEL DO GUAMA"";206234;507884;62;22116;736296"
"""150770 SAO SEBASTIAO DA BOA VISTA"";-;39247;-;-;39247"
"""150775 SAPUCAIA"";153;242751;-;10333;253237"
"""150780 SENADOR JOSE PORFIRIO"";87730;75768;-;225;163723"
"""150790 SOURE"";137956;85464;-;7041;230461"
"""150795 TAILANDIA"";34435;791095;4557;183160;1013247"
"""150796 TERRA ALTA"";4344;38134;-;700;43178"
"""150797 TERRA SANTA"";334059;167651;-;60239;561949"
"""150800 TOME-ACU"";126502;877924;-;50886;1055312"
"""150803 TRACUATEUA"";2452;94229;-;1591;98272"
"""150805 TRAIRAO"";28071;31445;-;22361;81877"
"""150808 TUCUMA"";20247;272226;570;165831;458874"
"""150810 TUCURUI"";133242;1244244;168085;93517;1639088"
"""150812 ULIANOPOLIS"";324910;637325;163207;51449;1176891"
"""150815 URUARA"";185069;284980;-;117385;587434"
"""150820 VIGIA"";59828;156518;-;39018;255364"
"""150830 VISEU"";27118;263472;-;68812;359402"
