"""Regi∆o de Sa£de/Munic°pio"";""2021"";""2022"";""2023"";""2024"";""2025"";""2026"";""Total"""
""".....  ITATIBA"";104;4975;5376;5794;6710;325;23284"
""".....  HORTOLANDIA"";103;4650;5346;5340;5693;320;21452"
""".....  PAULINIA"";617;6722;6893;8106;5215;-;27553"
""".....  NOVA ODESSA"";24;1513;1453;1449;1513;-;5952"
""".....  MONTE MOR"";6;1146;1192;1126;1180;71;4721"
""".....  VALINHOS"";50;3726;4275;4117;4652;319;17139"
""".....  VINHEDO"";34;4294;4807;5830;5899;400;21264"
""".....  SANTA BARBARA D'OESTE"";441;8224;8619;8872;9034;617;35807"
""".....  COSMOPOLIS"";10;1726;1531;1681;1799;137;6884"
""".....  PEDREIRA"";14;1205;1124;1041;1075;93;4552"
"""35073 Jundia°"";1275;50404;53209;58478;53702;3970;221038"
""".....  VARZEA PAULISTA"";-;604;157;890;805;54;2510"
""".....  LOUVEIRA"";24;2452;2952;2839;2655;205;11127"
""".....  JUNDIAI"";1207;41635;43746;47533;42482;3334;179937"
""".....  CABREUVA"";6;281;422;546;796;66;2117"
""".....  JARINU"";12;463;410;571;669;-;2125"
""".....  ITUPEVA"";10;1406;1518;2111;2156;-;7201"
""".....  CAMPO LIMPO PAULISTA"";16;3563;4004;3988;4139;311;16021"
"""35074 Circuito das µguas"";303;6568;6829;7636;8329;559;30224"
""".....  AMPARO"";116;4245;4519;4926;5020;362;19188"
""".....  SERRA NEGRA"";13;1198;1168;1350;2175;159;6063"
""".....  AGUAS DE LINDOIA"";174;1125;1142;1360;1134;38;4973"
"""35081 Tràs Colinas"";524;22965;23374;25790;26811;1787;101251"
""".....  PATROCINIO PAULISTA"";4;861;841;821;926;54;3507"
""".....  PEDREGULHO"";45;852;847;951;1287;12;3994"
""".....  FRANCA"";475;21252;21686;24018;24598;1721;93750"
"""35082 Alta Anhanguera"";460;7732;8175;8506;9477;676;35026"
""".....  SAO JOAQUIM DA BARRA"";29;2500;2733;3153;3706;277;12398"
""".....  IPUA"";4;630;671;830;1017;73;3225"
""".....  SALES OLIVEIRA"";2;296;362;323;299;16;1298"
""".....  MORRO AGUDO"";26;1547;1803;1805;1854;159;7194"
""".....  ORLANDIA"";399;2759;2606;2395;2601;151;10911"
"""35083 Alta Mogiana"";220;6504;6631;7034;7164;382;27935"
""".....  GUARA"";59;746;795;986;920;47;3553"
""".....  MIGUELOPOLIS"";42;1124;1280;1153;1095;42;4736"
""".....  ITUVERAVA"";93;3501;3395;3592;3805;222;14608"
""".....  IGARAPAVA"";26;1133;1161;1303;1344;71;5038"
"""35091 Adamantina"";49;7537;8419;9020;9744;746;35515"
""".....  LUCELIA"";4;495;521;533;678;48;2279"
""".....  OSVALDO CRUZ"";9;2077;2307;2483;2706;197;9779"
""".....  ADAMANTINA"";33;4239;4711;5170;5407;409;19969"
""".....  FLORIDA PAULISTA"";3;726;880;834;953;92;3488"
"""35092 Assis"";298;14934;17045;19167;21913;1663;75020"
""".....  CANDIDO MOTA"";-;1847;2178;2203;2369;168;8765"
""".....  PALMITAL"";7;1339;2020;1906;2061;182;7515"
""".....  ASSIS"";205;8200;8988;10041;10794;708;38936"
""".....  PARAGUACU PAULISTA"";83;2996;3214;4094;5783;547;16717"
""".....  MARACAI"";3;552;645;923;906;58;3087"
"""35093 Mar°lia"";1164;29909;30019;31827;34787;2251;129957"
""".....  POMPEIA"";9;463;407;687;817;48;2431"
""".....  GALIA"";-;98;130;115;144;12;499"
""".....  GARCA"";236;2364;2843;3103;3067;136;11749"
""".....  MARILIA"";919;26984;26639;27922;30759;2055;115278"
"""35094 Ourinhos"";525;15567;16737;18105;18679;1195;70808"
""".....  BERNARDINO DE CAMPOS"";3;571;531;694;789;37;2625"
""".....  CHAVANTES"";14;878;1178;1151;1155;78;4454"
""".....  IPAUSSU"";4;566;560;519;762;52;2463"
""".....  OURINHOS"";410;9109;10111;10966;11027;742;42365"
""".....  SALTO GRANDE"";6;537;508;452;701;45;2249"
""".....  SANTA CRUZ DO RIO PARDO"";88;3906;3849;4323;4245;241;16652"
"""35095 Tup∆"";84;9900;10324;10523;10390;694;41915"
""".....  RINOPOLIS"";3;245;208;229;282;20;987"
""".....  TUPA"";74;7321;7535;8066;8004;511;31511"
""".....  PARAPUA"";3;477;343;-;42;-;865"
""".....  HERCULANDIA"";-;736;872;876;780;71;3335"
""".....  BASTOS"";4;1121;1366;1352;1282;92;5217"
"""35101 Araras"";225;15407;15176;16264;18175;1379;66626"
""".....  LEME"";91;5011;5269;5586;5587;400;21944"
""".....  CONCHAL"";26;1613;1742;1985;2554;205;8125"
""".....  ARARAS"";87;6480;5633;6130;7360;584;26274"
