"""Munic¡pio"";""Eletivo"";""Urgˆncia"";""Acid local trab"";""Acid trajeto"";""Outros ac trab"";""Outras caus ext"";""Total"""
"""353530 PALMITAL"";2468;5047;-;-;-;-;7515"
"""353540 PANORAMA"";-;273;-;-;-;-;273"
"""353550 PARAGUACU PAULISTA"";4818;11899;-;-;-;-;16717"
"""353580 PARANAPANEMA"";3089;48;-;-;-;-;3137"
"""353600 PARAPUA"";-;865;-;-;-;-;865"
"""353620 PARIQUERA-ACU"";9377;28520;-;-;-;-;37897"
"""353630 PATROCINIO PAULISTA"";1061;2446;-;-;-;-;3507"
"""353650 PAULINIA"";7297;20256;-;-;-;-;27553"
"""353660 PAULO DE FARIA"";-;492;-;-;-;-;492"
"""353670 PEDERNEIRAS"";1822;5955;-;-;-;-;7777"
"""353700 PEDREGULHO"";646;3348;-;-;-;-;3994"
"""353710 PEDREIRA"";1163;3389;-;-;-;-;4552"
"""353730 PENAPOLIS"";4010;18406;-;-;-;-;22416"
"""353740 PEREIRA BARRETO"";418;3702;-;-;-;-;4120"
"""353760 PERUIBE"";13;1375;-;-;-;-;1388"
"""353780 PIEDADE"";62;10862;-;-;1;-;10925"
"""353790 PILAR DO SUL"";-;4370;-;-;-;-;4370"
"""353800 PINDAMONHANGABA"";4262;23891;-;-;-;-;28153"
"""353860 PIRACAIA"";137;2055;-;-;-;-;2192"
"""353870 PIRACICABA"";74610;71992;-;-;1;4;146607"
"""353880 PIRAJU"";681;7789;-;-;-;-;8470"
"""353890 PIRAJUI"";2388;3814;-;-;-;-;6202"
"""353900 PIRANGI"";1453;2340;-;-;-;-;3793"
"""353930 PIRASSUNUNGA"";105;10178;-;-;-;-;10283"
"""353940 PIRATININGA"";26;1139;-;-;-;-;1165"
"""353950 PITANGUEIRAS"";1461;4849;-;-;-;-;6310"
"""354000 POMPEIA"";844;1587;-;-;-;-;2431"
"""354020 PONTAL"";1514;5309;-;-;-;-;6823"
"""354040 POPULINA"";37;564;-;-;-;-;601"
"""354060 PORTO FELIZ"";4699;9171;-;-;-;-;13870"
"""354070 PORTO FERREIRA"";1256;7447;-;-;-;-;8703"
"""354080 POTIRENDABA"";175;2880;-;-;-;-;3055"
"""354100 PRAIA GRANDE"";3656;34897;-;-;-;-;38553"
"""354120 PRESIDENTE BERNARDES"";44;4839;-;-;-;-;4883"
"""354130 PRESIDENTE EPITACIO"";1079;9887;-;-;201;3;11170"
"""354140 PRESIDENTE PRUDENTE"";56961;105962;-;-;1;-;162924"
"""354150 PRESIDENTE VENCESLAU"";1372;8283;-;-;-;-;9655"
"""354160 PROMISSAO"";7456;6846;-;-;1;-;14303"
"""354190 QUELUZ"";1;739;-;-;-;-;740"
"""354220 RANCHARIA"";3933;11143;-;-;-;-;15076"
"""354240 REGENTE FEIJO"";-;3284;-;-;-;-;3284"
"""354260 REGISTRO"";15040;24689;-;-;-;-;39729"
"""354290 RIBEIRAO BONITO"";214;1042;-;-;-;-;1256"
"""354300 RIBEIRAO BRANCO"";2;1675;-;-;-;-;1677"
"""354330 RIBEIRAO PIRES"";646;7804;-;-;-;-;8450"
"""354340 RIBEIRAO PRETO"";113273;216332;-;-;2449;2698;334752"
"""354380 RINOPOLIS"";-;987;-;-;-;-;987"
"""354390 RIO CLARO"";4409;35161;-;-;-;-;39570"
"""354400 RIO DAS PEDRAS"";1538;2192;-;-;-;-;3730"
"""354420 RIOLANDIA"";529;1;-;-;-;-;530"
"""354425 ROSANA"";3487;9615;-;-;-;-;13102"
"""354490 SALES OLIVEIRA"";30;1268;-;-;-;-;1298"
"""354500 SALESOPOLIS"";-;1776;-;-;-;-;1776"
"""354520 SALTO"";4010;17357;1;-;-;-;21368"
"""354530 SALTO DE PIRAPORA"";4119;5831;-;-;-;-;9950"
"""354540 SALTO GRANDE"";234;2015;-;-;-;-;2249"
"""354560 SANTA ADELIA"";1275;1435;-;-;-;-;2710"
"""354580 SANTA BARBARA D'OESTE"";17248;18559;-;-;-;-;35807"
"""354630 SANTA CRUZ DAS PALMEIRAS"";972;4186;-;-;-;-;5158"
"""354640 SANTA CRUZ DO RIO PARDO"";3904;12748;-;-;-;-;16652"
"""354660 SANTA FE DO SUL"";2127;10030;-;-;-;-;12157"
"""354680 SANTA ISABEL"";1074;7733;-;-;-;-;8807"
"""354730 SANTANA DE PARNAIBA"";535;14502;-;-;-;1;15038"
"""354750 SANTA RITA DO PASSA QUATRO"";838;5340;-;-;-;-;6178"
"""354760 SANTA ROSA DE VITERBO"";577;3595;-;-;-;-;4172"
"""354770 SANTO ANASTACIO"";543;7206;-;-;-;-;7749"
"""354780 SANTO ANDRE"";94815;109148;-;-;154;-;204117"
"""354790 SANTO ANTONIO DA ALEGRIA"";497;-;-;-;-;-;497"
"""354850 SANTOS"";44662;90857;-;-;-;-;135519"
"""354860 SAO BENTO DO SAPUCAI"";32;1763;-;-;-;-;1795"
"""354870 SAO BERNARDO DO CAMPO"";33793;121506;-;-;-;-;155299"
"""354880 SAO CAETANO DO SUL"";10804;39454;-;-;-;-;50258"
"""354890 SAO CARLOS"";14055;60227;-;-;-;-;74282"
"""354910 SAO JOAO DA BOA VISTA"";4528;17764;-;-;664;1637;24593"
"""354940 SAO JOAQUIM DA BARRA"";2728;9670;-;-;-;-;12398"
"""354970 SAO JOSE DO RIO PARDO"";1810;16548;-;-;-;-;18358"
"""354980 SAO JOSE DO RIO PRETO"";106446;192195;-;-;5970;20904;325515"
"""354990 SAO JOSE DOS CAMPOS"";77772;140833;-;-;-;-;218605"
"""355000 SAO LUIS DO PARAITINGA"";2;681;-;-;-;-;683"
"""355010 SAO MANUEL"";307;5458;-;-;-;-;5765"
"""355020 SAO MIGUEL ARCANJO"";5499;82;-;-;-;-;5581"
"""355030 SAO PAULO"";1008550;1803181;-;2;10802;29370;2851905"
"""355040 SAO PEDRO"";9828;3782;-;-;-;-;13610"
"""355060 SAO ROQUE"";3091;13869;-;-;-;-;16960"
"""355070 SAO SEBASTIAO"";2372;19707;-;-;-;-;22079"
"""355080 SAO SEBASTIAO DA GRAMA"";505;1704;-;-;-;-;2209"
"""355090 SAO SIMAO"";-;1241;-;-;-;-;1241"
"""355100 SAO VICENTE"";9092;32716;-;-;-;-;41808"
"""355150 SERRANA"";7853;9437;-;-;-;3;17293"
"""355160 SERRA NEGRA"";1095;4968;-;-;-;-;6063"
"""355170 SERTAOZINHO"";5132;21757;-;-;-;-;26889"
"""355200 SILVEIRAS"";-;145;-;-;-;-;145"
"""355210 SOCORRO"";1647;10873;-;-;-;-;12520"
"""355220 SOROCABA"";63634;164516;-;-;4642;-;232792"
"""355230 SUD MENNUCCI"";570;564;-;-;-;-;1134"
"""355240 SUMARE"";18616;25869;-;-;2070;5489;52044"
"""355250 SUZANO"";2331;24571;-;-;-;-;26902"
"""355260 TABAPUA"";481;2358;-;-;-;-;2839"
"""355270 TABATINGA"";507;2895;-;-;-;-;3402"
"""355280 TABOAO DA SERRA"";22138;61109;3;-;16;-;83266"
"""355300 TAGUAI"";174;2539;-;-;-;-;2713"
"""355330 TAMBAU"";1303;3689;-;-;-;-;4992"
"""355340 TANABI"";4;5664;-;-;-;-;5668"
"""355360 TAPIRATIBA"";358;1014;-;-;-;-;1372"
"""355370 TAQUARITINGA"";2373;16581;-;-;-;-;18954"
"""355380 TAQUARITUBA"";1786;6886;-;-;-;-;8672"
"""355400 TATUI"";3142;17753;-;-;-;-;20895"
"""355410 TAUBATE"";30281;66302;-;-;-;-;96583"
"""355430 TEODORO SAMPAIO"";7;4642;-;-;-;-;4649"
"""355440 TERRA ROXA"";-;333;-;-;-;-;333"
"""355450 TIETE"";828;8191;-;-;-;-;9019"
"""355470 TORRINHA"";1;369;-;-;-;-;370"
"""355500 TUPA"";9867;21644;-;-;-;-;31511"
"""355510 TUPI PAULISTA"";4550;50;-;-;-;-;4600"
"""355540 UBATUBA"";1069;18116;-;-;1;-;19186"
"""355580 URANIA"";2;982;-;-;-;-;984"
"""355600 URUPES"";388;1904;-;-;-;-;2292"
"""355620 VALINHOS"";2020;15119;-;-;-;-;17139"
"""355630 VALPARAISO"";765;2310;-;-;-;-;3075"
"""355640 VARGEM GRANDE DO SUL"";554;9461;-;-;-;-;10015"
"""355650 VARZEA PAULISTA"";1;2509;-;-;-;-;2510"
"""355670 VINHEDO"";6372;14892;-;-;-;-;21264"
"""355680 VIRADOURO"";-;1504;-;-;-;-;1504"
"""355700 VOTORANTIM"";6819;10531;-;-;-;-;17350"
"""355710 VOTUPORANGA"";3281;38366;-;-;-;-;41647"
"""355720 CHAVANTES"";344;4110;-;-;-;-;4454"
"""Total"";3291418;7592784;82;34;44403;93668;11022389"
&
