"""Munic¡pio"";""04 Fundo de A‡äes Estrat‚gicas e Compensa‡äes FAEC"";""06 M‚dia e Alta Complexidade (MAC)"";""Total"""
"""150375 JACAREACANGA"";-;462062,81;462062,81"
"""150380 JACUNDA"";1049004,09;1360589,71;2409593,80"
"""150390 JURUTI"";-;1103330,75;1103330,75"
"""150400 LIMOEIRO DO AJURU"";-;536561,71;536561,71"
"""150405 MAE DO RIO"";66261,40;556968,29;623229,69"
"""150420 MARABA"";2979207,87;18007458,06;20986665,93"
"""150430 MARACANA"";1792,99;127131,63;128924,62"
"""150440 MARAPANIM"";-;205543,58;205543,58"
"""150442 MARITUBA"";109341,52;5863403,63;5972745,15"
"""150445 MEDICILANDIA"";127823,91;569776,09;697600,00"
"""150450 MELGACO"";-;273739,80;273739,80"
"""150460 MOCAJUBA"";-;968229,88;968229,88"
"""150470 MOJU"";88613,60;798234,67;886848,27"
"""150480 MONTE ALEGRE"";-;1219622,65;1219622,65"
"""150490 MUANA"";175558,59;817651,09;993209,68"
"""150495 NOVA ESPERANCA DO PIRIA"";6376,47;139903,12;146279,59"
"""150497 NOVA IPIXUNA"";-;100465,12;100465,12"
"""150503 NOVO PROGRESSO"";-;1597955,71;1597955,71"
"""150506 NOVO REPARTIMENTO"";342946,30;468325,59;811271,89"
"""150510 OBIDOS"";-;906534,47;906534,47"
"""150520 OEIRAS DO PARA"";-;431311,10;431311,10"
"""150530 ORIXIMINA"";-;2208313,34;2208313,34"
"""150540 OUREM"";277431,17;469685,29;747116,46"
"""150543 OURILANDIA DO NORTE"";627341,80;3217400,72;3844742,52"
"""150548 PACAJA"";81712,54;1239659,51;1321372,05"
"""150549 PALESTINA DO PARA"";-;123065,56;123065,56"
"""150550 PARAGOMINAS"";1409211,00;5653800,09;7063011,09"
"""150553 PARAUAPEBAS"";63963,58;8075407,11;8139370,69"
"""150555 PAU D'ARCO"";2542,24;244416,40;246958,64"
"""150563 PICARRA"";-;231831,84;231831,84"
"""150565 PLACAS"";14142,91;465188,30;479331,21"
"""150570 PONTA DE PEDRAS"";-;335308,35;335308,35"
"""150580 PORTEL"";216022,52;1261059,72;1477082,24"
"""150590 PORTO DE MOZ"";-;745013,81;745013,81"
"""150600 PRAINHA"";209881,73;438319,60;648201,33"
"""150613 REDENCAO"";3369346,06;11882756,33;15252102,39"
"""150616 RIO MARIA"";626281,84;1070075,93;1696357,77"
"""150618 RONDON DO PARA"";-;947577,93;947577,93"
"""150619 RUROPOLIS"";104171,03;814772,82;918943,85"
"""150620 SALINOPOLIS"";-;1398279,60;1398279,60"
"""150630 SALVATERRA"";-;477214,63;477214,63"
"""150640 SANTA CRUZ DO ARARI"";-;158151,51;158151,51"
"""150650 SANTA IZABEL DO PARA"";380669,61;759774,79;1140444,40"
"""150658 SANTA MARIA DAS BARREIRAS"";13466,81;281245,87;294712,68"
"""150660 SANTA MARIA DO PARA"";105825,74;252282,13;358107,87"
"""150670 SANTANA DO ARAGUAIA"";239092,57;1047104,15;1286196,72"
"""150680 SANTAREM"";4397761,74;18598714,66;22996476,40"
"""150700 SANTO ANTONIO DO TAUA"";-;2838494,99;2838494,99"
"""150715 SAO DOMINGOS DO ARAGUAIA"";-;185275,84;185275,84"
"""150720 SAO DOMINGOS DO CAPIM"";-;318946,07;318946,07"
"""150730 SAO FELIX DO XINGU"";327062,23;1406503,04;1733565,27"
"""150745 SAO GERALDO DO ARAGUAIA"";55945,61;663710,79;719656,40"
"""150747 SAO JOAO DE PIRABAS"";87504,38;272046,47;359550,85"
