"""Munic¡pio"";""04 Fundo de A‡äes Estrat‚gicas e Compensa‡äes FAEC"";""05 Incentivo - MAC"";""06 M‚dia e Alta Complexidade (MAC)"";""Total"""
"""150780 SENADOR JOSE PORFIRIO"";92215,52;-;625313,23;717528,75"
"""150790 SOURE"";-;-;597593,04;597593,04"
"""150795 TAILANDIA"";6310,88;-;2260218,78;2266529,66"
"""150797 TERRA SANTA"";-;-;319829,57;319829,57"
"""150800 TOME-ACU"";17200,09;-;1335840,82;1353040,91"
"""150803 TRACUATEUA"";-;-;462968,02;462968,02"
"""150805 TRAIRAO"";100435,71;-;373895,46;474331,17"
"""150808 TUCUMA"";167525,52;-;837099,08;1004624,60"
"""150810 TUCURUI"";344511,80;-;9692020,85;10036532,65"
"""150812 ULIANOPOLIS"";203731,79;-;3556797,08;3760528,87"
"""150815 URUARA"";103003,17;-;1656169,46;1759172,63"
"""150820 VIGIA"";-;-;1000101,01;1000101,01"
"""150830 VISEU"";293098,14;-;725443,04;1018541,18"
"""150835 VITORIA DO XINGU"";86714,73;-;566482,99;653197,72"
"""150840 XINGUARA"";430095,43;-;1243799,93;1673895,36"
"""160005 SERRA DO NAVIO"";-;-;14386,39;14386,39"
"""160010 AMAPA"";-;-;42175,36;42175,36"
"""160015 PEDRA BRANCA DO AMAPARI"";-;-;38181,33;38181,33"
"""160020 CALCOENE"";-;-;86233,10;86233,10"
"""160023 FERREIRA GOMES"";-;-;18477,35;18477,35"
"""160027 LARANJAL DO JARI"";426848,71;-;1693070,97;2119919,68"
"""160030 MACAPA"";12403157,94;-;34068501,83;46471659,77"
"""160040 MAZAGAO"";-;-;57751,42;57751,42"
"""160050 OIAPOQUE"";56433,24;-;678763,88;735197,12"
"""160053 PORTO GRANDE"";-;-;1504335,92;1504335,92"
"""160060 SANTANA"";86981,88;-;3199816,12;3286798,00"
"""160070 TARTARUGALZINHO"";-;-;132909,18;132909,18"
"""170070 ALVORADA"";60553,34;-;122100,56;182653,90"
"""170100 ANANAS"";-;-;62599,20;62599,20"
"""170190 ARAGUACEMA"";63750,22;-;259524,83;323275,05"
"""170200 ARAGUACU"";62907,78;-;180563,63;243471,41"
"""170210 ARAGUAINA"";16425609,61;-;33737550,56;50163160,17"
"""170220 ARAGUATINS"";571061,52;-;443127,49;1014189,01"
"""170230 ARAPOEMA"";380830,75;-;333545,77;714376,52"
"""170240 ARRAIAS"";265271,24;-;578126,03;843397,27"
"""170255 AUGUSTINOPOLIS"";338408,26;-;2428292,44;2766700,70"
"""170550 COLINAS DO TOCANTINS"";431637,47;-;694272,32;1125909,79"
"""170610 CRISTALANDIA"";33527,49;-;10497,46;44024,95"
"""170700 DIANOPOLIS"";554952,81;-;669135,32;1224088,13"
"""170710 DIVINOPOLIS DO TOCANTINS"";64475,32;-;28817,05;93292,37"
"""170730 DUERE"";34097,10;-;18593,78;52690,88"
"""170820 FORMOSO DO ARAGUAIA"";116570,58;-;298306,01;414876,59"
"""170900 GOIATINS"";-;-;39247,69;39247,69"
"""170930 GUARAI"";881792,39;-;940005,23;1821797,62"
"""170950 GURUPI"";1359933,99;-;9955585,02;11315519,01"
"""171050 ITACAJA"";19431,02;-;80545,94;99976,96"
"""171190 LAGOA DA CONFUSAO"";-;-;8416,61;8416,61"
"""171320 MIRACEMA DO TOCANTINS"";985104,06;-;1945267,27;2930371,33"
"""171420 NATIVIDADE"";55761,50;-;29740,08;85501,58"
"""171575 PALMEIROPOLIS"";107130,33;-;38766,87;145897,20"
"""171610 PARAISO DO TOCANTINS"";1425957,86;-;2691388,50;4117346,36"
"""171620 PARANA"";54319,17;-;91954,60;146273,77"
"""171650 PEDRO AFONSO"";167056,36;-;381800,83;548857,19"
"""171660 PEIXE"";83383,38;-;61765,14;145148,52"
"""171700 PINDORAMA DO TOCANTINS"";70610,71;-;5003,51;75614,22"
"""171750 PIUM"";264626,61;-;95647,50;360274,11"
"""171790 PONTE ALTA DO TOCANTINS"";-;-;42377,75;42377,75"
"""171820 PORTO NACIONAL"";606264,99;-;3691415,27;4297680,26"
"""172065 SILVANOPOLIS"";-;-;41977,47;41977,47"
"""172080 SITIO NOVO DO TOCANTINS"";409063,13;-;-;409063,13"
"""172090 TAGUATINGA"";264033,34;-;170967,19;435000,53"
"""172100 PALMAS"";11076510,79;-;41514579,50;52591090,29"
"""172120 TOCANTINOPOLIS"";398457,45;-;343221,67;741679,12"
"""172210 XAMBIOA"";408615,99;-;372506,30;781122,29"
"""210005 ACAILANDIA"";735229,63;-;6389558,23;7124787,86"
"""210010 AFONSO CUNHA"";-;-;51594,27;51594,27"
"""210020 ALCANTARA"";-;-;281633,20;281633,20"
"""210030 ALDEIAS ALTAS"";-;-;180336,68;180336,68"
"""210043 ALTO ALEGRE DO MARANHAO"";-;-;2054901,21;2054901,21"
"""210047 ALTO ALEGRE DO PINDARE"";82206,95;-;955786,67;1037993,62"
"""210050 ALTO PARNAIBA"";-;-;124973,62;124973,62"
"""210060 AMARANTE DO MARANHAO"";-;-;1205711,54;1205711,54"
"""210070 ANAJATUBA"";-;-;73113,28;73113,28"
"""210080 ANAPURUS"";-;-;349468,78;349468,78"
"""210083 APICUM-ACU"";-;-;382819,18;382819,18"
"""210087 ARAGUANA"";-;-;212346,13;212346,13"
"""210090 ARAIOSES"";-;-;71516,47;71516,47"
"""210095 ARAME"";-;-;89548,04;89548,04"
"""210100 ARARI"";20021,71;-;320710,54;340732,25"
"""210110 AXIXA"";-;-;66935,46;66935,46"
"""210120 BACABAL"";1530679,03;-;9513257,08;11043936,11"
"""210125 BACABEIRA"";-;-;206713,43;206713,43"
"""210130 BACURI"";-;-;371879,93;371879,93"
"""210140 BALSAS"";474648,59;-;7619969,50;8094618,09"
"""210150 BARAO DE GRAJAU"";-;-;100299,62;100299,62"
"""210160 BARRA DO CORDA"";66781,55;-;5378923,89;5445705,44"
"""210170 BARREIRINHAS"";-;-;4564082,71;4564082,71"
"""210173 BELAGUA"";-;-;80489,85;80489,85"
"""210177 BELA VISTA DO MARANHAO"";-;-;232701,15;232701,15"
"""210180 BENEDITO LEITE"";-;-;68219,66;68219,66"
"""210190 BEQUIMAO"";-;-;212520,36;212520,36"
"""210193 BERNARDO DO MEARIM"";-;-;59400,20;59400,20"
"""210200 BOM JARDIM"";-;-;477873,38;477873,38"
"""210203 BOM JESUS DAS SELVAS"";-;-;514146,03;514146,03"
"""210210 BREJO"";-;-;515848,72;515848,72"
"""210220 BURITI"";-;-;216143,03;216143,03"
"""210230 BURITI BRAVO"";47536,03;-;516200,34;563736,37"
"""210232 BURITICUPU"";87823,04;14767,80;1156841,69;1259432,53"
"""210240 CAJAPIO"";-;-;168073,51;168073,51"
"""210250 CAJARI"";-;-;131847,80;131847,80"
"""210260 CANDIDO MENDES"";-;-;191580,37;191580,37"
"""210270 CANTANHEDE"";481,59;-;412184,80;412666,39"
"""210275 CAPINZAL DO NORTE"";-;-;101616,89;101616,89"
