"""Munic°pio"";""101-5 ‡rg∆o P£blico do Poder Executivo Federal"";""102-3 ‡rg∆o P£blico do Poder Executivo Estadual ou do Distrito Federal"";""103-1 ‡rg∆o P£blico do Poder Executivo Municipal"";""110-4 Autarquia Federal"";""111-2 Autarquia Estadual ou do Distrito Federal"";""112-0 Autarquia Municipal"";""113-9 Fundaá∆o P£blica de Direito P£blico Federal"";""114-7 Fundaá∆o P£blica de Direito P£blico Estadual ou do Distrito Federal"";""115-5 Fundaá∆o P£blica de Direito P£blico Municipal"";""118-0 ‡rg∆o P£blico Autìnomo Municipal"";""121-0 Cons¢rcio P£blico de Direito P£blico (Associaá∆o P£blica)"";""123-6 Estado ou Distrito Federal"";""124-4 Munic°pio"";""126-0 Fundaá∆o P£blica de Direito Privado Estadual ou do Distrito Federal"";""127-9 Fundaá∆o P£blica de Direito Privado Municipal"";""201-1 Empresa P£blica"";""205-4 Sociedade Anìnima Fechada"";""206-2 Sociedade Empres†ria Limitada"";""208-9 Sociedade Empres†ria em Comandita Simples"";""213-5 Empres†rio (Individual)"";""214-3 Cooperativa"";""224-0 Sociedade Simples Limitada"";""306-9 Fundaá∆o Privada"";""307-7 Serviáo Social Autìnomo"";""313-1 Entidade Sindical"";""399-9 Associaá∆o Privada"";""Total"""
"""130008 ANAMA"";-;-;-;-;-;-;-;-;-;-;-;-;1536;-;-;-;-;-;-;-;-;-;-;-;-;-;1536"
"""130010 ANORI"";-;-;-;-;-;-;-;-;-;-;-;-;1482;-;-;-;-;-;-;-;-;-;-;-;-;-;1482"
"""130014 APUI"";-;-;-;-;-;-;-;-;-;-;-;-;876;-;-;-;-;-;-;-;-;-;-;-;-;-;876"
"""130020 ATALAIA DO NORTE"";-;-;-;-;-;-;-;-;-;-;-;-;823;-;-;-;-;-;-;-;-;-;-;-;-;-;823"
"""130030 AUTAZES"";-;-;-;-;-;-;-;-;-;-;-;-;1246;-;-;-;-;-;-;-;-;-;-;-;-;-;1246"
"""130040 BARCELOS"";-;-;-;-;-;-;-;-;-;-;-;-;848;-;-;-;-;-;-;-;-;-;-;-;-;-;848"
"""130050 BARREIRINHA"";-;-;-;-;-;-;-;-;-;-;-;-;1628;-;-;-;-;-;-;-;-;-;-;-;-;-;1628"
"""130060 BENJAMIN CONSTANT"";-;-;-;-;-;-;-;-;-;-;-;-;1962;-;-;-;-;-;-;-;-;-;-;-;-;-;1962"
"""130063 BERURI"";-;-;-;-;-;-;-;-;-;-;-;-;936;-;-;-;-;-;-;-;-;-;-;-;-;-;936"
"""130068 BOA VISTA DO RAMOS"";-;-;-;-;-;-;-;-;-;-;-;-;895;-;-;-;-;-;-;-;-;-;-;-;-;-;895"
"""130070 BOCA DO ACRE"";-;-;-;-;-;-;-;-;-;-;-;-;2069;-;-;-;-;-;-;-;-;-;-;-;-;-;2069"
"""130080 BORBA"";-;-;-;-;-;-;-;-;-;-;-;-;1808;-;-;-;-;-;-;-;-;-;-;-;-;-;1808"
"""130083 CAAPIRANGA"";-;-;-;-;-;-;-;-;-;-;-;-;642;-;-;-;-;-;-;-;-;-;-;-;-;-;642"
"""130090 CANUTAMA"";-;-;-;-;-;-;-;-;-;-;-;-;733;-;-;-;-;-;-;-;-;-;-;-;-;-;733"
"""130100 CARAUARI"";-;-;-;-;-;-;-;-;-;-;-;-;2440;-;-;-;-;-;-;-;-;-;-;-;-;-;2440"
"""130110 CAREIRO"";-;-;-;-;-;-;-;-;-;-;-;-;2266;-;-;-;-;-;-;-;-;-;-;-;-;-;2266"
"""130120 COARI"";-;-;-;-;-;-;-;-;-;-;-;-;4749;-;-;-;-;-;-;-;-;-;-;-;-;-;4749"
"""130130 CODAJAS"";-;-;-;-;-;-;-;-;-;-;-;-;1453;-;-;-;-;-;-;-;-;-;-;-;-;-;1453"
"""130140 EIRUNEPE"";-;-;-;-;-;-;-;-;-;-;-;-;1666;-;-;-;-;-;-;-;-;-;-;-;-;-;1666"
"""130150 ENVIRA"";-;-;-;-;-;-;-;-;-;-;-;-;839;-;-;-;-;-;-;-;-;-;-;-;-;-;839"
"""130160 FONTE BOA"";-;-;-;-;-;-;-;-;-;-;-;-;1476;-;-;-;-;-;-;-;-;-;-;-;-;-;1476"
"""130165 GUAJARA"";-;-;-;-;-;-;-;-;-;-;-;-;532;-;-;-;-;-;-;-;-;-;-;-;-;-;532"
"""130170 HUMAITA"";-;-;-;-;-;-;-;-;-;-;-;-;1742;-;-;-;-;-;-;-;-;-;-;-;-;-;1742"
"""130180 IPIXUNA"";-;-;-;-;-;-;-;-;-;-;-;-;2214;-;-;-;-;-;-;-;-;-;-;-;-;-;2214"
"""130185 IRANDUBA"";-;-;-;-;-;-;-;-;-;-;-;-;794;-;-;-;-;-;-;-;-;-;-;-;-;-;794"
"""130190 ITACOATIARA"";-;-;-;-;-;-;-;-;-;-;-;-;5288;-;-;-;-;-;-;-;-;-;-;-;-;-;5288"
"""130195 ITAMARATI"";-;-;-;-;-;-;-;-;-;-;-;-;961;-;-;-;-;-;-;-;-;-;-;-;-;-;961"
"""130200 ITAPIRANGA"";-;-;-;-;-;-;-;-;-;-;-;-;511;-;-;-;-;-;-;-;-;-;-;-;-;-;511"
"""130210 JAPURA"";-;-;-;-;-;-;-;-;-;-;-;-;451;-;-;-;-;-;-;-;-;-;-;-;-;-;451"
"""130230 JUTAI"";-;1841;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1841"
"""130240 LABREA"";-;1056;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1056"
"""130250 MANACAPURU"";-;-;-;-;-;-;-;-;-;-;-;-;6587;-;-;-;-;-;-;-;-;-;-;-;-;-;6587"
"""130255 MANAQUIRI"";-;-;-;-;-;-;-;-;-;-;-;-;627;-;-;-;-;-;-;-;-;-;-;-;-;-;627"
"""130260 MANAUS"";-;100409;5773;-;-;-;-;17255;-;-;-;-;-;-;-;5296;-;247;-;-;-;39;-;-;-;39;129058"
"""130270 MANICORE"";-;-;-;-;-;-;-;-;-;-;-;-;1965;-;-;-;-;-;-;-;-;-;-;-;-;-;1965"
"""130280 MARAA"";-;-;-;-;-;-;-;-;-;-;-;-;695;-;-;-;-;-;-;-;-;-;-;-;-;-;695"
"""130290 MAUES"";-;-;-;-;-;-;-;-;-;-;-;-;3059;-;-;-;-;-;-;-;-;-;-;-;-;-;3059"
"""130300 NHAMUNDA"";-;-;-;-;-;-;-;-;-;-;-;-;1133;-;-;-;-;-;-;-;-;-;-;-;-;-;1133"
"""130310 NOVA OLINDA DO NORTE"";-;-;-;-;-;-;-;-;-;-;-;-;1294;-;-;-;-;-;-;-;-;-;-;-;-;-;1294"
"""130320 NOVO AIRAO"";-;-;-;-;-;-;-;-;-;-;-;-;1038;-;-;-;-;-;-;-;-;-;-;-;-;-;1038"
"""130330 NOVO ARIPUANA"";-;-;-;-;-;-;-;-;-;-;-;-;1306;-;-;-;-;-;-;-;-;-;-;-;-;-;1306"
"""130340 PARINTINS"";-;-;-;-;-;-;-;-;-;-;-;-;5789;-;-;-;-;-;-;-;-;-;-;-;-;4126;9915"
