"""Munic°pio"";""101-5 ‡rg∆o P£blico do Poder Executivo Federal"";""102-3 ‡rg∆o P£blico do Poder Executivo Estadual ou do Distrito Federal"";""103-1 ‡rg∆o P£blico do Poder Executivo Municipal"";""110-4 Autarquia Federal"";""111-2 Autarquia Estadual ou do Distrito Federal"";""112-0 Autarquia Municipal"";""113-9 Fundaá∆o P£blica de Direito P£blico Federal"";""114-7 Fundaá∆o P£blica de Direito P£blico Estadual ou do Distrito Federal"";""115-5 Fundaá∆o P£blica de Direito P£blico Municipal"";""118-0 ‡rg∆o P£blico Autìnomo Municipal"";""121-0 Cons¢rcio P£blico de Direito P£blico (Associaá∆o P£blica)"";""123-6 Estado ou Distrito Federal"";""124-4 Munic°pio"";""126-0 Fundaá∆o P£blica de Direito Privado Estadual ou do Distrito Federal"";""127-9 Fundaá∆o P£blica de Direito Privado Municipal"";""201-1 Empresa P£blica"";""205-4 Sociedade Anìnima Fechada"";""206-2 Sociedade Empres†ria Limitada"";""208-9 Sociedade Empres†ria em Comandita Simples"";""213-5 Empres†rio (Individual)"";""214-3 Cooperativa"";""224-0 Sociedade Simples Limitada"";""306-9 Fundaá∆o Privada"";""307-7 Serviáo Social Autìnomo"";""313-1 Entidade Sindical"";""399-9 Associaá∆o Privada"";""Total"""
"""312590 FERROS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;520;520"
"""312595 FERVEDOURO"";-;-;-;-;-;-;-;-;-;-;-;-;154;-;-;-;-;-;-;-;-;-;-;-;-;-;154"
"""312610 FORMIGA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5382;5382"
"""312670 FRANCISCO SA"";-;-;2066;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2066"
"""312710 FRUTAL"";-;-;-;-;-;-;-;-;-;-;-;-;2692;-;-;-;-;-;-;-;-;-;-;-;-;-;2692"
"""312760 GOUVEIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1332;1332"
"""312770 GOVERNADOR VALADARES"";-;-;-;-;-;-;-;-;-;-;-;-;19362;-;-;-;-;81;-;-;-;-;-;-;-;7022;26465"
"""312780 GRAO MOGOL"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1493;-;-;-;1493"
"""312800 GUANHAES"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5695;5695"
"""312810 GUAPE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;416;416"
"""312830 GUARANESIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;857;857"
"""312860 GUARDA-MOR"";-;-;-;-;-;-;-;-;-;-;-;-;331;-;-;-;-;-;-;-;-;-;-;-;-;-;331"
"""312870 GUAXUPE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4312;4312"
"""312910 GURINHATA"";-;-;-;-;-;-;-;-;-;-;-;-;128;-;-;-;-;-;-;-;-;-;-;-;-;-;128"
"""312940 IBERTIOGA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;214;214"
"""312950 IBIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1086;1086"
"""312980 IBIRITE"";-;-;-;-;-;-;-;-;-;-;-;-;5384;-;-;-;-;-;-;-;-;-;-;-;-;-;5384"
"""313010 IGARAPE"";-;-;-;-;-;-;-;-;-;-;3607;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3607"
"""313030 IGUATAMA"";-;-;-;-;-;-;-;-;-;-;-;-;629;-;-;-;-;-;-;-;-;-;-;-;-;-;629"
"""313050 ILICINEA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1022;1022"
"""313090 INHAPIM"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1283;1283"
"""313120 IPANEMA"";-;-;-;-;-;-;-;-;-;-;-;-;2180;-;-;-;-;-;-;-;-;-;-;-;-;-;2180"
"""313130 IPATINGA"";-;-;-;-;-;-;-;-;-;-;-;-;7427;-;-;-;-;-;-;-;-;-;19718;-;-;-;27145"
"""313170 ITABIRA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6865;-;-;4739;11604"
"""313180 ITABIRINHA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1423;1423"
"""313190 ITABIRITO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2299;2299"
"""313210 ITACARAMBI"";-;-;-;-;-;-;-;-;-;-;-;-;494;-;-;-;-;-;-;-;-;-;-;-;-;-;494"
"""313220 ITAGUARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1407;1407"
"""313230 ITAIPE"";-;-;-;-;-;-;-;-;-;-;-;-;396;-;-;-;-;-;-;-;-;-;-;-;-;-;396"
"""313240 ITAJUBA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12384;12384"
"""313250 ITAMARANDIBA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3382;-;-;-;-;-;-;-;-;-;-;107;3489"
"""313270 ITAMBACURI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4562;4562"
"""313290 ITAMOGI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;19"
"""313300 ITAMONTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;821;821"
"""313310 ITANHANDU"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3067;3067"
"""313320 ITANHOMI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1375;1375"
"""313330 ITAOBIM"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3257;-;-;-;3257"
"""313350 ITAPECERICA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1053;1053"
"""313375 ITAU DE MINAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;302;-;-;-;302"
"""313380 ITAUNA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6156;-;-;-;6156"
"""313420 ITUIUTABA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5664;5664"
"""313440 ITURAMA"";-;-;-;-;-;-;-;-;-;-;-;-;1393;-;-;-;-;66;-;-;-;-;-;-;-;-;1459"
"""313460 JABOTICATUBAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;372;372"
"""313470 JACINTO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1657;1657"
"""313490 JACUTINGA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1217;1217"
"""313505 JAIBA"";-;-;-;-;-;-;-;-;-;-;-;-;930;-;-;-;-;-;-;-;-;-;-;-;-;-;930"
"""313510 JANAUBA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;6906;-;-;-;-;-;-;-;-;-;-;5234;12140"
"""313520 JANUARIA"";-;-;-;-;-;-;-;-;-;-;-;-;4903;-;-;-;-;-;-;-;-;-;-;-;-;-;4903"
"""313540 JECEABA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;135;135"
"""313580 JEQUITINHONHA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1373;1373"
"""313600 JOAIMA"";-;-;-;-;-;-;-;-;-;-;-;-;596;-;-;-;-;-;-;-;-;-;-;-;-;-;596"
"""313620 JOAO MONLEVADE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6565;6565"
"""313630 JOAO PINHEIRO"";-;-;-;-;-;-;-;-;-;-;-;-;2657;-;-;-;-;-;-;-;-;-;-;-;-;-;2657"
"""313650 JORDANIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;280;280"
"""313670 JUIZ DE FORA"";-;-;-;6694;-;-;-;4206;-;-;-;-;5621;-;-;-;2831;87;-;-;-;-;60;-;-;34359;53858"
"""313690 JURUAIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;559;559"
"""313700 LADAINHA"";-;-;-;-;-;-;-;-;-;-;-;-;637;-;-;-;-;-;-;-;-;-;-;-;-;-;637"
"""313710 LAGAMAR"";-;-;-;-;-;-;-;-;-;-;-;-;152;-;-;-;-;-;-;-;-;-;-;-;-;-;152"
"""313720 LAGOA DA PRATA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5684;-;-;-;5684"
"""313750 LAGOA FORMOSA"";-;-;-;-;-;-;-;-;-;-;-;-;629;-;-;-;-;-;-;-;-;-;-;-;-;-;629"
"""313760 LAGOA SANTA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3769;3769"
"""313770 LAJINHA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;501;501"
"""313780 LAMBARI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;457;457"
"""313820 LAVRAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7875;7875"
"""313840 LEOPOLDINA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3171;3171"
"""313860 LIMA DUARTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;965;965"
"""313880 LUZ"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3527;3527"
"""313890 MACHACALIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1011;1011"
"""313900 MACHADO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3601;3601"
"""313920 MALACACHETA"";-;-;-;-;-;-;-;-;-;-;-;-;3214;-;-;-;-;-;-;-;-;-;-;-;-;-;3214"
"""313930 MANGA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3569;-;-;-;3569"
"""313940 MANHUACU"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;151;-;-;-;-;-;-;-;11659;11810"
"""313950 MANHUMIRIM"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3172;3172"
"""313960 MANTENA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2873;2873"
"""313980 MAR DE ESPANHA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;659;659"
"""313990 MARIA DA FE"";-;-;-;-;-;-;-;-;246;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;246"
"""314000 MARIANA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2651;2651"
"""314050 MARTINHO CAMPOS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;297;-;-;-;297"
"""314070 MATEUS LEME"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;853;-;-;-;853"
"""314090 MATIPO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1174;1174"
"""314110 MATOZINHOS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1062;1062"
"""314120 MATUTINA"";-;-;-;-;-;-;-;-;-;-;-;-;61;-;-;-;-;-;-;-;-;-;-;-;-;-;61"
"""314140 MEDINA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2466;2466"
"""314150 MENDES PIMENTEL"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;541;-;-;-;541"
"""314160 MERCES"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;542;542"
"""314180 MINAS NOVAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3346;-;-;-;3346"
"""314190 MINDURI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3"
"""314200 MIRABELA"";-;-;-;-;-;-;-;-;-;-;-;-;1349;-;-;-;-;-;-;-;-;-;-;-;-;-;1349"
"""314220 MIRAI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;718;718"
"""314240 MOEMA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;386;-;-;-;386"
"""314260 MONSENHOR PAULO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;472;472"
"""314270 MONTALVANIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1432;1432"
"""314280 MONTE ALEGRE DE MINAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;858;858"
"""314290 MONTE AZUL"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2138;2138"
"""314300 MONTE BELO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;429;-;-;-;429"
"""314310 MONTE CARMELO"";-;-;-;-;-;-;-;-;-;-;-;-;2809;-;-;-;-;2587;-;-;-;-;-;-;-;-;5396"
"""314320 MONTE SANTO DE MINAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1602;1602"
"""314330 MONTES CLAROS"";-;-;-;-;8658;-;-;-;-;-;-;-;254;-;-;-;-;69;-;-;-;-;27220;-;-;18535;54736"
"""314350 MORADA NOVA DE MINAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;541;541"
"""314390 MURIAE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9566;-;-;14596;24162"
"""314410 MUZAMBINHO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1345;1345"
"""314430 NANUQUE"";-;-;-;-;-;-;-;-;-;-;-;-;3205;-;-;-;-;-;-;-;-;-;-;-;-;-;3205"
"""314450 NAZARENO"";-;-;-;-;-;-;-;-;-;-;-;-;161;-;-;-;-;-;-;-;-;-;-;-;-;-;161"
"""314460 NEPOMUCENO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1307;1307"
"""314470 NOVA ERA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;579;579"
"""314480 NOVA LIMA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6722;-;-;-;6722"
"""314500 NOVA PONTE"";-;-;-;-;-;-;-;-;-;-;-;-;496;-;-;-;-;-;-;-;-;-;-;-;-;-;496"
"""314510 NOVA RESENDE"";-;-;-;-;-;-;-;-;-;-;-;-;322;-;-;-;-;-;-;-;-;-;-;-;-;-;322"
"""314520 NOVA SERRANA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4898;-;-;-;4898"
"""314530 NOVO CRUZEIRO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1492;1492"
"""314560 OLIVEIRA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5003;5003"
"""314590 OURO BRANCO"";-;-;1535;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1535"
"""314600 OURO FINO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3725;3725"
"""314610 OURO PRETO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5623;5623"
"""314630 PADRE PARAISO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1361;1361"
"""314650 PAINS"";-;-;-;-;-;-;-;-;-;-;-;-;221;-;-;-;-;-;-;-;-;-;-;-;-;-;221"
"""314670 PALMA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;282;282"
"""314700 PARACATU"";-;-;-;-;-;-;-;-;-;-;-;-;7777;-;-;-;-;-;-;-;-;-;-;-;-;-;7777"
"""314710 PARA DE MINAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;7222;7261"
"""314720 PARAGUACU"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;949;-;-;-;949"
"""314730 PARAISOPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;917;917"
"""314750 PASSABEM"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;41;-;-;-;-;-;-;-;-;-;-;-;41"
"""314760 PASSA QUATRO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1088;1088"
"""314770 PASSA TEMPO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;510;510"
"""314790 PASSOS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18529;-;-;-;18529"
"""314800 PATOS DE MINAS"";-;-;-;-;-;-;-;8701;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7497;16198"
"""314810 PATROCINIO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;99;-;-;-;-;-;-;-;6770;6869"
"""314860 PECANHA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2939;-;-;-;2939"
"""314870 PEDRA AZUL"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2721;2721"
"""314910 PEDRALVA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;209;209"
"""314930 PEDRO LEOPOLDO"";-;-;-;-;-;-;-;-;-;-;-;-;413;-;-;-;-;-;-;-;-;-;-;-;-;1929;2342"
"""314980 PERDIZES"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;989;989"
"""314990 PERDOES"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;904;904"
"""315030 PIEDADE DO RIO GRANDE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;165;165"
"""315050 PIMENTA"";-;-;-;-;-;-;-;-;-;-;-;-;244;-;-;-;-;-;-;-;-;-;-;-;-;-;244"
"""315080 PIRANGA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;11"
"""315110 PIRAPETINGA"";-;-;-;-;-;-;-;-;682;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;682"
"""315120 PIRAPORA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7766;-;-;-;7766"
"""315140 PITANGUI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1491;1491"
"""315150 PIUMHI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5282;5282"
"""315170 POCO FUNDO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2880;2880"
"""315180 POCOS DE CALDAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3710;-;-;-;-;-;-;-;10432;14142"
"""315200 POMPEU"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1239;1239"
"""315210 PONTE NOVA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5564;-;-;7457;13021"
"""315220 PORTEIRINHA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2681;2681"
"""315240 POTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;448;448"
"""315250 POUSO ALEGRE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19794;-;-;-;19794"
"""315260 POUSO ALTO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;320;320"
"""315270 PRADOS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;451;451"
"""315280 PRATA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1195;1195"
"""315290 PRATAPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;29"
"""315310 PRESIDENTE BERNARDES"";-;-;-;-;-;-;-;-;-;-;-;-;78;-;-;-;-;-;-;-;-;-;-;-;-;-;78"
"""315340 PRESIDENTE OLEGARIO"";-;-;-;-;-;-;-;-;-;-;-;-;613;-;-;-;-;-;-;-;-;-;-;-;-;-;613"
"""315400 RAUL SOARES"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1505;1505"
"""315410 RECREIO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;701;701"
"""315420 RESENDE COSTA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1189;1189"
"""315430 RESPLENDOR"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4405;4405"
"""315460 RIBEIRAO DAS NEVES"";-;-;-;-;-;-;-;-;-;-;-;-;5635;-;-;-;-;-;-;-;-;-;-;-;-;-;5635"
"""315470 RIBEIRAO VERMELHO"";-;-;-;-;-;-;-;-;-;-;-;-;176;-;-;-;-;-;-;-;-;-;-;-;-;-;176"
"""315490 RIO CASCA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;679;679"
"""315520 RIO ESPERA"";-;-;-;-;-;-;-;-;-;-;-;-;51;-;-;-;-;-;-;-;-;-;-;-;-;-;51"
"""315550 RIO PARANAIBA"";-;-;-;-;-;-;-;-;-;-;-;-;319;-;-;-;-;-;-;-;-;-;-;-;-;-;319"
"""315560 RIO PARDO DE MINAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1226;1226"
"""315570 RIO PIRACICABA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;353;353"
"""315580 RIO POMBA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2256;2256"
"""315590 RIO PRETO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;238;238"
"""315600 RIO VERMELHO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;439;439"
"""315660 RUBIM"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;363;363"
"""315670 SABARA"";-;-;-;-;-;-;-;181;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1337;1518"
"""315680 SABINOPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1537;1537"
"""315690 SACRAMENTO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1609;1609"
"""315700 SALINAS"";-;-;-;-;-;-;-;-;-;-;-;-;6440;-;-;-;-;-;-;-;-;-;-;-;-;-;6440"
"""315710 SALTO DA DIVISA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;271;-;-;-;271"
"""315720 SANTA BARBARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1511;1511"
"""315770 SANTA JULIANA"";-;-;-;-;-;-;-;-;-;-;-;-;231;-;-;-;-;-;-;-;-;-;-;-;-;-;231"
"""315780 SANTA LUZIA"";-;-;-;-;-;-;-;-;-;-;-;-;3549;-;-;-;-;-;-;-;-;-;-;-;-;3168;6717"
"""315790 SANTA MARGARIDA"";-;-;-;-;-;-;-;-;-;-;-;-;917;-;-;-;-;-;-;-;-;-;-;-;-;-;917"
"""315800 SANTA MARIA DE ITABIRA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;94;94"
"""315820 SANTA MARIA DO SUACUI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2318;2318"
"""315930 SANTA RITA DE JACUTINGA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;232;232"
"""315960 SANTA RITA DO SAPUCAI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4123;-;-;-;4123"
"""315980 SANTA VITORIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1082;-;-;-;-;-;-;-;-;1082"
"""315990 SANTO ANTONIO DO AMPARO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3860;3860"
"""316040 SANTO ANTONIO DO MONTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4080;4080"
"""316070 SANTOS DUMONT"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2582;2582"
"""316100 SAO DOMINGOS DO PRATA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;727;727"
"""316110 SAO FRANCISCO"";-;-;-;-;-;-;-;-;-;-;-;-;4773;-;-;-;-;-;-;-;-;-;-;-;-;-;4773"
