"""Munic°pio"";""101-5 ‡rg∆o P£blico do Poder Executivo Federal"";""102-3 ‡rg∆o P£blico do Poder Executivo Estadual ou do Distrito Federal"";""103-1 ‡rg∆o P£blico do Poder Executivo Municipal"";""110-4 Autarquia Federal"";""111-2 Autarquia Estadual ou do Distrito Federal"";""112-0 Autarquia Municipal"";""113-9 Fundaá∆o P£blica de Direito P£blico Federal"";""114-7 Fundaá∆o P£blica de Direito P£blico Estadual ou do Distrito Federal"";""115-5 Fundaá∆o P£blica de Direito P£blico Municipal"";""121-0 Cons¢rcio P£blico de Direito P£blico (Associaá∆o P£blica)"";""122-8 Cons¢rcio P£blico de Direito Privado"";""123-6 Estado ou Distrito Federal"";""124-4 Munic°pio"";""126-0 Fundaá∆o P£blica de Direito Privado Estadual ou do Distrito Federal"";""127-9 Fundaá∆o P£blica de Direito Privado Municipal"";""201-1 Empresa P£blica"";""204-6 Sociedade Anìnima Aberta"";""205-4 Sociedade Anìnima Fechada"";""206-2 Sociedade Empres†ria Limitada"";""208-9 Sociedade Empres†ria em Comandita Simples"";""213-5 Empres†rio (Individual)"";""214-3 Cooperativa"";""224-0 Sociedade Simples Limitada"";""306-9 Fundaá∆o Privada"";""307-7 Serviáo Social Autìnomo"";""399-9 Associaá∆o Privada"";""Total"""
"""315290 PRATAPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;5"
"""315310 PRESIDENTE BERNARDES"";-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;11"
"""315340 PRESIDENTE OLEGARIO"";-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;13"
"""315400 RAUL SOARES"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;371;371"
"""315410 RECREIO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55;55"
"""315420 RESENDE COSTA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;112;112"
"""315430 RESPLENDOR"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289;289"
"""315460 RIBEIRAO DAS NEVES"";-;-;-;-;-;-;-;-;-;-;-;-;309;-;-;-;-;-;-;-;-;-;-;-;-;-;309"
"""315490 RIO CASCA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;19"
"""315560 RIO PARDO DE MINAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;109;109"
"""315570 RIO PIRACICABA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;19"
"""315580 RIO POMBA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;182;182"
"""315590 RIO PRETO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;14"
"""315660 RUBIM"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37;37"
"""315670 SABARA"";-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;105;113"
"""315680 SABINOPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;81;81"
"""315690 SACRAMENTO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;104;104"
"""315700 SALINAS"";-;-;-;-;-;-;-;-;-;-;-;-;477;-;-;-;-;-;-;-;-;-;-;-;-;-;477"
"""315720 SANTA BARBARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;105;105"
"""315780 SANTA LUZIA"";-;-;-;-;-;-;-;-;-;-;-;-;289;-;-;-;-;-;-;-;-;-;-;-;-;174;463"
"""315800 SANTA MARIA DE ITABIRA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;12"
"""315930 SANTA RITA DE JACUTINGA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;15"
"""315960 SANTA RITA DO SAPUCAI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;318;-;-;318"
"""315990 SANTO ANTONIO DO AMPARO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;302;302"
"""316040 SANTO ANTONIO DO MONTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;360;360"
"""316070 SANTOS DUMONT"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;218;218"
"""316200 SAO GONCALO DO SAPUCAI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;93;93"
"""316210 SAO GOTARDO"";-;-;-;-;-;-;-;-;-;-;-;-;160;-;-;-;-;-;-;-;-;-;-;-;-;-;160"
"""316220 SAO JOAO BATISTA DO GLORIA"";-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;9"
"""316240 SAO JOAO DA PONTE"";-;-;-;-;-;-;-;-;146;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;146"
"""316250 SAO JOAO DEL REI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;759;759"
"""316270 SAO JOAO DO PARAISO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;133;-;-;133"
"""316280 SAO JOAO EVANGELISTA"";-;-;-;-;-;-;-;-;197;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;197"
"""316290 SAO JOAO NEPOMUCENO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;114;114"
"""316370 SAO LOURENCO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;872;-;-;872"
"""316390 SAO PEDRO DA UNIAO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10"
"""316470 SAO SEBASTIAO DO PARAISO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49;-;789;838"
"""316570 SENADOR FIRMINO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;16"
"""316680 SERRA DO SALITRE"";-;-;-;-;-;-;-;-;-;-;-;-;71;-;-;-;-;-;-;-;-;-;-;-;-;-;71"
"""316690 SERRANIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;17"
"""316710 SERRO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;225;225"
"""316720 SETE LAGOAS"";-;-;-;-;-;-;-;-;-;-;-;-;770;-;-;-;-;-;-;-;-;-;-;-;-;890;1660"
"""316800 TAIOBEIRAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;891;-;-;891"
"""316860 TEOFILO OTONI"";-;-;-;-;-;-;-;-;-;-;-;-;411;-;-;-;-;-;7;-;-;-;-;-;-;1333;1751"
"""316870 TIMOTEO"";-;-;-;-;-;-;-;-;-;-;-;-;362;-;-;-;-;-;-;-;-;-;-;-;-;-;362"
"""316890 TIROS"";-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;18"
"""316920 TOMBOS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34;34"
"""316930 TRES CORACOES"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;482;-;-;482"
"""316940 TRES PONTAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;563;563"
"""316990 UBA"";-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;1051;1077"
"""317010 UBERABA"";-;-;-;1490;-;-;-;-;-;-;-;-;510;-;-;-;-;-;-;-;-;-;-;-;-;936;2936"
"""317020 UBERLANDIA"";-;-;-;-;-;-;-;-;-;-;-;-;2989;-;-;1750;-;-;295;-;-;-;-;-;-;-;5034"
"""317040 UNAI"";-;-;-;-;-;-;-;-;-;-;-;-;759;-;-;-;-;-;1;-;-;-;-;-;-;-;760"
"""317052 URUCUIA"";-;-;-;-;-;-;-;-;-;-;-;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;63"
"""317070 VARGINHA"";-;-;-;-;-;-;-;-;446;-;-;-;-;-;-;-;-;-;-;-;-;-;-;750;-;-;1196"
"""317080 VARZEA DA PALMA"";-;-;-;-;-;-;-;-;-;-;-;-;140;-;-;-;-;-;-;-;-;-;-;-;-;-;140"
"""317090 VARZELANDIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44;-;-;44"
"""317120 VESPASIANO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;206;206"
"""317130 VICOSA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;176;-;260;436"
"""317170 VIRGINIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;26"
"""317200 VISCONDE DO RIO BRANCO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;292;292"
"""320020 ALEGRE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58;58"
"""320050 APIACA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58;58"
"""320080 BAIXO GUANDU"";-;156;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;156"
"""320100 BOA ESPERANCA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27;27"
"""320120 CACHOEIRO DE ITAPEMIRIM"";-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2661;2689"
"""320130 CARIACICA"";-;205;-;-;-;-;-;-;-;-;-;-;311;-;-;-;-;54;-;-;-;-;-;-;-;-;570"
"""320150 COLATINA"";-;-;-;-;-;-;-;-;-;-;-;-;-;679;-;-;-;-;-;-;-;-;-;1335;-;268;2282"
"""320190 DOMINGOS MARTINS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;185;185"
"""320230 GUACUI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;280;280"
"""320240 GUARAPARI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;538;538"
"""320280 ITAPEMIRIM"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;351;351"
"""320290 ITARANA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;6"
"""320300 IUNA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;95;95"
"""320310 JERONIMO MONTEIRO"";-;194;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;194"
"""320316 LARANJA DA TERRA"";-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;24"
"""320320 LINHARES"";-;-;-;-;-;-;-;-;-;-;-;-;477;-;-;-;-;-;-;-;-;-;-;672;-;-;1149"
"""320360 MUCURICI"";-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;13"
"""320400 PANCAS"";-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;11"
"""320410 PINHEIROS"";-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;-;-;-;37"
"""320450 SANTA LEOPOLDINA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37;37"
"""320455 SANTA MARIA DE JETIBA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;174;174"
"""320470 SAO GABRIEL DA PALHA"";-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;18"
"""320490 SAO MATEUS"";-;1077;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;258;1335"
"""320500 SERRA"";-;1448;-;-;-;-;-;-;-;-;-;-;802;941;-;-;-;-;-;-;-;-;-;-;-;-;3191"
"""320506 VENDA NOVA DO IMIGRANTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;278;278"
"""320520 VILA VELHA"";-;1355;-;-;-;-;-;-;-;-;-;-;-;794;-;-;-;-;-;-;-;-;-;-;-;1101;3250"
"""320530 VITORIA"";-;2048;-;-;-;-;-;-;-;-;-;-;-;-;-;1132;-;-;-;-;-;-;-;-;-;2482;5662"
"""330010 ANGRA DOS REIS"";-;-;229;-;-;-;-;-;502;-;-;-;-;-;-;-;-;-;-;-;-;-;-;151;-;-;882"
"""330020 ARARUAMA"";-;260;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;260"
"""330022 AREAL"";-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;25"
"""330023 ARMACAO DOS BUZIOS"";-;-;200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;200"
"""330025 ARRAIAL DO CABO"";-;-;250;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;250"
"""330030 BARRA DO PIRAI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;470;470"
"""330040 BARRA MANSA"";-;-;182;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;1020;1205"
"""330045 BELFORD ROXO"";-;-;-;-;-;-;-;-;-;-;-;-;157;-;-;-;-;-;243;-;-;-;-;-;-;658;1058"
"""330060 BOM JESUS DO ITABAPOANA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;589;589"
"""330070 CABO FRIO"";-;-;681;-;-;-;-;48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;203;932"
"""330080 CACHOEIRAS DE MACACU"";-;-;307;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;307"
"""330100 CAMPOS DOS GOYTACAZES"";-;-;-;-;-;-;-;-;1339;-;-;-;-;-;-;-;-;-;124;-;-;-;-;407;-;1491;3361"
"""330120 CARMO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;87;87"
"""330130 CASIMIRO DE ABREU"";-;-;-;-;-;-;-;-;-;-;-;-;300;-;-;-;-;-;-;-;-;-;-;-;-;-;300"
"""330140 CONCEICAO DE MACABU"";-;-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;27"
"""330170 DUQUE DE CAXIAS"";-;-;1311;-;-;-;-;-;-;-;-;-;2657;-;-;-;-;-;-;-;-;-;-;-;-;-;3968"
"""330180 ENGENHEIRO PAULO DE FRONTIN"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34;34"
"""330185 GUAPIMIRIM"";-;-;-;-;-;-;-;-;-;-;-;-;227;-;-;-;-;-;-;-;-;-;-;-;-;-;227"
"""330190 ITABORAI"";-;254;-;-;-;-;-;-;-;-;-;-;635;-;-;-;-;-;-;-;-;-;-;-;-;-;889"
"""330220 ITAPERUNA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1110;1110"
"""330225 ITATIAIA"";-;-;-;-;-;-;-;-;-;-;-;-;194;-;-;-;-;-;-;-;-;-;-;-;-;-;194"
"""330227 JAPERI"";-;-;-;-;-;-;-;-;-;-;-;-;59;-;-;-;-;-;-;-;-;-;-;-;-;-;59"
"""330230 LAJE DO MURIAE"";-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;13"
"""330240 MACAE"";-;-;-;-;-;-;-;-;-;-;-;-;1063;-;-;-;-;-;-;-;-;-;-;-;-;275;1338"
"""330250 MAGE"";-;-;-;-;-;-;-;-;-;-;-;-;457;-;-;-;-;-;8;-;-;-;-;-;-;-;465"
"""330270 MARICA"";-;-;329;-;-;553;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;882"
"""330280 MENDES"";-;-;-;-;-;-;-;-;-;-;-;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;63"
"""330285 MESQUITA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1044;-;-;-;-;-;-;-;-;-;-;-;-;1044"
"""330290 MIGUEL PEREIRA"";-;-;-;-;-;-;-;-;-;-;-;-;283;-;-;-;-;-;-;-;-;-;-;-;-;-;283"
"""330320 NILOPOLIS"";-;368;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;368"
"""330330 NITEROI"";-;1174;-;-;-;-;-;-;1076;-;-;-;-;-;-;541;-;-;7;-;-;-;-;-;-;26;2824"
"""330340 NOVA FRIBURGO"";-;-;-;-;-;-;-;-;-;-;-;-;815;-;-;-;-;73;-;-;-;-;-;-;-;-;888"
"""330350 NOVA IGUACU"";-;180;-;-;-;-;-;-;-;-;-;-;1949;-;-;-;-;-;8;-;-;-;-;-;-;-;2137"
"""330360 PARACAMBI"";-;-;-;-;-;-;-;-;-;-;-;-;103;-;-;-;-;-;-;-;-;-;-;-;-;-;103"
"""330370 PARAIBA DO SUL"";-;250;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;234;484"
"""330380 PARATY"";-;-;-;-;-;-;-;-;-;-;-;-;146;-;-;-;-;-;-;-;-;-;-;-;-;-;146"
"""330395 PINHEIRAL"";-;-;-;-;-;-;-;-;-;-;-;-;105;-;-;-;-;-;-;-;-;-;-;-;-;-;105"
"""330400 PIRAI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;175;175"
"""330414 QUEIMADOS"";-;-;-;-;-;-;-;-;-;-;-;-;128;-;-;-;-;-;304;-;-;-;-;-;-;-;432"
"""330415 QUISSAMA"";-;-;170;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;170"
"""330420 RESENDE"";-;-;-;-;-;-;-;-;-;-;-;-;383;-;-;-;-;-;-;-;-;-;-;-;-;366;749"
"""330430 RIO BONITO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;528;528"
"""330440 RIO CLARO"";-;-;-;-;-;-;-;-;-;-;-;-;52;-;-;-;-;-;-;-;-;-;-;-;-;-;52"
"""330450 RIO DAS FLORES"";-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;23"
"""330452 RIO DAS OSTRAS"";-;-;-;-;-;-;-;-;-;-;-;-;530;-;-;-;-;-;-;-;-;-;-;-;-;-;530"
"""330455 RIO DE JANEIRO"";4477;2330;13339;1203;-;-;873;1928;-;-;-;-;-;441;-;2572;-;-;24;-;-;-;-;365;-;298;27850"
"""330480 SAO FIDELIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;226;226"
"""330490 SAO GONCALO"";-;1064;-;-;-;-;-;-;-;-;-;-;1948;-;-;-;-;-;66;-;-;-;-;-;-;-;3078"
"""330500 SAO JOAO DA BARRA"";-;-;-;-;-;-;-;-;-;-;-;-;117;-;-;-;-;-;-;-;-;-;-;-;-;208;325"
"""330510 SAO JOAO DE MERITI"";-;682;-;-;-;-;-;-;-;-;-;-;587;-;-;-;-;-;-;-;-;-;-;-;-;-;1269"
"""330530 SAO SEBASTIAO DO ALTO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47;47"
"""330540 SAPUCAIA"";-;-;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;-;-;-;-;-;-;-;-;34"
"""330550 SAQUAREMA"";-;370;-;-;-;-;-;-;-;-;-;-;520;-;-;-;-;-;-;-;-;-;-;-;-;-;890"
"""330555 SEROPEDICA"";-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;28"
"""330575 TANGUA"";-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;33"
"""330580 TERESOPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;413;-;292;705"
"""330600 TRES RIOS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;466;466"
"""330610 VALENCA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;786;-;96;882"
"""330615 VARRE-SAI"";-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;-;-;-;37"
"""330620 VASSOURAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;500;-;-;500"
"""330630 VOLTA REDONDA"";-;381;498;-;-;955;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;106;-;137;2077"
"""350010 ADAMANTINA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;454;454"
"""350050 AGUAS DE LINDOIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;106;106"
"""350070 AGUDOS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;75;75"
"""350110 ALTO ALEGRE"";-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;5"
"""350130 ALVARES MACHADO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;75;75"
"""350160 AMERICANA"";-;-;-;-;-;-;-;-;-;-;-;-;719;-;-;-;-;-;-;-;-;-;-;-;-;27;746"
"""350170 AMERICO BRASILIENSE"";-;540;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;570"
"""350190 AMPARO"";-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;396;412"
"""350210 ANDRADINA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;290;290"
"""350220 ANGATUBA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;165;165"
"""350250 APARECIDA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;408;408"
"""350270 APIAI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;279;279"
"""350280 ARACATUBA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1302;1302"
"""350310 ARANDU"";-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;10"
"""350320 ARARAQUARA"";-;-;-;-;-;-;-;-;-;-;-;-;96;-;332;-;-;-;-;-;-;-;-;-;-;1366;1794"
"""350330 ARARAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;645;645"
"""350340 AREALVA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;16"
"""350400 ASSIS"";-;402;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;441;843"
"""350410 ATIBAIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;348;348"
"""350420 AURIFLAMA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;205;205"
"""350450 AVARE"";-;53;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;594;647"
"""350520 BARIRI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;178;178"
"""350530 BARRA BONITA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;104;104"
"""350550 BARRETOS"";-;111;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1619;-;1016;2746"
"""350570 BARUERI"";-;322;-;-;-;-;-;-;-;-;-;-;2590;-;-;-;-;-;-;-;-;-;-;-;-;-;2912"
"""350580 BASTOS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;95;95"
"""350590 BATATAIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;264;264"
"""350600 BAURU"";-;3500;-;-;87;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;3590"
"""350610 BEBEDOURO"";-;554;-;-;-;-;-;-;-;-;-;-;103;-;-;-;-;-;-;-;-;-;-;-;-;-;657"
"""350630 BERNARDINO DE CAMPOS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41;41"
"""350640 BILAC"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;15"
"""350650 BIRIGUI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;339;339"
"""350670 BOA ESPERANCA DO SUL"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;9"
"""350680 BOCAINA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;14"
"""350700 BOITUVA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;166;-;-;166"
"""350710 BOM JESUS DOS PERDOES"";-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;22"
"""350740 BORBOREMA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;66;66"
"""350750 BOTUCATU"";-;55;-;-;-;-;-;-;-;-;-;-;116;-;-;-;-;-;-;-;-;-;-;2337;-;-;2508"
