"""Munic¡pio"";""Eletivo"";""Urgˆncia"";""Acid local trab"";""Acid trajeto"";""Outros ac trab"";""Outras caus ext"";""Total"""
"""150010 ABAETETUBA"";1396;10621;-;-;-;-;12017"
"""150013 ABEL FIGUEIREDO"";83;391;-;-;-;-;474"
"""150020 ACARA"";60;1339;-;-;-;-;1399"
"""150030 AFUA"";10;798;-;-;-;-;808"
"""150034 AGUA AZUL DO NORTE"";89;690;-;-;20;-;799"
"""150040 ALENQUER"";1;5162;-;-;-;-;5163"
"""150050 ALMEIRIM"";52;2107;-;-;-;-;2159"
"""150060 ALTAMIRA"";2409;9726;-;-;-;-;12135"
"""150070 ANAJAS"";3;1556;-;-;-;-;1559"
"""150080 ANANINDEUA"";5532;20432;-;-;1;-;25965"
"""150085 ANAPU"";28;1697;-;-;-;-;1725"
"""150090 AUGUSTO CORREA"";1;2746;-;-;-;-;2747"
"""150095 AURORA DO PARA"";192;1140;-;-;-;-;1332"
"""150110 BAGRE"";-;350;-;-;-;-;350"
"""150120 BAIAO"";32;2095;-;-;-;-;2127"
"""150125 BANNACH"";-;170;-;-;2;-;172"
"""150130 BARCARENA"";1191;6557;-;-;-;-;7748"
"""150140 BELEM"";30256;97521;-;-;-;-;127777"
"""150145 BELTERRA"";-;457;-;-;-;-;457"
"""150157 BOM JESUS DO TOCANTINS"";-;1075;-;-;-;-;1075"
"""150170 BRAGANCA"";1469;11972;-;-;-;-;13441"
"""150172 BRASIL NOVO"";117;2522;-;-;-;-;2639"
"""150175 BREJO GRANDE DO ARAGUAIA"";-;662;-;-;-;-;662"
"""150178 BREU BRANCO"";148;1004;-;-;-;-;1152"
"""150180 BREVES"";924;8987;-;-;-;-;9911"
"""150200 CACHOEIRA DO ARARI"";13;1032;-;-;-;-;1045"
"""150210 CAMETA"";1185;6595;-;-;46;-;7826"
"""150215 CANAA DOS CARAJAS"";655;3601;-;-;-;-;4256"
"""150220 CAPANEMA"";2122;6980;-;-;-;-;9102"
"""150230 CAPITAO POCO"";812;887;-;-;-;-;1699"
"""150240 CASTANHAL"";2495;20216;-;-;-;-;22711"
"""150250 CHAVES"";-;226;-;-;-;-;226"
"""150270 CONCEICAO DO ARAGUAIA"";439;4108;-;-;-;-;4547"
"""150275 CONCORDIA DO PARA"";-;765;-;-;-;-;765"
"""150276 CUMARU DO NORTE"";32;856;-;-;-;-;888"
"""150277 CURIONOPOLIS"";70;1111;-;-;-;-;1181"
"""150280 CURRALINHO"";17;1744;-;-;-;-;1761"
"""150290 CURUCA"";-;1520;-;-;-;-;1520"
"""150293 DOM ELISEU"";320;1761;-;-;-;-;2081"
"""150295 ELDORADO DOS CARAJAS"";193;1026;-;-;-;-;1219"
"""150300 FARO"";-;38;-;-;-;-;38"
"""150304 FLORESTA DO ARAGUAIA"";79;1528;-;-;-;-;1607"
"""150307 GARRAFAO DO NORTE"";116;434;-;-;-;-;550"
"""150309 GOIANESIA DO PARA"";138;1716;-;-;-;-;1854"
"""150310 GURUPA"";2;1896;-;-;-;-;1898"
"""150320 IGARAPE-ACU"";-;1084;-;-;-;-;1084"
"""150330 IGARAPE-MIRI"";940;7392;-;-;-;-;8332"
"""150340 INHANGAPI"";-;4;-;-;-;-;4"
"""150345 IPIXUNA DO PARA"";1040;4502;-;-;-;-;5542"
"""150350 IRITUIA"";-;703;-;-;-;-;703"
"""150360 ITAITUBA"";528;9306;-;-;-;-;9834"
"""150370 ITUPIRANGA"";175;1289;-;-;-;-;1464"
"""150375 JACAREACANGA"";7;1323;-;-;-;-;1330"
"""150380 JACUNDA"";65;2793;-;-;-;-;2858"
"""150390 JURUTI"";602;1751;-;-;-;-;2353"
"""150400 LIMOEIRO DO AJURU"";2;1323;-;-;-;-;1325"
"""150405 MAE DO RIO"";112;1582;-;-;-;-;1694"
"""150420 MARABA"";3808;13972;-;-;-;-;17780"
"""150430 MARACANA"";11;475;-;-;-;-;486"
"""150440 MARAPANIM"";-;427;-;-;-;-;427"
"""150442 MARITUBA"";1696;5271;-;-;-;-;6967"
"""150445 MEDICILANDIA"";96;1497;-;-;-;-;1593"
"""150450 MELGACO"";-;919;-;-;-;-;919"
