"""Munic¡pio"";""04 Fundo de A‡äes Estrat‚gicas e Compensa‡äes FAEC"";""06 M‚dia e Alta Complexidade (MAC)"";""Total"""
"""150080 ANANINDEUA"";3324875,24;39273456,21;42598331,45"
"""150085 ANAPU"";7474,20;830831,48;838305,68"
"""150090 AUGUSTO CORREA"";-;1134192,87;1134192,87"
"""150095 AURORA DO PARA"";-;536776,45;536776,45"
"""150110 BAGRE"";-;159808,72;159808,72"
"""150120 BAIAO"";19965,32;990965,70;1010931,02"
"""150125 BANNACH"";-;47913,69;47913,69"
"""150130 BARCARENA"";252338,27;6297671,78;6550010,05"
"""150140 BELEM"";45557417,96;244297384,04;289854802,00"
"""150145 BELTERRA"";-;198536,52;198536,52"
"""150157 BOM JESUS DO TOCANTINS"";-;384540,30;384540,30"
"""150170 BRAGANCA"";-;13963570,02;13963570,02"
"""150172 BRASIL NOVO"";28672,85;1409125,15;1437798,00"
"""150175 BREJO GRANDE DO ARAGUAIA"";-;228588,53;228588,53"
"""150178 BREU BRANCO"";32459,86;499729,81;532189,67"
"""150180 BREVES"";297435,60;8841259,20;9138694,80"
"""150200 CACHOEIRA DO ARARI"";-;360214,82;360214,82"
"""150210 CAMETA"";-;4030041,01;4030041,01"
"""150215 CANAA DOS CARAJAS"";51079,22;1884421,12;1935500,34"
"""150220 CAPANEMA"";872716,46;10735701,53;11608417,99"
"""150230 CAPITAO POCO"";-;809841,81;809841,81"
"""150240 CASTANHAL"";893097,58;22588182,36;23481279,94"
"""150250 CHAVES"";-;86342,87;86342,87"
"""150270 CONCEICAO DO ARAGUAIA"";214565,75;2740313,57;2954879,32"
"""150275 CONCORDIA DO PARA"";-;277756,17;277756,17"
"""150276 CUMARU DO NORTE"";15417,99;271233,45;286651,44"
"""150277 CURIONOPOLIS"";31973,21;488811,06;520784,27"
"""150280 CURRALINHO"";-;771948,51;771948,51"
"""150290 CURUCA"";-;650412,68;650412,68"
"""150293 DOM ELISEU"";-;847433,04;847433,04"
"""150295 ELDORADO DOS CARAJAS"";53313,09;627957,69;681270,78"
"""150300 FARO"";-;11722,02;11722,02"
"""150304 FLORESTA DO ARAGUAIA"";36133,23;624782,44;660915,67"
"""150307 GARRAFAO DO NORTE"";-;268240,80;268240,80"
"""150309 GOIANESIA DO PARA"";-;769054,67;769054,67"
"""150310 GURUPA"";-;775193,90;775193,90"
"""150320 IGARAPE-ACU"";-;559744,39;559744,39"
"""150330 IGARAPE-MIRI"";-;3043698,27;3043698,27"
"""150340 INHANGAPI"";-;1087,16;1087,16"
"""150345 IPIXUNA DO PARA"";250615,00;2153728,14;2404343,14"
"""150350 IRITUIA"";-;280749,45;280749,45"
"""150360 ITAITUBA"";706169,86;9082304,12;9788473,98"
"""150370 ITUPIRANGA"";80780,40;587783,49;668563,89"
"""150375 JACAREACANGA"";-;484842,14;484842,14"
"""150380 JACUNDA"";93476,48;1174321,32;1267797,80"
"""150390 JURUTI"";-;1141631,34;1141631,34"
"""150400 LIMOEIRO DO AJURU"";-;537037,11;537037,11"
"""150405 MAE DO RIO"";21754,43;654953,47;676707,90"
"""150420 MARABA"";448755,90;18648248,64;19097004,54"
"""150430 MARACANA"";-;148569,64;148569,64"
"""150440 MARAPANIM"";-;175514,12;175514,12"
"""150442 MARITUBA"";-;5733143,71;5733143,71"
"""150445 MEDICILANDIA"";45835,39;637749,42;683584,81"
"""150450 MELGACO"";-;324929,83;324929,83"
"""150460 MOCAJUBA"";-;924506,64;924506,64"
"""150470 MOJU"";-;590247,60;590247,60"
"""150480 MONTE ALEGRE"";-;1038319,03;1038319,03"
"""150490 MUANA"";64521,81;906478,30;971000,11"
"""150495 NOVA ESPERANCA DO PIRIA"";-;239329,34;239329,34"
"""150497 NOVA IPIXUNA"";-;73098,52;73098,52"
"""150503 NOVO PROGRESSO"";32947,30;1112653,60;1145600,90"
"""150506 NOVO REPARTIMENTO"";169900,63;637949,33;807849,96"
"""150510 OBIDOS"";-;1037388,21;1037388,21"
"""150520 OEIRAS DO PARA"";-;503149,19;503149,19"
"""150530 ORIXIMINA"";-;2325746,22;2325746,22"
"""150540 OUREM"";-;555975,36;555975,36"
"""150543 OURILANDIA DO NORTE"";53077,13;1607444,83;1660521,96"
"""150548 PACAJA"";-;1208522,13;1208522,13"
"""150549 PALESTINA DO PARA"";-;91057,32;91057,32"
"""150550 PARAGOMINAS"";304867,04;4875506,78;5180373,82"
"""150553 PARAUAPEBAS"";-;7356793,98;7356793,98"
"""150555 PAU D'ARCO"";7175,21;255056,18;262231,39"
"""150563 PICARRA"";-;217692,64;217692,64"
"""150565 PLACAS"";3993,49;425646,70;429640,19"
"""150570 PONTA DE PEDRAS"";-;398111,69;398111,69"
"""150580 PORTEL"";38053,65;1311521,29;1349574,94"
"""150590 PORTO DE MOZ"";8204,98;782068,66;790273,64"
"""150600 PRAINHA"";-;536802,02;536802,02"
"""150613 REDENCAO"";2127642,53;12301520,18;14429162,71"
"""150616 RIO MARIA"";29944,80;555916,72;585861,52"
"""150618 RONDON DO PARA"";-;891397,36;891397,36"
"""150619 RUROPOLIS"";6355,51;677981,82;684337,33"
"""150620 SALINOPOLIS"";83322,95;1240992,94;1324315,89"
"""150630 SALVATERRA"";-;529263,79;529263,79"
"""150640 SANTA CRUZ DO ARARI"";-;153951,79;153951,79"
"""150650 SANTA IZABEL DO PARA"";-;493980,61;493980,61"
"""150658 SANTA MARIA DAS BARREIRAS"";8535,47;288000,62;296536,09"
"""150660 SANTA MARIA DO PARA"";72372,41;294945,56;367317,97"
"""150670 SANTANA DO ARAGUAIA"";127912,63;1330662,04;1458574,67"
"""150680 SANTAREM"";2204011,41;23129034,27;25333045,68"
"""150700 SANTO ANTONIO DO TAUA"";-;1892048,78;1892048,78"
"""150715 SAO DOMINGOS DO ARAGUAIA"";-;179997,46;179997,46"
"""150720 SAO DOMINGOS DO CAPIM"";-;299427,39;299427,39"
"""150730 SAO FELIX DO XINGU"";120698,27;1638003,04;1758701,31"
"""150745 SAO GERALDO DO ARAGUAIA"";58232,70;690201,90;748434,60"
"""150747 SAO JOAO DE PIRABAS"";13739,37;252762,72;266502,09"
"""150750 SAO JOAO DO ARAGUAIA"";-;94738,88;94738,88"
"""150760 SAO MIGUEL DO GUAMA"";-;610946,03;610946,03"
"""150770 SAO SEBASTIAO DA BOA VISTA"";-;579864,33;579864,33"
"""150775 SAPUCAIA"";-;114299,91;114299,91"
"""150780 SENADOR JOSE PORFIRIO"";-;348839,35;348839,35"
"""150790 SOURE"";-;541300,86;541300,86"
"""150795 TAILANDIA"";225219,46;2367264,77;2592484,23"
"""150797 TERRA SANTA"";-;398934,53;398934,53"
"""150800 TOME-ACU"";7483,38;1686229,70;1693713,08"
"""150803 TRACUATEUA"";-;559557,50;559557,50"
"""150805 TRAIRAO"";13101,96;405236,91;418338,87"
"""150808 TUCUMA"";62511,00;2279625,36;2342136,36"
"""150810 TUCURUI"";633911,05;7858866,55;8492777,60"
"""150812 ULIANOPOLIS"";-;1435518,21;1435518,21"
"""150815 URUARA"";49616,78;1527622,57;1577239,35"
"""150820 VIGIA"";-;748033,47;748033,47"
"""150830 VISEU"";-;849387,39;849387,39"
"""150835 VITORIA DO XINGU"";5542,52;681835,11;687377,63"
"""150840 XINGUARA"";149231,54;1252405,86;1401637,40"
"""160005 SERRA DO NAVIO"";-;14223,61;14223,61"
"""160010 AMAPA"";-;96311,78;96311,78"
"""160015 PEDRA BRANCA DO AMAPARI"";-;74683,73;74683,73"
"""160020 CALCOENE"";-;73142,00;73142,00"
"""160023 FERREIRA GOMES"";-;39997,06;39997,06"
"""160027 LARANJAL DO JARI"";20390,86;2194216,04;2214606,90"
"""160030 MACAPA"";1929383,93;38826595,95;40755979,88"
"""160040 MAZAGAO"";-;32379,95;32379,95"
"""160050 OIAPOQUE"";42362,99;693315,34;735678,33"
"""160053 PORTO GRANDE"";-;65149,18;65149,18"
"""160060 SANTANA"";25247,72;3395970,33;3421218,05"
"""160070 TARTARUGALZINHO"";-;25247,18;25247,18"
"""170070 ALVORADA"";242567,34;161572,37;404139,71"
"""170100 ANANAS"";-;56306,87;56306,87"
"""170190 ARAGUACEMA"";59467,71;187621,57;247089,28"
"""170200 ARAGUACU"";-;133885,04;133885,04"
"""170210 ARAGUAINA"";6582434,19;28903700,98;35486135,17"
"""170220 ARAGUATINS"";206436,23;217669,88;424106,11"
"""170230 ARAPOEMA"";630531,64;399183,19;1029714,83"
"""170240 ARRAIAS"";166040,81;360214,16;526254,97"
"""170255 AUGUSTINOPOLIS"";647593,72;1443027,74;2090621,46"
"""170370 BREJINHO DE NAZARE"";-;24663,01;24663,01"
"""170550 COLINAS DO TOCANTINS"";169897,89;717962,50;887860,39"
"""170700 DIANOPOLIS"";390457,23;528128,51;918585,74"
"""170710 DIVINOPOLIS DO TOCANTINS"";22695,65;99839,42;122535,07"
"""170820 FORMOSO DO ARAGUAIA"";-;186265,54;186265,54"
"""170900 GOIATINS"";-;41641,04;41641,04"
"""170930 GUARAI"";792606,98;1009092,72;1801699,70"
"""170950 GURUPI"";790630,86;8728048,70;9518679,56"
"""171050 ITACAJA"";-;37246,56;37246,56"
"""171190 LAGOA DA CONFUSAO"";-;28438,03;28438,03"
"""171320 MIRACEMA DO TOCANTINS"";1173190,76;1931933,76;3105124,52"
"""171420 NATIVIDADE"";-;22487,11;22487,11"
"""171575 PALMEIROPOLIS"";-;43305,88;43305,88"
"""171610 PARAISO DO TOCANTINS"";877505,51;2058721,07;2936226,58"
"""171620 PARANA"";-;110696,50;110696,50"
"""171650 PEDRO AFONSO"";258747,82;347094,74;605842,56"
"""171660 PEIXE"";33795,36;33840,82;67636,18"
"""171670 COLMEIA"";-;5501,31;5501,31"
"""171700 PINDORAMA DO TOCANTINS"";80105,61;-;80105,61"
"""171750 PIUM"";47649,69;115108,52;162758,21"
"""171790 PONTE ALTA DO TOCANTINS"";-;19520,34;19520,34"
"""171820 PORTO NACIONAL"";621203,66;3303149,59;3924353,25"
"""172065 SILVANOPOLIS"";-;10689,43;10689,43"
"""172080 SITIO NOVO DO TOCANTINS"";167083,22;43299,31;210382,53"
"""172090 TAGUATINGA"";126921,81;295654,94;422576,75"
"""172100 PALMAS"";6648350,42;39074680,27;45723030,69"
"""172120 TOCANTINOPOLIS"";263607,60;362360,40;625968,00"
"""172210 XAMBIOA"";317405,50;348639,61;666045,11"
"""210005 ACAILANDIA"";110093,51;6031615,06;6141708,57"
"""210020 ALCANTARA"";-;67875,89;67875,89"
"""210030 ALDEIAS ALTAS"";-;203805,80;203805,80"
"""210043 ALTO ALEGRE DO MARANHAO"";-;1617598,75;1617598,75"
"""210047 ALTO ALEGRE DO PINDARE"";-;1130756,43;1130756,43"
"""210050 ALTO PARNAIBA"";-;108742,89;108742,89"
"""210060 AMARANTE DO MARANHAO"";72220,77;1242323,31;1314544,08"
"""210070 ANAJATUBA"";-;203391,82;203391,82"
"""210080 ANAPURUS"";-;230018,01;230018,01"
"""210083 APICUM-ACU"";-;411219,20;411219,20"
"""210087 ARAGUANA"";-;337694,22;337694,22"
"""210090 ARAIOSES"";-;59472,92;59472,92"
"""210095 ARAME"";-;146915,59;146915,59"
"""210100 ARARI"";-;273515,76;273515,76"
"""210110 AXIXA"";-;88382,30;88382,30"
"""210120 BACABAL"";-;9455959,42;9455959,42"
"""210125 BACABEIRA"";-;140679,08;140679,08"
"""210130 BACURI"";-;443843,19;443843,19"
"""210140 BALSAS"";399218,43;7550103,77;7949322,20"
"""210150 BARAO DE GRAJAU"";-;175151,24;175151,24"
"""210160 BARRA DO CORDA"";424113,71;2145015,40;2569129,11"
"""210170 BARREIRINHAS"";418732,94;3883363,21;4302096,15"
"""210177 BELA VISTA DO MARANHAO"";-;204161,50;204161,50"
"""210190 BEQUIMAO"";-;230118,07;230118,07"
"""210193 BERNARDO DO MEARIM"";-;57752,82;57752,82"
"""210200 BOM JARDIM"";-;896125,21;896125,21"
"""210203 BOM JESUS DAS SELVAS"";-;525487,18;525487,18"
"""210210 BREJO"";-;429691,99;429691,99"
"""210220 BURITI"";-;579092,09;579092,09"
"""210230 BURITI BRAVO"";11269,93;426759,38;438029,31"
"""210232 BURITICUPU"";18942,06;1651222,12;1670164,18"
"""210240 CAJAPIO"";-;189737,94;189737,94"
"""210250 CAJARI"";-;78388,36;78388,36"
"""210260 CANDIDO MENDES"";-;263643,89;263643,89"
"""210270 CANTANHEDE"";-;579197,86;579197,86"
"""210280 CAROLINA"";13534,00;723617,92;737151,92"
"""210290 CARUTAPERA"";374601,27;981231,04;1355832,31"
"""210300 CAXIAS"";624752,21;20913892,16;21538644,37"
"""210310 CEDRAL"";-;266366,65;266366,65"
"""210312 CENTRAL DO MARANHAO"";-;120865,12;120865,12"
"""210320 CHAPADINHA"";447526,97;2660202,60;3107729,57"
"""210325 CIDELANDIA"";-;298079,54;298079,54"
"""210330 CODO"";-;3564775,35;3564775,35"
"""210340 COELHO NETO"";25535,89;1195478,75;1221014,64"
"""210350 COLINAS"";8407,99;3983901,51;3992309,50"
"""210355 CONCEICAO DO LAGO-ACU"";-;197856,91;197856,91"
"""210360 COROATA"";1023725,84;8876769,90;9900495,74"
"""210370 CURURUPU"";-;2339285,73;2339285,73"
"""210380 DOM PEDRO"";-;221547,13;221547,13"
"""210390 DUQUE BACELAR"";-;367289,92;367289,92"
"""210400 ESPERANTINOPOLIS"";-;630598,44;630598,44"
"""210405 ESTREITO"";-;974729,33;974729,33"
"""210407 FEIRA NOVA DO MARANHAO"";-;222713,78;222713,78"
"""210408 FERNANDO FALCAO"";-;181129,21;181129,21"
"""210409 FORMOSA DA SERRA NEGRA"";-;231533,16;231533,16"
"""210410 FORTALEZA DOS NOGUEIRAS"";-;245919,10;245919,10"
"""210420 FORTUNA"";-;187447,97;187447,97"
"""210440 GONCALVES DIAS"";-;64486,16;64486,16"
"""210450 GOVERNADOR ARCHER"";-;86026,47;86026,47"
"""210455 GOVERNADOR EDISON LOBAO"";-;126970,60;126970,60"
"""210460 GOVERNADOR EUGENIO BARROS"";-;399256,91;399256,91"
"""210462 GOVERNADOR LUIZ ROCHA"";-;217368,83;217368,83"
"""210465 GOVERNADOR NEWTON BELLO"";-;203687,76;203687,76"
"""210467 GOVERNADOR NUNES FREIRE"";-;2366955,57;2366955,57"
"""210480 GRAJAU"";459795,03;4847438,15;5307233,18"
"""210490 GUIMARAES"";-;207355,80;207355,80"
"""210500 HUMBERTO DE CAMPOS"";-;583626,95;583626,95"
"""210510 ICATU"";-;192645,94;192645,94"
"""210515 IGARAPE DO MEIO"";-;243835,42;243835,42"
"""210520 IGARAPE GRANDE"";-;256105,37;256105,37"
"""210530 IMPERATRIZ"";1867050,35;35196570,60;37063620,95"
"""210535 ITAIPAVA DO GRAJAU"";21372,85;344764,05;366136,90"
"""210540 ITAPECURU MIRIM"";-;1615020,71;1615020,71"
"""210542 ITINGA DO MARANHAO"";-;268720,46;268720,46"
"""210545 JATOBA"";-;225634,95;225634,95"
"""210547 JENIPAPO DOS VIEIRAS"";14147,13;390828,59;404975,72"
"""210550 JOAO LISBOA"";-;555190,86;555190,86"
"""210570 LAGO DA PEDRA"";6111,28;4579490,99;4585602,27"
"""210580 LAGO DO JUNCO"";-;373495,36;373495,36"
"""210590 LAGO VERDE"";-;18261,58;18261,58"
"""210594 LAGO DOS RODRIGUES"";-;293424,45;293424,45"
"""210596 LAGOA GRANDE DO MARANHAO"";-;206371,86;206371,86"
"""210600 LIMA CAMPOS"";17346,72;416169,60;433516,32"
"""210610 LORETO"";-;143289,88;143289,88"
"""210630 MAGALHAES DE ALMEIDA"";-;149809,22;149809,22"
"""210637 MARANHAOZINHO"";-;307237,93;307237,93"
"""210640 MATA ROMA"";-;273599,96;273599,96"
"""210650 MATINHA"";-;287985,88;287985,88"
"""210660 MATOES"";13323,96;288933,12;302257,08"
"""210667 MILAGRES DO MARANHAO"";-;79207,81;79207,81"
"""210670 MIRADOR"";-;74982,31;74982,31"
"""210675 MIRANDA DO NORTE"";-;328605,22;328605,22"
"""210680 MIRINZAL"";20599,68;276983,04;297582,72"
"""210690 MONCAO"";247453,01;755838,72;1003291,73"
"""210700 MONTES ALTOS"";-;43774,12;43774,12"
"""210710 MORROS"";-;421708,89;421708,89"
"""210720 NINA RODRIGUES"";-;224673,70;224673,70"
"""210725 NOVA COLINAS"";-;115448,22;115448,22"
"""210735 NOVA OLINDA DO MARANHAO"";-;604031,38;604031,38"
"""210740 OLHO D'AGUA DAS CUNHAS"";-;411348,02;411348,02"
"""210745 OLINDA NOVA DO MARANHAO"";-;306460,92;306460,92"
"""210750 PACO DO LUMIAR"";71921,48;1454889,40;1526810,88"
"""210760 PALMEIRANDIA"";-;313211,58;313211,58"
"""210770 PARAIBANO"";-;304529,08;304529,08"
"""210780 PARNARAMA"";-;757973,13;757973,13"
"""210790 PASSAGEM FRANCA"";-;1847208,93;1847208,93"
"""210800 PASTOS BONS"";-;394064,94;394064,94"
"""210805 PAULINO NEVES"";-;844162,06;844162,06"
"""210810 PAULO RAMOS"";-;661351,41;661351,41"
"""210820 PEDREIRAS"";-;3976012,21;3976012,21"
"""210825 PEDRO DO ROSARIO"";-;139134,82;139134,82"
"""210830 PENALVA"";-;391630,41;391630,41"
"""210840 PERI MIRIM"";-;15415,59;15415,59"
"""210845 PERITORO"";378865,32;1690211,57;2069076,89"
"""210850 PINDARE-MIRIM"";-;177980,61;177980,61"
"""210860 PINHEIRO"";592366,07;8088989,48;8681355,55"
"""210870 PIO XII"";-;581448,44;581448,44"
"""210880 PIRAPEMAS"";-;166382,75;166382,75"
"""210890 POCAO DE PEDRAS"";-;310648,87;310648,87"
"""210900 PORTO FRANCO"";-;2338798,43;2338798,43"
"""210910 PRESIDENTE DUTRA"";-;11160259,00;11160259,00"
"""210920 PRESIDENTE JUSCELINO"";-;117032,88;117032,88"
"""210923 PRESIDENTE MEDICI"";-;565795,33;565795,33"
"""210927 PRESIDENTE SARNEY"";-;138180,54;138180,54"
"""210930 PRESIDENTE VARGAS"";-;117396,14;117396,14"
"""210940 PRIMEIRA CRUZ"";-;236145,10;236145,10"
"""210945 RAPOSA"";-;249967,72;249967,72"
"""210950 RIACHAO"";-;375230,10;375230,10"
"""210960 ROSARIO"";-;756471,70;756471,70"
"""210970 SAMBAIBA"";-;130249,27;130249,27"
"""210980 SANTA HELENA"";33323,62;715599,59;748923,21"
"""210990 SANTA INES"";765115,15;9910088,62;10675203,77"
"""211000 SANTA LUZIA"";-;1676345,87;1676345,87"
"""211003 SANTA LUZIA DO PARUA"";132651,79;2289929,41;2422581,20"
"""211010 SANTA QUITERIA DO MARANHAO"";429,00;588535,84;588964,84"
"""211020 SANTA RITA"";75970,98;680748,94;756719,92"
"""211023 SANTANA DO MARANHAO"";-;254647,92;254647,92"
