"""Munic¡pio"";""2008/Jan"";""2008/Fev"";""2008/Mar"";""2008/Abr"";""2008/Mai"";""2008/Jun"";""2008/Jul"";""2008/Ago"";""2008/Set"";""2008/Out"";""2008/Nov"";""2008/Dez"";""2009/Jan"";""2009/Fev"";""2009/Mar"";""2009/Abr"";""2009/Mai"";""2009/Jun"";""2009/Jul"";""2009/Ago"";""2009/Set"";""2009/Out"";""2009/Nov"";""2009/Dez"";""2010/Jan"";""2010/Mar"";""2010/Abr"";""2010/Mai"";""2010/Jun"";""2010/Jul"";""2010/Ago"";""2010/Set"";""2010/Out"";""2010/Nov"";""2010/Dez"";""2011/Jan"";""2011/Fev"";""2011/Mar"";""2011/Abr"";""2011/Mai"";""2011/Jun"";""2011/Jul"";""2011/Ago"";""2011/Set"";""2011/Out"";""2011/Nov"";""2011/Dez"";""2012/Jan"";""2012/Fev"";""2012/Mar"";""2012/Abr"";""2012/Mai"";""2012/Jun"";""2012/Jul"";""2012/Ago"";""2012/Set"";""2012/Out"";""2012/Nov"";""2012/Dez"";""2013/Jan"";""2013/Fev"";""2013/Mar"";""2013/Abr"";""2013/Mai"";""2013/Jun"";""2013/Jul"";""2013/Ago"";""2013/Set"";""2013/Out"";""2013/Nov"";""2013/Dez"";""2014/Jan"";""2014/Fev"";""2014/Mar"";""2014/Abr"";""2014/Mai"";""2014/Jun"";""2014/Jul"";""2014/Ago"";""2014/Set"";""2014/Out"";""2014/Nov"";""2014/Dez"";""2015/Jan"";""2015/Fev"";""2015/Mar"";""2015/Abr"";""2015/Mai"";""2015/Jun"";""2015/Jul"";""2015/Ago"";""2015/Set"";""2015/Out"";""2015/Nov"";""2015/Dez"";""2016/Jan"";""2016/Fev"";""2016/Mar"";""2016/Abr"";""2016/Mai"";""2016/Jun"";""2016/Jul"";""2016/Ago"";""2016/Set"";""2016/Out"";""2016/Nov"";""2016/Dez"";""2017/Jan"";""2017/Fev"";""2017/Mar"";""2017/Abr"";""2017/Mai"";""2017/Jun"";""2017/Jul"";""2017/Ago"";""2017/Set"";""2017/Out"";""2017/Nov"";""2017/Dez"";""2018/Jan"";""2018/Fev"";""2018/Mar"";""2018/Abr"";""2018/Mai"";""2018/Jun"";""2018/Jul"";""2018/Ago"";""2018/Set"";""2018/Out"";""2018/Nov"";""2018/Dez"";""2019/Jan"";""2019/Fev"";""2019/Mar"";""2019/Abr"";""2019/Mai"";""2019/Jun"";""2019/Jul"";""2019/Ago"";""2019/Set"";""2019/Out"";""2019/Nov"";""2019/Dez"";""2020/Jan"";""2020/Fev"";""2020/Mar"";""2020/Abr"";""2020/Mai"";""2020/Jun"";""2020/Jul"";""2020/Ago"";""2020/Set"";""2020/Out"";""2020/Nov"";""2020/Dez"";""2021/Jan"";""2021/Fev"";""2021/Mar"";""2021/Abr"";""2021/Mai"";""2021/Jun"";""2021/Jul"";""2021/Ago"";""2021/Set"";""2021/Out"";""2021/Nov"";""2021/Dez"";""2022/Jan"";""2022/Fev"";""2022/Mar"";""2022/Abr"";""2022/Mai"";""2022/Jun"";""2022/Jul"";""2022/Ago"";""2022/Set"";""2022/Out"";""2022/Nov"";""2022/Dez"";""2023/Jan"";""2023/Fev"";""2023/Mar"";""2023/Abr"";""2023/Mai"";""2023/Jun"";""2023/Jul"";""2023/Ago"";""2023/Set"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""317020 UBERLANDIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;285199,70;2424365,22;5747285,74;8765068,87;9802661,57;8604366,30;9096751,40;9515265,85;9464663,32;9244724,74;9147929,90;9399341,00;8811086,60;9419844,26;9052107,91;9244729,79;9523406,60;8650939,76;9791841,33;9664924,30;9757221,55;9521278,21;9360811,18;9783101,69;9516523,15;9907665,72;10178596,81;9577592,08;9949626,37;9720106,45;10815984,94;10946416,04;10171288,09;11080179,68;11997479,68;11523697,33;11252394,47;11546949,77;10776988,56;11092047,33;10468722,10;10006315,34;11317605,21;11694703,90;12335185,19;10580938,69;12887969,37;12911792,52;11362630,75;13510335,32;11616626,25;5338742,60;993331,57;509157352,07"
"""317040 UNAI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3099,48;29568,89;212070,27;794117,11;401607,57;270684,97;296219,92;322493,06;283178,45;376621,01;473965,96;307055,89;307248,90;333535,16;303422,98;359125,11;392372,13;413786,27;358719,71;529774,65;355365,64;419922,92;427399,46;374242,13;353358,44;395655,70;398916,31;428303,89;407105,18;400913,50;311040,92;495710,61;475347,13;408831,05;500348,79;391610,20;520741,93;351668,45;395886,27;497654,95;446234,20;550220,16;471129,39;535158,26;480964,42;543273,36;568433,98;509619,33;475533,77;455843,45;477137,12;302644,44;20894882,84"
"""317043 UNIAO DE MINAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;510,96;1631,20;10248,02;12423,18;10339,79;8127,67;5620,25;8065,26;8642,35;7466,89;11521,33;5833,96;2125,59;5371,98;9888,63;7519,90;5349,97;3868,33;7699,14;11512,67;2355,28;15212,40;9108,49;5953,68;8783,66;9399,29;6935,06;10522,84;9066,29;7464,86;15798,20;11325,91;8841,33;2993,08;5234,34;707,07;1487,21;506,44;582,42;3173,86;3161,63;204,50;1456,28;1030,05;2074,24;590,42;236,50;1160,49;598,42;606,42;-;290337,73"
"""317052 URUCUIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33049,21;5964,95;22558,53;28021,63;25613,56;18245,71;35333,72;34567,99;22229,18;14044,00;35064,09;7383,88;93263,45;37276,19;45622,62;60120,43;38448,18;39696,05;21763,79;22991,93;39274,61;6260,49;2595,27;1575,53;58541,21;25865,29;46847,35;63055,76;38192,64;27150,01;13375,46;34234,21;22194,08;52845,01;30188,94;23931,97;21713,20;13369,35;18332,25;19698,20;17960,67;28728,52;22821,40;17339,15;20221,16;18558,96;22924,66;13567,17;19367,10;1381988,71"
"""317070 VARGINHA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;189959,74;684732,17;867080,36;2241833,16;3746914,47;3004816,84;3033578,65;2901134,05;2819489,81;1858753,64;2475896,97;2837078,89;3261970,01;3275888,86;3249853,44;2967865,96;3359572,22;2859099,64;3768979,52;3005677,21;3605732,76;3705496,75;3805254,46;3815369,55;3738895,20;3802500,21;3657962,76;3515345,38;3685112,92;3697719,04;4232113,07;3727566,53;3504988,45;3739054,76;3744884,71;3825440,67;3866047,32;3556488,03;3432884,49;3394196,07;3776109,01;3570161,57;4764337,10;4964571,17;5416847,39;4940002,88;5728253,55;5438451,91;7118844,66;6405784,00;6066274,73;4103467,60;1752624,13;190508958,44"
"""317080 VARZEA DA PALMA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5763,05;64408,19;66922,58;59752,86;63576,58;77362,09;68629,57;65655,35;72590,41;79904,98;59302,35;54369,51;45788,85;56943,38;63653,38;65284,13;79301,74;81233,29;72235,40;65532,67;94808,35;55939,66;71235,05;75341,25;63589,78;70419,98;60424,22;50640,23;73480,06;169445,86;107982,95;130008,74;89875,25;111653,81;89997,05;80350,08;32667,11;46947,80;38126,28;45382,55;89696,33;112272,88;111456,80;78867,21;82988,97;147872,93;103631,76;69248,08;79196,13;87812,69;3789570,20"
"""317090 VARZELANDIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1188,84;44828,87;17623,81;18712,56;-;16850,28;17962,76;15630,56;20403,62;19878,10;28557,45;20647,47;27398,32;32194,40;23383,80;28075,57;16514,70;21539,01;28471,66;35282,41;22297,09;20762,83;17935,96;19885,78;21338,26;20695,21;24888,75;35314,22;36359,48;31010,58;24734,78;31127,78;22050,98;29185,38;30314,77;22387,36;22160,96;21860,71;22713,84;22612,90;28904,46;18345,03;18721,12;20346,59;17284,01;22533,07;21843,28;45600,73;40315,81;30199,17;1198875,08"
"""317100 VAZANTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10466,62;25047,71;24159,33;29420,06;39095,16;28581,82;36039,80;34194,16;52874,27;44641,11;39216,14;40913,17;34870,26;27321,57;27877,81;35579,48;53437,91;38230,65;51262,31;47315,04;62547,66;62275,30;56369,57;45315,16;54968,85;42904,55;40443,18;33426,93;48237,26;56216,46;41816,09;64883,68;52370,45;51967,63;44914,27;40502,98;44273,27;32978,42;49054,45;43571,86;59482,26;40308,48;60132,73;52662,75;73322,70;81116,86;89237,90;121963,83;89014,27;92310,99;-;2449135,17"
"""317120 VESPASIANO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3676,55;8739,71;13916,39;142552,27;112405,17;50432,94;70780,76;77128,25;79963,86;108288,61;88234,13;64122,15;58121,23;71072,40;15438,77;67563,62;99756,72;78827,69;33345,63;75543,71;113455,46;107034,74;108883,90;110005,98;109675,95;84724,25;91406,30;92552,78;110287,28;98101,10;100537,00;93924,62;91109,14;131710,65;134106,32;158182,91;117087,77;101093,41;87072,49;103520,26;94254,04;107026,32;115391,49;144281,24;122421,87;128081,21;128507,40;178177,83;154333,97;55707,97;48706,11;23283,01;4764555,33"
"""317130 VICOSA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19964,65;351498,91;525375,10;661001,69;1035229,28;737394,80;895265,18;912836,09;907606,04;954326,33;1044552,94;851379,88;990700,71;868268,52;765026,26;923058,46;817782,48;805191,03;918397,91;909357,32;882034,89;1108983,87;1217322,50;819076,83;764401,77;735935,87;681134,44;1020294,50;753785,60;798521,79;968599,84;1212417,55;1048710,37;1138355,71;1064031,08;1059262,93;861778,63;1120100,56;780774,73;843685,48;831620,42;910984,13;974570,58;1003299,66;1266921,03;1052859,25;956151,11;1145878,24;991762,44;1057308,90;775084,32;248822,79;32277,16;46020962,55"
"""317160 VIRGEM DA LAPA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12849,26;5320,45;3582,05;3778,95;8054,12;12065,32;4829,88;10945,64;11957,75;6826,35;6040,20;4291,45;7876,26;2120,24;8960,18;8410,10;9459,76;9292,37;8107,48;6518,98;5523,07;5914,28;8905,54;5378,59;10330,81;9045,58;12568,78;8261,87;7937,37;9260,49;11863,61;3972,31;7824,24;6494,08;5299,46;5422,87;7914,71;5140,71;6557,58;10963,37;9037,09;9160,26;10636,04;9269,97;9480,75;8501,57;11108,52;6598,55;-;379658,86"
"""317170 VIRGINIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3231,22;15558,98;10253,55;12634,64;9917,52;4695,90;9248,40;6792,60;12027,51;7577,17;10780,31;7700,84;4699,32;12223,70;9309,24;9536,06;11253,48;10552,53;5284,04;13410,56;10543,37;9910,95;13766,79;14145,53;9135,00;8002,68;12269,04;11957,61;14496,90;13621,52;15191,50;18234,36;8581,69;13206,49;8350,46;7848,18;8607,73;13169,58;10557,27;7892,78;10401,55;20214,79;20463,46;13638,36;5478,78;13612,64;11384,25;8121,25;10656,62;8760,10;538908,80"
"""317180 VIRGINOPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7382,56;35559,17;22456,11;36034,14;43525,06;40895,61;44515,54;32980,97;35513,26;39272,03;27410,55;37955,47;42293,50;36081,30;29656,42;31824,00;23205,88;35891,69;48153,47;37643,53;47151,09;41476,29;40364,50;45730,84;26236,69;35822,91;30923,79;52908,79;37697,47;48811,32;50214,90;33372,06;44222,40;49188,03;59771,38;36891,54;39096,07;33868,57;33462,49;43309,73;45946,58;43564,27;61134,69;45034,12;52405,73;53883,09;47287,86;46940,97;30087,41;-;1945055,84"
"""317200 VISCONDE DO RIO BRANCO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;61644,43;394665,34;321676,88;397268,76;373491,90;422301,63;382898,98;409250,82;396341,04;390630,72;394149,14;363718,57;382790,36;355792,00;369740,03;390236,49;377638,50;402056,63;362787,34;405732,08;385206,46;393575,32;400568,32;381971,97;346518,69;355448,09;373869,60;419317,74;398539,99;433882,48;440900,15;423737,95;368909,69;353285,52;440203,22;330452,44;344263,73;364411,89;326635,01;362525,32;391115,85;375550,65;349078,74;356397,67;354666,20;398964,15;379151,45;388989,14;354956,57;260298,43;18608204,07"
"""320010 AFONSO CLAUDIO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2130,32;25203,20;61811,69;59869,34;49945,05;70239,44;58903,35;64133,14;65228,46;65406,90;61184,41;67623,26;59660,73;72588,48;61457,38;64957,18;78020,04;62353,73;77357,30;70221,29;75919,16;74512,21;63367,11;65336,19;65880,43;70533,02;68092,73;51456,80;77291,99;63559,57;57864,86;68204,94;58537,80;64124,14;70344,03;64849,08;68595,32;61040,23;60636,57;69331,94;48748,59;61529,98;66205,61;60279,37;64767,40;59605,29;40130,58;65123,27;46339,91;51408,30;-;3081911,11"
"""320020 ALEGRE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7618,76;41728,14;45893,08;51260,76;44984,96;53362,46;46480,53;43487,35;58021,83;48173,77;66719,24;53123,77;48043,65;42205,50;45839,30;65292,38;49366,51;62610,90;41657,07;42458,53;61549,02;47653,87;46493,68;53332,11;55061,44;46334,88;62974,72;70244,94;67502,44;54008,54;53013,02;58523,49;43985,31;59568,81;44111,26;36113,25;30964,58;22761,08;12994,34;17326,37;51234,35;53621,46;53784,17;68289,28;43447,66;46258,40;55552,82;47618,63;35434,24;27784,01;2385870,66"
"""320040 ANCHIETA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10068,40;69602,31;34403,91;28405,94;31663,67;35578,89;22296,63;25632,98;25773,03;28064,79;28077,50;21768,08;19126,31;24084,24;14913,67;31616,69;22157,05;26777,98;24726,23;21255,33;24083,11;35064,60;31937,60;9491,42;13309,13;19781,23;20683,66;29328,12;33443,13;26178,89;30174,13;30206,72;26948,09;29196,18;25624,11;22180,53;27374,53;21724,49;19866,66;24101,80;28145,82;31823,24;22355,03;54381,55;25736,08;38964,76;32543,23;22531,97;-;-;1303173,44"
"""320050 APIACA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1734,35;6098,65;5805,67;7527,92;4414,56;6094,99;39746,85;53497,59;76553,59;81135,72;88232,85;77135,01;88582,47;82161,09;66193,30;33903,20;718817,81"
"""320060 ARACRUZ"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7923,26;10729,23;102587,90;391704,56;372647,47;408951,05;413875,12;373716,22;424968,63;470917,63;465274,65;404428,89;431397,60;374763,92;408494,58;412444,11;440240,66;452825,80;555067,91;579289,92;604633,72;667147,53;576656,90;575274,92;438836,10;572362,98;591204,68;600291,54;556838,00;643361,30;602213,58;719519,02;620146,07;722561,85;683271,76;612435,24;787926,92;705078,77;781266,75;695739,08;715953,66;776848,86;781746,22;867214,11;887408,83;777731,26;768565,67;832290,18;757875,59;632376,59;227372,12;-;28284398,91"
"""320070 ATILIO VIVACQUA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2330,92;4072,70;1772,26;2180,71;4218,62;360,80;1863,72;2252,31;2847,39;2026,95;2654,04;1610,70;4277,33;2370,69;1755,73;1186,43;1061,61;2100,29;1321,36;2925,66;1462,86;2587,89;3151,06;1027,96;1312,06;765,54;2364,78;3946,36;3176,60;3014,31;6370,03;3524,24;2864,28;1608,00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;82366,19"
