"""Munic°pio"";""101-5 ‡rg∆o P£blico do Poder Executivo Federal"";""102-3 ‡rg∆o P£blico do Poder Executivo Estadual ou do Distrito Federal"";""103-1 ‡rg∆o P£blico do Poder Executivo Municipal"";""110-4 Autarquia Federal"";""111-2 Autarquia Estadual ou do Distrito Federal"";""112-0 Autarquia Municipal"";""113-9 Fundaá∆o P£blica de Direito P£blico Federal"";""114-7 Fundaá∆o P£blica de Direito P£blico Estadual ou do Distrito Federal"";""115-5 Fundaá∆o P£blica de Direito P£blico Municipal"";""118-0 ‡rg∆o P£blico Autìnomo Municipal"";""121-0 Cons¢rcio P£blico de Direito P£blico (Associaá∆o P£blica)"";""123-6 Estado ou Distrito Federal"";""124-4 Munic°pio"";""126-0 Fundaá∆o P£blica de Direito Privado Estadual ou do Distrito Federal"";""127-9 Fundaá∆o P£blica de Direito Privado Municipal"";""201-1 Empresa P£blica"";""204-6 Sociedade Anìnima Aberta"";""205-4 Sociedade Anìnima Fechada"";""206-2 Sociedade Empres†ria Limitada"";""208-9 Sociedade Empres†ria em Comandita Simples"";""213-5 Empres†rio (Individual)"";""214-3 Cooperativa"";""223-2 Sociedade Simples Pura"";""224-0 Sociedade Simples Limitada"";""230-5 Empresa Individual de Responsabilidade Limitada (de Natureza Empres†ria)"";""306-9 Fundaá∆o Privada"";""307-7 Serviáo Social Autìnomo"";""313-1 Entidade Sindical"";""399-9 Associaá∆o Privada"";""Total"""
"""315140 PITANGUI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1379;1379"
"""315150 PIUMHI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4503;4503"
"""315170 POCO FUNDO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1978;1978"
"""315180 POCOS DE CALDAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4201;-;-;-;-;-;-;-;-;-;9404;13605"
"""315190 POCRANE"";-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37"
"""315200 POMPEU"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1072;1072"
"""315210 PONTE NOVA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5319;-;-;4858;10177"
"""315220 PORTEIRINHA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2656;2656"
"""315240 POTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;389;389"
"""315250 POUSO ALEGRE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20113;-;-;-;20113"
"""315260 POUSO ALTO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;348;348"
"""315270 PRADOS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;329;329"
"""315280 PRATA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1350;1350"
"""315290 PRATAPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31"
"""315310 PRESIDENTE BERNARDES"";-;-;-;-;-;-;-;-;-;-;-;-;59;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;59"
"""315340 PRESIDENTE OLEGARIO"";-;-;-;-;-;-;-;-;-;-;-;-;592;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;592"
"""315400 RAUL SOARES"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1478;1478"
"""315410 RECREIO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;675;675"
"""315420 RESENDE COSTA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;966;966"
"""315430 RESPLENDOR"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4004;4004"
"""315460 RIBEIRAO DAS NEVES"";-;-;-;-;-;-;-;-;-;-;-;-;5508;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5508"
"""315470 RIBEIRAO VERMELHO"";-;-;56;-;-;-;-;-;-;-;-;-;119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;175"
"""315490 RIO CASCA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;783;783"
"""315520 RIO ESPERA"";-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40"
"""315550 RIO PARANAIBA"";-;-;-;-;-;-;-;-;-;-;-;-;438;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;438"
"""315560 RIO PARDO DE MINAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1201;1201"
"""315570 RIO PIRACICABA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;450;450"
"""315580 RIO POMBA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2133;2133"
"""315590 RIO PRETO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;205;205"
"""315600 RIO VERMELHO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;380;380"
"""315660 RUBIM"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;501;501"
"""315670 SABARA"";-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1268;1307"
"""315680 SABINOPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2054;2054"
"""315690 SACRAMENTO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1615;1615"
"""315700 SALINAS"";-;-;-;-;-;-;-;-;-;-;-;-;5329;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5329"
"""315710 SALTO DA DIVISA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;302;-;-;-;302"
"""315720 SANTA BARBARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1734;1734"
"""315770 SANTA JULIANA"";-;-;-;-;-;-;-;-;-;-;-;-;234;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;234"
"""315780 SANTA LUZIA"";-;-;-;-;-;-;-;-;-;-;-;-;3094;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3868;6962"
"""315790 SANTA MARGARIDA"";-;-;-;-;-;-;-;-;-;-;-;-;905;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;905"
"""315800 SANTA MARIA DE ITABIRA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46;46"
"""315820 SANTA MARIA DO SUACUI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2049;2049"
"""315930 SANTA RITA DE JACUTINGA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;191;191"
"""315960 SANTA RITA DO SAPUCAI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3300;-;-;-;3300"
"""315980 SANTA VITORIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1044;-;-;-;-;-;-;-;-;-;-;1044"
"""315990 SANTO ANTONIO DO AMPARO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2546;2546"
"""316040 SANTO ANTONIO DO MONTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2243;2243"
"""316070 SANTOS DUMONT"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2334;2334"
"""316100 SAO DOMINGOS DO PRATA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;658;658"
"""316110 SAO FRANCISCO"";-;-;-;-;-;-;-;-;-;-;-;-;3999;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3999"
"""316200 SAO GONCALO DO SAPUCAI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1904;1904"
"""316210 SAO GOTARDO"";-;-;-;-;-;-;-;-;-;-;-;-;2039;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2039"
"""316220 SAO JOAO BATISTA DO GLORIA"";-;-;-;-;-;-;-;-;-;-;-;-;212;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;212"
"""316240 SAO JOAO DA PONTE"";-;-;-;-;-;-;-;-;2275;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2275"
"""316250 SAO JOAO DEL REI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8723;8723"
"""316257 SAO JOAO DO MANTENINHA"";-;-;-;-;-;-;-;-;-;-;-;-;110;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;110"
"""316270 SAO JOAO DO PARAISO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1530;-;-;-;1530"
"""316280 SAO JOAO EVANGELISTA"";-;-;-;-;-;-;-;-;1985;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1985"
"""316290 SAO JOAO NEPOMUCENO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1425;1425"
"""316370 SAO LOURENCO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6948;-;-;-;6948"
"""316390 SAO PEDRO DA UNIAO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;106;106"
"""316420 SAO ROMAO"";-;-;-;-;-;-;-;-;-;-;-;-;363;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;363"
"""316430 SAO ROQUE DE MINAS"";-;-;-;-;-;-;-;-;-;-;-;-;74;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;74"
"""316470 SAO SEBASTIAO DO PARAISO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;820;-;-;8308;9128"
"""316500 SAO TIAGO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;499;499"
"""316530 SAO VICENTE DE MINAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;304;304"
"""316570 SENADOR FIRMINO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;161;161"
"""316680 SERRA DO SALITRE"";-;-;-;-;-;-;-;-;-;-;-;-;844;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;844"
"""316690 SERRANIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;83;83"
"""316710 SERRO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2838;2838"
"""316720 SETE LAGOAS"";-;-;-;-;-;-;-;-;-;-;-;-;9683;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10673;20356"
"""316800 TAIOBEIRAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8350;-;-;-;8350"
"""316840 TARUMIRIM"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3248;3248"
"""316860 TEOFILO OTONI"";-;-;-;-;-;-;-;-;-;-;-;-;3915;-;-;-;-;-;526;-;-;-;-;-;-;-;-;-;13246;17687"
"""316870 TIMOTEO"";-;-;-;-;-;-;-;-;-;-;-;-;2662;-;-;-;-;-;-;-;-;-;-;-;-;888;-;-;-;3550"
"""316890 TIROS"";-;-;-;-;-;-;-;-;-;-;-;-;147;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;147"
"""316920 TOMBOS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;251;251"
"""316930 TRES CORACOES"";-;-;-;-;-;-;-;233;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5391;-;-;-;5624"
"""316935 TRES MARIAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1848;1848"
"""316940 TRES PONTAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4178;4178"
"""316960 TUPACIGUARA"";-;-;-;-;-;-;-;-;-;-;-;-;613;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;613"
"""316970 TURMALINA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3225;3225"
"""316990 UBA"";-;-;-;-;-;-;-;424;-;-;-;-;-;-;-;-;-;-;496;-;-;-;-;-;-;-;-;-;11511;12431"
"""317010 UBERABA"";-;-;-;12873;-;-;-;-;-;-;-;-;4740;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12217;29830"
"""317020 UBERLANDIA"";-;-;-;-;-;-;-;-;-;-;-;-;41408;-;-;20299;-;61;2538;-;-;-;-;-;-;-;-;-;-;64306"
"""317040 UNAI"";-;-;-;-;-;-;-;-;-;-;-;-;5736;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5736"
"""317043 UNIAO DE MINAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;252;252"
"""317052 URUCUIA"";-;-;-;-;-;-;-;-;-;-;-;-;765;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;765"
"""317070 VARGINHA"";-;-;-;-;-;-;-;-;6364;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7668;-;-;-;14032"
"""317080 VARZEA DA PALMA"";-;-;-;-;-;-;-;-;-;-;-;-;1462;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1462"
"""317090 VARZELANDIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;536;-;-;-;536"
"""317100 VAZANTE"";-;-;-;-;-;-;-;-;-;-;-;-;1084;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1084"
"""317120 VESPASIANO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1798;1798"
"""317130 VICOSA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2132;-;-;4679;6811"
"""317160 VIRGEM DA LAPA"";-;-;-;-;-;-;-;-;-;-;-;-;297;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;297"
"""317170 VIRGINIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;371;371"
"""317180 VIRGINOPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1007;1007"
"""317200 VISCONDE DO RIO BRANCO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5036;5036"
"""320010 AFONSO CLAUDIO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1663;1663"
"""320020 ALEGRE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1250;1250"
"""320040 ANCHIETA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;656;656"
"""320060 ARACRUZ"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5420;-;-;-;5420"
"""320070 ATILIO VIVACQUA"";-;-;-;-;-;-;-;-;-;-;-;-;64;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;64"
"""320080 BAIXO GUANDU"";-;1242;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1242"
"""320090 BARRA DE SAO FRANCISCO"";-;6180;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6180"
"""320100 BOA ESPERANCA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;516;516"
"""320120 CACHOEIRO DE ITAPEMIRIM"";-;418;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34129;34547"
"""320130 CARIACICA"";-;2909;-;-;-;-;-;-;-;-;-;-;3337;-;-;-;-;399;-;-;-;-;-;-;-;-;-;-;-;6645"
"""320140 CASTELO"";-;-;-;-;-;-;-;-;-;-;-;-;1472;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1472"
"""320150 COLATINA"";-;3772;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15877;-;-;3780;23429"
"""320170 CONCEICAO DO CASTELO"";-;-;-;-;-;-;-;-;-;-;-;-;240;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;240"
"""320190 DOMINGOS MARTINS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1316;-;-;324;1640"
"""320210 ECOPORANGA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1427;-;-;-;1427"
"""320230 GUACUI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3888;3888"
"""320240 GUARAPARI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4453;4453"
"""320280 ITAPEMIRIM"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4455;4455"
"""320290 ITARANA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303;303"
"""320300 IUNA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1646;1646"
"""320305 JAGUARE"";-;-;-;-;-;-;-;-;-;-;-;-;597;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;597"
"""320310 JERONIMO MONTEIRO"";-;2215;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2215"
"""320313 JOAO NEIVA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;588;588"
"""320316 LARANJA DA TERRA"";-;-;-;-;-;-;-;-;-;-;-;-;245;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;245"
"""320320 LINHARES"";-;-;-;-;-;-;-;-;-;-;-;-;5211;-;-;-;-;-;-;-;-;-;-;-;-;9623;-;-;-;14834"
"""320340 MIMOSO DO SUL"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1212;1212"
"""320350 MONTANHA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;692;692"
"""320360 MUCURICI"";-;-;-;-;-;-;-;-;-;-;-;-;325;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;325"
"""320370 MUNIZ FREIRE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;257;257"
"""320380 MUQUI"";-;-;-;-;-;-;-;-;-;-;-;-;365;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;365"
"""320390 NOVA VENECIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3116;3116"
"""320400 PANCAS"";-;-;-;-;-;-;-;-;-;-;-;-;130;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;130"
"""320405 PEDRO CANARIO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1482;1482"
"""320410 PINHEIROS"";-;-;-;-;-;-;-;-;-;-;-;-;528;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;528"
"""320435 RIO BANANAL"";-;-;-;-;-;-;-;-;-;-;-;-;101;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;101"
"""320450 SANTA LEOPOLDINA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1823;1823"
"""320455 SANTA MARIA DE JETIBA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2503;-;-;-;2503"
"""320460 SANTA TERESA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4405;4405"
"""320470 SAO GABRIEL DA PALHA"";-;-;-;-;-;-;-;-;-;-;-;-;457;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;457"
"""320480 SAO JOSE DO CALCADO"";-;3012;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3012"
"""320490 SAO MATEUS"";-;11890;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3087;14977"
"""320500 SERRA"";-;24168;-;-;-;-;-;-;-;-;-;-;5872;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30040"
"""320503 VARGEM ALTA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;493;493"
"""320506 VENDA NOVA DO IMIGRANTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3939;3939"
"""320520 VILA VELHA"";-;14253;-;-;-;-;-;-;-;-;-;-;1022;6471;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14318;36064"
"""320530 VITORIA"";-;22739;-;-;-;-;-;-;-;-;-;-;-;-;-;11798;-;-;-;-;-;-;-;-;-;-;-;-;28044;62581"
"""330010 ANGRA DOS REIS"";-;-;-;-;-;-;-;-;6504;-;-;-;3271;-;-;-;-;-;-;-;-;-;-;-;-;1392;-;-;-;11167"
"""330015 APERIBE"";-;-;-;-;-;-;-;-;-;-;-;-;1512;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1512"
"""330020 ARARUAMA"";-;3568;1916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5484"
"""330022 AREAL"";-;-;-;-;-;-;-;-;-;-;-;-;231;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;231"
"""330023 ARMACAO DOS BUZIOS"";-;-;3533;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3533"
"""330025 ARRAIAL DO CABO"";-;-;2163;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2163"
"""330030 BARRA DO PIRAI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5593;5593"
"""330040 BARRA MANSA"";-;-;2210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51;-;-;-;-;14380;16641"
"""330045 BELFORD ROXO"";-;-;-;-;-;-;-;-;-;-;-;-;3959;-;-;-;-;-;9071;-;-;-;-;-;-;-;-;-;-;13030"
"""330050 BOM JARDIM"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1676;1676"
"""330060 BOM JESUS DO ITABAPOANA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5502;5502"
"""330070 CABO FRIO"";-;-;8704;-;-;-;-;530;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2910;12144"
"""330080 CACHOEIRAS DE MACACU"";-;-;3466;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3466"
"""330090 CAMBUCI"";-;-;-;-;-;-;-;-;-;-;-;-;1651;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1651"
"""330100 CAMPOS DOS GOYTACAZES"";-;-;4916;-;-;-;-;-;9442;-;-;-;-;-;-;-;-;-;2063;-;-;-;-;-;-;3853;-;-;20782;41056"
"""330110 CANTAGALO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1765;1765"
"""330120 CARMO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1053;1053"
"""330130 CASIMIRO DE ABREU"";-;-;-;-;-;-;-;-;-;-;-;-;2837;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2837"
"""330140 CONCEICAO DE MACABU"";-;-;-;-;-;-;-;-;-;-;-;-;243;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;243"
"""330150 CORDEIRO"";-;-;-;-;-;-;-;-;-;-;-;-;1228;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1228"
"""330160 DUAS BARRAS"";-;-;-;-;-;-;-;-;-;-;-;-;420;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;420"
"""330170 DUQUE DE CAXIAS"";-;-;789;-;-;-;-;-;-;-;-;-;58159;-;-;-;-;-;426;-;-;-;-;-;-;-;-;-;-;59374"
"""330180 ENGENHEIRO PAULO DE FRONTIN"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;403;403"
