"""Munic°pio"";""101-5 ‡rg∆o P£blico do Poder Executivo Federal"";""102-3 ‡rg∆o P£blico do Poder Executivo Estadual ou do Distrito Federal"";""103-1 ‡rg∆o P£blico do Poder Executivo Municipal"";""110-4 Autarquia Federal"";""111-2 Autarquia Estadual ou do Distrito Federal"";""112-0 Autarquia Municipal"";""113-9 Fundaá∆o P£blica de Direito P£blico Federal"";""114-7 Fundaá∆o P£blica de Direito P£blico Estadual ou do Distrito Federal"";""115-5 Fundaá∆o P£blica de Direito P£blico Municipal"";""118-0 ‡rg∆o P£blico Autìnomo Municipal"";""121-0 Cons¢rcio P£blico de Direito P£blico (Associaá∆o P£blica)"";""123-6 Estado ou Distrito Federal"";""124-4 Munic°pio"";""126-0 Fundaá∆o P£blica de Direito Privado Estadual ou do Distrito Federal"";""127-9 Fundaá∆o P£blica de Direito Privado Municipal"";""201-1 Empresa P£blica"";""204-6 Sociedade Anìnima Aberta"";""205-4 Sociedade Anìnima Fechada"";""206-2 Sociedade Empres†ria Limitada"";""208-9 Sociedade Empres†ria em Comandita Simples"";""213-5 Empres†rio (Individual)"";""214-3 Cooperativa"";""223-2 Sociedade Simples Pura"";""224-0 Sociedade Simples Limitada"";""230-5 Empresa Individual de Responsabilidade Limitada (de Natureza Empres†ria)"";""306-9 Fundaá∆o Privada"";""307-7 Serviáo Social Autìnomo"";""313-1 Entidade Sindical"";""399-9 Associaá∆o Privada"";""Total"""
"""130380 SAO GABRIEL DA CACHOEIRA"";1281;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1281"
"""130390 SAO PAULO DE OLIVENCA"";-;-;-;-;-;-;-;-;-;-;-;-;1882;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1882"
"""130395 SAO SEBASTIAO DO UATUMA"";-;-;-;-;-;-;-;-;-;-;-;-;670;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;670"
"""130400 SILVES"";-;-;-;-;-;-;-;-;-;-;-;-;940;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;940"
"""130406 TABATINGA"";666;642;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1308"
"""130410 TAPAUA"";-;976;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;976"
"""130420 TEFE"";-;-;-;-;-;-;-;-;-;-;-;-;5712;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5712"
"""130423 TONANTINS"";-;-;-;-;-;-;-;-;-;-;-;-;1090;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1090"
"""130426 UARINI"";-;531;-;-;-;-;-;-;-;-;-;-;108;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;639"
"""130430 URUCARA"";-;-;-;-;-;-;-;-;-;-;-;-;836;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;836"
"""130440 URUCURITUBA"";-;-;-;-;-;-;-;-;-;-;-;-;369;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;369"
"""140005 ALTO ALEGRE"";-;-;-;-;-;-;-;-;-;-;-;238;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;238"
"""140010 BOA VISTA"";-;-;-;-;-;-;-;-;-;-;-;30728;7230;-;-;-;-;-;3490;-;-;-;-;-;-;-;-;-;-;41448"
"""140015 BONFIM"";-;-;-;-;-;-;-;-;-;-;-;55;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55"
"""140020 CARACARAI"";-;-;-;-;-;-;-;-;-;-;-;188;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;188"
"""140023 CAROEBE"";-;-;-;-;-;-;-;-;-;-;-;240;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;240"
"""140040 NORMANDIA"";-;-;-;-;-;-;-;-;-;-;-;176;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;176"
"""140045 PACARAIMA"";-;-;-;-;-;-;-;-;-;-;-;588;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;588"
"""140047 RORAINOPOLIS"";-;-;-;-;-;-;-;-;-;-;-;2131;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2131"
"""140050 SAO JOAO DA BALIZA"";-;-;-;-;-;-;-;-;-;-;-;239;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;239"
"""140060 SAO LUIZ"";-;-;-;-;-;-;-;-;-;-;-;51;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51"
"""150010 ABAETETUBA"";-;6039;-;-;-;-;-;-;-;-;-;-;679;-;-;-;-;-;3994;-;-;-;-;795;-;-;-;-;510;12017"
"""150013 ABEL FIGUEIREDO"";-;-;-;-;-;-;-;-;-;-;-;-;474;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;474"
"""150020 ACARA"";-;-;-;-;-;-;-;-;-;-;-;-;1399;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1399"
"""150030 AFUA"";-;-;-;-;-;-;-;-;-;-;-;-;808;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;808"
"""150034 AGUA AZUL DO NORTE"";-;-;-;-;-;-;-;-;-;-;-;-;799;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;799"
"""150040 ALENQUER"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5163;5163"
"""150050 ALMEIRIM"";-;-;-;-;-;-;-;-;-;-;-;-;2159;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2159"
"""150060 ALTAMIRA"";-;5346;-;-;-;-;-;-;-;-;-;-;6789;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12135"
"""150070 ANAJAS"";-;-;-;-;-;-;-;-;-;-;-;-;1559;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1559"
"""150080 ANANINDEUA"";-;10831;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10204;-;-;-;-;368;-;-;-;-;4562;25965"
