"""Munic¡pio"";""04 Fundo de A‡äes Estrat‚gicas e Compensa‡äes FAEC"";""06 M‚dia e Alta Complexidade (MAC)"";""Total"""
"""150120 BAIAO"";-;1047352,17;1047352,17"
"""150125 BANNACH"";-;53770,37;53770,37"
"""150130 BARCARENA"";-;6143750,70;6143750,70"
"""150140 BELEM"";12726397,72;248403541,89;261129939,61"
"""150145 BELTERRA"";-;253916,29;253916,29"
"""150157 BOM JESUS DO TOCANTINS"";-;382186,34;382186,34"
"""150170 BRAGANCA"";-;14988565,32;14988565,32"
"""150172 BRASIL NOVO"";-;1487205,11;1487205,11"
"""150175 BREJO GRANDE DO ARAGUAIA"";-;221797,09;221797,09"
"""150178 BREU BRANCO"";-;419649,25;419649,25"
"""150180 BREVES"";-;8596837,44;8596837,44"
"""150200 CACHOEIRA DO ARARI"";-;316105,83;316105,83"
"""150210 CAMETA"";-;3411451,70;3411451,70"
"""150215 CANAA DOS CARAJAS"";-;1387535,67;1387535,67"
"""150220 CAPANEMA"";-;8553596,61;8553596,61"
"""150230 CAPITAO POCO"";-;1255186,87;1255186,87"
"""150240 CASTANHAL"";-;23873499,02;23873499,02"
"""150250 CHAVES"";-;2726,20;2726,20"
"""150270 CONCEICAO DO ARAGUAIA"";-;2563524,25;2563524,25"
"""150275 CONCORDIA DO PARA"";-;324809,98;324809,98"
"""150276 CUMARU DO NORTE"";-;228473,32;228473,32"
"""150277 CURIONOPOLIS"";-;544369,38;544369,38"
"""150280 CURRALINHO"";-;699577,80;699577,80"
"""150290 CURUCA"";-;703233,71;703233,71"
"""150293 DOM ELISEU"";-;1328882,99;1328882,99"
"""150295 ELDORADO DOS CARAJAS"";-;509245,56;509245,56"
"""150300 FARO"";-;110504,89;110504,89"
"""150304 FLORESTA DO ARAGUAIA"";-;672939,33;672939,33"
"""150307 GARRAFAO DO NORTE"";-;303707,80;303707,80"
"""150309 GOIANESIA DO PARA"";-;722445,66;722445,66"
"""150310 GURUPA"";-;665014,01;665014,01"
"""150320 IGARAPE-ACU"";-;504634,82;504634,82"
"""150330 IGARAPE-MIRI"";-;2965252,53;2965252,53"
"""150345 IPIXUNA DO PARA"";-;2208239,03;2208239,03"
"""150350 IRITUIA"";-;297184,95;297184,95"
"""150360 ITAITUBA"";2946,34;6383663,28;6386609,62"
"""150370 ITUPIRANGA"";-;742532,47;742532,47"
"""150375 JACAREACANGA"";-;496933,31;496933,31"
"""150380 JACUNDA"";-;1004317,83;1004317,83"
"""150390 JURUTI"";-;1103801,26;1103801,26"
"""150400 LIMOEIRO DO AJURU"";-;529973,64;529973,64"
"""150405 MAE DO RIO"";-;1064814,34;1064814,34"
"""150420 MARABA"";-;18916475,09;18916475,09"
"""150430 MARACANA"";-;146171,91;146171,91"
"""150440 MARAPANIM"";-;147763,75;147763,75"
"""150442 MARITUBA"";-;6408643,81;6408643,81"
"""150445 MEDICILANDIA"";-;820290,96;820290,96"
"""150450 MELGACO"";-;292222,39;292222,39"
"""150460 MOCAJUBA"";-;935563,81;935563,81"
"""150470 MOJU"";-;640267,55;640267,55"
"""150480 MONTE ALEGRE"";-;1021396,87;1021396,87"
"""150490 MUANA"";-;831636,60;831636,60"
"""150495 NOVA ESPERANCA DO PIRIA"";-;245551,12;245551,12"
"""150497 NOVA IPIXUNA"";-;81462,52;81462,52"
"""150503 NOVO PROGRESSO"";-;663980,82;663980,82"
"""150506 NOVO REPARTIMENTO"";-;773714,68;773714,68"
"""150510 OBIDOS"";-;941477,98;941477,98"
"""150520 OEIRAS DO PARA"";-;709964,91;709964,91"
"""150530 ORIXIMINA"";-;2284118,58;2284118,58"
"""150540 OUREM"";-;583733,03;583733,03"
"""150543 OURILANDIA DO NORTE"";-;1872998,46;1872998,46"
"""150548 PACAJA"";-;1042274,60;1042274,60"
"""150549 PALESTINA DO PARA"";-;183560,52;183560,52"
"""150550 PARAGOMINAS"";-;2622042,51;2622042,51"
"""150553 PARAUAPEBAS"";14134,98;8014592,33;8028727,31"
"""150555 PAU D'ARCO"";-;268333,97;268333,97"
"""150563 PICARRA"";-;201636,82;201636,82"
"""150565 PLACAS"";-;388372,58;388372,58"
"""150570 PONTA DE PEDRAS"";-;409626,25;409626,25"
"""150580 PORTEL"";-;1164507,80;1164507,80"
"""150590 PORTO DE MOZ"";-;744141,44;744141,44"
"""150600 PRAINHA"";-;444697,49;444697,49"
"""150613 REDENCAO"";148316,38;11848802,35;11997118,73"
"""150616 RIO MARIA"";-;668616,08;668616,08"
"""150618 RONDON DO PARA"";-;1381794,12;1381794,12"
"""150619 RUROPOLIS"";-;549745,51;549745,51"
"""150620 SALINOPOLIS"";-;841342,77;841342,77"
"""150630 SALVATERRA"";-;579348,28;579348,28"
"""150640 SANTA CRUZ DO ARARI"";-;136431,05;136431,05"
"""150650 SANTA IZABEL DO PARA"";-;534841,58;534841,58"
"""150658 SANTA MARIA DAS BARREIRAS"";-;347517,88;347517,88"
"""150660 SANTA MARIA DO PARA"";-;200062,18;200062,18"
"""150670 SANTANA DO ARAGUAIA"";-;1221157,44;1221157,44"
"""150680 SANTAREM"";443295,23;23557637,62;24000932,85"
"""150700 SANTO ANTONIO DO TAUA"";-;1368780,53;1368780,53"
"""150715 SAO DOMINGOS DO ARAGUAIA"";-;184401,38;184401,38"
"""150720 SAO DOMINGOS DO CAPIM"";-;409530,99;409530,99"
"""150730 SAO FELIX DO XINGU"";-;1455425,19;1455425,19"
"""150745 SAO GERALDO DO ARAGUAIA"";-;870684,93;870684,93"
"""150747 SAO JOAO DE PIRABAS"";-;244291,48;244291,48"
"""150750 SAO JOAO DO ARAGUAIA"";-;138078,59;138078,59"
"""150760 SAO MIGUEL DO GUAMA"";-;790873,38;790873,38"
"""150770 SAO SEBASTIAO DA BOA VISTA"";-;588499,86;588499,86"
"""150775 SAPUCAIA"";-;179500,21;179500,21"
"""150780 SENADOR JOSE PORFIRIO"";-;263559,06;263559,06"
"""150790 SOURE"";-;578591,67;578591,67"
"""150795 TAILANDIA"";-;2133407,50;2133407,50"
"""150797 TERRA SANTA"";-;322181,97;322181,97"
"""150800 TOME-ACU"";-;1359823,09;1359823,09"
"""150803 TRACUATEUA"";-;474648,62;474648,62"
"""150805 TRAIRAO"";-;429528,97;429528,97"
"""150808 TUCUMA"";-;2048690,29;2048690,29"
"""150810 TUCURUI"";-;5829796,80;5829796,80"
"""150812 ULIANOPOLIS"";-;1733274,90;1733274,90"
"""150815 URUARA"";-;1535487,26;1535487,26"
"""150820 VIGIA"";-;860225,71;860225,71"
"""150830 VISEU"";-;876375,00;876375,00"
"""150835 VITORIA DO XINGU"";-;741625,88;741625,88"
"""150840 XINGUARA"";-;1288511,22;1288511,22"
"""160005 SERRA DO NAVIO"";-;4891,98;4891,98"
"""160010 AMAPA"";-;140848,08;140848,08"
"""160015 PEDRA BRANCA DO AMAPARI"";-;57157,53;57157,53"
"""160020 CALCOENE"";-;89042,51;89042,51"
"""160023 FERREIRA GOMES"";-;26986,61;26986,61"
"""160027 LARANJAL DO JARI"";52695,46;1949396,37;2002091,83"
"""160030 MACAPA"";896862,69;29089198,39;29986061,08"
"""160040 MAZAGAO"";-;57146,10;57146,10"
"""160050 OIAPOQUE"";-;728101,30;728101,30"
"""160053 PORTO GRANDE"";-;114079,95;114079,95"
"""160060 SANTANA"";-;2678632,28;2678632,28"
"""160070 TARTARUGALZINHO"";-;46684,87;46684,87"
"""170070 ALVORADA"";37780,80;322474,24;360255,04"
"""170100 ANANAS"";-;72159,12;72159,12"
"""170190 ARAGUACEMA"";-;124485,33;124485,33"
"""170200 ARAGUACU"";-;115410,63;115410,63"
"""170210 ARAGUAINA"";2790830,56;30906344,10;33697174,66"
"""170220 ARAGUATINS"";-;265856,21;265856,21"
"""170230 ARAPOEMA"";31349,33;393369,00;424718,33"
"""170240 ARRAIAS"";6025,67;392023,74;398049,41"
"""170255 AUGUSTINOPOLIS"";35932,39;2234134,89;2270067,28"
"""170550 COLINAS DO TOCANTINS"";-;690288,21;690288,21"
"""170610 CRISTALANDIA"";-;2022,09;2022,09"
"""170700 DIANOPOLIS"";53579,23;413815,24;467394,47"
"""170710 DIVINOPOLIS DO TOCANTINS"";-;155297,64;155297,64"
"""170770 FILADELFIA"";-;7404,10;7404,10"
"""170820 FORMOSO DO ARAGUAIA"";-;157106,94;157106,94"
"""170900 GOIATINS"";-;17007,28;17007,28"
"""170930 GUARAI"";30572,29;1400422,90;1430995,19"
"""170950 GURUPI"";90258,34;12531915,40;12622173,74"
"""171320 MIRACEMA DO TOCANTINS"";210972,33;2485467,84;2696440,17"
"""171360 MONTE DO CARMO"";-;35016,61;35016,61"
"""171420 NATIVIDADE"";-;42798,99;42798,99"
"""171575 PALMEIROPOLIS"";-;223221,13;223221,13"
"""171610 PARAISO DO TOCANTINS"";111432,87;2197539,21;2308972,08"
"""171620 PARANA"";-;160186,32;160186,32"
"""171650 PEDRO AFONSO"";37541,51;533878,30;571419,81"
"""171660 PEIXE"";-;71852,96;71852,96"
"""171670 COLMEIA"";-;16491,97;16491,97"
"""171750 PIUM"";-;155514,51;155514,51"
"""171790 PONTE ALTA DO TOCANTINS"";-;14592,20;14592,20"
"""171820 PORTO NACIONAL"";50619,93;3332253,64;3382873,57"
"""172065 SILVANOPOLIS"";-;14092,34;14092,34"
"""172080 SITIO NOVO DO TOCANTINS"";11147,20;108847,87;119995,07"
"""172090 TAGUATINGA"";44244,35;386933,52;431177,87"
"""172100 PALMAS"";584695,03;34149991,76;34734686,79"
"""172120 TOCANTINOPOLIS"";-;410199,22;410199,22"
"""172210 XAMBIOA"";15334,53;480081,11;495415,64"
"""210005 ACAILANDIA"";-;6400730,66;6400730,66"
"""210020 ALCANTARA"";-;83618,02;83618,02"
"""210030 ALDEIAS ALTAS"";-;340608,18;340608,18"
"""210043 ALTO ALEGRE DO MARANHAO"";-;1266400,53;1266400,53"
"""210047 ALTO ALEGRE DO PINDARE"";-;1105902,19;1105902,19"
"""210050 ALTO PARNAIBA"";-;126406,76;126406,76"
"""210060 AMARANTE DO MARANHAO"";-;2380593,17;2380593,17"
"""210070 ANAJATUBA"";-;171291,71;171291,71"
"""210080 ANAPURUS"";-;226753,14;226753,14"
"""210083 APICUM-ACU"";-;416957,49;416957,49"
"""210087 ARAGUANA"";-;332164,66;332164,66"
"""210090 ARAIOSES"";-;97193,23;97193,23"
"""210095 ARAME"";-;697107,80;697107,80"
"""210100 ARARI"";-;196848,26;196848,26"
"""210110 AXIXA"";-;138999,79;138999,79"
"""210120 BACABAL"";8255,20;9043220,00;9051475,20"
"""210125 BACABEIRA"";-;97559,91;97559,91"
"""210130 BACURI"";-;468843,51;468843,51"
"""210140 BALSAS"";22575,60;7048663,73;7071239,33"
"""210150 BARAO DE GRAJAU"";-;172543,57;172543,57"
"""210160 BARRA DO CORDA"";-;2247545,54;2247545,54"
"""210170 BARREIRINHAS"";-;3697534,33;3697534,33"
"""210177 BELA VISTA DO MARANHAO"";-;347216,20;347216,20"
"""210190 BEQUIMAO"";-;236654,88;236654,88"
"""210193 BERNARDO DO MEARIM"";-;84532,26;84532,26"
"""210200 BOM JARDIM"";-;1312290,89;1312290,89"
"""210203 BOM JESUS DAS SELVAS"";-;485774,77;485774,77"
"""210210 BREJO"";-;605674,23;605674,23"
"""210220 BURITI"";-;356693,08;356693,08"
"""210230 BURITI BRAVO"";-;652020,78;652020,78"
"""210232 BURITICUPU"";-;1537237,18;1537237,18"
"""210240 CAJAPIO"";-;221351,82;221351,82"
"""210250 CAJARI"";-;84967,29;84967,29"
"""210260 CANDIDO MENDES"";-;266159,06;266159,06"
"""210270 CANTANHEDE"";-;492893,26;492893,26"
"""210280 CAROLINA"";-;742960,90;742960,90"
"""210290 CARUTAPERA"";-;1285690,99;1285690,99"
"""210300 CAXIAS"";-;16916130,51;16916130,51"
"""210310 CEDRAL"";-;252646,15;252646,15"
"""210312 CENTRAL DO MARANHAO"";-;153067,28;153067,28"
"""210320 CHAPADINHA"";-;3190715,58;3190715,58"
"""210325 CIDELANDIA"";-;310592,68;310592,68"
"""210330 CODO"";-;4028496,17;4028496,17"
"""210340 COELHO NETO"";-;1058855,86;1058855,86"
"""210350 COLINAS"";22459,97;3471994,04;3494454,01"
"""210355 CONCEICAO DO LAGO-ACU"";-;226109,27;226109,27"
"""210360 COROATA"";-;7848203,77;7848203,77"
"""210370 CURURUPU"";-;2338519,50;2338519,50"
"""210380 DOM PEDRO"";-;292577,51;292577,51"
"""210390 DUQUE BACELAR"";-;123073,76;123073,76"
"""210400 ESPERANTINOPOLIS"";-;643551,66;643551,66"
"""210405 ESTREITO"";-;826689,42;826689,42"
"""210407 FEIRA NOVA DO MARANHAO"";-;279567,86;279567,86"
"""210408 FERNANDO FALCAO"";-;122336,23;122336,23"
"""210409 FORMOSA DA SERRA NEGRA"";-;278549,22;278549,22"
"""210410 FORTALEZA DOS NOGUEIRAS"";-;266432,69;266432,69"
"""210420 FORTUNA"";-;218017,28;218017,28"
"""210440 GONCALVES DIAS"";-;156236,09;156236,09"
"""210450 GOVERNADOR ARCHER"";-;67836,36;67836,36"
"""210455 GOVERNADOR EDISON LOBAO"";-;158958,86;158958,86"
"""210460 GOVERNADOR EUGENIO BARROS"";-;461310,49;461310,49"
"""210462 GOVERNADOR LUIZ ROCHA"";-;239875,93;239875,93"
"""210465 GOVERNADOR NEWTON BELLO"";-;368224,39;368224,39"
"""210467 GOVERNADOR NUNES FREIRE"";-;2830229,52;2830229,52"
"""210470 GRACA ARANHA"";-;72067,51;72067,51"
"""210480 GRAJAU"";-;5576185,93;5576185,93"
"""210490 GUIMARAES"";-;210274,81;210274,81"
"""210500 HUMBERTO DE CAMPOS"";-;478496,98;478496,98"
"""210510 ICATU"";-;187837,79;187837,79"
"""210515 IGARAPE DO MEIO"";-;298055,51;298055,51"
"""210520 IGARAPE GRANDE"";-;280854,40;280854,40"
"""210530 IMPERATRIZ"";72155,91;38696491,97;38768647,88"
"""210535 ITAIPAVA DO GRAJAU"";-;300605,25;300605,25"
"""210540 ITAPECURU MIRIM"";-;1668809,66;1668809,66"
"""210542 ITINGA DO MARANHAO"";-;410928,15;410928,15"
"""210545 JATOBA"";-;261050,71;261050,71"
"""210547 JENIPAPO DOS VIEIRAS"";-;217907,71;217907,71"
"""210550 JOAO LISBOA"";-;409757,60;409757,60"
"""210560 JOSELANDIA"";-;307495,39;307495,39"
"""210570 LAGO DA PEDRA"";3905,51;3467149,68;3471055,19"
"""210580 LAGO DO JUNCO"";-;404781,64;404781,64"
"""210590 LAGO VERDE"";-;291413,80;291413,80"
"""210596 LAGOA GRANDE DO MARANHAO"";-;301573,75;301573,75"
"""210600 LIMA CAMPOS"";-;417770,15;417770,15"
"""210610 LORETO"";-;206248,61;206248,61"
"""210630 MAGALHAES DE ALMEIDA"";-;209671,46;209671,46"
"""210637 MARANHAOZINHO"";-;320367,27;320367,27"
"""210640 MATA ROMA"";-;204498,57;204498,57"
"""210650 MATINHA"";-;276857,36;276857,36"
"""210660 MATOES"";14614,43;338397,12;353011,55"
"""210667 MILAGRES DO MARANHAO"";-;128450,23;128450,23"
"""210670 MIRADOR"";-;445521,79;445521,79"
"""210675 MIRANDA DO NORTE"";-;379812,22;379812,22"
"""210680 MIRINZAL"";-;199284,65;199284,65"
"""210690 MONCAO"";-;1059023,43;1059023,43"
"""210700 MONTES ALTOS"";-;405964,39;405964,39"
"""210710 MORROS"";-;398862,04;398862,04"
"""210720 NINA RODRIGUES"";-;211733,66;211733,66"
"""210725 NOVA COLINAS"";-;112748,41;112748,41"
"""210735 NOVA OLINDA DO MARANHAO"";-;624204,60;624204,60"
"""210740 OLHO D'AGUA DAS CUNHAS"";-;398924,86;398924,86"
"""210745 OLINDA NOVA DO MARANHAO"";-;249477,53;249477,53"
"""210750 PACO DO LUMIAR"";-;1144020,33;1144020,33"
"""210760 PALMEIRANDIA"";-;250665,19;250665,19"
"""210770 PARAIBANO"";-;585375,42;585375,42"
"""210780 PARNARAMA"";-;671971,19;671971,19"
"""210790 PASSAGEM FRANCA"";-;1890417,10;1890417,10"
"""210800 PASTOS BONS"";-;542761,28;542761,28"
"""210805 PAULINO NEVES"";-;715341,82;715341,82"
"""210810 PAULO RAMOS"";-;774186,61;774186,61"
"""210820 PEDREIRAS"";-;2736701,24;2736701,24"
"""210825 PEDRO DO ROSARIO"";-;156139,58;156139,58"
"""210830 PENALVA"";-;434184,82;434184,82"
"""210845 PERITORO"";-;1808504,02;1808504,02"
"""210850 PINDARE-MIRIM"";-;349011,89;349011,89"
"""210860 PINHEIRO"";-;8174017,70;8174017,70"
"""210870 PIO XII"";-;520666,28;520666,28"
"""210880 PIRAPEMAS"";-;189475,02;189475,02"
"""210890 POCAO DE PEDRAS"";-;430025,15;430025,15"
"""210900 PORTO FRANCO"";-;2275956,53;2275956,53"
"""210910 PRESIDENTE DUTRA"";-;8856908,92;8856908,92"
"""210920 PRESIDENTE JUSCELINO"";-;233268,53;233268,53"
"""210923 PRESIDENTE MEDICI"";-;67976,15;67976,15"
"""210927 PRESIDENTE SARNEY"";-;203460,23;203460,23"
"""210930 PRESIDENTE VARGAS"";-;133505,18;133505,18"
"""210940 PRIMEIRA CRUZ"";-;303720,34;303720,34"
"""210945 RAPOSA"";-;199146,03;199146,03"
"""210950 RIACHAO"";-;721216,46;721216,46"
"""210960 ROSARIO"";-;692161,34;692161,34"
"""210970 SAMBAIBA"";675,00;113390,43;114065,43"
"""210980 SANTA HELENA"";-;734645,56;734645,56"
"""210990 SANTA INES"";-;9663612,33;9663612,33"
"""211000 SANTA LUZIA"";-;1729006,82;1729006,82"
"""211003 SANTA LUZIA DO PARUA"";62239,38;2072489,08;2134728,46"
"""211010 SANTA QUITERIA DO MARANHAO"";-;860792,16;860792,16"
"""211020 SANTA RITA"";-;711182,79;711182,79"
"""211023 SANTANA DO MARANHAO"";-;276368,53;276368,53"
"""211027 SANTO AMARO DO MARANHAO"";-;168918,09;168918,09"
"""211030 SANTO ANTONIO DOS LOPES"";-;324928,15;324928,15"
"""211040 SAO BENEDITO DO RIO PRETO"";-;307201,68;307201,68"
"""211050 SAO BENTO"";-;792207,55;792207,55"
"""211060 SAO BERNARDO"";-;655275,71;655275,71"
"""211065 SAO DOMINGOS DO AZEITAO"";-;176135,56;176135,56"
"""211070 SAO DOMINGOS DO MARANHAO"";-;851924,44;851924,44"
"""211080 SAO FELIX DE BALSAS"";-;125625,81;125625,81"
"""211085 SAO FRANCISCO DO BREJAO"";-;193923,84;193923,84"
"""211090 SAO FRANCISCO DO MARANHAO"";2982,14;402321,22;405303,36"
"""211100 SAO JOAO BATISTA"";-;382674,67;382674,67"
