"""Munic¡pio"";""M‚dia complexidade"";""Alta complexidade"";""Total"""
"""160015 PEDRA BRANCA DO AMAPARI"";3910,48;-;3910,48"
"""160020 CALCOENE"";3073,87;-;3073,87"
"""160027 LARANJAL DO JARI"";247759,13;-;247759,13"
"""160030 MACAPA"";4985895,90;858149,87;5844045,77"
"""160040 MAZAGAO"";4570,60;-;4570,60"
"""160050 OIAPOQUE"";52989,62;-;52989,62"
"""160053 PORTO GRANDE"";150292,40;-;150292,40"
"""160060 SANTANA"";192043,19;-;192043,19"
"""170100 ANANAS"";6005,32;-;6005,32"
"""170190 ARAGUACEMA"";15837,94;-;15837,94"
"""170210 ARAGUAINA"";303265,77;157025,85;460291,62"
"""170220 ARAGUATINS"";88338,53;-;88338,53"
"""170550 COLINAS DO TOCANTINS"";88499,52;-;88499,52"
"""170820 FORMOSO DO ARAGUAIA"";23143,31;-;23143,31"
"""170900 GOIATINS"";1908,86;-;1908,86"
"""171420 NATIVIDADE"";27555,03;-;27555,03"
"""171575 PALMEIROPOLIS"";11680,79;-;11680,79"
"""171700 PINDORAMA DO TOCANTINS"";535,07;-;535,07"
"""171790 PONTE ALTA DO TOCANTINS"";4804,85;-;4804,85"
"""172065 SILVANOPOLIS"";3624,82;-;3624,82"
"""172080 SITIO NOVO DO TOCANTINS"";34894,38;-;34894,38"
"""172090 TAGUATINGA"";27425,23;-;27425,23"
"""172120 TOCANTINOPOLIS"";53155,70;-;53155,70"
"""210005 ACAILANDIA"";587176,78;-;587176,78"
"""210020 ALCANTARA"";23687,75;-;23687,75"
"""210030 ALDEIAS ALTAS"";14683,43;-;14683,43"
"""210043 ALTO ALEGRE DO MARANHAO"";167468,18;-;167468,18"
"""210090 ARAIOSES"";7291,54;-;7291,54"
"""210120 BACABAL"";858093,06;51430,62;909523,68"
"""210140 BALSAS"";718209,54;1808,54;720018,08"
"""210160 BARRA DO CORDA"";281763,22;-;281763,22"
"""210170 BARREIRINHAS"";414092,23;-;414092,23"
"""210173 BELAGUA"";4556,47;-;4556,47"
"""210177 BELA VISTA DO MARANHAO"";19998,57;-;19998,57"
"""210190 BEQUIMAO"";19393,65;-;19393,65"
"""210193 BERNARDO DO MEARIM"";2368,58;-;2368,58"
"""210220 BURITI"";12210,97;-;12210,97"
"""210230 BURITI BRAVO"";46531,03;-;46531,03"
"""210280 CAROLINA"";54788,66;-;54788,66"
"""210290 CARUTAPERA"";155450,35;-;155450,35"
"""210300 CAXIAS"";1563521,18;285260,26;1848781,44"
"""210320 CHAPADINHA"";485269,73;-;485269,73"
"""210325 CIDELANDIA"";24467,29;-;24467,29"
"""210330 CODO"";282822,18;-;282822,18"
"""210340 COELHO NETO"";85970,37;-;85970,37"
"""210350 COLINAS"";331652,39;-;331652,39"
"""210360 COROATA"";811004,30;2866,72;813871,02"
"""210370 CURURUPU"";155206,66;-;155206,66"
"""210390 DUQUE BACELAR"";13794,41;-;13794,41"
"""210400 ESPERANTINOPOLIS"";32852,41;-;32852,41"
"""210410 FORTALEZA DOS NOGUEIRAS"";28260,93;-;28260,93"
"""210480 GRAJAU"";539605,78;-;539605,78"
"""210530 IMPERATRIZ"";3882889,09;388405,12;4271294,21"
"""210540 ITAPECURU MIRIM"";119215,59;-;119215,59"
"""210542 ITINGA DO MARANHAO"";40664,71;-;40664,71"
"""210545 JATOBA"";12213,81;-;12213,81"
"""210547 JENIPAPO DOS VIEIRAS"";15570,90;-;15570,90"
"""210570 LAGO DA PEDRA"";327813,04;2646,49;330459,53"
"""210594 LAGO DOS RODRIGUES"";3994,86;-;3994,86"
