"""Munic¡pio"";""04 Fundo de A‡äes Estrat‚gicas e Compensa‡äes FAEC"";""05 Incentivo - MAC"";""06 M‚dia e Alta Complexidade (MAC)"";""Total"""
"""210725 NOVA COLINAS"";-;-;10718,34;10718,34"
"""210735 NOVA OLINDA DO MARANHAO"";-;-;43996,78;43996,78"
"""210740 OLHO D'AGUA DAS CUNHAS"";-;-;30869,46;30869,46"
"""210750 PACO DO LUMIAR"";24431,68;-;135507,81;159939,49"
"""210760 PALMEIRANDIA"";-;-;14484,75;14484,75"
"""210780 PARNARAMA"";-;-;63941,78;63941,78"
"""210790 PASSAGEM FRANCA"";-;-;105991,40;105991,40"
"""210805 PAULINO NEVES"";-;-;34847,44;34847,44"
"""210820 PEDREIRAS"";101563,10;-;217529,18;319092,28"
"""210830 PENALVA"";1658,09;-;24426,09;26084,18"
"""210840 PERI MIRIM"";-;-;3620,56;3620,56"
"""210845 PERITORO"";-;-;256080,87;256080,87"
"""210860 PINHEIRO"";101807,33;-;450523,03;552330,36"
"""210870 PIO XII"";2880,74;-;26925,75;29806,49"
"""210910 PRESIDENTE DUTRA"";430,00;-;1073291,95;1073721,95"
"""210923 PRESIDENTE MEDICI"";-;-;36568,87;36568,87"
"""210927 PRESIDENTE SARNEY"";-;-;13081,63;13081,63"
"""210930 PRESIDENTE VARGAS"";-;-;4180,75;4180,75"
"""210950 RIACHAO"";12332,25;-;38736,75;51069,00"
"""210960 ROSARIO"";-;-;102862,70;102862,70"
"""210970 SAMBAIBA"";-;-;9546,19;9546,19"
"""210980 SANTA HELENA"";-;-;64782,22;64782,22"
"""210990 SANTA INES"";181342,09;-;694327,89;875669,98"
"""211003 SANTA LUZIA DO PARUA"";-;-;174177,91;174177,91"
"""211027 SANTO AMARO DO MARANHAO"";-;-;11172,37;11172,37"
"""211080 SAO FELIX DE BALSAS"";-;-;13235,89;13235,89"
"""211085 SAO FRANCISCO DO BREJAO"";-;-;14110,27;14110,27"
"""211107 SAO JOAO DO SOTER"";2425,48;-;13377,80;15803,28"
"""211120 SAO JOSE DE RIBAMAR"";-;-;135914,81;135914,81"
"""211130 SAO LUIS"";4781895,56;-;21682380,14;26464275,70"
"""211140 SAO LUIS GONZAGA DO MARANHAO"";-;-;58100,85;58100,85"
"""211150 SAO MATEUS DO MARANHAO"";35618,18;-;70468,72;106086,90"
"""211153 SAO PEDRO DA AGUA BRANCA"";-;-;25316,03;25316,03"
"""211160 SAO RAIMUNDO DAS MANGABEIRAS"";-;-;57752,11;57752,11"
"""211172 SATUBINHA"";-;-;14509,40;14509,40"
"""211178 SERRANO DO MARANHAO"";-;-;13929,69;13929,69"
"""211180 SITIO NOVO"";-;-;28436,21;28436,21"
"""211210 TIMBIRAS"";56446,67;-;235352,83;291799,50"
"""211220 TIMON"";212035,99;-;461437,91;673473,90"
"""211223 TRIZIDELA DO VALE"";-;-;35306,09;35306,09"
"""211240 TURIACU"";-;-;40831,13;40831,13"
"""211245 TURILANDIA"";-;-;24644,09;24644,09"
"""211250 TUTOIA"";-;-;51331,37;51331,37"
"""211260 URBANO SANTOS"";3040,88;-;67557,64;70598,52"
"""211270 VARGEM GRANDE"";167,42;-;36865,69;37033,11"
"""211280 VIANA"";-;-;231195,35;231195,35"
"""211285 VILA NOVA DOS MARTIRIOS"";-;-;12012,51;12012,51"
"""211400 ZE DOCA"";-;-;96893,63;96893,63"
"""220010 AGRICOLANDIA"";-;-;1858,23;1858,23"
"""220030 ALTO LONGA"";-;-;5973,81;5973,81"
"""220040 ALTOS"";9908,93;-;40022,58;49931,51"
"""220050 AMARANTE"";4472,30;-;17009,22;21481,52"
"""220100 ARRAIAL"";-;-;1662,50;1662,50"
"""220120 BARRAS"";-;-;83319,19;83319,19"
"""220160 BENEDITINOS"";-;-;4179,86;4179,86"
"""220190 BOM JESUS"";89877,68;-;214023,38;303901,06"
"""220220 CAMPO MAIOR"";-;-;218092,65;218092,65"
"""220230 CANTO DO BURITI"";2747,79;-;36397,29;39145,08"
"""220260 CASTELO DO PIAUI"";-;-;12169,56;12169,56"
"""220290 CORRENTE"";-;-;117480,39;117480,39"
"""220310 CRISTINO CASTRO"";-;-;37729,33;37729,33"
"""220320 CURIMATA"";-;-;34781,08;34781,08"
"""220330 DEMERVAL LOBAO"";-;-;45955,00;45955,00"
"""220350 ELESBAO VELOSO"";48023,22;-;47811,01;95834,23"
"""220370 ESPERANTINA"";-;-;157157,91;157157,91"
"""220400 FRANCINOPOLIS"";-;-;784,86;784,86"
"""220430 FRONTEIRAS"";-;-;129084,95;129084,95"
"""220450 GUADALUPE"";-;-;22474,52;22474,52"
"""220470 INHUMA"";-;-;5819,38;5819,38"
"""220510 ITAUEIRA"";-;-;16517,55;16517,55"
"""220520 JAICOS"";-;-;46108,15;46108,15"
"""220540 JOAQUIM PIRES"";-;-;3276,54;3276,54"
