"""Munic°pio"";""101-5 ‡rg∆o P£blico do Poder Executivo Federal"";""102-3 ‡rg∆o P£blico do Poder Executivo Estadual ou do Distrito Federal"";""103-1 ‡rg∆o P£blico do Poder Executivo Municipal"";""110-4 Autarquia Federal"";""111-2 Autarquia Estadual ou do Distrito Federal"";""112-0 Autarquia Municipal"";""113-9 Fundaá∆o P£blica de Direito P£blico Federal"";""114-7 Fundaá∆o P£blica de Direito P£blico Estadual ou do Distrito Federal"";""115-5 Fundaá∆o P£blica de Direito P£blico Municipal"";""118-0 ‡rg∆o P£blico Autìnomo Municipal"";""121-0 Cons¢rcio P£blico de Direito P£blico (Associaá∆o P£blica)"";""122-8 Cons¢rcio P£blico de Direito Privado"";""123-6 Estado ou Distrito Federal"";""124-4 Munic°pio"";""126-0 Fundaá∆o P£blica de Direito Privado Estadual ou do Distrito Federal"";""127-9 Fundaá∆o P£blica de Direito Privado Municipal"";""201-1 Empresa P£blica"";""205-4 Sociedade Anìnima Fechada"";""206-2 Sociedade Empres†ria Limitada"";""208-9 Sociedade Empres†ria em Comandita Simples"";""213-5 Empres†rio (Individual)"";""214-3 Cooperativa"";""224-0 Sociedade Simples Limitada"";""306-9 Fundaá∆o Privada"";""307-7 Serviáo Social Autìnomo"";""313-1 Entidade Sindical"";""399-9 Associaá∆o Privada"";""Total"""
"""110160 THEOBROMA"";-;-;-;-;-;-;-;-;-;-;-;-;-;141;-;-;-;-;-;-;-;-;-;-;-;-;-;141"
"""110170 URUPA"";-;-;-;-;-;-;-;-;-;-;-;-;-;796;-;-;-;-;-;-;-;-;-;-;-;-;-;796"
"""110175 VALE DO ANARI"";-;-;-;-;-;-;-;-;-;-;-;-;-;252;-;-;-;-;-;-;-;-;-;-;-;-;-;252"
"""110180 VALE DO PARAISO"";-;-;-;-;-;-;-;-;-;-;-;-;-;301;-;-;-;-;-;-;-;-;-;-;-;-;-;301"
"""120001 ACRELANDIA"";-;368;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;368"
"""120005 ASSIS BRASIL"";-;542;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;542"
"""120010 BRASILEIA"";-;2838;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2838"
"""120020 CRUZEIRO DO SUL"";-;12757;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12757"
"""120030 FEIJO"";-;1065;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1065"
"""120033 MANCIO LIMA"";-;652;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;652"
"""120034 MANOEL URBANO"";-;347;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;347"
"""120035 MARECHAL THAUMATURGO"";-;634;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;634"
"""120038 PLACIDO DE CASTRO"";-;683;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;683"
"""120039 PORTO WALTER"";-;385;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;385"
"""120040 RIO BRANCO"";-;16770;-;-;-;-;-;7670;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5183;29623"
"""120042 RODRIGUES ALVES"";-;349;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;349"
"""120043 SANTA ROSA DO PURUS"";-;164;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;164"
"""120045 SENADOR GUIOMARD"";-;2326;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2326"
"""120050 SENA MADUREIRA"";-;1435;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1435"
"""120060 TARAUACA"";-;2133;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2133"
"""120070 XAPURI"";-;651;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;651"
"""130002 ALVARAES"";-;-;-;-;-;-;-;-;-;-;-;-;-;1172;-;-;-;-;-;-;-;-;-;-;-;-;-;1172"
"""130006 AMATURA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1031;-;-;-;-;-;-;-;-;-;-;-;-;-;1031"
"""130008 ANAMA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1398;-;-;-;-;-;-;-;-;-;-;-;-;-;1398"
"""130010 ANORI"";-;-;-;-;-;-;-;-;-;-;-;-;-;1477;-;-;-;-;-;-;-;-;-;-;-;-;-;1477"
"""130014 APUI"";-;-;-;-;-;-;-;-;-;-;-;-;-;1004;-;-;-;-;-;-;-;-;-;-;-;-;-;1004"
"""130020 ATALAIA DO NORTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;1049;-;-;-;-;-;-;-;-;-;-;-;-;-;1049"
"""130030 AUTAZES"";-;-;-;-;-;-;-;-;-;-;-;-;-;1533;-;-;-;-;-;-;-;-;-;-;-;-;-;1533"
"""130040 BARCELOS"";-;-;-;-;-;-;-;-;-;-;-;-;-;876;-;-;-;-;-;-;-;-;-;-;-;-;-;876"
"""130050 BARREIRINHA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1471;-;-;-;-;-;-;-;-;-;-;-;-;-;1471"
"""130060 BENJAMIN CONSTANT"";-;-;-;-;-;-;-;-;-;-;-;-;-;2635;-;-;-;-;-;-;-;-;-;-;-;-;-;2635"
"""130063 BERURI"";-;-;-;-;-;-;-;-;-;-;-;-;-;1152;-;-;-;-;-;-;-;-;-;-;-;-;-;1152"
