"""Munic°pio"";""101-5 ‡rg∆o P£blico do Poder Executivo Federal"";""102-3 ‡rg∆o P£blico do Poder Executivo Estadual ou do Distrito Federal"";""103-1 ‡rg∆o P£blico do Poder Executivo Municipal"";""110-4 Autarquia Federal"";""111-2 Autarquia Estadual ou do Distrito Federal"";""112-0 Autarquia Municipal"";""113-9 Fundaá∆o P£blica de Direito P£blico Federal"";""114-7 Fundaá∆o P£blica de Direito P£blico Estadual ou do Distrito Federal"";""115-5 Fundaá∆o P£blica de Direito P£blico Municipal"";""118-0 ‡rg∆o P£blico Autìnomo Municipal"";""121-0 Cons¢rcio P£blico de Direito P£blico (Associaá∆o P£blica)"";""122-8 Cons¢rcio P£blico de Direito Privado"";""123-6 Estado ou Distrito Federal"";""124-4 Munic°pio"";""126-0 Fundaá∆o P£blica de Direito Privado Estadual ou do Distrito Federal"";""127-9 Fundaá∆o P£blica de Direito Privado Municipal"";""201-1 Empresa P£blica"";""205-4 Sociedade Anìnima Fechada"";""206-2 Sociedade Empres†ria Limitada"";""208-9 Sociedade Empres†ria em Comandita Simples"";""213-5 Empres†rio (Individual)"";""214-3 Cooperativa"";""224-0 Sociedade Simples Limitada"";""306-9 Fundaá∆o Privada"";""307-7 Serviáo Social Autìnomo"";""313-1 Entidade Sindical"";""399-9 Associaá∆o Privada"";""Total"""
"""311100 CAMPESTRE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1034;1034"
"""311110 CAMPINA VERDE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;587;587"
"""311120 CAMPO BELO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7231;7231"
"""311130 CAMPO DO MEIO"";-;-;-;-;-;-;-;-;-;-;-;-;-;333;-;-;-;-;-;-;-;-;-;-;-;-;-;333"
"""311150 CAMPOS ALTOS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;712;712"
"""311160 CAMPOS GERAIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1460;1460"
"""311180 CANAPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;609;609"
"""311200 CANDEIAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;604;-;-;-;604"
"""311230 CAPELINHA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4318;-;-;-;4318"
"""311260 CAPINOPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;635;-;-;-;635"
"""311280 CAPITOLIO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;275;275"
"""311300 CARAI"";-;-;-;-;-;-;-;-;-;-;-;-;-;1197;-;-;-;-;-;-;-;-;-;-;-;-;-;1197"
"""311320 CARANDAI"";-;-;-;-;-;1224;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1224"
"""311330 CARANGOLA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8203;8203"
"""311340 CARATINGA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2757;-;-;8437;11194"
"""311350 CARBONITA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;626;626"
"""311360 CAREACU"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;25"
"""311370 CARLOS CHAGAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1412;1412"
"""311390 CARMO DA CACHOEIRA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;368;368"
"""311400 CARMO DA MATA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;172;172"
"""311410 CARMO DE MINAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;601;601"
"""311430 CARMO DO PARANAIBA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1247;1247"
"""311440 CARMO DO RIO CLARO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1314;1314"
"""311450 CARMOPOLIS DE MINAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;704;704"
"""311460 CARRANCAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;130;130"
"""311510 CASSIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4119;4119"
"""311530 CATAGUASES"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4383;4383"
"""311550 CAXAMBU"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1352;1352"
"""311570 CENTRAL DE MINAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;117;-;-;-;-;-;-;-;-;-;-;-;-;-;117"
"""311580 CENTRALINA"";-;-;-;-;-;-;-;-;-;-;-;-;-;457;-;-;-;-;-;-;-;-;-;-;-;-;-;457"
"""311615 CHAPADA GAUCHA"";-;-;-;-;-;-;-;-;-;-;-;-;-;181;-;-;-;-;-;-;-;-;-;-;-;-;-;181"
"""311630 CIPOTANEA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;109;109"
"""311660 CLAUDIO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3700;3700"
"""311680 COLUNA"";-;-;532;-;-;-;-;-;-;-;-;-;-;94;-;-;-;-;-;-;-;-;-;-;-;-;-;626"
"""311710 CONCEICAO DA APARECIDA"";-;-;-;-;-;-;-;-;-;-;-;-;-;562;-;-;-;-;-;-;-;-;-;-;-;-;-;562"
"""311730 CONCEICAO DAS ALAGOAS"";-;-;-;-;-;-;-;-;2116;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2116"
"""311750 CONCEICAO DO MATO DENTRO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1795;1795"
"""311770 CONCEICAO DO RIO VERDE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;792;792"
"""311800 CONGONHAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4024;4024"
"""311820 CONQUISTA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;22"
"""311830 CONSELHEIRO LAFAIETE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7304;7304"
"""311840 CONSELHEIRO PENA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2106;2106"
"""311860 CONTAGEM"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;93;700;-;-;-;-;-;-;-;22379;23172"
"""311880 CORACAO DE JESUS"";-;-;-;-;-;-;-;-;-;-;-;-;-;2712;-;-;-;-;-;-;-;-;-;-;-;-;-;2712"
"""311930 COROMANDEL"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1762;1762"
"""311940 CORONEL FABRICIANO"";-;-;-;-;-;-;-;-;-;-;-;-;-;4655;-;-;-;-;-;-;-;-;-;-;-;-;-;4655"
"""312020 CRISTAIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;399;-;-;-;-;-;-;-;-;-;-;-;-;-;399"
"""312050 CRISTINA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;686;686"
"""312080 CRUZILIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2152;2152"
"""312090 CURVELO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9651;9651"
"""312120 DELFINOPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;174;-;-;-;-;-;-;-;-;-;-;-;-;-;174"
"""312160 DIAMANTINA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11108;11108"
"""312200 DIVINO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1418;1418"
"""312210 DIVINO DAS LARANJEIRAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;115;-;-;-;-;-;-;-;-;-;-;-;-;-;115"
"""312230 DIVINOPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17459;-;-;-;17459"
"""312260 DOM JOAQUIM"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;212;212"
"""312270 DOM SILVERIO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;360;360"
"""312320 DORES DO INDAIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1299;1299"
"""312360 ELOI MENDES"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2141;2141"
"""312390 ENTRE RIOS DE MINAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1224;-;-;-;1224"
"""312400 ERVALIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;742;742"
"""312410 ESMERALDAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;2777;-;-;-;-;-;-;-;-;-;-;-;-;-;2777"
"""312420 ESPERA FELIZ"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1723;1723"
"""312430 ESPINOSA"";-;-;-;-;-;-;-;-;1601;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1601"
"""312450 ESTIVA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;130;130"
"""312470 ESTRELA DO INDAIA"";-;-;-;-;-;-;-;-;184;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;184"
"""312490 EUGENOPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;546;546"
"""312510 EXTREMA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1845;-;-;-;-;410;-;-;-;-;-;-;-;-;2255"
"""312560 FELISBURGO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1001;1001"
"""312590 FERROS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;431;431"
"""312595 FERVEDOURO"";-;-;-;-;-;-;-;-;-;-;-;-;-;186;-;-;-;-;-;-;-;-;-;-;-;-;-;186"
"""312610 FORMIGA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5457;5457"
"""312670 FRANCISCO SA"";-;-;2277;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2277"
"""312710 FRUTAL"";-;-;-;-;-;-;-;-;-;-;-;-;-;2785;-;-;-;-;-;-;-;-;-;-;-;-;-;2785"
"""312760 GOUVEIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1128;1128"
"""312770 GOVERNADOR VALADARES"";-;-;-;-;-;-;-;-;-;-;-;-;-;20108;-;-;-;-;55;-;-;-;-;-;-;-;7190;27353"
"""312780 GRAO MOGOL"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1257;-;-;-;1257"
"""312800 GUANHAES"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5471;5471"
"""312810 GUAPE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;355;355"
"""312830 GUARANESIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;924;924"
"""312860 GUARDA-MOR"";-;-;-;-;-;-;-;-;-;-;-;-;-;318;-;-;-;-;-;-;-;-;-;-;-;-;-;318"
"""312870 GUAXUPE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4269;4269"
"""312910 GURINHATA"";-;-;-;-;-;-;-;-;-;-;-;-;-;178;-;-;-;-;-;-;-;-;-;-;-;-;-;178"
"""312940 IBERTIOGA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;279;279"
"""312950 IBIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1063;1063"
"""312980 IBIRITE"";-;-;-;-;-;-;-;-;-;-;-;-;-;4349;-;-;-;-;-;-;-;-;-;-;-;-;-;4349"
"""313010 IGARAPE"";-;-;-;-;-;-;-;-;-;-;4225;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4225"
"""313030 IGUATAMA"";-;-;-;-;-;-;-;-;-;-;-;-;-;569;-;-;-;-;-;-;-;-;-;-;-;-;-;569"
"""313050 ILICINEA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1077;1077"
"""313090 INHAPIM"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;977;977"
"""313120 IPANEMA"";-;-;-;-;-;-;-;-;-;-;-;-;-;2006;-;-;-;-;-;-;-;-;-;-;-;-;-;2006"
"""313130 IPATINGA"";-;-;-;-;-;-;-;-;-;-;-;-;-;6932;-;-;-;-;-;-;-;-;-;19162;-;-;-;26094"
"""313170 ITABIRA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6401;-;-;3696;10097"
"""313180 ITABIRINHA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1833;1833"
"""313190 ITABIRITO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2237;2237"
"""313210 ITACARAMBI"";-;-;-;-;-;-;-;-;-;-;-;-;-;419;-;-;-;-;-;-;-;-;-;-;-;-;-;419"
"""313220 ITAGUARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1148;1148"
"""313230 ITAIPE"";-;-;-;-;-;-;-;-;-;-;-;-;-;376;-;-;-;-;-;-;-;-;-;-;-;-;-;376"
"""313240 ITAJUBA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13885;13885"
"""313250 ITAMARANDIBA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3774;-;-;-;-;-;-;-;-;-;-;141;3915"
"""313270 ITAMBACURI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4894;4894"
"""313290 ITAMOGI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;26"
"""313300 ITAMONTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1446;1446"
"""313310 ITANHANDU"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3380;3380"
"""313320 ITANHOMI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1772;1772"
"""313330 ITAOBIM"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1088;-;-;2376;3464"
"""313350 ITAPECERICA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1387;1387"
"""313375 ITAU DE MINAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;163;-;-;-;163"
"""313380 ITAUNA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7196;-;-;-;7196"
"""313420 ITUIUTABA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6162;6162"
"""313440 ITURAMA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1577;-;-;-;-;-;-;-;-;-;-;-;-;-;1577"
"""313460 JABOTICATUBAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;398;398"
"""313470 JACINTO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1452;1452"
"""313490 JACUTINGA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1223;1223"
"""313505 JAIBA"";-;-;-;-;-;-;-;-;-;-;-;-;-;999;-;-;-;-;-;-;-;-;-;-;-;-;-;999"
"""313510 JANAUBA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6562;-;-;-;-;-;-;-;-;-;-;4812;11374"
"""313520 JANUARIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;4789;-;-;-;-;-;-;-;-;-;-;-;-;-;4789"
"""313540 JECEABA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;126;126"
"""313580 JEQUITINHONHA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1428;1428"
"""313600 JOAIMA"";-;-;-;-;-;-;-;-;-;-;-;-;-;580;-;-;-;-;-;-;-;-;-;-;-;-;-;580"
"""313620 JOAO MONLEVADE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7094;7094"
"""313630 JOAO PINHEIRO"";-;-;-;-;-;-;-;-;-;-;-;-;-;2811;-;-;-;-;-;-;-;-;-;-;-;-;-;2811"
"""313650 JORDANIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;220;220"
"""313670 JUIZ DE FORA"";-;-;-;6583;-;-;-;5287;-;-;-;-;-;4948;-;-;-;2977;161;-;-;-;-;291;-;-;34961;55208"
"""313690 JURUAIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;503;503"
"""313700 LADAINHA"";-;-;-;-;-;-;-;-;-;-;-;-;-;556;-;-;-;-;-;-;-;-;-;-;-;-;-;556"
"""313710 LAGAMAR"";-;-;-;-;-;-;-;-;-;-;-;-;-;49;-;-;-;-;-;-;-;-;-;-;-;-;-;49"
"""313720 LAGOA DA PRATA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5391;-;-;-;5391"
"""313750 LAGOA FORMOSA"";-;-;-;-;-;-;-;-;-;-;-;-;-;684;-;-;-;-;-;-;-;-;-;-;-;-;-;684"
"""313760 LAGOA SANTA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4302;4302"
"""313770 LAJINHA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;410;410"
"""313780 LAMBARI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;830;830"
"""313820 LAVRAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8286;8286"
"""313840 LEOPOLDINA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3348;3348"
"""313860 LIMA DUARTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;932;932"
"""313880 LUZ"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3871;3871"
"""313890 MACHACALIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1022;1022"
"""313900 MACHADO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4121;4121"
"""313920 MALACACHETA"";-;-;-;-;-;-;-;-;-;-;-;-;-;3491;-;-;-;-;-;-;-;-;-;-;-;-;-;3491"
"""313930 MANGA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3302;-;-;-;3302"
"""313940 MANHUACU"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;139;-;-;-;-;-;-;-;11780;11919"
"""313950 MANHUMIRIM"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2985;2985"
"""313960 MANTENA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2868;2868"
"""313980 MAR DE ESPANHA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;524;524"
"""313990 MARIA DA FE"";-;-;-;-;-;-;-;-;224;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;224"
"""314000 MARIANA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2563;2563"
"""314050 MARTINHO CAMPOS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;216;-;-;-;216"
"""314070 MATEUS LEME"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;871;-;-;-;871"
"""314090 MATIPO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1242;1242"
"""314110 MATOZINHOS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;765;765"
"""314120 MATUTINA"";-;-;-;-;-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;-;-;-;-;-;44"
"""314140 MEDINA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2669;2669"
"""314150 MENDES PIMENTEL"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;251;-;-;-;251"
"""314160 MERCES"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;478;478"
"""314180 MINAS NOVAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3731;-;-;-;3731"
"""314190 MINDURI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;13"
"""314200 MIRABELA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1192;-;-;-;-;-;-;-;-;-;-;-;-;-;1192"
"""314220 MIRAI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;599;599"
"""314240 MOEMA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;322;-;-;-;322"
"""314260 MONSENHOR PAULO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;497;497"
"""314270 MONTALVANIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1258;1258"
"""314280 MONTE ALEGRE DE MINAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;978;978"
"""314290 MONTE AZUL"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2341;2341"
"""314300 MONTE BELO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;362;-;-;-;362"
"""314310 MONTE CARMELO"";-;-;-;-;-;-;-;-;-;-;-;-;-;3183;-;-;-;-;2486;-;-;-;-;-;-;-;-;5669"
"""314320 MONTE SANTO DE MINAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1523;1523"
"""314330 MONTES CLAROS"";-;-;-;-;9000;-;-;-;-;-;-;-;-;262;-;-;-;-;-;-;-;-;-;32596;-;-;18883;60741"
"""314350 MORADA NOVA DE MINAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;473;473"
"""314390 MURIAE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9592;-;-;14571;24163"
"""314410 MUZAMBINHO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1192;1192"
"""314430 NANUQUE"";-;-;-;-;-;-;-;-;-;-;-;-;-;2895;-;-;-;-;-;-;-;-;-;-;-;-;-;2895"
"""314450 NAZARENO"";-;-;-;-;-;-;-;-;-;-;-;-;-;123;-;-;-;-;-;-;-;-;-;-;-;-;-;123"
"""314460 NEPOMUCENO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1178;1178"
"""314470 NOVA ERA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;581;581"
"""314480 NOVA LIMA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7843;-;-;-;7843"
"""314500 NOVA PONTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;408;-;-;-;-;-;-;-;-;-;-;-;-;-;408"
"""314510 NOVA RESENDE"";-;-;-;-;-;-;-;-;-;-;-;-;-;438;-;-;-;-;-;-;-;-;-;-;-;-;-;438"
"""314520 NOVA SERRANA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4807;-;-;-;4807"
"""314530 NOVO CRUZEIRO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1736;1736"
"""314560 OLIVEIRA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6630;6630"
"""314590 OURO BRANCO"";-;-;1584;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1584"
