"""Munic¡pio"";""M‚dia complexidade"";""Alta complexidade"";""Total"""
"""150178 BREU BRANCO"";567638,03;45524,40;613162,43"
"""150180 BREVES"";8762883,61;7777,41;8770661,02"
"""150200 CACHOEIRA DO ARARI"";375234,28;-;375234,28"
"""150210 CAMETA"";4224528,31;-;4224528,31"
"""150215 CANAA DOS CARAJAS"";2897566,23;2426,40;2899992,63"
"""150220 CAPANEMA"";13000370,53;10178,19;13010548,72"
"""150230 CAPITAO POCO"";688908,52;-;688908,52"
"""150240 CASTANHAL"";26132008,67;20317,36;26152326,03"
"""150250 CHAVES"";70622,78;-;70622,78"
"""150270 CONCEICAO DO ARAGUAIA"";3064040,32;-;3064040,32"
"""150275 CONCORDIA DO PARA"";233312,06;-;233312,06"
"""150276 CUMARU DO NORTE"";311879,24;-;311879,24"
"""150277 CURIONOPOLIS"";360389,83;-;360389,83"
"""150280 CURRALINHO"";828873,73;-;828873,73"
"""150290 CURUCA"";770757,61;-;770757,61"
"""150293 DOM ELISEU"";1001132,66;-;1001132,66"
"""150295 ELDORADO DOS CARAJAS"";740835,09;57644,00;798479,09"
"""150300 FARO"";138729,15;-;138729,15"
"""150304 FLORESTA DO ARAGUAIA"";582704,48;-;582704,48"
"""150307 GARRAFAO DO NORTE"";327453,49;-;327453,49"
"""150309 GOIANESIA DO PARA"";670635,22;-;670635,22"
"""150310 GURUPA"";760200,84;-;760200,84"
"""150320 IGARAPE-ACU"";534142,94;-;534142,94"
"""150330 IGARAPE-MIRI"";2950152,08;-;2950152,08"
"""150340 INHANGAPI"";9573,74;-;9573,74"
"""150345 IPIXUNA DO PARA"";3834270,54;-;3834270,54"
"""150350 IRITUIA"";238116,79;-;238116,79"
"""150360 ITAITUBA"";9799713,60;37100,04;9836813,64"
"""150370 ITUPIRANGA"";812116,15;-;812116,15"
"""150375 JACAREACANGA"";460324,05;1738,76;462062,81"
"""150380 JACUNDA"";2409593,80;-;2409593,80"
"""150390 JURUTI"";1103330,75;-;1103330,75"
"""150400 LIMOEIRO DO AJURU"";536561,71;-;536561,71"
"""150405 MAE DO RIO"";623229,69;-;623229,69"
"""150420 MARABA"";20085258,47;901407,46;20986665,93"
"""150430 MARACANA"";128924,62;-;128924,62"
"""150440 MARAPANIM"";205543,58;-;205543,58"
"""150442 MARITUBA"";4925620,95;1047124,20;5972745,15"
"""150445 MEDICILANDIA"";697600,00;-;697600,00"
"""150450 MELGACO"";273739,80;-;273739,80"
"""150460 MOCAJUBA"";968229,88;-;968229,88"
"""150470 MOJU"";886848,27;-;886848,27"
"""150480 MONTE ALEGRE"";1218633,57;989,08;1219622,65"
"""150490 MUANA"";993209,68;-;993209,68"
"""150495 NOVA ESPERANCA DO PIRIA"";146279,59;-;146279,59"
"""150497 NOVA IPIXUNA"";100465,12;-;100465,12"
"""150503 NOVO PROGRESSO"";1597206,07;749,64;1597955,71"
"""150506 NOVO REPARTIMENTO"";811271,89;-;811271,89"
"""150510 OBIDOS"";906534,47;-;906534,47"
"""150520 OEIRAS DO PARA"";431311,10;-;431311,10"
"""150530 ORIXIMINA"";2208313,34;-;2208313,34"
"""150540 OUREM"";747116,46;-;747116,46"
"""150543 OURILANDIA DO NORTE"";3711047,04;133695,48;3844742,52"
"""150548 PACAJA"";1321372,05;-;1321372,05"
"""150549 PALESTINA DO PARA"";123065,56;-;123065,56"
"""150550 PARAGOMINAS"";7063011,09;-;7063011,09"
"""150553 PARAUAPEBAS"";8139370,69;-;8139370,69"
"""150555 PAU D'ARCO"";246958,64;-;246958,64"
"""150563 PICARRA"";231831,84;-;231831,84"
"""150565 PLACAS"";479331,21;-;479331,21"
"""150570 PONTA DE PEDRAS"";335308,35;-;335308,35"
"""150580 PORTEL"";1477082,24;-;1477082,24"
"""150590 PORTO DE MOZ"";745013,81;-;745013,81"
"""150600 PRAINHA"";648201,33;-;648201,33"
"""150613 REDENCAO"";13850489,42;1401612,97;15252102,39"
"""150616 RIO MARIA"";1696357,77;-;1696357,77"
"""150618 RONDON DO PARA"";946812,29;765,64;947577,93"
"""150619 RUROPOLIS"";918943,85;-;918943,85"
"""150620 SALINOPOLIS"";1398279,60;-;1398279,60"
"""150630 SALVATERRA"";476217,55;997,08;477214,63"
"""150640 SANTA CRUZ DO ARARI"";158151,51;-;158151,51"
"""150650 SANTA IZABEL DO PARA"";1140444,40;-;1140444,40"
"""150658 SANTA MARIA DAS BARREIRAS"";294712,68;-;294712,68"
"""150660 SANTA MARIA DO PARA"";358107,87;-;358107,87"
"""150670 SANTANA DO ARAGUAIA"";1286196,72;-;1286196,72"
"""150680 SANTAREM"";19528246,96;3468229,44;22996476,40"
"""150700 SANTO ANTONIO DO TAUA"";2838494,99;-;2838494,99"
"""150715 SAO DOMINGOS DO ARAGUAIA"";185275,84;-;185275,84"
"""150720 SAO DOMINGOS DO CAPIM"";318946,07;-;318946,07"
"""150730 SAO FELIX DO XINGU"";1733565,27;-;1733565,27"
"""150745 SAO GERALDO DO ARAGUAIA"";719656,40;-;719656,40"
"""150747 SAO JOAO DE PIRABAS"";304767,25;54783,60;359550,85"
"""150750 SAO JOAO DO ARAGUAIA"";56810,08;-;56810,08"
"""150760 SAO MIGUEL DO GUAMA"";843833,29;-;843833,29"
"""150770 SAO SEBASTIAO DA BOA VISTA"";625137,34;-;625137,34"
"""150775 SAPUCAIA"";135214,76;-;135214,76"
"""150780 SENADOR JOSE PORFIRIO"";226380,56;989,08;227369,64"
"""150790 SOURE"";503728,15;-;503728,15"
"""150795 TAILANDIA"";2653945,87;-;2653945,87"
"""150797 TERRA SANTA"";415323,12;64042,80;479365,92"
"""150800 TOME-ACU"";1461527,64;-;1461527,64"
"""150803 TRACUATEUA"";397013,08;-;397013,08"
"""150805 TRAIRAO"";488012,21;-;488012,21"
"""150808 TUCUMA"";1508398,77;-;1508398,77"
"""150810 TUCURUI"";10066572,23;7910,43;10074482,66"
"""150812 ULIANOPOLIS"";1999941,93;-;1999941,93"
"""150815 URUARA"";1566448,94;-;1566448,94"
"""150820 VIGIA"";709933,54;-;709933,54"
"""150830 VISEU"";1080737,74;-;1080737,74"
"""150835 VITORIA DO XINGU"";899633,25;50346,00;949979,25"
"""150840 XINGUARA"";1370238,66;-;1370238,66"
"""160005 SERRA DO NAVIO"";14945,47;-;14945,47"
"""160010 AMAPA"";68451,90;-;68451,90"
"""160015 PEDRA BRANCA DO AMAPARI"";66933,63;-;66933,63"
"""160020 CALCOENE"";85245,23;-;85245,23"
"""160023 FERREIRA GOMES"";24279,65;-;24279,65"
"""160027 LARANJAL DO JARI"";2007043,25;749,68;2007792,93"
"""160030 MACAPA"";34905725,70;8106145,33;43011871,03"
"""160040 MAZAGAO"";47456,07;-;47456,07"
"""160050 OIAPOQUE"";717674,01;-;717674,01"
"""160053 PORTO GRANDE"";29765,96;-;29765,96"
"""160060 SANTANA"";3607265,30;659,03;3607924,33"
"""160070 TARTARUGALZINHO"";51904,69;-;51904,69"
"""170070 ALVORADA"";163121,36;-;163121,36"
"""170100 ANANAS"";43247,77;-;43247,77"
"""170190 ARAGUACEMA"";285825,69;-;285825,69"
"""170200 ARAGUACU"";125015,23;-;125015,23"
"""170210 ARAGUAINA"";29336285,88;11455136,44;40791422,32"
"""170220 ARAGUATINS"";382741,50;-;382741,50"
"""170230 ARAPOEMA"";575018,45;-;575018,45"
"""170240 ARRAIAS"";670903,36;-;670903,36"
"""170255 AUGUSTINOPOLIS"";2438081,59;7714,82;2445796,41"
"""170370 BREJINHO DE NAZARE"";9664,26;-;9664,26"
"""170550 COLINAS DO TOCANTINS"";975794,16;-;975794,16"
"""170610 CRISTALANDIA"";1794,19;-;1794,19"
"""170700 DIANOPOLIS"";886537,48;135,00;886672,48"
"""170710 DIVINOPOLIS DO TOCANTINS"";43829,49;-;43829,49"
"""170730 DUERE"";53781,79;-;53781,79"
"""170820 FORMOSO DO ARAGUAIA"";360086,82;-;360086,82"
"""170900 GOIATINS"";51837,56;-;51837,56"
"""170930 GUARAI"";1751268,27;-;1751268,27"
"""170950 GURUPI"";9538083,95;106316,39;9644400,34"
"""171050 ITACAJA"";15934,85;-;15934,85"
"""171190 LAGOA DA CONFUSAO"";23029,01;-;23029,01"
"""171320 MIRACEMA DO TOCANTINS"";3128304,80;-;3128304,80"
"""171420 NATIVIDADE"";23531,99;-;23531,99"
"""171575 PALMEIROPOLIS"";1376,60;-;1376,60"
"""171610 PARAISO DO TOCANTINS"";3324471,11;-;3324471,11"
"""171620 PARANA"";135983,01;-;135983,01"
