"""Munic¡pio"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""351060 CARAPICUIBA"";-;-;3;2625;2206;2450;3046;2532;2328;2658;2754;3094;3136;2862;3237;3100;2994;2069;1525;1753;2389;2627;1515;1548;1588;1499;1298;2216;59052"
"""351070 CARDOSO"";-;-;-;53;62;50;97;73;70;112;115;187;152;50;481;482;433;414;496;486;250;187;272;277;257;252;200;221;5729"
"""351080 CASA BRANCA"";-;-;-;41;45;44;41;43;44;44;89;92;95;95;141;40;8;-;-;8;164;59;70;61;46;-;72;47;1389"
"""351100 CASTILHO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29;-;-;29"
"""351110 CATANDUVA"";-;-;-;4827;4643;4837;5095;4958;4964;5041;5282;5094;5122;5036;6095;4835;4905;5421;5380;6279;5833;6198;6180;6707;6522;5896;5597;6138;136885"
"""351130 CEDRAL"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;1;2;-;1;-;-;7"
"""351140 CERQUEIRA CESAR"";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1"
"""351150 CERQUILHO"";-;-;-;71;34;110;58;62;62;77;45;35;44;31;26;132;199;177;244;324;348;237;277;289;153;156;456;420;4067"
"""351160 CESARIO LANGE"";-;-;-;16;32;41;47;41;44;49;55;52;81;-;20;42;48;47;18;96;38;40;55;57;62;52;21;80;1134"
"""351170 CHARQUEADA"";-;-;-;3;28;22;3;8;11;-;-;2;-;1;1;-;-;1;-;1;-;-;-;1;125;66;7;22;302"
"""351200 COLINA"";-;-;-;4;17;9;44;79;55;66;123;107;108;78;43;134;90;96;160;158;181;189;198;260;203;187;230;296;3115"
"""351220 CONCHAL"";-;-;-;206;221;276;294;233;254;240;214;262;294;14;8;-;54;47;305;233;229;197;185;314;319;300;273;309;5281"
"""351240 CORDEIROPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;5;11;-;16;18;11;-;-;75"
"""351270 CORUMBATAI"";-;-;-;-;20;15;29;23;31;11;12;19;10;21;3;7;11;7;9;14;11;6;3;5;5;-;1;-;273"
"""351280 COSMOPOLIS"";-;-;-;95;104;159;200;207;232;78;62;45;75;57;89;87;76;79;91;139;47;74;130;90;121;111;130;103;2681"
"""351300 COTIA"";-;-;-;528;472;509;640;648;678;578;568;690;572;654;598;502;512;556;500;471;464;472;479;496;422;478;451;385;13323"
"""351340 CRUZEIRO"";-;-;-;840;847;971;1737;1890;1597;1705;1641;1835;1895;1784;1791;1501;1723;1764;1829;1799;1783;1680;1685;1759;1696;1750;2252;2024;41778"
"""351350 CUBATAO"";-;-;-;668;915;1164;1455;1572;1311;1766;1681;1450;1880;1427;1910;1529;1525;1848;1936;1742;1566;1315;1743;1757;1954;1318;2194;1743;39369"
"""351380 DIADEMA"";-;20;308;5458;4706;4872;5692;5540;5572;6014;4933;4507;4940;4441;9482;64769;114800;171793;211658;253528;278858;291967;287651;289898;300994;182861;216993;272235;3004490"
"""351390 DIVINOLANDIA"";-;-;1;472;499;573;615;679;616;658;787;627;771;638;409;628;616;671;736;804;712;728;550;681;859;786;513;850;16479"
"""351440 DRACENA"";1;41;319;2198;2035;2581;2200;2175;2069;2125;2337;1909;2239;1639;1946;1898;1963;1923;1927;2090;2105;2201;2041;2052;2113;1630;2101;1901;51759"
"""351490 ELIAS FAUSTO"";-;-;-;-;1;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22"
"""351495 EMBAUBA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;8"
"""351500 EMBU DAS ARTES"";-;-;-;2994;2951;2468;2442;2555;2334;2539;2491;2979;2766;2753;2843;2912;2749;3076;2945;2868;2774;2966;2827;2907;3023;2781;3041;2854;69838"
"""351512 EMILIANOPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5"
"""351518 ESPIRITO SANTO DO PINHAL"";-;-;-;121;125;144;116;109;122;130;197;208;230;161;214;181;128;145;177;209;225;191;221;172;188;167;230;185;4296"
"""351540 FARTURA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;20;-;40"
"""351550 FERNANDOPOLIS"";-;-;14;3172;3092;3399;3638;3671;3340;3677;3622;3509;3608;3596;3383;3709;3306;3485;3407;3696;3611;3666;3682;3619;3393;3263;3441;3395;87394"
"""351570 FERRAZ DE VASCONCELOS"";-;-;-;-;-;1;6;185;665;539;432;407;371;194;240;300;617;-;-;177;145;155;155;-;195;101;68;53;5006"
"""351620 FRANCA"";-;1;61;980732;978983;961060;1053178;972340;978714;1080504;1063159;1066539;1111176;1005306;1037493;1160179;1185495;1163317;1163686;1178583;1166090;1220997;1201684;1232828;1272744;1045296;1085873;1180461;27546479"
"""351630 FRANCISCO MORATO"";-;-;131;2862;3027;2899;2869;3052;2794;2938;2936;2756;3329;3014;3253;3319;2838;3234;3112;3079;2922;3091;3033;2970;3059;2881;3329;2650;75377"
"""351640 FRANCO DA ROCHA"";-;-;31;342478;333303;339305;361675;353182;365777;380002;376031;384338;402894;367930;361409;384363;370845;410040;392651;426751;409962;398820;392848;395569;394551;366051;365748;401835;9478389"
