"""Munic¡pio"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""350270 APIAI"";-;186,80;551,06;95335,92;98267,81;100136,75;98951,49;93285,24;92216,38;80203,71;97641,79;117127,34;130590,63;140427,57;123558,92;108828,99;122034,04;106802,76;103122,49;126470,43;105643,38;114435,36;109516,17;93516,01;60985,44;173298,69;94027,24;89917,17;2677079,58"
"""350275 ARACARIGUAMA"";-;-;-;205279,08;212827,40;231501,86;253992,07;274077,04;238418,20;227386,16;251751,30;243634,07;226411,03;217596,95;185344,87;204037,70;200979,83;199808,88;199249,31;195080,81;193917,48;186291,45;198198,35;193235,13;200939,14;201510,69;173301,02;-;5114769,82"
"""350280 ARACATUBA"";-;17,00;9417,42;5311208,88;5080144,90;5506671,74;6059353,64;5823820,30;5217959,95;5699931,97;5827735,11;5760051,53;6231309,86;5855615,38;5517532,80;5662733,07;5489026,69;5598413,09;5783155,66;6040473,91;5832159,01;6043192,74;6101391,72;6448698,14;6342444,25;5894174,17;5653990,12;5459260,47;144249883,52"
"""350290 ARACOIABA DA SERRA"";-;-;-;189229,69;181599,70;220535,30;278324,80;291765,16;243895,50;232427,85;245059,97;279599,03;127005,32;381476,20;193665,50;235686,10;250942,76;252870,16;255900,47;296641,12;250312,23;271990,32;273497,47;274630,76;281820,20;162773,42;229101,83;237380,86;6138131,72"
"""350300 ARAMINA"";-;-;1314,93;16535,40;24891,62;23206,13;18298,55;44682,86;38525,63;17992,86;38927,10;39379,02;34977,66;38435,46;32571,74;29251,57;238,17;3457,24;3967,52;15145,84;4287,54;4544,02;31789,48;14238,59;36920,74;19746,55;42648,29;21702,47;597676,98"
"""350310 ARANDU"";-;-;-;54,18;-;-;93,87;-;-;-;-;35,91;-;-;70,56;16694,32;18994,68;20377,01;16254,59;23874,28;20349,38;17019,73;18356,55;10931,01;10449,51;9401,07;9821,30;7868,47;200646,42"
"""350315 ARAPEI"";-;-;-;41317,53;44720,76;46975,82;54878,08;52971,08;46942,75;45401,96;53871,79;48390,85;52020,46;50208,35;49616,50;48314,14;41084,13;46462,51;44865,87;50697,16;44424,87;44237,21;52298,58;54060,23;48099,30;-;-;-;1061859,93"
"""350320 ARARAQUARA"";-;-;73,74;5053679,10;5298901,98;5560534,04;6133843,05;5836559,98;5224903,87;5483497,25;5869914,96;5769015,27;6277402,33;5388982,66;5175235,58;5550660,83;6011758,76;6431532,06;6555406,69;6926515,71;6837917,46;7084910,49;7346256,90;7901502,42;7671043,61;7045028,80;6784560,33;7349669,93;156569307,80"
"""350330 ARARAS"";215,20;290,92;721,32;902079,16;990114,72;1028002,02;1198724,06;951493,33;1184272,27;1107759,97;1053359,90;1106439,94;1143299,41;1282175,79;1134193,78;1271244,27;1371446,79;1606231,75;1683067,96;1702987,53;1532321,20;1587632,78;1669794,24;1757072,25;1853757,45;1593792,65;1548494,25;1579174,16;33840159,07"
"""350335 ARCO-IRIS"";-;-;-;330,00;200,00;178,00;2318,30;424,40;184,76;613,50;368,90;216,30;316,60;188,60;375,00;374,00;352,00;425,84;227,60;400,00;223,00;732,00;320,90;-;671,00;412,00;430,00;682,00;10964,70"
"""350340 AREALVA"";-;-;-;243358,32;290564,38;273905,51;296990,70;315015,06;291672,33;294958,78;299066,48;286056,41;306067,94;276413,83;221902,06;284170,45;289211,95;267220,97;286830,63;226808,50;233686,70;245148,14;230915,62;278161,72;288855,39;222795,15;154005,18;22763,71;6426545,91"
"""350350 AREIAS"";-;-;-;20701,40;21793,17;25319,97;27006,35;18247,90;27487,14;21044,58;21572,33;20280,94;23939,91;16096,16;15292,05;14700,82;14548,74;21030,65;20117,58;24477,09;22470,14;18859,43;19485,09;26439,91;23076,36;13751,99;16075,09;21395,31;515210,10"
"""350360 AREIOPOLIS"";-;-;-;44409,86;36389,22;49147,85;48603,94;60420,71;28183,43;23182,84;25352,24;24767,06;25223,19;39175,81;25319,40;25779,53;32764,44;36633,58;64518,12;68090,52;45112,40;50579,23;45141,08;58960,75;57436,19;47194,16;45134,79;41003,00;1048523,34"
"""350370 ARIRANHA"";-;-;-;52228,89;57723,12;68202,50;68908,18;53638,03;42453,10;54073,51;48041,79;52261,35;50300,82;43471,34;39653,63;46094,72;51958,50;59945,82;55592,18;56682,48;56425,03;66671,26;62600,97;48698,29;56944,58;52510,28;47511,22;47505,74;1340097,33"
"""350380 ARTUR NOGUEIRA"";-;-;-;29190,68;40491,67;6874,03;34390,79;43933,14;32554,75;34457,80;33015,51;17113,56;6390,34;3717,08;-;-;275923,02;280353,41;314214,83;304457,49;272245,42;250090,60;261866,65;253750,15;270446,05;248886,15;203344,49;209212,49;3426920,10"
"""350390 ARUJA"";-;-;-;434585,80;470820,48;500710,51;594520,10;485891,96;469113,39;455086,71;451568,46;324454,77;499550,96;297984,14;240932,40;206923,30;243331,54;232366,98;204920,62;222269,16;262634,58;325119,34;308032,39;292640,99;337273,00;350045,08;99938,35;407703,00;8718418,01"
"""350395 ASPASIA"";-;-;-;5170,22;13440,89;849,94;966,69;905,98;691,16;723,85;12403,29;6159,18;13705,67;6815,63;2868,12;6438,00;4483,76;2648,04;7049,90;7643,69;5553,14;7255,86;1135,26;4171,98;5997,41;6540,75;7503,07;1061,85;132183,33"
"""350400 ASSIS"";-;242,10;309,60;2369495,64;2351664,69;2516292,04;2687908,72;2629528,30;2386273,87;2519684,07;2657039,18;2760156,92;2886658,32;2576326,49;2328031,74;2422190,82;2380378,89;2613288,01;2520973,37;2825873,65;2493287,04;2934885,88;2804224,69;3089376,02;2877330,14;2593701,26;2601766,45;2457449,29;65284337,19"
"""350410 ATIBAIA"";-;-;-;1225901,48;1495244,75;1854917,20;1756871,23;1462819,57;1658625,16;1207584,05;1653598,09;1649167,98;1682302,50;1271316,03;1229472,69;1507867,22;1466717,05;1457414,03;1699975,84;1447503,41;1589039,48;1341507,74;1717725,02;1753987,70;1653902,73;1661521,93;1351682,74;1607552,15;38404217,77"
"""350420 AURIFLAMA"";-;-;-;90813,36;94631,69;97219,15;115552,68;113348,65;110131,89;115323,40;197231,95;262624,92;111626,33;98632,28;99922,93;123186,86;110348,67;103552,36;100886,52;103277,29;83535,10;86056,62;95828,06;100586,40;93367,87;89809,20;91415,77;90409,62;2779319,57"
"""350430 AVAI"";-;-;-;13824,06;10435,73;11543,50;14760,56;12707,47;16201,15;15059,47;15881,65;17236,85;16454,08;15672,58;12673,43;13178,67;17397,10;16197,10;17486,71;17652,15;21045,37;21140,59;7050,73;24041,87;22939,04;19121,32;12467,96;2711,40;384880,54"
"""350440 AVANHANDAVA"";-;-;-;19708,12;15789,91;21344,18;25520,52;19958,32;22609,72;12101,83;17630,64;14431,04;23872,47;17259,53;7158,55;11147,73;16872,47;17293,81;11033,54;22596,41;18912,58;22716,10;10722,25;21323,98;35619,28;21755,77;15037,97;-;442416,72"
"""350450 AVARE"";-;-;-;1331428,15;1371076,33;1656814,53;1622701,85;1484664,05;1377386,73;1386746,96;1482633,55;1377266,67;1441480,05;1412154,09;1556397,84;1507649,47;1352122,41;1788906,99;1543976,68;1603641,41;1610977,00;1466598,56;1974772,51;1827290,13;1764121,87;1787124,72;1519855,47;1526930,36;38774718,38"
