"""Munic¡pio"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""350270 APIAI"";-;322,23;551,06;95335,92;98267,81;100645,78;98970,39;93285,24;92216,38;80231,73;97675,33;117127,34;130590,63;140464,67;123558,92;108913,05;122034,04;106975,55;103544,59;128374,77;106474,64;116953,57;110761,87;95893,04;62048,26;174559,59;94073,94;90013,97;2689864,31"
"""350275 ARACARIGUAMA"";-;-;-;215985,23;218624,72;241260,62;271452,01;298704,34;248998,14;238842,59;254937,42;262253,16;242116,27;218551,04;188781,22;220208,57;216120,42;229067,10;237974,93;233242,93;205263,91;194211,50;219822,15;223692,88;248840,88;224859,33;186961,40;-;5540772,76"
"""350280 ARACATUBA"";-;17,00;9507,42;5311208,88;5080144,90;5506671,74;6060347,48;5823877,59;5220136,17;5699931,97;5829352,05;5747072,93;6174382,22;5855615,38;5517532,80;5662733,07;5489026,69;5598413,72;5783190,15;6041134,94;5832159,01;6043192,74;6101401,72;6449098,14;6342444,25;5894184,17;5653990,12;5459260,47;144186027,72"
"""350290 ARACOIABA DA SERRA"";-;-;-;189229,69;181599,70;223395,10;289348,10;292144,83;244173,69;233047,85;245169,97;279599,03;127205,32;381550,20;193665,50;236386,10;251229,38;252870,16;256210,47;300055,93;250422,23;272560,83;273554,12;274905,91;281820,20;162913,42;229101,83;238305,81;6160465,37"
"""350300 ARAMINA"";-;-;1706,68;16572,56;24891,62;23206,13;19142,72;44682,86;38525,63;17992,86;38927,10;39379,02;34977,66;38435,46;32571,74;29251,57;238,17;3457,24;3967,52;15145,84;4287,54;4544,02;31789,48;14238,59;36920,74;19746,55;42648,29;21702,47;598950,06"
"""350310 ARANDU"";-;-;-;54,18;-;-;93,87;-;-;-;-;35,91;-;-;70,56;16905,67;19476,40;20946,78;16586,03;24243,40;20964,45;17648,46;19121,27;10955,95;10449,51;9401,07;9821,30;7868,47;204643,28"
"""350315 ARAPEI"";-;-;-;41317,53;44720,76;46975,82;54878,08;52971,08;46942,75;45401,96;53871,79;48390,85;52020,46;50208,35;49759,28;48314,14;41084,13;46462,51;44865,87;50697,16;44424,87;44237,21;52298,58;54060,23;48099,30;-;-;-;1062002,71"
"""350320 ARARAQUARA"";-;1103,92;1233,18;5358548,59;5456280,54;5680237,98;6208788,82;5790730,50;5619205,08;5856518,12;6225632,29;6374518,95;6980038,28;6147074,38;5222140,68;5568077,76;6032234,31;6574561,93;6799001,15;7083112,47;6915476,90;7150535,88;7346276,90;7901512,42;7671053,61;7045028,80;6784560,33;7349713,98;161143197,75"
"""350330 ARARAS"";215,20;290,92;721,32;903102,70;999820,64;1028002,02;1198724,06;951493,33;1184272,27;1108093,33;1053359,90;1106439,94;1143299,41;1282175,79;1134193,78;1271244,27;1371446,79;1606231,75;1683067,96;1702987,53;1532321,20;1587632,78;1669794,24;1757072,25;1853757,45;1593792,65;1548494,25;1579174,16;33851221,89"
"""350335 ARCO-IRIS"";-;-;-;330,00;200,00;178,00;2318,30;424,40;184,76;613,50;368,90;216,30;316,60;188,60;375,00;374,00;352,00;425,84;227,60;400,00;223,00;732,00;320,90;-;671,00;412,00;430,00;682,00;10964,70"
"""350340 AREALVA"";-;-;-;244809,60;292087,10;275658,67;300072,11;316756,78;293480,70;296667,24;300652,29;288738,55;308762,74;278226,69;224316,95;286299,05;290811,09;268240,31;289104,35;229548,33;237267,95;247508,70;233262,60;280670,93;291445,32;224268,61;157177,67;24541,46;6480375,79"
"""350350 AREIAS"";-;-;-;20701,40;21793,17;25319,97;27006,35;18247,90;27487,14;21044,58;21572,33;20280,94;23964,57;16096,16;15292,05;14700,82;14548,74;21030,65;20117,58;24926,01;22470,14;18859,43;19485,09;26439,91;23076,36;13751,99;16075,09;26915,31;521203,68"
"""350360 AREIOPOLIS"";-;-;-;44409,86;36389,22;49891,88;58367,07;62203,50;31310,90;26275,76;28753,92;28879,82;29568,27;44636,83;28892,00;28307,75;32905,89;41714,53;64518,12;70129,62;45352,40;50586,11;45192,58;58961,75;57436,19;47215,01;45136,79;41365,27;1098401,04"
"""350370 ARIRANHA"";-;-;-;52228,89;62937,12;68202,50;68908,18;53638,03;42453,10;54109,36;48041,79;52293,75;50300,82;43471,34;39653,63;46094,72;51958,50;60097,62;55592,18;56682,48;56425,03;66671,26;62600,97;48698,29;56944,58;52510,28;47511,22;47505,74;1345531,38"
"""350380 ARTUR NOGUEIRA"";-;-;-;50353,26;71201,75;7279,55;69168,17;84165,84;56753,92;56562,98;58596,15;17553,51;6795,30;4055,66;-;-;275958,92;299849,27;326072,83;304608,69;288101,06;257973,03;272492,37;261036,95;287853,48;250790,09;204254,86;211011,80;3722489,44"
"""350390 ARUJA"";-;-;-;436476,97;470820,48;500721,04;599835,17;486263,21;470714,01;455638,30;454936,38;324454,77;500118,56;298134,71;240932,40;206923,30;243331,54;232366,98;204920,62;222269,16;262634,58;325119,34;308032,39;299440,99;337273,00;350045,08;99938,35;407935,65;8739276,98"
"""350395 ASPASIA"";-;-;-;5170,22;14411,09;849,94;966,69;905,98;691,16;723,85;12403,29;6159,18;14185,82;6815,63;2868,12;6438,00;4483,76;2648,04;7049,90;7643,69;5553,14;7255,86;1135,26;4171,98;5997,41;6540,75;7503,07;1061,85;133633,68"
