"""Munic¡pio"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""350520 BARIRI"";-;-;-;27619;25104;34004;36570;30218;31663;31276;36210;36353;35065;26668;20762;35352;34214;33284;42012;45056;33626;33140;40458;38808;37758;31589;24553;33937;835299"
"""350530 BARRA BONITA"";-;-;-;13928;12386;14822;19076;21002;20838;17878;20392;22257;26054;22659;15656;18223;22180;22371;26427;25889;23124;25174;28308;29880;31557;26594;24780;22085;553540"
"""350535 BARRA DO CHAPEU"";-;-;-;-;-;-;-;-;-;-;-;4;-;-;2;-;-;-;-;-;-;-;-;11;-;-;13;46;76"
"""350540 BARRA DO TURVO"";-;-;-;3200;3495;3243;3752;2998;2913;2717;3336;3215;3261;3733;3900;3796;3964;3344;4035;3996;3933;3436;4118;3614;4190;3626;3074;-;84889"
"""350550 BARRETOS"";-;-;-;89000;121693;126153;115458;138948;126589;120577;144815;125561;129451;120182;118553;97405;128372;115972;143483;126182;131609;131360;141390;133838;159584;147650;131062;106502;3171389"
"""350560 BARRINHA"";-;-;-;15920;18447;22006;21538;24327;18759;19843;20664;21508;19983;16911;12760;19445;22957;25996;21916;27709;21796;18664;20618;20269;17806;16385;15421;16862;498510"
"""350570 BARUERI"";-;79;4378;286909;291331;320170;406751;384129;321307;302804;329517;324023;346564;278924;253551;323205;326349;321053;355230;365254;291330;323955;333965;360571;351927;312558;259778;311897;8087509"
"""350580 BASTOS"";-;-;-;3328;4054;4440;5189;4405;4333;4065;5127;5846;5182;5770;4685;4729;5418;5758;5386;6867;5385;6731;3881;9122;4772;3822;4127;4192;126614"
"""350590 BATATAIS"";2;162;172;35031;28486;51105;46864;37305;41698;38931;41261;47263;44190;41371;37107;53140;43123;49714;53084;49774;48386;51114;55752;67859;69562;56555;56423;66588;1212022"
"""350600 BAURU"";-;5;2;91372;87056;99272;228265;154106;99151;94694;90265;101085;112230;95568;94040;93676;105067;98267;117179;119073;100510;121762;97562;92749;107436;101216;96913;97536;2696057"
"""350610 BEBEDOURO"";-;-;-;24986;36800;45150;35035;26041;32470;31404;33578;36253;33662;27465;30410;28610;29338;37761;53629;45275;41496;24049;30500;30182;29626;28100;27057;26018;824895"
"""350620 BENTO DE ABREU"";-;-;-;855;1058;1100;1522;1269;1502;1295;1419;1645;1569;1269;931;1330;1669;-;-;-;-;-;-;-;-;-;-;-;18433"
"""350630 BERNARDINO DE CAMPOS"";-;-;-;1597;1832;2552;2385;2083;2133;1932;1978;786;1492;3385;3576;3486;3586;4566;3714;4355;3385;2442;2778;3448;3048;3256;3275;2900;69970"
"""350635 BERTIOGA"";-;-;17841;69852;70646;84312;86984;65143;66234;58748;66571;69383;64669;62564;48888;61643;65600;66582;71310;78540;67715;62326;65902;74191;79435;69609;63164;66273;1724125"
"""350640 BILAC"";-;-;-;7234;8630;8648;9049;8098;6995;7207;9034;8548;8784;8634;7966;9438;8040;8861;12530;11341;11167;10580;13442;11515;11517;9803;7892;7889;232842"
"""350650 BIRIGUI"";-;-;-;111485;110885;125636;146541;113654;103894;102488;119592;126545;127852;110767;96850;121009;123269;114807;127310;123110;101461;128083;129309;147479;140248;120365;100810;119273;2992722"
"""350660 BIRITIBA MIRIM"";-;3;18;13955;18349;20388;25484;46422;27367;27200;32638;38469;38989;29513;20818;25360;349758;8740;9500;10202;2686;10262;10342;10947;11309;10237;8727;-;807683"
"""350670 BOA ESPERANCA DO SUL"";-;-;-;1464;2512;3628;2294;2370;3534;3496;4194;4190;3940;3700;4031;4110;4210;4013;6195;4402;4678;4634;4898;4561;4357;4133;4381;3977;97902"
"""350680 BOCAINA"";-;-;-;11861;9985;12853;14147;12920;14508;11390;13392;14302;14497;11963;9101;16742;14417;14677;17629;14949;13107;13496;14174;14329;11401;10353;9449;11803;327445"
"""350690 BOFETE"";-;-;-;7295;8812;10363;11923;10165;9957;8797;9995;9681;9947;7997;7848;681;8824;8956;9465;12186;9152;12654;12893;13344;12469;11552;9018;9702;243676"
"""350700 BOITUVA"";-;-;-;32559;32999;36180;43681;42130;39942;36767;40949;34928;36903;30997;20707;25863;27331;29656;33085;34586;76345;50650;51017;56193;55720;48780;44047;48082;1010097"
"""350710 BOM JESUS DOS PERDOES"";-;-;-;5264;5822;6812;7792;7166;6428;5940;6060;5834;6254;5694;5176;5703;5651;6684;6170;6929;5588;5641;6412;6102;6821;5831;5692;6055;153521"
"""350715 BOM SUCESSO DE ITARARE"";-;-;-;6106;7741;7083;7678;8758;5850;8051;7379;5735;3914;2750;784;1848;2721;3634;8750;8832;8443;7535;8948;9951;10271;8764;8222;9934;169682"
"""350730 BORACEIA"";-;-;-;7834;6789;5553;7278;7446;8698;5470;6893;6476;5811;4669;4217;5661;7708;8819;8972;7288;6886;6984;8103;8174;6894;6994;6334;5853;171804"
"""350740 BORBOREMA"";-;-;-;22181;23679;21663;30408;25964;26992;26169;30305;27184;30321;25436;20439;24861;31900;27221;36004;32337;28465;27005;28223;30395;29694;29682;25868;25675;688071"
"""350745 BOREBI"";-;-;-;3129;3875;351;3858;4680;4326;4564;4746;4042;3710;2657;2901;3145;3326;3175;3211;3723;3675;3960;4335;4987;6131;4188;3569;3060;93324"
"""350750 BOTUCATU"";-;44;704;93746;112158;138546;155314;140128;105292;81260;82307;81231;77465;71175;55630;61471;91596;85837;78321;79868;17196;18123;78053;87080;88889;83126;63984;67090;2095634"
"""350760 BRAGANCA PAULISTA"";-;-;-;25753;33278;39041;22794;34119;25426;22782;24179;26498;23520;22854;23295;24812;23844;24088;26238;31167;26639;23918;27078;27698;27491;24581;22279;22058;655430"
"""350770 BRAUNA"";-;-;-;5917;7852;11897;11721;11488;9186;7917;10315;13278;7887;9180;10587;6401;9277;9752;9100;11569;10427;8385;9089;11086;9716;9404;-;-;221431"
"""350775 BREJO ALEGRE"";-;-;-;1681;2759;4167;3851;4820;4626;3633;4056;3980;2862;3362;3403;2259;2324;2489;2792;2907;2052;-;-;-;-;-;-;-;58023"
"""350780 BRODOWSKI"";-;-;-;28924;33684;37104;35534;32705;32793;32248;31832;31985;35440;29036;26821;35430;38287;34492;36130;36626;33399;37155;35175;39054;39842;35521;30714;-;819931"
"""350790 BROTAS"";-;-;2;12322;12128;13288;16904;12278;13205;12002;12674;10834;13329;13529;9608;12733;14034;11848;14787;10439;12056;12300;15247;15624;13553;12387;10924;13450;321485"
"""350800 BURI"";-;-;-;4030;4543;5496;6131;7129;5114;3962;4283;5045;4804;4334;4279;4017;4006;4763;4586;4527;4371;4420;4452;4927;4812;4727;3971;3784;116513"
"""350810 BURITAMA"";-;-;-;19701;18405;19248;21959;19870;19141;22799;24789;22902;21950;17566;13001;20099;24048;22955;26612;26797;23630;26812;29846;34399;37896;31813;23251;30360;599849"
"""350820 BURITIZAL"";-;-;-;6826;6694;6600;8759;7163;10285;9371;8293;7905;6424;5841;4972;5868;5609;5237;5695;5027;4255;4905;5307;5559;5563;5088;4213;5107;156566"
"""350830 CABRALIA PAULISTA"";-;-;-;16832;14783;13421;20398;17120;17414;15455;17309;16362;17100;15575;12502;15727;16864;16025;19414;19346;15759;17500;17786;17122;17093;13305;12559;15015;407786"
"""350840 CABREUVA"";-;686;4218;30564;29949;33552;49312;45017;34226;33842;58324;64209;57449;45680;34859;57899;48553;39048;55769;62442;49455;51332;40054;42589;56892;55413;41657;33250;1156240"
"""350850 CACAPAVA"";-;-;-;15550;13297;17238;21809;22092;17323;18408;56346;45049;16192;13472;8161;9070;18986;11944;18161;26289;18588;22091;19077;16762;17270;10624;10653;-;464452"
"""350860 CACHOEIRA PAULISTA"";9;6;20;4850;5624;6501;6273;6307;10619;6028;5957;6484;7219;6438;5992;6239;5250;7075;11194;7802;6759;6370;7951;6136;9696;5382;9743;5482;173406"
"""350870 CACONDE"";-;-;3;17754;15353;17224;16669;13901;14244;14907;14362;15508;16150;12899;3498;4676;11142;10013;10429;997;468;551;608;1081;891;793;576;6165;220862"
"""350880 CAFELANDIA"";-;-;-;23256;22787;23963;25613;21785;24126;23616;42643;22355;24730;20132;16576;21395;21904;18666;18616;23124;20275;21516;19707;18763;20504;16190;16112;16948;545302"
"""350900 CAIEIRAS"";-;204;46;47783;30337;55754;55459;32672;38472;30781;41293;36261;34515;33029;31821;32869;33296;38746;50584;58051;48191;40284;45700;44354;47650;44188;41363;39294;1032997"
"""350910 CAIUA"";-;-;-;7217;5555;5361;7495;6232;5797;6185;6419;6465;6975;6129;5102;6821;6350;6538;6476;6986;5763;7804;6460;6593;7387;7440;3408;6032;158990"
"""350920 CAJAMAR"";-;-;-;17411;20592;27886;28994;26431;24193;17261;19880;20551;36752;48920;32549;65443;47568;59381;45732;37508;38287;40636;39711;44237;44310;42000;37694;37687;901614"
"""350925 CAJATI"";-;-;-;11769;4656;11117;13552;7846;11457;10546;9982;10332;9773;8786;7337;6931;6472;7143;11732;9723;8413;7898;8331;8695;8532;7585;7671;-;216279"
"""350930 CAJOBI"";-;-;-;403;40617;263;471;462;282;372;428;200;298;209;226;1211;1304;318;1868;2102;2254;1319;366;1352;1269;1071;2961;3232;64858"
