"""Munic¡pio"";""2023/Ago"";""2023/Set"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""350790 BROTAS"";-;-;-;-;2;24992;24451;26673;29478;24944;26866;23785;24434;24308;27617;25822;22329;24089;26261;23666;23556;21716;22095;24915;30290;34159;28997;29452;26002;31594;652493"
"""350800 BURI"";-;-;-;-;-;18829;20745;25961;26920;27740;25330;23181;19646;25918;28251;23287;19109;12937;22555;23634;28436;26729;26447;26961;25315;25840;25634;22310;23113;23538;598366"
"""350810 BURITAMA"";-;-;-;-;-;51297;47664;49780;59769;54032;51434;56148;55609;55366;57086;49304;41705;56163;57024;61599;64196;59914;51103;57043;61243;67128;69341;61350;51908;59527;1406733"
"""350820 BURITIZAL"";-;-;-;-;-;7307;7312;7305;9640;7978;11324;10160;9013;8612;6767;6531;5519;6356;6297;5995;6219;5732;4915;5644;6191;6398;6316;5774;4494;5526;173325"
"""350830 CABRALIA PAULISTA"";-;-;-;-;-;17464;15337;13817;20994;17572;18003;16163;18152;17182;17945;16515;13264;16530;17658;16879;20153;20111;16732;18657;18978;18253;18242;14304;13493;16072;428470"
"""350840 CABREUVA"";-;-;-;2283;8483;103608;101788;115005;146080;142330;113422;106967;164304;172869;201810;160163;117179;205284;163608;119474;175324;195136;169521;181026;128473;113538;186584;191359;158926;105396;3749940"
"""350850 CACAPAVA"";-;-;-;-;-;130388;120028;142397;162894;155278;137628;135550;178956;182990;151637;142213;123535;150793;166695;155301;166824;189398;155962;172085;174005;173243;183499;142151;138472;-;3731922"
"""350860 CACHOEIRA PAULISTA"";-;-;9;6;20;24526;26092;27605;30200;28393;30550;23853;19908;18344;18316;15591;15755;15665;14697;17978;27565;20217;17269;16292;26332;27004;51633;32865;40939;34198;621822"
"""350870 CACONDE"";-;-;-;-;3;24609;20437;21858;21462;18985;19169;18860;19204;20470;21033;18248;6872;7718;15081;15022;15353;6097;3590;4142;4981;6685;4249;3548;4579;9745;332000"
"""350880 CAFELANDIA"";-;-;-;-;-;29765;28225;29795;32273;28294;30728;29595;48436;28562;30911;25989;21143;26723;27686;25447;25183;24392;28601;30774;28704;28059;29517;23829;26015;27240;715886"
"""350890 CAIABU"";-;-;-;-;-;376;602;259;192;602;535;588;8;928;852;787;653;670;660;18;175;448;334;369;166;240;222;216;121;469;10490"
"""350900 CAIEIRAS"";-;-;-;204;373;190629;135197;197175;223201;154740;159636;143918;606628;264381;114393;193272;147993;157937;157828;168307;205855;231805;190856;173243;192305;192109;415948;142268;199193;184640;5144034"
"""350910 CAIUA"";-;-;-;-;-;7305;5648;5500;7852;6538;6009;6496;6851;6708;7249;6451;5390;7130;6752;6768;6675;7305;5942;8040;6808;6852;7814;7767;3516;6186;165552"
"""350920 CAJAMAR"";-;-;-;-;-;143774;156690;186178;199126;190968;172227;161589;181566;188445;204197;197209;163467;225722;166876;198902;156366;232920;159911;223360;235256;237641;239511;225129;198149;194964;4840143"
"""350925 CAJATI"";-;-;-;-;-;31205;28207;42899;41940;37265;44766;32773;40406;48624;48651;44601;41719;45727;35219;45613;50545;50145;41163;41695;44733;47274;46548;33298;42932;-;1007948"
"""350930 CAJOBI"";-;-;-;-;-;3755;43690;4082;3087;3169;2972;2993;3385;1644;2813;4053;4196;7656;8648;5581;9886;9691;7156;8239;7497;11267;10383;10661;14912;18369;209785"
"""350940 CAJURU"";-;-;-;-;-;14924;18192;7324;18603;13874;25353;30680;28208;27752;33737;176153;30422;33028;38365;44992;39066;31505;23407;36538;423883;42105;40982;36967;26835;37278;1280173"
"""350945 CAMPINA DO MONTE ALEGRE"";-;-;-;-;-;3425;2347;3923;3931;4130;3432;3015;3896;3577;3366;3315;3643;3667;3409;3908;3756;3106;3942;2526;3127;3508;3746;4693;8467;7183;97038"
"""350950 CAMPINAS"";-;-;20266;123561;376991;5067328;4884404;5216338;5316940;5225762;5398900;4891248;5077523;5284179;5362926;5117523;4942176;5368826;5305889;5207550;5124488;5067956;5124087;5322267;5519613;5609088;5603255;4670893;4560233;4781255;129571465"
"""350960 CAMPO LIMPO PAULISTA"";-;-;-;-;-;215349;208111;215265;217860;224025;503339;400515;206784;161850;151273;148184;134898;345937;162096;180882;214728;715349;215407;217882;217449;224470;215904;198098;317501;186313;6199469"
"""350970 CAMPOS DO JORDAO"";-;-;-;-;-;72988;65648;70561;75153;71406;73340;75658;82170;79513;82934;77057;71126;80748;81109;78828;87694;92137;67790;92824;96252;102285;106618;99910;95769;105147;2084665"
"""350980 CAMPOS NOVOS PAULISTA"";-;-;-;-;-;18596;15766;16791;18044;16048;16837;15501;21497;17698;19372;18679;17092;21323;19596;19028;20535;23511;20813;21356;24720;23800;23206;22129;21438;37464;510840"
"""350990 CANANEIA"";-;-;-;-;-;-;-;-;275;2211;1168;4172;7018;837401;7389;2129;5866;7530;6818;9139;9580;11520;10137;10141;-;-;-;-;-;-;932494"
"""350995 CANAS"";-;-;-;-;-;2228;2155;2478;2927;2552;3058;3052;2941;2997;2949;2921;2956;3024;2839;2131;3013;2866;2953;3002;3036;2983;-;-;-;-;59061"
"""351000 CANDIDO MOTA"";-;-;-;-;-;58885;55997;68538;75127;76954;71589;59596;66209;65865;67128;58833;52881;66650;78757;82798;75437;69086;60182;60161;64279;63119;61952;53912;48257;-;1562192"
"""351010 CANDIDO RODRIGUES"";-;-;-;-;-;5;17;10;4;10;4;176;4;22;4;4;2;4;566;1304;1803;1909;1895;1884;1813;1825;1944;1755;-;-;16964"
"""351015 CANITAR"";-;-;-;-;-;4791;3938;3928;4714;4370;4398;3880;11270;13739;18271;11576;13093;12284;3625;4862;3231;6180;2746;3894;3820;3613;3953;3491;2997;3501;156165"
"""351020 CAPAO BONITO"";-;-;4;-;-;52860;52925;64081;68462;53442;63845;67421;71358;73796;60363;59597;56723;66704;73411;69498;77117;84613;91091;80516;83551;91897;96109;82057;63439;69914;1774794"
"""351030 CAPELA DO ALTO"";-;-;-;-;-;31825;33677;36502;38956;44733;47233;36134;38756;48927;47296;39557;41632;46374;40824;50091;52382;55564;51387;46665;50628;57830;58659;59339;53418;53039;1161428"
"""351040 CAPIVARI"";-;-;-;46;184;70021;69269;69216;91893;80835;72437;66011;84734;82444;82327;75300;42014;76982;67200;79014;90072;83042;75133;97277;89209;91550;101516;85405;65025;80022;1968178"
"""351050 CARAGUATATUBA"";-;-;384;626;47023;294039;281456;313009;354692;328134;341292;344885;324743;342644;369615;294838;298007;340971;315842;330229;329311;341106;294527;320256;333559;348043;359240;303396;292004;317205;8161076"
"""351060 CARAPICUIBA"";-;-;-;-;17;306855;318019;425537;510568;207510;351549;353854;317792;324681;340332;231237;311731;320941;388177;396769;307108;337403;185123;259625;238520;328264;276592;249639;187719;252936;7728498"
"""351070 CARDOSO"";-;-;-;-;-;10739;12007;13111;15244;15504;14907;15207;17212;15963;14156;14167;13681;18236;22067;22288;20768;22483;25746;21837;26499;28668;30789;25434;23228;17136;477077"
"""351080 CASA BRANCA"";-;-;-;-;14;53033;47055;49791;50427;55902;49917;54235;55539;60506;58296;55546;54289;58372;65908;61108;61873;69077;67808;74291;71877;71742;72279;61865;71132;66462;1518344"
"""351090 CASSIA DOS COQUEIROS"";-;-;-;-;-;1294;1447;1161;1840;124;1683;1853;2090;2040;2305;1547;1144;287;1362;2463;1928;1082;1267;2057;2121;2564;2163;2076;-;-;37898"
