"""Munic¡pio"";""2023/Ago"";""2023/Set"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""350330 ARARAS"";-;-;4;6;14;82659;123151;129662;130044;78692;130797;99177;109462;101271;80715;144327;114381;136075;169401;164949;180347;197137;176001;172480;183243;191885;211048;174592;174074;158387;3613981"
"""350335 ARCO-IRIS"";-;-;-;-;-;1936;1437;1973;2468;1903;2515;2397;2315;2310;3117;2519;2038;2268;2036;2674;2479;2671;2566;1879;3015;-;2691;2949;2678;1934;56768"
"""350340 AREALVA"";-;-;-;-;-;15559;16225;18902;23499;21828;20386;19045;16045;16419;16265;14318;13486;15971;15648;15841;17238;16852;16447;15718;14899;17611;17538;14213;12173;8988;411114"
"""350350 AREIAS"";-;-;-;-;-;3407;2769;3617;4436;3210;3991;3644;3656;3366;3652;2985;2690;2783;2715;3602;3642;4172;3982;3005;3519;4154;3715;2644;3063;3925;86344"
"""350360 AREIOPOLIS"";-;-;-;-;-;15111;20589;24710;29597;27787;21742;18664;20069;18682;18376;19180;13226;17695;18562;21681;21878;25442;28619;28082;28910;28356;32738;30804;23735;23058;577293"
"""350370 ARIRANHA"";-;-;-;-;-;19737;22344;21676;23283;19503;16751;19810;18513;19750;18087;16005;15088;16346;18105;20489;19653;19945;19440;19942;20372;18824;20906;18595;17723;15655;476542"
"""350380 ARTUR NOGUEIRA"";-;-;-;-;-;47638;54243;35327;60777;65331;61528;61019;61358;45238;40204;29757;18117;27901;71501;76225;78685;62968;75005;74925;77567;76528;80811;70077;57940;66616;1477286"
"""350390 ARUJA"";-;-;-;-;-;120425;132070;158070;125726;108740;91731;95420;97428;57748;127223;65073;50090;52486;61903;88226;55376;78586;83243;105534;112916;121021;109588;112982;33529;109734;2354868"
"""350395 ASPASIA"";-;-;-;-;-;1079;2840;200;222;214;171;171;282425;1151;2785;1359;618;1238;930;548;1266;1382;970;1244;218;670;1013;1147;1419;209;305489"
"""350400 ASSIS"";-;-;-;212;346;706836;731419;737284;765019;763005;776274;834571;872219;853822;876459;859314;829853;843612;855863;852805;865097;933536;880653;944637;989867;1018627;1027021;869806;1027520;792094;21507771"
"""350410 ATIBAIA"";-;-;-;-;-;164542;240635;217276;219977;424250;209568;175707;230919;204913;204128;143050;208528;200401;192079;186006;200078;205248;189052;185340;200788;209267;204902;222308;163137;190192;5192291"
"""350420 AURIFLAMA"";-;-;-;-;-;26540;26397;26506;31222;30292;27171;26290;29228;29428;25532;23249;23891;29303;24683;24112;23589;24338;19404;19537;22085;22469;19967;19744;20001;19849;614827"
"""350430 AVAI"";-;-;-;-;-;3162;2538;3355;4279;3526;4744;5233;4525;4663;4091;4171;2979;3780;3589;3217;3912;4257;4198;5818;4080;6102;4576;3402;2571;475;97243"
"""350440 AVANHANDAVA"";-;-;-;-;-;9139;9507;10794;11407;11329;11802;9064;6992;1842;1844;1747;1113;1790;2081;1862;872;2317;1879;2601;1153;2393;2819;2486;1788;-;110621"
"""350450 AVARE"";-;-;-;-;-;128460;115998;129688;163020;144342;133694;124563;132415;134939;131099;123423;124304;89875;139195;142391;153153;152726;132094;139513;151051;160854;105518;151240;141515;144866;3389936"
"""350460 BADY BASSITT"";-;-;-;-;-;54900;51634;44617;51168;59348;54729;63484;51238;59458;54744;52827;50468;66473;46281;70052;67229;79636;47878;63994;71308;70556;68026;56133;47603;53671;1457455"
"""350470 BALBINOS"";-;-;-;-;-;754;1444;1278;1410;739;716;721;548;548;739;676;656;626;1489;596;3507;3550;3282;3552;5001;4881;5193;4592;6806;5352;58656"
"""350480 BALSAMO"";-;-;-;-;-;941;421;1630;3708;2213;2044;2374;3272;2442;2994;2042;1317;2309;3562;15635;14675;23988;18254;27224;26211;29482;20026;20481;21499;22781;271525"
"""350490 BANANAL"";-;-;-;-;-;12225;10814;18502;23369;15402;15596;15471;15377;15937;16256;14335;13880;15217;16618;18734;15975;18850;17273;17202;12924;20567;17303;17787;18788;17333;411735"
"""350500 BARAO DE ANTONINA"";-;-;-;-;-;46;1981;869;1086;958;1001;3005;2636;2668;2839;2088;1516;1263;3249;2747;2656;3134;3308;4096;3427;3544;-;-;-;-;48117"
"""350510 BARBOSA"";-;-;-;-;-;10843;7770;3585;3017;1853;1723;2250;455;3293;3301;937;2003;1446;1871;3144;2920;1898;2775;2868;2799;3455;3534;3011;2421;1987;75159"
"""350520 BARIRI"";-;-;-;-;-;62451;54651;65892;70666;65237;64312;59914;71397;70271;69802;59206;49158;67034;62203;67205;76776;82795;65725;64780;72914;75620;75086;66153;58261;66270;1663779"
"""350530 BARRA BONITA"";-;-;-;14;4;39435;35494;40114;46966;49004;45474;39720;46162;48649;51614;47201;38892;43124;49798;49813;54254;53989;47128;49282;54150;56153;58488;50707;48679;45556;1189864"
"""350535 BARRA DO CHAPEU"";-;-;-;-;-;264;1412;1338;1684;2635;1715;2115;2278;3347;2595;2700;2354;2514;2675;2201;3239;2023;2055;3022;2503;1639;3105;3055;3314;3073;58855"
"""350540 BARRA DO TURVO"";-;-;-;-;-;7649;8180;8687;9173;8145;7848;7192;8863;7967;6994;8599;8784;8556;9060;8307;8997;9394;9242;8956;9022;8686;10455;8236;8967;-;205959"
"""350550 BARRETOS"";-;-;5;80;750;1281005;1345176;1360880;1348128;1388129;1378488;1393781;1462674;1398212;1479361;1451149;1381062;1382518;1515864;1491700;1553005;1517051;1565340;1590639;1533660;1515036;1529971;1378158;1390375;1425923;36058120"
"""350560 BARRINHA"";-;-;-;-;-;16623;19064;22666;22252;24856;19674;20874;21899;22239;20683;18054;13070;20077;23792;37557;32169;42039;33219;36799;31384;32348;27767;31190;30995;34449;655739"
"""350570 BARUERI"";-;-;-;1818;18078;1065602;1113632;1253021;1505447;1405617;1224796;1148895;1241908;1226027;1273330;1081249;942055;1172389;1174936;1213269;1111814;1351808;1121334;1211091;1258713;1303304;1315754;1161122;961247;980307;29838563"
"""350580 BASTOS"";-;-;-;1;56;21590;23171;23941;26949;25930;27599;27891;29370;31032;31748;30633;28345;26204;26660;25911;27267;37729;30808;31495;23868;35490;31514;28571;29365;31878;715016"
"""350590 BATATAIS"";-;-;2;566;547;109817;111564;124727;123379;112635;113731;112243;114919;133921;125053;124277;108955;159833;125603;119146;134665;134315;129843;137370;134050;148453;151602;126649;121731;108360;3147956"
"""350600 BAURU"";-;-;-;19;632;2080172;2027678;2100098;2344614;2211340;2167472;2236153;2214057;2264654;2383842;2233763;2224086;2370007;2343798;2547706;2368680;2421828;2360999;2476779;2467038;2577150;2611935;2000552;2280049;2366362;57681463"
"""350610 BEBEDOURO"";-;-;-;-;-;122495;159444;185052;166665;132783;148349;143200;147754;160593;152746;129731;130885;127168;147137;152668;183395;168685;157561;148013;157569;169878;156465;149669;139756;140673;3778334"
"""350620 BENTO DE ABREU"";-;-;-;-;-;880;1071;1112;1556;1295;3030;1800;1441;1694;2051;1657;1276;1412;1893;330;501;632;564;484;475;770;716;480;113;336;27569"
"""350630 BERNARDINO DE CAMPOS"";-;-;-;-;-;6214;6615;8287;8086;7418;7586;6720;6984;6440;7353;10517;10214;10794;12101;15169;12828;14174;11562;8738;9492;10387;9614;10108;10042;9430;236873"
"""350635 BERTIOGA"";-;-;-;-;87363;843035;210190;241519;234033;194261;184487;165434;184451;191470;191403;173687;148236;180159;179022;192523;197439;208188;177607;171172;178241;200152;208387;179401;174882;174494;5471236"
"""350640 BILAC"";-;-;-;-;-;13915;16290;16872;17647;16947;15990;16739;18204;17929;17525;17172;18080;20635;16019;17368;20780;21787;19410;18800;22935;21349;20861;18671;16698;16628;455251"
"""350650 BIRIGUI"";-;-;-;2;185;185996;189065;214750;248901;214023;191755;190393;216051;225943;233636;210989;195932;231674;210741;240140;250663;244453;211180;261290;263993;264806;248994;214157;186603;219539;5565854"
"""350660 BIRITIBA MIRIM"";-;-;-;3;18;30846;32668;29143;54370;63028;42162;29645;43640;51573;53522;64238;55611;52270;381566;272221;46502;50965;38572;43492;49341;51116;51474;45684;42626;-;1676296"
"""350670 BOA ESPERANCA DO SUL"";-;-;-;-;-;8699;10760;11183;14677;12390;12813;10545;12098;13422;11730;12320;12168;12796;11846;12668;19586;12782;14568;13944;16112;14050;13899;11739;13854;13134;323783"
"""350680 BOCAINA"";-;-;-;-;-;19655;16776;20225;22378;20275;22193;18978;21057;21897;23158;17326;16099;24505;22258;22176;25973;23460;20722;21682;22693;23442;20378;18479;18048;19862;523695"
"""350690 BOFETE"";-;-;-;-;-;12792;16277;18805;21719;18959;17807;15859;17863;18183;19141;15794;15528;750;16636;17725;18237;23608;15786;19569;20359;19918;19291;18234;14254;14987;428081"
"""350700 BOITUVA"";-;-;-;-;-;102679;88433;107924;126031;131592;136108;120972;132823;112270;110170;90308;54398;59481;72666;73515;84418;89475;343641;146218;143580;153426;147560;138048;125785;125386;3016907"
"""350710 BOM JESUS DOS PERDOES"";-;-;-;-;-;28966;36489;34866;45364;35180;36765;35421;34840;34490;39275;34172;20341;44779;39300;42021;41271;43163;40109;39675;44263;43993;48857;41968;40646;41040;967254"
"""350715 BOM SUCESSO DE ITARARE"";-;-;-;-;-;6418;8049;7476;7852;9151;6257;8867;8075;6425;4859;3322;1053;2046;3063;4088;9174;9056;8683;7615;9061;10041;10353;8834;8284;10006;178108"
