"""Munic¡pio"";""2023/Ago"";""2023/Set"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""350510 BARBOSA"";-;-;-;-;-;336;547;582;727;640;601;585;-;649;720;-;607;626;677;585;576;609;543;599;750;726;862;655;551;616;14369"
"""350520 BARIRI"";-;-;-;-;-;17520;13949;16496;17461;16327;15430;13065;16660;15462;15993;15553;12988;15891;12772;13242;13733;13826;12238;22896;23971;27519;27413;25083;26107;24151;445746"
"""350530 BARRA BONITA"";-;-;-;14;4;25292;22873;25071;27615;27820;24435;21643;25584;26142;25343;24295;23027;24704;27312;27178;27532;27681;23644;23716;25343;25843;26452;23889;23485;23290;629227"
"""350535 BARRA DO CHAPEU"";-;-;-;-;-;49;302;510;138;2167;1504;1847;2133;2947;2349;2059;2245;2264;2413;1998;2923;1805;1694;2812;2160;1624;2716;2757;2991;2809;49216"
"""350540 BARRA DO TURVO"";-;-;-;-;-;4449;4631;5392;5350;5067;4864;4402;5479;4684;3687;4820;4862;4747;5072;4939;4912;5382;5303;5509;4899;5061;6258;4603;5890;-;120262"
"""350550 BARRETOS"";-;-;5;80;738;310413;315011;328102;355530;348001;326312;317950;335380;329590;355625;309385;295995;314772;349672;342858;368435;347790;343427;361982;353534;340547;354578;336757;341632;305227;8389328"
"""350560 BARRINHA"";-;-;-;-;-;646;578;582;632;509;848;904;1005;670;660;955;300;608;746;10142;9879;10389;10144;17183;9728;10410;8650;13308;14637;16169;140282"
"""350570 BARUERI"";-;-;-;1739;13700;769199;812830;923039;1087139;1010801;890849;834477;900984;892053;916532;793440;680466;840484;840158;882496;740323;973770;819338;875719;912553;930520;951506;836457;690118;657524;21478214"
"""350580 BASTOS"";-;-;-;1;56;17484;18533;19029;21131;20477;21940;22664;23008;23906;25033;23411;22214;20216;19866;18713;20285;28961;23878;23176;19163;24978;25198;23258;24045;25878;556502"
"""350590 BATATAIS"";-;-;-;404;375;72965;81275;63258;72725;71607;69320;70807;71425;80887;78337;73971;68674;102796;80425;65822;77654;81491;79085;83656;75997;78269;79610;68011;63045;39529;1851420"
"""350600 BAURU"";-;-;-;7;137;478004;453732;503381;538490;522083;521585;489500;461779;506251;518006;464770;425285;480965;484869;548551;497841;522976;463753;482396;494151;512786;523174;455019;444563;455221;12249275"
"""350610 BEBEDOURO"";-;-;-;-;-;94848;119678;136932;128041;103133;112335;107990;110365;120565;114990;98984;97422;95242;114488;112440;124491;119505;112545;119827;122299;134492;122209;116470;107607;109043;2855941"
"""350620 BENTO DE ABREU"";-;-;-;-;-;21;13;8;29;20;1528;497;20;31;470;378;249;82;224;273;277;469;377;141;231;290;242;-;-;174;6044"
"""350630 BERNARDINO DE CAMPOS"";-;-;-;-;-;4542;4710;5655;5609;5253;5361;4704;4894;5553;5795;7080;6547;7217;8433;10509;9022;9727;8078;6193;6612;6840;6436;6773;6692;6422;164657"
"""350635 BERTIOGA"";-;-;-;-;69489;772584;139038;156559;146460;128559;117658;106086;117037;121679;126463;110528;98719;117818;112841;125285;125346;128981;109095;108148;111391;125329;128051;108773;109848;107726;3729491"
"""350640 BILAC"";-;-;-;-;-;4124;4251;5007;5137;5279;5431;5107;5430;5662;5367;5633;7487;7484;4451;4370;4248;7363;5670;5433;6423;6028;5694;5300;5316;5249;136944"
"""350650 BIRIGUI"";-;-;-;2;185;73737;77273;87994;101455;99384;86987;86946;95384;98217;104411;99316;98183;109756;86700;124381;122466;120274;108745;132142;133732;116538;107865;92908;84797;99001;2548779"
"""350660 BIRITIBA MIRIM"";-;-;-;-;-;15024;13567;7251;20914;7133;10368;558;10991;13004;14533;33791;34757;26302;31158;32721;35522;39667;35807;32964;38218;39014;39049;34870;33485;-;600668"
"""350670 BOA ESPERANCA DO SUL"";-;-;-;-;-;7172;8168;7467;12349;9974;9251;6988;7838;9207;7781;8483;8113;8526;7314;8569;13081;8008;9609;9248;11157;9378;9489;7511;9375;8994;223050"
"""350680 BOCAINA"";-;-;-;-;-;4712;3868;4103;4199;3936;5138;4860;5039;4985;5202;4868;4693;4911;4888;5032;5283;5713;4889;5209;5267;5361;5216;4960;4750;4685;121767"
"""350690 BOFETE"";-;-;-;-;-;5496;7465;8442;9136;8270;7850;7062;7797;8439;8892;7712;7619;-;7745;8651;8772;10845;6634;6831;7405;6497;6756;6617;5194;5231;181358"
"""350700 BOITUVA"";-;-;-;-;-;55809;39496;43979;44583;52904;57998;55313;54672;51628;57339;49168;25368;29932;33066;31844;36725;40089;255044;78780;80077;84479;81538;79416;73696;68681;1561624"
"""350710 BOM JESUS DOS PERDOES"";-;-;-;-;-;23662;30625;27946;32359;27363;30115;28727;28628;28647;32741;28394;15159;36441;33344;35034;34550;35596;34051;33260;37250;37799;41219;36066;33891;34935;797802"
"""350715 BOM SUCESSO DE ITARARE"";-;-;-;-;-;310;302;389;171;389;371;814;688;647;928;569;269;175;315;426;418;195;226;63;99;72;69;43;46;59;8053"
"""350720 BORA"";-;-;-;-;-;731;-;-;-;860;884;664;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3139"
"""350730 BORACEIA"";-;-;-;-;-;446;425;434;430;337;442;436;485;453;15;200;319;331;448;565;478;498;498;477;521;790;730;659;960;890;12267"
"""350740 BORBOREMA"";-;-;-;-;-;10634;10571;9833;11094;11945;11873;11974;14435;14285;15399;13561;10142;17707;17675;18632;19180;18709;18150;16834;16973;19529;19734;17604;17508;16397;380378"
"""350745 BOREBI"";-;-;-;-;-;472;544;403;375;252;287;106;403;273;405;519;501;381;510;572;1288;1443;1399;1417;1241;667;557;496;337;369;15217"
"""350750 BOTUCATU"";-;-;57;372;2553;350151;362521;367768;377651;385156;387647;366991;380405;390407;397800;391194;301913;383488;389320;394007;400158;398045;381673;384251;397077;398447;410894;401959;331919;394211;9528035"
"""350760 BRAGANCA PAULISTA"";-;-;-;-;74;247125;242426;278539;278078;264563;259429;244637;265481;293236;264093;199573;155003;205947;187320;312787;336219;264870;263675;268985;283291;290716;296311;249818;243021;246866;6442083"
"""350770 BRAUNA"";-;-;-;-;-;26;139;248;294;248;229;258;246;218;27;21;223;627;800;762;577;723;634;535;496;49;88;230;-;-;7698"
"""350775 BREJO ALEGRE"";-;-;-;-;-;411;478;712;645;671;632;483;632;566;462;526;421;420;757;580;686;-;-;-;-;-;-;-;-;-;9082"
"""350780 BRODOWSKI"";-;-;-;-;-;25329;17356;16951;15625;13901;13355;14969;11099;14756;11482;10015;9753;10777;12640;12485;13779;16178;15901;13670;15006;16534;14663;13723;13639;-;343586"
"""350790 BROTAS"";-;-;-;-;-;12670;12323;13372;12543;12649;13586;11568;11669;12953;13989;12127;12549;11347;12204;11803;8749;11264;9886;12242;14896;18385;15193;16871;14969;18005;327812"
"""350800 BURI"";-;-;-;-;-;14792;16189;19598;19998;19315;19235;18172;14235;19645;22319;17785;14060;7671;17584;17582;21468;19982;19652;20223;18542;18327;18426;15334;17080;17566;444780"
"""350810 BURITAMA"";-;-;-;-;-;25751;24052;25052;31605;28129;26917;27555;25899;26511;29037;25381;24334;29898;26846;27334;26958;27562;22994;25380;25750;24681;24512;23043;23884;22725;651790"
"""350820 BURITIZAL"";-;-;-;-;-;444;592;681;853;770;1019;766;685;687;340;670;509;465;675;720;505;677;648;715;863;823;736;664;271;407;16185"
"""350830 CABRALIA PAULISTA"";-;-;-;-;-;623;549;387;591;432;569;388;523;494;519;620;440;499;474;522;419;445;647;836;868;807;849;670;630;721;14522"
"""350840 CABREUVA"";-;-;-;1597;4265;72939;71601;81164;96649;97035;78945;72927;105692;108374;144073;114116;82233;147203;114842;80172;119216;132429;119955;129458;88169;70639;128806;135102;116172;71361;2585134"
"""350850 CACAPAVA"";-;-;-;-;-;112501;104091;121289;136835;129580;115638;114052;119043;134302;132083;126252;113230;138510;144884;139994;145018;159456;134340;145434;150650;154602;157903;129593;126986;-;3186266"
"""350860 CACHOEIRA PAULISTA"";-;-;-;-;-;19662;20455;21104;23927;22086;19931;17825;13951;11860;11082;9138;9757;9405;9424;10894;16363;12404;10500;9905;18290;20152;37155;26667;26764;24108;432809"
"""350870 CACONDE"";-;-;-;-;-;6784;4998;4603;4666;4927;4745;3783;4694;4790;4768;5217;3353;2520;2760;4009;4565;4176;2226;2296;4012;5421;3249;2691;3959;3380;102592"
"""350880 CAFELANDIA"";-;-;-;-;-;6484;5438;5832;6629;6509;6573;5979;5793;6189;6162;5842;4567;5328;5762;6759;6489;1246;8282;9147;8978;9277;8994;7639;9903;10292;170093"
"""350890 CAIABU"";-;-;-;-;-;351;573;226;192;602;531;588;-;902;819;747;627;648;635;-;148;426;300;330;143;240;222;216;121;461;10048"
"""350900 CAIEIRAS"";-;-;-;-;327;142135;104161;140814;166900;121200;120453;112444;134526;126503;79178;159448;115514;124380;123921;129010;154646;173073;142154;132233;145685;146880;157412;97248;156978;144707;3351930"
"""350910 CAIUA"";-;-;-;-;-;80;86;132;349;295;205;304;425;236;261;305;280;302;382;221;181;308;170;236;347;243;364;318;72;133;6235"
"""350920 CAJAMAR"";-;-;-;-;-;125984;135891;157659;169581;164005;147553;143851;161068;167284;166845;147800;130544;157955;116082;138932;107451;191839;118242;178920;190460;188380;190160;181615;158862;153321;3890284"
"""350925 CAJATI"";-;-;-;-;-;19160;23034;30648;26830;27773;31706;20845;28591;31447;32055;28797;28215;30472;28443;32283;32442;35772;31130;29467;32771;34408;31318;22043;29782;-;699432"
"""350930 CAJOBI"";-;-;-;-;-;3352;3073;3819;2616;2707;2679;2606;2940;1428;2499;3824;3955;6407;7313;5229;7991;7548;4868;6890;7102;9893;9091;9024;10939;13936;141729"
"""350940 CAJURU"";-;-;-;-;-;14114;16930;5791;17523;12926;18432;25478;21117;22324;27532;27056;24724;27877;29604;36099;33472;30616;22281;30658;35588;34642;34180;30702;26092;30541;636299"
"""350945 CAMPINA DO MONTE ALEGRE"";-;-;-;-;-;3425;2347;3923;3931;4130;3400;3015;3896;3577;3366;3315;3643;3667;3409;3908;3756;3106;3942;2526;3127;3508;3694;3991;3941;2789;87332"
"""350950 CAMPINAS"";-;-;15141;88610;302960;1385490;1193938;1476919;1586968;1497550;1648246;1058889;1364840;1369902;1322242;1235179;1099916;1267784;1224123;1270944;1208325;1067240;1134416;1291132;1374361;1377096;1282756;1134891;774770;833641;31888269"
"""350960 CAMPO LIMPO PAULISTA"";-;-;-;-;-;146192;140129;141940;127685;150673;148246;126782;132830;130147;91313;98206;91053;91848;107520;115202;140454;152984;145902;144030;148234;148928;146571;127205;109466;120246;3223786"
"""350970 CAMPOS DO JORDAO"";-;-;-;-;-;33277;27577;29084;28759;28440;29252;30987;30135;31198;31265;30199;29100;30141;30511;29507;31414;29989;18311;46266;46495;47418;50561;48960;50953;49937;869736"
"""350980 CAMPOS NOVOS PAULISTA"";-;-;-;-;-;998;752;763;1077;1154;1071;886;2308;2162;2656;2195;2463;2801;2530;2263;2888;3033;3000;3183;3081;3022;2906;2708;2834;4057;56791"
"""350990 CANANEIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5609;7411;7478;9121;8043;8367;-;-;-;-;-;-;46029"
"""350995 CANAS"";-;-;-;-;-;296;457;509;292;322;505;519;507;573;527;505;573;519;526;296;523;584;645;687;696;686;-;-;-;-;10747"
"""351000 CANDIDO MOTA"";-;-;-;-;-;46836;46820;56262;62620;63184;55713;47944;52421;54710;54056;48605;42356;54544;64431;62974;52882;57329;48480;46674;52253;51638;49499;45028;38652;-;1255911"
"""351010 CANDIDO RODRIGUES"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;562;1082;721;560;381;262;333;309;317;311;-;-;4838"
"""351015 CANITAR"";-;-;-;-;-;4707;3831;3821;4632;4221;4280;3747;3492;4549;8557;3748;4929;3878;3548;4770;3100;6058;2651;3838;3725;3510;3806;3396;2575;3419;102788"
"""351020 CAPAO BONITO"";-;-;4;-;-;31722;39117;40994;41373;26080;35025;45764;45856;43952;47238;32959;34235;42186;42517;42883;43744;47950;47484;48100;46621;51624;52558;47724;36777;38348;1052835"
"""351030 CAPELA DO ALTO"";-;-;-;-;-;17863;19350;22180;23354;27317;32774;27170;28955;39793;38959;32269;33043;33176;33521;36518;36904;40601;38213;34261;36590;40264;39778;40035;38274;36856;828018"
